序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262079300480,405851114,绫地白灵,6,保密,你掉进陷阱了,2025-05-05 06:56:47,0,0,Roblox:o5_39,未知,否,https://i2.hdslb.com/bfs/face/c61e60ceb13c36650f97feb4bdc8175558a77467.jpg
2,0,261066894033,3546389686520662,苏课课,3,保密,我当初用人氏突击炮连做我当初用轮式突击炮连做掉了两个坦克和两个步战车，中途没有回和开烟，也没有逃跑硬扛 也没有威龙帮我,2025-05-04 10:38:17,0,0,,未知,否,https://i1.hdslb.com/bfs/face/90b7f371bd636d92949e9951ec4524a819cebc9f.jpg
3,0,260530959089,3546659097152353,一条入-,3,保密,这人视频是盗的,2025-04-27 21:23:54,0,2,codm,未知,否,https://i1.hdslb.com/bfs/face/aeebcdad15b1e8778c28e8151034f81a43680cc4.jpg
4,0,260166880369,481871950,伊利亞-穆羅梅茨,6,女,无限ADSbug：,2025-04-23 05:04:28,0,0,重型戰略轟炸機,未知,否,https://i1.hdslb.com/bfs/face/d1039fd3b76b385e541418a6ea24799b81b9bfff.jpg
5,0,260888911536,347779302,焦糖奶冻丶,5,保密,@爱上猫的袋鼠,2025-04-20 16:38:00,0,0, ,未知,否,http://i0.hdslb.com/bfs/face/dfe77fd9fb029011dbdde35e6960f652ead8ee84.jpg
6,0,259659828161,3546885700716978,没实力的小沫小号,2,保密,这些坦克的ADS呢？,2025-04-16 14:54:35,0,0,做其他武器位的人，不要抢主驾驶位，不要以为载具很好开，你小心你的浮木没了,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
7,0,259367444641,408704086,满多科学小实验,5,男,打完还比个手势嘲讽真扫码了，丢两个c4好有操作好有操作啊[大笑],2025-04-12 20:10:10,0,0,动手实验，探索自然，科学小达人,未知,否,https://i1.hdslb.com/bfs/face/09873667ce95cee340ce3f0c65d52c88a8f75da3.jpg
8,0,259302856449,346958891,风子来咯,6,保密,@唯一闪光点是击倒护盾 @羡魚 @原来是这么绘世,2025-04-12 04:30:55,0,0,,未知,是,https://i2.hdslb.com/bfs/face/7ce2753839159223956d868ed3f6cf9b3a369cc3.jpg
9,0,259700576624,338422112,赫儿爱打游戏,5,男,坦克开启了主动防御,2025-04-06 08:53:11,0,0,一个爱打游戏的00后电池研发工程师,未知,是,https://i2.hdslb.com/bfs/face/b89889f13dfa0c2e4aed964414c5f2d1f65aad1c.jpg
10,0,258721731008,1975233423,就是吴岭澜,5,保密,@样加烨,2025-03-26 03:51:39,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e92826c5dc56ce2bffbd08e549f5f72c64faf790.jpg
11,0,257892564513,475954761,赤紅闪光76,5,保密,除非他能站我步战车上不然谁来都被防御榴弹拿下,2025-03-25 21:15:31,0,0,爱煮饭，爱旅游,未知,否,https://i0.hdslb.com/bfs/face/54df0548f21dd4fd00d1f6e8f4d9b272f2f47a9e.jpg
12,0,257697640737,401270753,一苏小言一,5,男,纯绿跑刀，7：100，可直播，累计已跑十亿+,2025-03-23 09:52:09,0,0,当时只道是寻常,未知,否,https://i2.hdslb.com/bfs/face/6626d15c9d402ae7866497f4b2d3aff117f4e0ee.jpg
13,0,258494033664,21669744,萦南,6,保密,坦克！,2025-03-23 07:51:33,0,0,,未知,是,https://i0.hdslb.com/bfs/face/021275836321f79ee912fab894bcb0013d29d0c7.jpg
14,0,257422178929,272821059,春风得意风生水起,5,男,主动防御是挡不住落地上的c4爆炸的,2025-03-20 03:12:59,0,0,,未知,否,https://i0.hdslb.com/bfs/face/cbaea3ac7a6e520464fe19493882107fbfd75802.jpg
15,0,257322453568,3494364493908130,楼主的的一生之敌,4,保密,防御榴弹的重要性,2025-03-09 03:22:33,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
16,0,257314649728,1027242313,富村下江,4,男,@碳羽 @喵小杨儿 @雷神魍魉,2025-03-09 01:29:22,1,0,,未知,否,https://i1.hdslb.com/bfs/face/814369ec2657b9c048048ef1942c015e926b8ef0.jpg
17,0,256490909809,3546769331849266,黑化虫大玩暗区,2,保密,你不能炸掉己方坦克啊😂😂,2025-03-08 08:21:44,0,0,青春就在当下，不玩暗区干啥,未知,否,https://i1.hdslb.com/bfs/face/56a20d64b12288b4a79914dfc0fd821e5a0af206.jpg
18,0,257220402352,1112312226,不想吃草山田凉,5,男,你的意思是codm三大乐子之首飞鱼转世为三角洲up拿下80万播放并收获众多粉丝？[思考],2025-03-07 22:09:51,2,6,,未知,是,https://i0.hdslb.com/bfs/face/4d1e6caf7c3b72928541c84637b3da9fb4af97ff.jpg
19,0,256399902336,34420636,爷怕死所以全点韧性,6,保密,那么我掏出主动防御，阁下该如何应对,2025-02-26 04:33:10,0,0,又来查你爹成分了？,未知,否,https://i1.hdslb.com/bfs/face/5f153d175f0e37a1fc111a67ff9bc79e1bd32bf7.jpg
20,0,255203066273,475954761,赤紅闪光76,5,保密,坦克太笨重，要是突击炮就不怕威龙了，高机动只怕工程飞弹了,2025-02-20 11:29:30,0,0,爱煮饭，爱旅游,未知,否,https://i0.hdslb.com/bfs/face/54df0548f21dd4fd00d1f6e8f4d9b272f2f47a9e.jpg
24,0,255801322704,478878920,洋雨不玩FPS,4,女,dy子骞的视频怎么跑你这来力,2025-02-19 05:13:42,0,9,,未知,否,https://i2.hdslb.com/bfs/face/f83aba863d2850482535ae09930d19da5812c302.jpg
25,0,254781212689,3546622810130958,雷电影小姐的修勾,4,保密,妈的，之前开个主站躲家里打，结果好几个个威龙冲过来给我炸了[生气][生气][生气],2025-02-15 11:58:53,0,1,,未知,否,https://i0.hdslb.com/bfs/face/85663e61a73f2b962ef4b116e33b7c4e8218448b.jpg
26,0,255408942144,165991015,BMW600,6,男,为什么放虎蹲,2025-02-14 17:23:27,0,0,,未知,否,http://i2.hdslb.com/bfs/face/0d44bea1eb51c746d8efd672d2cf013460ba3d52.jpg
27,0,254304955441,16009056,我鲜睡了,6,男,@超级蒙古大猫猫头上单 @我需要一份三明治 @种族骑士racism,2025-02-10 12:18:31,0,0,我想开个花店,未知,否,https://i0.hdslb.com/bfs/face/477fb46dee38a14fe45f324eba6fbed86570ace5.jpg
28,0,254197357041,670228559,雨霁余晴,5,保密,陪一张，最佳小队忘记截屏了😎,2025-02-09 10:04:56,0,1,你已经做的很好了，你很棒，你可以做到，别太在意，开心就好，不开心的话我愿意跟你聊聊,未知,否,https://i2.hdslb.com/bfs/face/403c43d3a92b9478c1dcccc3c3f8c3d8432169c6.jpg
29,0,254192881329,3546762440607771,一只雪花酥,3,保密,这坦克应该都傻了，看到一个车跳下来三个威龙给他妈都给吓傻了[笑哭][笑哭][笑哭],2025-02-09 09:10:23,0,1,,未知,是,https://i0.hdslb.com/bfs/face/7565309f79e21e9ca9a7862853a556183decc293.jpg
30,0,254022017473,1197370865,白孑丶,4,男,玩家觉得威龙一换一炸掉坦克很赚，在几十年前，先辈们也是这样想的,2025-02-07 12:26:39,8,198,实事求是，是永不过时的选择,未知,否,https://i2.hdslb.com/bfs/face/a391a3661137ebc103892977a652880478fc6753.jpg
31,0,254683415200,1153115919,M1A4-主战坦克,5,保密,我看着四个威龙释怀的似了☺️,2025-02-07 11:22:32,0,0,或许应该在炮管上安装一个八倍镜？,未知,否,https://i0.hdslb.com/bfs/face/535ae90f13b48083596ccf63de1ec263ebae8bca.jpg
32,0,253978726785,1885108696,牛杂汤姆,5,保密,好想用威龙炸坦克啊，但每一次赶过去，他已经被炸掉了,2025-02-07 04:10:09,0,1,,未知,否,https://i1.hdslb.com/bfs/face/9b43263cf8ae972db53a2d37f515451530fbf22a.jpg
33,0,254251835344,1309602132,佳代子子子子子子子子,4,男,优秀的飞行员一般比别的飞行员多一枚炸弹[脱单doge],2025-02-03 02:34:26,2,7,,未知,否,https://i0.hdslb.com/bfs/face/737e55c1782ee627f1aa40ef003333bc26dc3c0c.jpg
34,0,254222668048,14264416,某市普通市民,6,保密,帅,2025-02-02 15:04:31,0,0,,未知,否,http://i1.hdslb.com/bfs/face/f33cca118a99fddff241b8773ad20e6cd053c248.jpg
35,0,253880868176,3546773316438133,小羊使命召唤,2,保密,新版本的谁c4虽然削了，但问题不在伤害，而是在c4的数量,2025-01-30 03:22:27,0,0,,未知,否,https://i1.hdslb.com/bfs/face/0fa6385afd9c2fe7258a37b319a4b500c22d14ac.jpg
36,0,253125810481,477967252,Class-TBL,5,男,奇怪，点赞之后有BUG[doge],2025-01-28 15:44:07,0,0,Blue Lives Matter.,未知,是,https://i1.hdslb.com/bfs/face/5cdca136ee56d2cc052457b1ef77331759540f65.jpg
37,0,253020436961,3546725367155062,盛夏后花园,2,保密,《镶雷小队》,2025-01-27 13:18:55,0,0,,未知,否,https://i1.hdslb.com/bfs/face/6e7ee177b5cc681b9609c07f8d5eb574b52d409c.jpg
38,0,253585287888,40917837,LADXU,6,保密,炸一个坦克真的比杀十个人还爽,2025-01-27 01:08:40,0,0,,未知,是,https://i0.hdslb.com/bfs/face/d2b5a0407fe48d3ee2d00e337a9ba1e75ee742a3.jpg
39,0,253457070848,3537107607882529,柳小霸王,4,保密,@thingw,2025-01-25 14:12:22,0,0,,未知,否,https://i1.hdslb.com/bfs/face/b26a25a18105298a5fe4071c4c16cc0e586a8990.jpg
40,0,252665319361,3493131127359571,迷听途说waihut,5,保密,乌尝尝我们的C4吧,2025-01-23 18:13:20,0,0,,未知,否,https://i1.hdslb.com/bfs/face/350b3073ef5451418dfa86cebe3c7356dc905188.jpg
41,0,252626491073,3546839347366595,记忆里勇士,2,男,"见过不救人的蜂医
见过只打狙的骇爪
见过不支援的红狼
但没见过胆小的威龙",2025-01-23 10:55:10,0,0,爬上最高的大山,未知,否,https://i2.hdslb.com/bfs/face/5c5b391db00416805ee5387fce753f767ab37399.jpg
42,0,252381574625,3546664558135375,我是莫提斯大玉,2,男,威龙平常时没有任何默契，但一到墙见坦克就不同了[doge],2025-01-21 02:36:36,0,0,,未知,否,https://i1.hdslb.com/bfs/face/d931100dc1fb081abdb7d284519a28e0ff55f3c1.jpg
43,0,252264257057,1937246491,ジョウ・ロンユエ,5,女,¿?,2025-01-19 15:16:33,0,0,3247,未知,是,https://i1.hdslb.com/bfs/face/9ff79bde5bf8a0166425d169cef0d6c46da81172.jpg
54,0,252519546896,587993239,雨琛宝宝,4,保密,有端游一起玩的嘛,2025-01-16 04:22:35,0,0,,未知,否,https://i1.hdslb.com/bfs/face/cfd4a6dc772af12a0d77afc5cb3cce4073da7974.jpg
55,0,252323235504,86826731,公交司机大哥,6,男,堑壕战的满编工程打狙坦克如何呢？甚至不用满编，两个工程就够了，这几天排这图防守方直接退了，打开计分板一看a点就捞了两万，一点反制手段都没有[热],2025-01-13 20:07:07,0,1,23333,未知,是,https://i2.hdslb.com/bfs/face/408ede8767c7ad58ca749cb85fafd80e48c9df5f.jpg
56,0,251614263953,3546567155910657,叶鹭大王,4,男,来个主动防御就老实了,2025-01-12 05:54:21,9,3,,未知,否,https://i0.hdslb.com/bfs/face/2792544c17b7a03c1ce3d26f1d80230ee6bdb3a5.jpg
57,0,250995670465,3494378450455479,远神114514,4,保密,upup，能不能炸死我的坦克,2025-01-04 16:30:13,0,0,,未知,否,https://i0.hdslb.com/bfs/face/18dd0b1d6beee1ca714cfa9b839c6e4e1c337341.jpg
58,0,251510717424,3493263029831748,晋察冀根据地,5,男,载具佬眼中的威龙,2025-01-04 13:42:43,0,2,,未知,是,https://i0.hdslb.com/bfs/face/b6784af11c13d38d664f59d8d336c4d8668f5dce.jpg
59,0,251423162512,629882410,励志成为丹通糕手,5,保密,@暝哉,2025-01-03 13:49:02,0,0,新人入B站,未知,否,https://i1.hdslb.com/bfs/face/a301c8ca22d3b42cbafdc5fb2f193915ceb6c64c.jpg
60,0,251399307472,178038019,窒息StatTrak,6,男,@鸦唳,2025-01-03 09:07:55,0,1,头可断，血可洒，枪法该马还得马,未知,是,https://i1.hdslb.com/bfs/face/52ce2c0faf3052377c6d7b0c4b2452f6edaae74f.jpg
61,0,251291119104,297351005,_Talulah塔露拉_,6,男,[doge],2025-01-02 03:04:24,1,11,道阻且长(欢迎私信扩列),未知,是,https://i2.hdslb.com/bfs/face/2ee77b55f481e09a4fe232f077b8eebfa4ee0d2a.jpg
62,0,250753865953,266638063,Azusa-Hao,5,保密,@商人Teresa 葡萄美酒夜光杯，主战坦克优先飞,2025-01-01 17:38:01,1,1,vanitas vanitatum et omnia vanitas,未知,否,https://i1.hdslb.com/bfs/face/38420de51ab580635951caff762d9b1988989205.jpg
63,0,251188344816,2058795821,布什隔闷,5,保密,逆天bug[笑哭],2024-12-31 23:58:51,0,0,,未知,否,https://i2.hdslb.com/bfs/face/ecb7dea042550a6b71701d9eadbe36b507b2b0c1.jpg
64,0,251170820768,298729309,可乐頻的黑粉,5,保密,[tv_doge],2024-12-31 16:09:35,0,0,棒打1450，脚踹大殖子。,未知,否,https://i1.hdslb.com/bfs/face/75c25e2d640f061fa03f3a947670b32c5f1d8e7e.jpg
65,0,251164080560,27398827,wZ4O,6,男,吹牛逼呢，你开过吗？,2024-12-31 14:54:51,0,2,,未知,否,https://i1.hdslb.com/bfs/face/46b7a8823ace792ce5626261246aadd46c11814a.jpg
66,0,251159828592,31137121,帕鲁型设计师,6,保密,为啥威龙看到坦克就跟打了鸡血一样发疯,2024-12-31 14:08:15,0,0,不做合成就感觉像沙滩上的鱼……又干又咸,未知,是,https://i1.hdslb.com/bfs/face/26174614eaa6799057897d9ffa5a26e7b9ddc01c.jpg
67,0,251140858768,358467205,B1u_,5,男,一辆面包车下来4个威龙没绷住,2024-12-31 10:31:40,0,0,,未知,否,https://i1.hdslb.com/bfs/face/2874d0a54c639e2d85adf1251a75e07ffe2892ba.jpg
68,0,250527710561,600913873,青红皂白--,4,保密,@零千丶 @托儿索也疯狂 这有点帅吧,2024-12-30 06:04:54,0,0,,未知,否,https://i1.hdslb.com/bfs/face/3bbaa60315ed9dbc394e4adbe57621145066d4e0.jpg
69,0,250443549473,1159725791,阳阳的小狼2,4,保密,[doge],2024-12-29 05:50:22,0,0,阳阳的小狼的另一个号,未知,否,https://i2.hdslb.com/bfs/face/78222d803448863b8cd0a466dbd1c3688dfa2373.jpg
70,0,250907584160,621087925,bisu1117,5,男,虎蹲炮对坦克有伤害吗,2024-12-28 15:40:47,0,0,,未知,否,https://i1.hdslb.com/bfs/face/5de5cf47a8232a1fdbd200e24c7b4e332ac17d8f.jpg
71,0,250240871745,3546661957667396,川-玄冥,3,保密,游戏可以输，坦克必须炸,2024-12-26 15:01:41,0,0,,未知,否,https://i2.hdslb.com/bfs/face/aa0422aa4983fcc490272cf7fb374a7b67ebc158.jpg
72,0,250176173137,381937166,王某现在很难受,5,男,这太超模了，追着坦克干的坦克还没脾气,2024-12-25 20:38:42,0,0,,未知,否,https://i2.hdslb.com/bfs/face/eb4c0f7eef824b995cfcc0557fe79fa3f9ad407a.jpg
73,0,250119011041,563345553,龙政达,5,保密,@不知道什么醋,2024-12-25 05:02:41,0,0,,未知,是,https://i0.hdslb.com/bfs/face/c04b322ec0db47afebc117539b1a20ed2b1d602d.jpg
85,0,250438245056,41334633,Cheers楓,6,男,这坦克上前线得有人帮处理人否则就是张纸，站在最后面打狙是纯没必要，站在前线后一点就行，能压制能退最好[笑哭],2024-12-23 04:04:56,0,0,如无必要，勿增实体,未知,是,https://i0.hdslb.com/bfs/face/beda0464358e383eed53984e9bfcedd643cfa7d3.jpg
86,0,250437955920,3537105762388922,13725901,3,男,威龙：[喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣][喜极而泣],2024-12-23 04:01:32,0,1,"大家好，你们，我希望你们中国
",未知,否,https://i2.hdslb.com/bfs/face/4eb2c3fe2a274610336dbdef3bba65dd96495f9a.jpg
87,0,250405968512,3493265709992727,读评论下期让我上电视,4,保密,@上古卷轴街溜子,2024-12-22 14:57:31,0,0,,未知,否,https://i0.hdslb.com/bfs/face/6a65e275e9f228d25fb662d8712f085489549e72.jpg
88,0,250190450576,3546750289709943,離灕騅,2,保密,ADS近防系统是干什么的？,2024-12-20 08:26:01,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c00d562bf6c7f69f1096bf6fd69ef695695307aa.jpg
89,0,249715511297,3546733304875682,七度雪乃最可爱,3,保密,全球可降是吧？[doge],2024-12-20 06:06:51,0,0,雪乃厨,未知,否,https://i2.hdslb.com/bfs/face/f85a9277120ee1b5c699dd17d4309b23f2f5d523.jpg
