序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262133106240,605501193,滅亡迅雷,5,男,飞天猴巧夺宝盒,2025-05-05 22:19:29,0,0,,未知,否,https://i0.hdslb.com/bfs/face/a7ed8e56d0ed9270e48299e07392648862953ca7.jpg
2,0,260440275377,12032086,小提尔皮茨,6,保密,卧槽！牛！,2025-04-26 14:53:13,0,0,好无聊,未知,否,http://i1.hdslb.com/bfs/face/ca02a96b6ce4b59220766258351fb145e079dab5.jpg
3,0,261125105632,320482909,DragonLau1986,5,保密,笑死了哈哈  哥们儿你这素材里录了多少能切出这几段的啊,2025-04-23 17:10:08,0,0,和平與愛不是問題.,未知,是,https://i1.hdslb.com/bfs/face/c6a58f6f46ef7bfa29909b05f2a8df8945d34a18.jpg
4,0,259980511457,3546652073789554,bili_73532229625,3,保密,我也遇到过这种抢坦克的人，下次就直接呼叫炮击,2025-04-20 14:47:39,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
5,0,259812764113,9179661,咸菜萝卜煲,6,男,我一般会踩在上面，等快落地了再两个红包+一个高爆弹，每次都能炸死一个,2025-04-18 15:25:45,0,0,"JAVA —— 从入门到入土
MySQL —— 从删库到跑路
H5 —— 从前端到前台
软件工程 —— 从立项到咕咕",未知,是,http://i0.hdslb.com/bfs/face/18b5db5c8e5fbc1d23601a11ee489352ffcbceee.jpg
6,0,259383487793,788181,言誇,6,保密,翟总啊 你真是,2025-04-13 03:22:28,0,0,,未知,是,http://i0.hdslb.com/bfs/face/482b5ae52be47135abf4d3ffc486de97cb8f237b.jpg
7,0,260210721664,3546864980855539,潘他1,2,保密,666，买车自带火种，带自主意识是吧？,2025-04-12 12:45:56,0,0,,未知,否,https://i1.hdslb.com/bfs/face/7f52b2714c5fa5f1a8386855ec8b9528d376b987.jpg
8,0,258985398241,44532662,空白余音,6,保密,最可恨的不是敌人抢你载具是队友你叫了载具搁那等，叫载具得防对面还得放队友,2025-04-08 03:42:36,0,0,懒惰的人制造梦想，勤奋的人成就梦想。,未知,是,https://i2.hdslb.com/bfs/face/ecca5d8d1fecff73aba6a84585b3de59ffce9f76.jpg
9,0,258888769569,513761854,谢某是个保底人,6,保密,@西霔,2025-04-06 17:18:05,0,0,,未知,否,https://i1.hdslb.com/bfs/face/8dd3752a3d5e8b7d0624c44c3348e57c53dbb82e.webp
10,0,259701401680,647169547,syyxqx,3,女,"你很优秀…
感谢你的付出…
可惜…
GTI举世皆敌的画面你看不到了…
那么…
晚安！",2025-04-06 09:04:18,0,0,,未知,否,https://i1.hdslb.com/bfs/face/d3c373ad5600b93e2bce42905683bde719c1bad0.jpg
11,0,258846010129,3461580603787867,红月andELYSIA,5,保密,@一加一真的等于二吗 @晦朔长辞 @曳光呆呆鸟 @白给柒 @田凉需要钱钱,2025-04-06 07:58:56,3,2,TEAM:AveKiNG,未知,否,https://i1.hdslb.com/bfs/face/cb5964985d42d5cfdfb993e255556b4068a858a4.jpg
12,0,259689633328,415557421,你好我叫王妄想,5,男,真有人离据点这么近喊车吗？[笑哭],2025-04-06 06:24:03,0,0,我只是一个平凡人。,未知,否,http://i1.hdslb.com/bfs/face/6aed25d9602d2a823f732a44f109af292dba1ea3.jpg
13,0,259654884240,3546377348974902,世一人机爱丽丝,4,保密,@一只阿洋啊 我靠你看这个，学着点,2025-04-05 18:40:23,1,2,粉丝裙1045446030,未知,否,https://i0.hdslb.com/bfs/face/f6fec621cf6600676c2b700323c5d6ac526acf69.jpg
14,0,259629336432,3493088429345035,爱敞篷车的Kennedy,4,保密,这何尝不是一种ntr[doge_金箍],2025-04-05 13:03:52,0,0,,未知,否,https://i1.hdslb.com/bfs/face/9656fe6cf41c0e9cf4c8915bd658c94863ecb69c.jpg
15,0,258775211441,151331883,不喝茶的京阿尼,6,保密,俺拾之乱哈哈哈哈哈哈哈,2025-04-05 11:56:25,0,0,,未知,是,http://i0.hdslb.com/bfs/face/d21e5b5bad055c54aec5ca31bd4987beb63ee07c.jpg
16,0,259617823760,3493283986672414,亚洲超光速王,4,男,@这就是TAMO @sliverking银王-栀子花 @再见地球online @真是一只小龙 @爱吃橘子的黑胶狼 @不还钱的凉乞钞 收到，已空降敌人到目标地点[doge],2025-04-05 10:56:58,0,3,啥都拍,未知,否,https://i1.hdslb.com/bfs/face/f7a2fe4bd267fab108c1eeba149fd27ff1e85433.jpg
17,0,258755221425,1950173267,TerryGG1211,4,保密,乌鲁鲁老脸一寒，我的。。。。小马驹。。。[大哭][大哭][大哭],2025-04-05 07:47:16,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
18,0,258741146897,1791286454,IG-Wbg-Theshy,5,男,我才看出来是把对面叫的载具从空中坐上去了[哦呼],2025-04-05 04:38:13,0,0,主玩撸，洲，炉，王泪博德之门，副玩鸣潮，宝可梦，巫师三256h文明六485h战地五189h大表哥二163h所以别在我玩的游戏看到吹你米游SB,未知,否,https://i2.hdslb.com/bfs/face/ac50236c1907e2e8bd2d8487d1f50c64f50da47a.jpg
19,0,258740912385,1768339097,北行大仙人,3,男,我干过[星星眼]也让抢过[大哭],2025-04-05 04:36:02,0,0,,未知,否,https://i2.hdslb.com/bfs/face/972998631c40b68f4200ab99c0f846a3a87bdbbc.jpg
20,0,259542133056,1261282519,阿轩不是屑,3,男,换做是我早就给炸了我买的载具炸掉自己的载具很合理,2025-04-04 13:24:08,0,0,暂时回归卡莫娜和GTi你以为我是红狼啊,未知,否,https://i1.hdslb.com/bfs/face/48d35aba29030aa9606002fc8ff777a02b56b770.jpg
25,0,259530021040,3546710334769622,Observer--Gaster,4,保密,我向所有漂泊在宇宙的塞伯坦人发出信号,2025-04-04 11:09:01,0,1,该账号封禁中,未知,否,https://i2.hdslb.com/bfs/face/5db80969bb34632165692fdb02aba4f1337ed85a.jpg
26,0,259526125792,702227934,恩莉尔一个号裙摆,5,女,召唤了载具还要开载具，什么好事都让你全捞了,2025-04-04 10:26:18,0,1,我很神秘,未知,否,https://i0.hdslb.com/bfs/face/6e7ee177b5cc681b9609c07f8d5eb574b52d409c.jpg
27,0,258679872337,1133733351,不是柠檬呢啊,4,男,@江南第一刀5,2025-04-04 10:03:45,0,0,那我问你,未知,否,https://i0.hdslb.com/bfs/face/2dcd4e54a2207bac156b74bb92b68761314c9b61.jpg
28,0,258639337249,1077786198,杂食没有不吃的,3,男,是个正常人都知道指挥部提供的载具，都是在战局外的,2025-04-04 00:35:34,0,0,,未知,否,https://i0.hdslb.com/bfs/face/d7d9ed86774364708060b2030c810928087a8ff0.jpg
29,0,258570667713,1850617158,澜清qwq,3,男,这个BGM叫什么来着？,2025-04-03 04:26:19,1,0,如果再也见不到你，那就祝你早安，午安，晚安qw<,未知,否,https://i0.hdslb.com/bfs/face/cb61ccb046776a89a0d6ba5218ff747fa89fde7a.jpg
30,0,258563836513,161099871,莫利卡拉-马克夫斯基,6,男,这游戏最容易抢的载具还是弃车人的,2025-04-03 02:56:26,0,0,托尔（龙娘）真是太可爱了！！!,未知,是,https://i0.hdslb.com/bfs/face/b909454ab6c881ab511e77fb3ee63c4bec9ab8f4.jpg
31,0,259395372864,25778144,天雾凌人,6,男,up先别玩了我问你个事[doge],2025-04-03 00:44:21,0,0,吾心吾影澄明如镜，所做所为皆为正义。,未知,否,http://i1.hdslb.com/bfs/face/f3f1ce90e2acd418ad70e9de228f0a610bfdc1e4.jpg
32,0,258535471649,243755372,双面不汐汐,6,男,（威龙同志又在搞个人英雄主义了）,2025-04-02 15:08:58,0,0,原米学长，思想学者，二游节奏评论区点评常客,未知,否,https://i2.hdslb.com/bfs/face/2970c07bc974ddd8453847dd35510ef48d195cd3.jpg
33,0,258533957281,321890062,折纸大湿天下第一,6,男,破案了，威龙是（）人,2025-04-02 14:52:59,0,0,,未知,否,http://i1.hdslb.com/bfs/face/2090b3d92be237f2535740a8b155f1ebeb353c4d.jpg
34,0,259339912000,97059133,凭本事借的嘴不用还,6,男,@你可以叫我人战,2025-04-02 08:38:09,1,0,,未知,否,https://i1.hdslb.com/bfs/face/be58a2d1622fcd21c31d51fc79d230b52281b560.jpg
35,0,258463954609,35992255,闫顺梦,6,保密,夫目前犯,2025-04-01 17:25:35,0,0,我在看我自己,未知,否,https://i1.hdslb.com/bfs/face/e6d2f08ee1fb32035cc44943334bacbf0ad4ab40.jpg
36,0,259219272560,3546781136718013,949194,3,保密,俺看天上磨人要，这是俺试嘞,2025-03-31 22:52:55,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
37,0,258385836049,3461574094227877,幼兒園の老大,4,男,望周知,2025-03-31 20:52:52,0,0,把汗水留给篮球，把爱留给喜欢的人,未知,否,https://i1.hdslb.com/bfs/face/e63bf5637c7f55f31fff8bccf65742114fb71ee7.jpg
38,0,258385262721,592017958,Wanjia-Rex,6,男,另外，看到天上掉下来的载具一定要掂量好了再打下来，真不一定是己方某个倒霉蛋打了一整局还不容易刷个坦克被咱干下来了,2025-03-31 19:59:27,0,1,憧憬成为工业光魔,未知,是,https://i1.hdslb.com/bfs/face/401a02cff403bea693d881e17be8aae747e43e68.jpg
39,0,259214164496,399983335,金玉执子,5,男,我就不一样了，载具还没下来就被轰了🤓☝️,2025-03-31 17:55:18,0,0,这个人懒得已经让你觉得他连写简介都会这么随便,未知,否,https://i1.hdslb.com/bfs/face/9d55a434ac8673f0f959e755b324a76297846f12.jpg
40,0,259169261120,497706328,铸在这里,5,男,我一般是拿工程趁着还没下来给载具来几炮，落地就着火了[笑哭],2025-03-31 08:34:05,0,0,我将在这破败腐朽中熠熠生辉！,未知,是,https://i1.hdslb.com/bfs/face/de89155e1ff6d9307a6ef1406b690a96b93c3b45.jpg
41,0,258315916705,473038390,世界一点_也不美好,5,保密,侠盗飞车[冷],2025-03-31 02:36:00,0,0,,未知,是,https://i1.hdslb.com/bfs/face/aac449e2bdf7beb974934e2580286d1db21786fb.jpg
42,0,259141105152,351865332,别问我在吗,5,男,我一把抢对面一个突击炮和坦克还是乌鲁鲁抢的，对面不是下车清人就是工兵下车修，那我只好笑纳了[doge],2025-03-31 01:27:26,0,0,做自己,未知,否,https://i0.hdslb.com/bfs/face/b2165e37deb522d7a7e37486ca7d611cc23dd403.jpg
43,0,259135820192,131365807,松茸鸟蛋真菌,6,保密,有牛啊我敲,2025-03-30 23:04:03,0,0,,未知,否,https://i1.hdslb.com/bfs/face/20e9a2729671bdaefe636e085f2287b271ae5287.jpg
44,0,258306059489,1250611462,日小哪,4,保密,召唤载具的敌人：全自动嘛，有点意思。咦不对，打的我是队友,2025-03-30 21:43:31,0,1,,未知,否,https://i1.hdslb.com/bfs/face/4fd33349bfb29f1c2138b1395e9db195926d7605.jpg
47,0,258289464913,1873620495,晚柔QvQ,4,女,威龙：“这是俺拾嘞”,2025-03-30 14:45:06,0,1,所以我在分类时把我的血倒进了废液缸,未知,否,https://i0.hdslb.com/bfs/face/546d2dbfff195d2c68a3c75434f1a849cde426bd.jpg
48,0,258276519937,13960190,近日多云,6,男,坦克噬主了,2025-03-30 12:13:42,0,0,梦见自己成为了英雄,未知,是,https://i2.hdslb.com/bfs/baselabs/0a04c97b2c3b88bdb92c998c08a00f351d222bd9.png
49,0,259103592752,627741035,时不我呆-,4,保密,我抢过对面的     然后就被那人疯狂针对,2025-03-30 12:09:35,0,0,,未知,否,https://i2.hdslb.com/bfs/face/5bbf49c7d63db32b47541f9efd0cc7c68ed5d882.jpg
50,0,259100285408,1740382220,欢愉拱火乐子人,5,保密,GTI服务就是周到，买车还送司机,2025-03-30 11:30:17,0,0,乐子神在上！这哔哩咔啦实在是太有乐子啦\(≧▽≦)/,未知,否,https://i2.hdslb.com/bfs/face/c6f41e97a9a83660765db78b229de6a9c3176f2e.jpg
51,0,258262938993,226212863,玩命运2的承太郎,6,男,我都不好意思说这种人脑子怎么长得，天上的坦克主动防御装置是吧,2025-03-30 09:30:06,0,0,时间不语，却回答了所有问题,未知,是,https://i2.hdslb.com/bfs/face/b858ec3f0b9ee98907cc5699a658f80a1328bff6.jpg
52,0,259080249584,3546612288719013,奥托的好兄弟,3,保密,只要载具处于无人状态，双方都可以开，如果载具上有人就不可以开，另一方会直接显示敌方载具无法驾驶,2025-03-30 07:20:29,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
53,0,259076900048,299864842,十字架上的烤全羊,5,保密,刚玩这游戏，话说想问问这模式里按键6是干嘛的，每次按了掏出来个箱子[微笑],2025-03-30 06:35:58,5,7,,未知,否,https://i1.hdslb.com/bfs/face/d6b410a60baffa2f987ab250c3f883495a177bef.jpg
54,0,258247550577,387453370,裤衩之天使,6,保密,[大哭]你还我[大哭]你还我[大哭]你还我[大哭]你还我[大哭]你还我[大哭]你还我[大哭]你还我[大哭]你还我[大哭]你还我[大哭]你还我[大哭],2025-03-30 05:58:12,0,0,,未知,否,https://i1.hdslb.com/bfs/face/e7b71cf304ee9c0aa0cca3e05dfa9cb828051751.jpg
55,0,259072912544,1186487230,好的少年,5,保密,猜你在找：,2025-03-30 05:45:56,0,1,,未知,否,https://i1.hdslb.com/bfs/face/c6ddf90ad98574ceeb8d8656d4db6e4597ccc194.jpg
56,0,259067623520,305218206,晏九心,6,男,@三角洲行动 还不赶紧加入宣传片[脱单doge],2025-03-30 04:46:14,0,0,这个人真机灵了，什么也没有写。,未知,否,https://i0.hdslb.com/bfs/face/6ca0ecd8035018735b90a881d43df2c1e998f5e5.jpg
57,0,259065751424,675221214,El゜,5,保密,也就低压局会碰到这种神入了，投放载具基本都是重新部署回家放，放太前就算没人抢也会在空中被磨血,2025-03-30 04:27:04,0,0,存在仅仅如此,未知,否,https://i0.hdslb.com/bfs/face/fcc85474f45f1c7aaaaa475e95fc7960e6fdee40.jpg
58,0,259065632736,3536997580802143,Shark服务器原石,3,男,对面:空投一辆敌方载具,2025-03-30 04:25:52,0,0," 我的世界 Shark服务器
感兴趣的加QQ：324456311",未知,是,https://i1.hdslb.com/bfs/face/b88509253997cb7c04ecf689906725623fc62681.jpg
59,0,259065626048,253684401,__山内有樱名为良_,6,男,这是俺拾嘞，俺以为没人要呢,2025-03-30 04:25:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/cf321ae2b3b2f51ab243e84e001d9f4ed2692555.jpg
60,0,258235950113,1545679696,爱香魔怔封缘,4,男,@路边野生的会长,2025-03-30 03:43:05,0,0,爱打游戏的中学生,未知,否,https://i1.hdslb.com/bfs/face/81e687aa7ea5b8f5ce53fdfe4dd55a4f76d2262d.jpg
61,0,258228061777,2111690363,一壱壹衣E,5,保密,这个故事告诉我们一定要在家里放车[Mygo表情包_探头],2025-03-30 01:56:47,0,0,草履虫,未知,是,https://i2.hdslb.com/bfs/face/2c87e629f3ea8ed1f0da7a3e938cf126c90eefa1.webp
62,0,259038475104,3546649798379818,Soyo长崎爽世,4,保密,召唤载具的人:666还送一个导购,2025-03-29 17:30:53,0,1,好笑吗,未知,否,https://i1.hdslb.com/bfs/face/489e0cbbd7961f159c04fb3c1681adc886fb64ce.jpg
63,0,258212545297,3493112573855778,花园里满花开,4,女,666。把一键三连放在加速的地方。,2025-03-29 17:13:41,0,1,花,未知,否,https://i0.hdslb.com/bfs/face/a7072838910db7e631a4cc1fa983e0a5bca61e22.jpg
64,0,258208143169,430208791,一枕星河万里,5,保密,你看这一个二个叫的载具，连个主动防御都没有，你包括现在将军统帅局也是，抢车乱开的也一大堆,2025-03-29 16:05:06,0,0,,未知,是,https://i1.hdslb.com/bfs/face/a0a4193d4a0c0c429515ee976c3da42d92291f16.jpg
65,0,259023626544,3546863919696132,砂狼白子_XCW,2,保密,节是俺拾嘞[星星眼],2025-03-29 14:17:24,0,0,,未知,否,https://i0.hdslb.com/bfs/face/03d1500805d4dc423b7d00f424021851f700cfa8.jpg
66,0,259022320752,1892520411,一一对应甜根菜,3,保密,威龙:额滴，都是额滴_(≧∇≦」∠)_,2025-03-29 14:03:22,0,0,,未知,否,https://i0.hdslb.com/bfs/face/b440cecae6d564f4b2a4047d1a3c3fa5267a0736.jpg
72,0,259014064544,136283643,渐渐牛,5,保密,威龙：,2025-03-29 12:30:32,0,0,,未知,是,https://i0.hdslb.com/bfs/face/7e72c58637ff26df68fb30939de078d2bbbfcdbe.jpg
73,0,259009388704,364819325,栗子姐没pp,6,保密,@清凛黄昏下的猫,2025-03-29 11:36:43,0,0,我伫立在这里倾听 风的声音,未知,是,https://i2.hdslb.com/bfs/face/6943ba141b4ec2419c2a1db61bf04af69bc30535.jpg
74,0,259006802176,2106568113,一个咸苹果,4,保密,@伏龍没烦恼,2025-03-29 11:06:52,0,0,,未知,否,https://i0.hdslb.com/bfs/face/f46acd65a6d6420de39baa147175effdf3c0868a.jpg
75,0,259004964352,177666440,脚滑的富蛇,6,男,这个载具降落伞上的反向喷气减速的那个装置现实中真的有应用吗,2025-03-29 10:46:11,0,0,,未知,是,https://i2.hdslb.com/bfs/face/83f2762afe4bc7b528652f665e328a9bd21a930a.jpg
76,0,258998947648,291825923,只吃亿口饭,6,保密,威龙:这是俺拾滴[doge],2025-03-29 09:39:53,0,0,ⓘ该账号封禁中,未知,否,http://i2.hdslb.com/bfs/face/805eb8214176f17787e5260a31f7ba1f9d5877c2.jpg
77,0,258978882080,420414231,真的好想吞下你,5,保密,车未降，炮先到,2025-03-29 05:09:04,0,0,可恶的管理员，老是删签名,未知,否,https://i0.hdslb.com/bfs/face/ec496e113046d8dc2a3038a9693e70742b1c4646.jpg
