序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261234168209,1592229368,把牢杰五等分,5,保密,刚摔死就刷到这个视频[辣眼睛],2025-05-06 11:16:47,0,0,加强肘克,未知,否,https://i2.hdslb.com/bfs/face/1b5b738163955f39480510a1f41fcc9b997f541b.jpg
2,0,261016672769,1581520353,羲夕安,4,保密,爽了我就没掉下去过,2025-05-03 20:10:42,0,0,bilibili(o^^o)干杯?,未知,否,https://i0.hdslb.com/bfs/face/b248e0cdde3086d6ca2ea6180dd4af8eb6255f09.jpg
3,0,260913642097,696821383,EntityAxolotl,4,保密,[笑哭],2025-05-02 14:51:27,0,0,,未知,否,https://i1.hdslb.com/bfs/face/6e532c4724d16adc3b80ccaa1924a9591c49135f.jpg
4,0,261549688656,360607835,沉默寡言の星辰,6,保密,bro以为自己玩的cf[doge_金箍],2025-04-29 04:36:11,0,0,分享区up，顺便接碧蓝各渠道代肝，v:waibiwaibi1211,未知,否,https://i2.hdslb.com/bfs/face/4ff9b13b547c593bcad44c0df35d15a8b06cd10f.jpg
5,0,260602527905,1943292466,優禧-诅咒中,2,保密,虽然没交过，但一局为了救挂在墙上的队友摔死两次……不过队友救起来了。结果这个队友撤离点玩磁吸炸死自己了,2025-04-28 17:42:27,0,0,,未知,否,https://i1.hdslb.com/bfs/face/16a8e1a0a2c6fbc1a53d8c9affa177be507711b9.jpg
6,0,260471844369,480094465,炜霜,5,女,上次拿红狼下顿 直接给我滑下去了,2025-04-27 04:02:46,0,0,这个人很神秘，写了什么，但是看不清。,未知,否,https://i1.hdslb.com/bfs/face/ffd31dca72b871d3c4c39f4e9c656dc53ce317a4.webp
7,0,261203220720,3494355996248633,等冬装桃实装,3,保密,@砂狼白子_由同学@毛线鸟awa,2025-04-24 17:46:26,0,1,,未知,否,https://i2.hdslb.com/bfs/face/8f611bbc35a24908177a9359fe12fe86586f0be8.jpg
8,0,259978234017,12129156,某不科学的水枪T,6,男,还好我在第一次下航天之前看过这个视频,2025-04-20 14:20:17,0,0,ꉂ ೭(˵¯̴͒ꇴ¯̴͒˵)౨”,未知,是,https://i0.hdslb.com/bfs/face/6932a99126938fb17b3538d6dc48e8897bb04b1f.jpg
9,0,260457157840,23143521,酱香老黄瓜,6,保密,没摔过 我都是瞄准了容器开的,2025-04-15 13:38:28,0,0,,未知,否,https://i0.hdslb.com/bfs/face/a7b642246c7107d545b0d5bfef06bf68109bcd24.jpg
10,0,260367837568,97034627,超爱DM,5,男,我确实没摔过,2025-04-14 10:53:57,0,0,这个软件太好用了。,未知,是,https://i2.hdslb.com/bfs/face/cc4e6d8ec3c98274aa1bfcabdf52b13c0c4b6e4c.jpg
11,0,259283768865,1814957278,Zqz是DSB,4,保密,上次在下面看到了两个被摔死的盒子,2025-04-11 22:40:45,0,0,,未知,否,https://i1.hdslb.com/bfs/face/a1e6bcbcdc045bcbc65adb044d125daeb85f34cb.jpg
12,0,259534434432,3494364493908130,楼主的的一生之敌,4,保密,手机端，崛起……,2025-04-04 11:59:02,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
13,0,258645393137,341104888,南冥旅人,5,保密,不是这视频里不是自己失误么[笑哭]还没走到箱子跟前就按，肯定是离得近的滑索啊，那个距离能不能有开箱子的提示都两说吧[笑哭]特别是按两下还往旁边扭个头跑干啥呢[笑哭],2025-04-04 02:15:04,0,1,美梦非梦,未知,否,https://i1.hdslb.com/bfs/face/8f98c18116631bdd1ec9c81cd6e38751fd09ae77.jpg
14,0,257306861249,13997995,为了欢笑为了流泪,6,保密,这个游戏不是所有滑索都可以按f跳下去的，只能说设计的有问题，让人在别的图习惯之后坑一手,2025-03-18 11:39:56,1,0,,未知,是,https://i1.hdslb.com/bfs/face/ccea1d413378ae2f70fe342c5551c29fb8beb62c.jpg
15,0,257171757969,1246892285,五八十二,2,保密,在这丢了五套[大哭][大哭][大哭][大哭],2025-03-16 15:32:19,0,1,,未知,否,https://i2.hdslb.com/bfs/face/c46fe783ac7a5291dac4773744b3d35d7cebd77f.jpg
16,0,256789726913,1327497290,正在努力的疯光,5,保密,带着这三个跳水冠军走遍三角洲视频连败一上午吃饭前一把看到这个给我逗笑了，没有牢疯光的地方记得艾特牢疯光，牢疯光会来的[脱单doge][脱单doge][脱单doge]（我喜欢花火）,2025-03-12 04:11:15,0,0,装死，不定期cos,未知,否,https://i2.hdslb.com/bfs/face/0d51f9f6430582bee3a3971920e4504497d3eb0c.jpg
17,0,257135139392,3493271980477239,Dr-七七,5,男,现在已经改了,2025-03-06 18:48:26,0,0,,未知,否,https://i0.hdslb.com/bfs/face/fa3a4264bcf36c99174d8e55ae52e42c8f443ce1.jpg
18,0,256839083408,35397615,-陆梁-,5,保密,没，根本抢不到,2025-03-03 04:39:09,0,0,,未知,是,https://i0.hdslb.com/bfs/face/a54c532266e43cc72ee7c3972fc1cc27060d22e3.jpg
19,0,255747501441,282890297,Re_阿莫,6,男,我还真没摔过，每次来这里吃个航空箱就下去了，上来的时候队友已经把小保险和医疗吃完了。,2025-02-27 05:22:10,0,0,"永劫粉丝Q群：925054354
微信：am0201xcm
新人主播，纯纯话痨。
主播公会勿扰。
微信也有粉丝群，想进微信群加我v。",未知,否,https://i2.hdslb.com/bfs/face/e8602a208bc1bffc92a2057a0ac87fcd386a5812.jpg
