序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262194704608,3537125767121223,秋M3,3,保密,@勺鸟 [doge_金箍],2025-05-06 15:10:50,0,1,我得了✋?✋MVP.！,未知,否,https://i0.hdslb.com/bfs/face/dcb16f9cb338c128707f296ce979f15f42cd5902.jpg
2,0,262139488112,506492548,他有病没救了,5,男,为什么不玩暗区[生气][生气],2025-05-06 01:39:49,0,1,,未知,否,https://i1.hdslb.com/bfs/face/4ac50748bef265478db050c13488e562bca05d37.jpg
3,0,262106240512,3546838600780720,老牢喻不吃鱼,2,保密,细节描写,2025-05-05 12:40:12,0,1,喜人up猪,未知,否,https://i1.hdslb.com/bfs/face/183bb8f9f0658ee79ae695a175f83f2d9adb2fcc.jpg
4,0,262097086832,3546858037185310,bili_59135242727,2,保密,三角洲的现状也是非常还原，抢航空箱的出生和三角洲的猛攻节现状,2025-05-05 10:52:23,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
5,0,262083122128,3494358951135931,狼崽要吃掉夜宵,4,保密,一眼知甲方,2025-05-05 07:50:50,0,0,,未知,否,https://i1.hdslb.com/bfs/face/6215a021d8b42946fd974b5b26862221b0c21ae1.jpg
6,0,262066332928,3546616099244633,醒虫虫,3,男,他已经放弃了视频的收益，完全沉浸在自己的艺术里面了[妙啊],2025-05-05 04:18:28,0,1,,未知,否,https://i2.hdslb.com/bfs/face/b2df758d7ad6ca36c8cc976ed35c9d2ffefdd8df.jpg
7,0,262033323648,1476034716,夺笋的竹笋,2,保密,注意分享数[滑稽],2025-05-04 15:58:33,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
8,0,262026381296,296724107,蓝魔普尔万PrwanSN,6,男,AAA碧月电竞,2025-05-04 14:41:20,0,0,该账号没被封禁中,未知,否,https://i2.hdslb.com/bfs/face/94ad0de887beabd68bf3b89d3db5f623e12dc89c.jpg
9,0,262022220208,3546623646894224,贝利亚之机械霸王龙,3,保密,这是什么游戏,2025-05-04 13:58:19,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
10,0,261083885889,3546896043870367,udhjiwvuge,2,保密,太真实了！！！！！！！！简直一模一样！！！！[笑哭][保佑][保佑],2025-05-04 13:51:20,0,0,,未知,否,https://i1.hdslb.com/bfs/face/56d92d6e4354e0e6fc2c63566cae5d4a045efaa9.jpg
11,0,262015243248,3493078390278715,暗区突围-老鼠入,4,男,为什么没有暗区😭,2025-05-04 12:42:21,0,0,Q群:806758054,未知,否,https://i1.hdslb.com/bfs/face/4752aad752fe48cc29e84685fcb19508c979a821.jpg
12,0,262012735952,3493090815904200,卖羊肉串的开朗,4,保密,暗区呢？,2025-05-04 12:13:45,0,0,,未知,否,https://i0.hdslb.com/bfs/face/75e017169da0ca3cafa19426b9ef855526013b78.jpg
13,0,262010311296,3546748104477525,和哪个吧军团副本,2,保密,💰,2025-05-04 11:47:35,1,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
14,0,261071961297,3546655626364994,半门冥绫,2,女,你懂我这个八宝粥玩家啊三个奶妈从旁边经过，都没看我一眼，奶妈在下面冲锋，冲锋兵在后边苟着,2025-05-04 11:36:15,0,0,一切随缘,未知,否,https://i2.hdslb.com/bfs/face/646350a22a350a28f8fee70ea3d59e5c0f8c3f6c.jpg
15,0,261070573713,3546619570030980,zaisius,3,保密,性压抑fps[吃瓜],2025-05-04 11:19:24,0,0,,未知,否,https://i0.hdslb.com/bfs/face/66acb969c02873e80333a75b38f00495ce9c4f0c.jpg
