序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,246098322833,1982980759,纸羊来喽,4,男,呵，没玩过公测隔着硬黑啊[妙啊],2024-11-05 15:51:35,0,0,,未知,否,https://i1.hdslb.com/bfs/face/99b079c9820d333ee68bc7902f860e265f0236a7.jpg
2,0,245283003089,145032266,随波逐流的抽子,6,保密,200米还不至于弹道下坠这么多吧눈_눈,2024-10-26 11:44:01,2,0,不幸从事艺术的苦命社畜～,未知,是,https://i2.hdslb.com/bfs/face/dd256e982462588d45b3831fe01275f90fccafb1.jpg
3,0,244760450977,1323510650,摆烂了谁爱起名字谁起,3,保密,怎么说呢？三角中行动他的摸金模式就是一坨屎，不建议去玩，但大战场还是不错。,2024-10-19 11:33:20,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,0,244704442400,512797843,沐汐_Aimo,5,男,看别人说三角洲那是内测版本的才有弹道下垂这么严重，我说呢，现版本我也在训练场打过狙击枪，下垂很小的，瞄头打的就是头，我还觉得这训练场距离不够呢，狙击枪测不出什么东西[笑哭],2024-10-16 01:34:36,0,1,梦里相逢人不见，若知是梦何须醒。纵然梦里常幽会，怎比真如见一回。,未知,否,https://i1.hdslb.com/bfs/face/52c244c520700a0ee929d9117605c0d84f3cf597.jpg
5,0,244492921265,1231205290,兰唁,5,保密,八倍镜的刻度跨度很大，建议用6倍或者3.5和3倍这些都有刻度数值，虽然放大倍率小点中远距离够用了。说这镜子还不如说他的弹道速度，非匀速运动的很难打，除非很近,2024-10-16 00:15:22,0,0,,未知,否,https://i1.hdslb.com/bfs/face/38f6605f1594facd8febe0873295220fa0b77f7e.jpg
6,0,244700403520,437496339,苦梨酒,6,男,不如我滋崩，滋滋滋滋滋滋，哎嘿我飞天[doge],2024-10-16 00:00:29,0,0,逆行全责,未知,否,https://i0.hdslb.com/bfs/face/3bd1dd667aa30b9cd43151b8f88ff8b30be36162.jpg
7,0,244492199841,253700366,见-为之酥,5,男,水弹,2024-10-15 23:54:19,0,0,这是个神秘人，你看不见他写的东西。,未知,是,https://i2.hdslb.com/bfs/face/bb604e08a900c27c46173357108b3fa7a6fcba98.jpg
8,0,244487672817,108828457,bili_108828457,5,男,屎游戏,2024-10-15 18:55:46,0,0,私人玩意就骂你怎么了,未知,否,https://i1.hdslb.com/bfs/face/a6b1dcfe9cc5344c9bb0377b851c013122417ad0.jpg
9,0,244487282721,3493077224261684,往昔不是freaks,5,女,战地五坦克弹道[笑哭],2024-10-15 18:33:48,2,1,"抑郁症休学，在网上找点存在感，汐汐
如果我说什么话惹着你了，你直接拉黑我就可以了",未知,否,https://i2.hdslb.com/bfs/face/43bb482b221bfb9d24d40771d485524442790ec8.jpg
10,0,244689898272,189579914,asdj1wd,6,男,三角洲那个弹速，隔个60m，都要打提前量，什么东西,2024-10-15 16:31:29,0,0,,未知,是,https://i2.hdslb.com/bfs/face/3ab7fa5993a70c1aeb016546983690b947be2088.jpg
11,0,244688860000,3493297349724711,神楽坂-Sakura,5,男,看不懂，玩vss的,2024-10-15 16:13:33,0,0,"水友群：878315032 欢迎来玩
原，崩，绝，鸣，狙2，MC，尘白，王者，红警
原神直播免费看号，帮清日体，打新老深渊
不定时更视频",未知,否,https://i0.hdslb.com/bfs/face/1e8e6e971b08b23e106f5755999a69e4fac7ecb0.webp
12,0,244681051600,581813913,陆尘kk,5,保密,三角洲的狙击枪确实是狗屎,2024-10-15 14:27:59,0,0,,未知,是,https://i0.hdslb.com/bfs/face/4dbe168247eb5f8ad6de0986142218caaec58d26.jpg
13,0,244462221137,523704498,静默丶思,5,保密,反正很垃圾 满改awm 跟投石机一样  我寻思 随便一把枪也没这么高的下坠  步枪都没那么高下坠,2024-10-15 11:36:42,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
14,0,244661933904,3546701426068038,相思的里奥917813,3,男,说的真好，奖励你去2042玩狙击枪,2024-10-15 10:03:53,0,0,脑袋长哪了～(￣▽￣～)~,未知,否,https://i0.hdslb.com/bfs/face/83000281d15b87baa54051729110ad2f6830b296.jpg
15,0,244656555760,627455419,是鑫垚不是欣瑶,5,保密,什么远古视频现在发,2024-10-15 08:42:08,0,0,永不凋零的牡丹花,未知,是,https://i1.hdslb.com/bfs/face/66a508b44dc50dd18cdfe34932dee6d0381c21a3.jpg
16,0,244433668753,670948576,unliminal,4,男,暗区突围和三角洲的冲锋枪射程跟水枪一样[藏狐],2024-10-15 03:37:25,0,0,摸鱼区小up,未知,否,https://i1.hdslb.com/bfs/face/0ea4fd55462287da192d34e24fd953cf389ffe3a.jpg
17,0,244637080016,213121132,得之我幸_失之我命_,6,男,你自己去打打cod战区模式的狙打出去是不是一条抛物线[吃瓜],2024-10-15 03:12:25,0,1,你说的对,未知,否,https://i1.hdslb.com/bfs/face/506dd6d4caf9f1219c4f2e8792df82b916279ea3.jpg
18,0,244422896769,1678255875,小花花号咔,4,保密,三角洲有风阻力。站到那个塔上面。明显感觉视野就模糊了。,2024-10-14 23:25:14,0,0,录制不易谢谢大家的支持！,未知,否,https://i0.hdslb.com/bfs/face/dc66b16102a4cfa2825c918ccec59c5708996dc9.jpg
19,0,244422836369,1952427852,清风Ic丶,5,保密,这游戏的狙也就at4和钢针能玩玩了[doge],2024-10-14 23:19:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e77846826409deb726154cfdd5abcaf064e182f4.jpg
20,0,244624197840,6695831,CandyZchi,6,保密,你一个狙300米都不如维克托有威慑力,2024-10-14 20:18:33,0,0,,未知,是,https://i2.hdslb.com/bfs/face/d0a8f5c7471cc2de2e0faf9cb81ba0671742eeaf.jpg
25,0,244622750096,1535661575,麦乐鸡不要鸡,3,保密,搞笑的是有一个人去采访工作室的人，说他们会去国外玩枪不是，我就想问了你说游戏跟现实有差距，可以理解但是弹道跟他妈撒尿一样，这就抽象了吧？,2024-10-14 19:24:44,0,0,,未知,否,https://i2.hdslb.com/bfs/face/c5e74b4d97e1b5bf9869d541fb166a86c953e9bd.jpg
26,0,244419600881,432300871,岌岌君,5,男,这游戏的炮是不是不能打远距离，上次玩用阵地炮打对面坦克，远了直接没反馈，让我一度以为我没估好弹道，后面打中距离我才发现打不了远处。,2024-10-14 17:25:11,0,0,,未知,是,https://i1.hdslb.com/bfs/face/8e91fc445081a0f66d4dbd83cf976f6767a3ce85.jpg
27,0,244418866433,11652777,渡濑季初kivi,6,保密,不是哥们   不看枪械射速初速什么的吗  游戏里这些一般都有参数   可以改枪[笑哭],2024-10-14 17:11:42,1,0,啦啦啦(～￣▽￣)～,未知,是,https://i0.hdslb.com/bfs/face/157ecdf42b8e90f10435c2587f5609e3d71d8e54.jpg
28,0,244617274784,556633031,就是离歌Ya,6,保密,头一次看到重狙打人身上一枪不死的游戏[捂脸],2024-10-14 17:09:54,0,0,CCG,未知,否,https://i2.hdslb.com/bfs/face/339ba29220b2b10c9e16f4485b57cceb59af8867.jpg
29,0,244418347409,9551551,福音探求會,6,男,30米就要拉提前枪的神器游戏。 横向移动不拉提前枪打不中,2024-10-14 16:57:53,0,0,个性不明不签名。,未知,否,https://i1.hdslb.com/bfs/face/6e79eff8e7f5a7f2c264c12df1eaaf62ba55290d.jpg
30,0,244416424465,6623899,力竭巴罗,6,男,镜子刻度很准 调个密位能玩,2024-10-14 16:21:19,0,0,,未知,是,https://i1.hdslb.com/bfs/face/c42833a8a88c1ac32fe6fd4df3bdafada319bd55.jpg
31,0,244415275697,543830160,J-11BS应龙,4,保密,这是内测的事了，双子就这样,2024-10-14 16:04:51,0,0,阿八，阿八，阿八,未知,否,https://i0.hdslb.com/bfs/face/f7e3e3f66cf95aae6d830344122c5ddbc91e3ec2.jpg
32,0,244610744048,177942121,Mr-慵懒,6,保密,我嘞个投石机,2024-10-14 15:26:35,0,0,,未知,否,https://i1.hdslb.com/bfs/face/becbbfb349120079bdd119c114ee18d8f6653749.jpg
33,0,244410055249,3493120205392095,帕姆诶,4,保密,我就说我特么三角洲大战场狙明明都拉提前枪打了总能打到人后面，我寻思我那个枪线拉的打暗区打和平都基本打得中，来到三角洲移动靶远一点是一枪不中[大哭][大哭][大哭][大哭],2024-10-14 14:53:27,0,0,,未知,否,https://i0.hdslb.com/bfs/face/bee521e950f4b7e586b752689f93d80d19436a5c.jpg
34,0,244408425585,91284056,清风丶来吧,6,男,现实中什么样,2024-10-14 14:32:47,0,0,,未知,否,https://i2.hdslb.com/bfs/face/0224e308b6f358d49d765b10c13406fdff8037ea.jpg
35,0,244407925569,647909773,-_-起名字好难,5,保密,战术的，拟真的，硬核的,2024-10-14 14:25:31,0,0,,未知,否,https://i1.hdslb.com/bfs/face/534afb8970237f1fea8beded04de8119917e44e7.jpg
36,0,244605586528,25665712,Bravo1-0,6,保密,这游戏不光狙弹道一个问题，糟糕的优化和逆天的bug让人觉得这游戏仿佛是个半成品,2024-10-14 14:25:19,0,0,,未知,是,https://i1.hdslb.com/bfs/face/ce3e198489af8f0fd36ef4d3ae2db71ec4fb88c5.jpg
