序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,259801707425,18214593,空凡子,6,保密,这是黑夜?这是雾霾模式吧。,2025-04-18 13:10:44,0,0,,未知,否,http://i0.hdslb.com/bfs/face/978e7e5fddaca4925618782a11ba8103c7a68ac6.jpg,Disgust
2,0,259690444848,517275673,有点忙413,5,保密,太有活了,2025-04-06 06:35:32,0,0,心如止水鉴常明,未知,是,https://i1.hdslb.com/bfs/face/fd5459901b33088c083394cf299f5c1950c46c3d.jpg,Joy
3,0,258718219265,16639880,花田遗憾文学毁灭吧,6,保密,弹幕里的云儿是真优秀,2025-04-04 18:31:08,0,0,,未知,否,https://i2.hdslb.com/bfs/face/6fdade8475357b9c05597f2837e792b08c9b87c5.jpg,Joy
4,0,258637854465,20164199,毛里毛气的毛毛毛毛,6,保密,是嫌我眼睛太好了吗？,2025-04-04 00:03:12,0,0,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg,Disgust
5,0,258619685393,323186090,RickGrimes,6,男,一眼假,2025-04-03 15:11:58,0,0,,未知,否,https://i2.hdslb.com/bfs/face/6fadf8982e6300de8d0ed9312b0d3fdbcc9f11ba.jpg,Disgust
6,0,259460272768,3813812,をりる,6,保密,不是，你凭啥能提前玩到黑夜模式啊[笑哭],2025-04-03 15:00:07,1,0,,未知,否,https://i2.hdslb.com/bfs/face/3c69d4479fc41308ed1a3671ba53ba59dbcd9fa0.jpg,Surprise
7,0,259460138640,328311333,Alan-32,5,保密,出个夜间模式，班主任一眼就可以看出来是哪个属鼠在玩三角洲了[OK],2025-04-03 14:58:14,0,0,,未知,否,http://i0.hdslb.com/bfs/face/9fd7cfc40713a191cf6b684587a643813d5f4fe3.jpg,Neutral
8,0,259427214592,12763931,开朗偷摸零,6,保密,黑夜说是,2025-04-03 08:29:32,0,0,打着游戏唱着歌的大厂逃兵,未知,是,https://i2.hdslb.com/bfs/face/64399f1da1523bfd6274f3ffecff3d7c0876d823.jpg,Neutral
9,0,259398692976,326272029,故理是故事的故,5,男,看一眼发布时间就知道不是黑夜模式吧,2025-04-03 01:45:49,0,2,查，随便查,未知,否,https://i0.hdslb.com/bfs/face/45787f9a4603dc093853a2c0ccf5a85ba2aa8cab.jpg,Disgust
10,0,258559178225,110923250,麻辣还是清蒸,6,保密,老黑偷吃佐娅瓦斯了[笑哭],2025-04-03 01:38:03,0,0,(◦˙▽˙◦),未知,否,https://i2.hdslb.com/bfs/face/3768b2998740d5e10ce77a2f5c0e3ea90b9f2ff0.jpg,Joy
11,0,259397788448,5274303,Motto白,6,男,这明显是左亚的致盲bug，不会真有人信了吧[doge],2025-04-03 01:29:47,0,7,有字就行,未知,否,https://i0.hdslb.com/bfs/face/b1d6fa96290d6d29f7ed95316159eb0b4d53472d.jpg,Disgust
12,0,258557103713,2266863,加强刻晴谢谢,6,男,恐怖游戏实锤[doge],2025-04-03 01:00:52,0,0,,未知,是,https://i0.hdslb.com/bfs/face/11628e2fe53b003d57177c95ee31b59f0bcb5777.jpg,Surprise
13,0,258557143489,32471369,EnjolrasABC,6,保密,弹幕里真有不少人觉得这是真的黑夜模式啊，绷不住了[辣眼睛],2025-04-03 01:00:04,4,63,,未知,否,http://i1.hdslb.com/bfs/face/bead01f7b793ab7cc860c7a17567cda27de4b2e3.jpg,Disgust
14,0,258556908049,34031199,Nezuk0,6,男,哪个老师教他这么做黑夜模式的[辣眼睛],2025-04-03 00:55:19,0,1,如果奇迹有颜色的话，那么一定是九色的！maki酱赛高！！！,未知,是,https://i0.hdslb.com/bfs/face/fe9dd2f96db42ea86ed9b7348786bfc2b316a01e.jpg,Disgust
15,0,258555883665,8734499,草草草草去,6,保密,单机不是有现成的黑夜吗 怎么到这就变生化模式了,2025-04-03 00:35:43,0,0,该账号封禁中,未知,否,https://i2.hdslb.com/bfs/face/9eee0beaf4a317144399900af56d148aa1179cf4.jpg,Surprise
16,0,259394730624,10048437,三个橘子y,6,男,叫烟雾弹模式算了,2025-04-03 00:31:53,0,0,大伙帮忙点点赞，给我爆点金币吧，谢谢大伙~,未知,否,https://i0.hdslb.com/bfs/face/235cde52c2ae43b394fa9aea459b36eee8c676aa.jpg,Regret
17,0,258553118129,1959487559,花散お,5,女,要不是画质这么高我差点就信了[doge],2025-04-02 23:27:32,0,2,,未知,否,https://i2.hdslb.com/bfs/face/b8fab1c03a8b820407c8cee07de213372b693b71.jpg,Surprise
18,0,258552682689,6854881,今晚月色很好丶,6,保密,不是这不一眼左亚烟雾评论区这么多看不出来吗,2025-04-02 23:22:33,1,2,嗯,未知,否,https://i1.hdslb.com/bfs/face/19ca2c40628ca8af83ba7c22fae23fc616753d1f.jpg,Neutral
19,0,259390881104,210228522,chistory_,6,男,三角洲联动黎明杀机的影魔了，影魔来开大了,2025-04-02 22:44:58,0,2,chistory,未知,否,https://i0.hdslb.com/bfs/face/cffa9daa4fa4445aa65224a94f2f629e08ecdc85.jpg,Expectation
20,0,259390121616,488760820,GetALife,5,保密,这算什么黑夜，也太敷衍了,2025-04-02 22:06:29,17,6,,未知,否,https://i1.hdslb.com/bfs/face/cc8a8ef469c2bab4b870b8d2602a8431517bc608.jpg,Disgust
21,259460272768,258625267745,1276508987,天下第一勇哥,5,男,这是BUG[笑哭],2025-04-03 16:29:49,0,0,,未知,否,https://i2.hdslb.com/bfs/face/8d7a0d1e4e87ac4604a5e8d5a5334eb1cfe393aa.jpg,Joy
