序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261840394160,3546719532877911,清河不是屑-小号,3,男,为什么这个首页这个是空白的一片呀？,2025-05-02 13:36:44,1,0,,未知,否,https://i0.hdslb.com/bfs/face/f3682821b15aa1fa5a350735e0014cbd1cd5721f.jpg
2,0,261813060416,616262149,好喝二维码,5,保密,唐B策划[呲牙],2025-05-02 07:51:15,0,0, (◍＞◡＜◍),未知,否,https://i1.hdslb.com/bfs/face/771114d6e08dcf120890f496729f5e45d996639c.jpg
3,0,260455131201,1480749882,Hi哪里有瓜,4,男,那个破壁保险里面的东西，我一个都没出 牛角女郎银币望远镜才是日常,2025-04-26 20:29:37,0,0,"你好，未来
共产主义实现了吗？

",未知,是,https://i0.hdslb.com/bfs/face/0641bc41f7f04c46f784d807a9880a45b3b4f810.jpg
4,0,261364139248,3546764063803722,很久才更新的小孩哥,3,男,无名能出一个长得像贝利亚的皮肤吗？,2025-04-26 16:07:57,0,0,,未知,否,https://i0.hdslb.com/bfs/face/075d7ec9f29fff30957c14d0d22046bd2c74057d.jpg
5,0,261364242224,3546764063803722,很久才更新的小孩哥,3,男,能不能改一下m14射手步枪后坐力。还有画质跟帧率画质有时网络不好卡成最低画质，帧数也一样,2025-04-26 16:07:10,0,0,,未知,否,https://i0.hdslb.com/bfs/face/075d7ec9f29fff30957c14d0d22046bd2c74057d.jpg
6,0,260392081697,159318879,Game_lemon-cola,6,保密,“别总当老鼠”,2025-04-26 04:09:15,0,1,提前祝你早安 午安 晚安,未知,否,https://i0.hdslb.com/bfs/face/d52d9be5575d083dc2009401d136496ba6a06872.jpg
7,0,260845414144,3546662391777629,支逝_狐狸,3,保密,救一下官方，修一下,2025-04-20 07:23:17,0,0,,未知,否,https://i2.hdslb.com/bfs/face/e74a25fb9c88bf768179d28905c01d6a1f99ed73.jpg
8,0,260845468000,3546662391777629,支逝_狐狸,3,保密,救一下,2025-04-20 07:22:59,0,0,,未知,否,https://i2.hdslb.com/bfs/face/e74a25fb9c88bf768179d28905c01d6a1f99ed73.jpg
9,0,259855118913,3546634694691693,三角洲随便,3,保密,@三角洲行动 请问官方大大，队友恶意抢夺资源，您是如何处理的？现在还有抢包仔，希望官方能重视[委屈][委屈][委屈],2025-04-19 06:35:06,0,0,随便,未知,否,https://i0.hdslb.com/bfs/face/76262a58676ba00524470f29b1ba3ad608cd2978.jpg
10,0,260432980880,43818314,4667643437657676,5,男,我建了一个三角洲的微信群 已经有几十个人了，谁想加，没事的时候可以一起打游戏，就当交朋友了 扣一包回 [呲牙],2025-04-15 08:05:43,1,1,,未知,否,https://i2.hdslb.com/bfs/face/57f792cf726ade2bf2cf9398a61c5a17c2c72511.jpg
11,0,259393701745,65418179,忘忆云,6,保密,喜欢限制撤离点的三角洲行动吗？利好普通玩家的常规巴克什直接删除捏,2025-04-13 05:27:38,0,1,离散终有时，再见故人来。,未知,否,http://i2.hdslb.com/bfs/face/990d5a0ace8745a5ee7329d0419eb630edcf3e20.jpg
12,0,260182935664,1945390917,bili_89033706594,2,保密,跟你们说离谱的，我保险一到期的下一把，立马出红了，我有保险的时候，一个红没有出过，全是小金，有时候小金都没有，玩机密航天一次红都没出,2025-04-12 06:58:47,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
13,0,259349088144,3494367889197938,LUCK_jz,4,男,cnm闪退怎么解决,2025-04-02 10:39:57,0,0,,未知,是,https://i2.hdslb.com/bfs/face/0584e41b00bcf00c97e877f659ff573b37c70422.jpg
14,0,258042820529,2014445786,射博不是谢博,4,保密,是本人吗,2025-03-27 16:53:18,0,0,何时才能小火,未知,否,https://i2.hdslb.com/bfs/face/07f0a2ff954c66993c5e3ae73279ab4de0077438.jpg
15,0,258482257632,1980089412,忧郁の学生党666,3,男,好期待 赶紧上线吧[星星眼],2025-03-23 05:14:02,0,1,吴迪了,未知,否,https://i0.hdslb.com/bfs/face/0a7536a5fc62b6a56744a16165d8373d852fe792.jpg
16,0,257446717809,586709875,中谷酱,5,男,【三角洲皇帝圣经-哔哩哔哩】 https://b23.tv/r7a6pa3,2025-03-20 09:43:35,0,0,全力工作，全力生活,未知,否,https://i1.hdslb.com/bfs/face/d7812e9be9dc83ed7290f0333f28c19cd3577199.jpg
17,0,257699490208,372643800,星羽高杖,6,男,玩点好的 喜欢我航天堵桥和堵闸谁都别撤吗,2025-03-13 17:07:10,0,6,这凯隐啊 他就是路边的一条野狗啊,未知,是,https://i0.hdslb.com/bfs/face/4f70acfdae751444c7183e6e1cddffdad8ec50e5.jpg
18,0,256759660544,2056740724,晟焱555,5,男,幽默,2025-03-02 06:07:51,0,4,1！5！,未知,是,https://i1.hdslb.com/bfs/face/b576df02f20fe4c61ed13bc749c1136c5b236e43.jpg
19,0,255723194481,1127863267,Tw1nkling4tDawn,5,保密,玩点好的,2025-02-26 19:09:11,0,0,￴￴￴￴￴,未知,否,https://i1.hdslb.com/bfs/face/c81514f364611d9357a812dd23b53d60cd9abb1f.jpg
20,0,256196602896,1276534343,是晓Y吖,5,保密,孩子们，别总当老鼠,2025-02-23 12:56:50,0,3,,未知,否,https://i2.hdslb.com/bfs/face/cbfac8e9f3d512e78e85c5bdbf16666a52eec6a1.jpg
23,0,255875464400,499792607,陈沐夕5,5,男,大学生三角洲行动代肝哈弗币7:100纯绿代肝，需要请私聊,2025-02-20 02:19:03,0,0,三角洲代肝哈弗币,未知,否,https://i2.hdslb.com/bfs/face/01b79b464f5efe6c459e2ec74225305f3b42af45.jpg
24,0,254446132801,3546707528780559,bili_95349199895,3,保密,削弱盾构,2025-02-12 01:44:11,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
25,0,254335429649,1890547456,回调死鼬一技能,5,保密,玩这个游戏最后悔的就是用steam登录[大哭],2025-02-10 18:52:06,1,3,魔方加强秽土鼬,未知,否,https://i1.hdslb.com/bfs/face/adb48883b1991d20762f9bf8237544f22fa78813.jpg
26,0,254686716544,651808447,唠儤孔圣人,5,保密,最好是改一下画质,2025-02-07 11:55:51,0,0,,未知,否,https://i1.hdslb.com/bfs/face/ebf62f60200fb37c95ca2a9c09f6841cb6bd1c5d.jpg
27,0,253916820481,2111519956,量能守约,5,男,"我的平板配置不行，画质只能开到标准，细节就是纸糊的[笑哭]
不过这样也好，没有眼花缭乱的细节，更容易找到人了
标准画质也能看，不细看就行",2025-02-06 10:26:06,0,0,"2009二次元咕咕～～
177( ´ ▽ ` )ﾉ",未知,是,https://i1.hdslb.com/bfs/face/09d538d5db11cffc60c7c94b0791fdb831083a4d.jpg
28,0,253760104609,1655390480,-Variations,5,保密,ps5会上吗？,2025-02-04 15:30:25,0,0,这个人很神秘，什么都没有写～,未知,否,https://i2.hdslb.com/bfs/face/83b4740403bc32cb22c45a89f1b73a11714e2794.jpg
29,0,254161767568,1120130005,不知道怎么豆蒸屑,3,保密,？？？啥都没干,2025-02-02 03:26:27,1,0,是一个肤浅的入、迷茫的入、矛盾的入，偶尔也是一个热忱的入、吉列的入,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
30,0,253870898672,3546684900509821,萝卜肉丝鬼,3,保密,那个说硬核的某7早早联动奥特曼了。,2025-01-30 00:56:00,4,0,,未知,否,https://i1.hdslb.com/bfs/face/3128c1610731c27f429b3289423fbabcf21c533f.jpg
31,0,253040674449,2006065368,在下猫也c,4,女,10r200w，纯绿可直播，3*3也接,2025-01-27 17:15:31,0,0,不定时直播，想玩就播 ?企鹅：2241551896,未知,否,https://i0.hdslb.com/bfs/face/90250ae313920cc838e1b8e9c72e720cce4e5b92.jpg
32,0,253431460176,666408223,反驳默认你对,5,保密,@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧？@三角洲行动 你是不打算回应手机端键位事情了是吧,2025-01-25 09:48:35,0,1,,未知,否,https://i1.hdslb.com/bfs/face/32b1303ac84c389c51accbf6c2f21cd983941fb7.jpg
