序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260818363281,2098199750,丌㐀,5,男,大兵需要拯救,2025-05-01 12:43:23,0,0,,未知,否,https://i2.hdslb.com/bfs/face/4dd968a132176f3928b17d90bf5ab503e4354458.jpg
2,0,259855166337,23430684,幽篁一叶,6,保密,陪玩出来以后这弹幕也挺大病，闲的慌了在那儿说人家是不是变声器，你们到底来看啥的？看有没有变声器？,2025-04-19 06:36:41,0,0,欢迎来到大型免费移动猴山，请有序观猴，各位猴请有序进入评论区，随意施展猴戏以供游客观赏。,未知,是,https://i0.hdslb.com/bfs/face/1d36330faeb81406d452c5007e9e739ffa58c123.jpg
3,0,259704083297,398957471,SCA-351,4,保密,呃，我已破产,2025-04-17 08:15:56,0,0,战术,未知,否,https://i2.hdslb.com/bfs/face/c9398bf09c6adda1900db7b6b2d2b5bdb2d7f8b3.jpg
4,0,259510927281,43480299,爱吃小羊抹茶味,6,保密,"很抱歉打搅大家看视频，高中生纯手打绿玩，经济紧缺
10r--100W
26r--300W
38r--500W
60r--1000W

首单特惠6r--100W，28r--500W（绝不动仓库，装备全手打，红全留，顺路做任务，摸大红超出金额也一并带出）有意请私信我，随时在线dT-Tb",2025-04-14 15:07:49,0,0,哎嘿嘿,未知,否,https://i0.hdslb.com/bfs/face/60d5a3a457870f44d1105f420db32c3f386fa4f3.jpg
5,0,259392435393,452258673,伥鬼乆乆乆,5,男,962884762三角洲撞车免费聊天群，不是卖的,2025-04-13 05:11:11,0,0,,未知,否,https://i0.hdslb.com/bfs/face/92c4e1ced30ca817acc3d06aaf5b6979d5e914c9.jpg
6,0,259310622289,1753568592,玩MC的薛定谔的猫,4,男,我也要扶贫[大哭][大哭][大哭],2025-04-12 06:13:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/355f3587178a6656248a0a6df449a94d7cce76c7.jpg
7,0,259583607904,75040145,闲的l,6,男,我很纳闷怎么跑没钱的？[笑哭],2025-04-05 03:48:20,0,0,哒哒哒,未知,是,https://i2.hdslb.com/bfs/face/dd4422155de44d63fd0b26cf2dcf18730116bb03.webp
8,0,258428908289,1965133576,死亡又有何惧,5,保密,[哦呼],2025-04-01 10:12:19,0,0,,未知,是,https://i1.hdslb.com/bfs/face/7d819917db8c0e96444cf13ec5eb67a92f403b8a.jpg
9,0,258287569553,3546748958018370,bili_35066449878,2,保密,88824可以拯救一下吗？,2025-03-30 14:24:16,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
10,0,258000147201,3546685317843874,成为高尚的0吧,4,男,蹲一个人带带我，我出6套，你自己改枪，打到什么都给你，我吃剩饭,2025-03-27 07:16:01,1,0,难铜     0,未知,否,https://i1.hdslb.com/bfs/face/fa5266ae2a5da027f3c299b789e6c2886d05ff85.jpg
11,0,258453776480,266275619,你说想去看看海,6,保密,我草今天这个号是我队友,2025-03-22 18:57:29,0,0,今晚怎么又少了150币,未知,是,https://i2.hdslb.com/bfs/face/72d80a3c7f206da0888cc3b1f7f2e5abbce4253e.jpg
12,0,257209024145,24167298,只为有声回呼,6,保密,好奇为什么老有弹幕讨论是不是变声器的问题[喜极而泣]吃太饱了吗。,2025-03-17 06:16:23,0,0,一个包装精致的箱子足以用来欣赏，你未必需要知道它可以被打开。,未知,是,https://i0.hdslb.com/bfs/face/7a56d3aebeb56d8a08c7dbc68775baf1ca193fdf.jpg
13,0,257183831569,482797278,鑫君つ,4,保密,老是有人纠结变声器，给我整笑了。,2025-03-16 21:04:41,0,1,,未知,否,https://i0.hdslb.com/bfs/face/3591826919d800887d10ae795ceaf8a6b2949f87.jpg
14,0,257128659457,277357154,洺克王国世界官方,6,男,这个主播没老六强，没5套不会打,2025-03-16 06:30:44,0,0,,未知,是,https://i2.hdslb.com/bfs/face/17f3fab0697c8e6b03452552b866ba6b3477677f.jpg
15,0,257072384881,3546844844001583,叶噶,2,保密,我70万，能不能帮忙,2025-03-15 13:48:39,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
