序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261240395713,3493292031347251,阿萨拉卫队长官--雷斯,5,男,今天语文啥作业,2025-05-06 12:40:38,0,0,,未知,否,https://i1.hdslb.com/bfs/face/878cbdbc8b49cab48d16be6762db72d67e876b20.jpg
2,0,261163983841,3670154,花洛离,5,保密,你们都打到老太了我还在小兵卡着,2025-05-05 12:11:37,0,2,没有，g,未知,否,http://i2.hdslb.com/bfs/face/dfefac0483d00767340af6dcc4f5efb7ef98d560.jpg
3,0,261111920497,1973636962,JB007狂想曲,5,男,这怎么能允许呢 一个安全总监要狙击步枪干什么,2025-05-05 00:37:17,1,2,"Who knows,who cares",未知,否,https://i1.hdslb.com/bfs/face/0b4ec5aae4d9093df3d3c98a697a46fbb0d1d3e5.jpg
4,0,261099223233,3493298134059081,回到相遇的时刻,4,保密,这算什么，我有次玩的时候接了飞升，已经到火箭那了，队友被核心区老太两枪打倒,2025-05-04 16:52:43,0,1,,未知,否,https://i0.hdslb.com/bfs/face/e9a40f9894a35b9906a974e8497bf07e07d5d3c5.jpg
5,0,262014045216,1951646903,三逆光,5,保密,在这被抽到过两次,2025-05-04 12:28:49,0,1,快初中了,未知,否,https://i2.hdslb.com/bfs/face/5711b76aae0d59df91ebd0b4f190a9813d780825.jpg
6,0,260805209857,12376754,喵呜大王吖,6,保密,牛魔，队友在火箭后面躲着探了个头，被在核心的老太一枪放倒[笑哭],2025-05-01 09:51:53,0,1,  人称:诚实可爱小郎君，一尘不染美少年,未知,是,https://i2.hdslb.com/bfs/face/654f9c940c85d4f397dfca281ce256b3a7e0ea7f.jpg
7,0,260698840993,50016156,-嘉有小然-,6,保密,之前走飞升一个队友还有一条命被老太在核心狙死补掉了[2025嘉然的画册_无言],2025-04-30 03:52:22,0,1,摸了,未知,是,https://i0.hdslb.com/bfs/face/192dfc1f4c05f4d749db37b1bf621736568eeba3.webp
8,0,260582026961,455869995,只会抄作业の屑,6,保密,前天最神人的一把，全图被老太还有战车清了，只有一队飞升撤了，我们队就是两个被战车杀了一个被超雄机枪哥扫头亖的[笑哭],2025-04-28 12:45:03,0,1,只会抄作业的屑人,未知,否,https://i0.hdslb.com/bfs/face/30bfa95c904472314e389949bbab2122802bbd88.jpg
9,0,260259332145,1053027061,曦曦是菜包,5,女,二号在桥上，我躲在发射区这个箱子后面，被花园老太连着狙倒[Ave Mujica_愉快],2025-04-24 10:19:30,0,3,,未知,是,https://i1.hdslb.com/bfs/face/157eb74b9fb9ab358239f25184b46cf55eb989fb.webp
10,0,260835660016,1165905935,Extreme-Pain,5,男,牛魔的飞升这把刷个空投我跳一下去吃空投就被爆头了 都没看见刷没刷老太[大哭]就是up这个位置刷的空投,2025-04-20 05:15:16,0,3,What a ridiculous,未知,否,https://i2.hdslb.com/bfs/face/a8e5aa040b33d74abcd60f80de7fa5ca759a2222.jpg
11,0,260817125168,375549819,包仔515,6,保密,上次走大桥去飞升 都走到脸上了我才看到战车 老太离我二三十米 赶紧给她爆头秒了,2025-04-20 01:22:31,0,2,,未知,否,https://i0.hdslb.com/bfs/face/c6219e4880764518d01c5fc26756473984eb0a48.jpg
12,0,259745452753,574572089,雨泽爱芙芙,5,保密,你怎么知道我在火箭撤离点那边差点被核心区老太灭队了,2025-04-17 19:22:27,0,2,,未知,是,https://i2.hdslb.com/bfs/face/c1f5e58ccfa2ded49f68f0a92535228d446755d9.jpg
13,0,259668110593,21697671,电脑小杰,6,男,[辣眼睛],2025-04-16 16:54:45,0,2,雪是心中愁，风吹少白头。（欲买桂花同载酒，终不似，少年游）,未知,是,https://i0.hdslb.com/bfs/face/1d297087d54fe7121283846e21d7294036d28b39.jpg
14,0,259350424625,690083895,B站改名真贵,4,保密,以前只玩大坝的我看不懂，现在已经被抽了[笑哭],2025-04-12 14:43:57,1,3,高碗排队+爱慕希万家，所有评论纯属自我观点，有什么不对的可指正,未知,否,https://i0.hdslb.com/bfs/face/63adc53f130dfaf12c58a7ea2e02c3368a12d280.jpg
15,0,260034304992,403509843,深海绿gou咯,6,男,今天刚在飞升被花园锁了16分钟[无语],2025-04-10 11:24:21,0,2,,未知,否,http://i0.hdslb.com/bfs/face/f084eb1bf754fb15edca0534e576725741603e4e.jpg
16,0,259948289120,22845142,北览故里,6,男,发射区桥上面从断桥上面那个发射架到最上面那两个物资堆老太差不多是全覆盖[辣眼睛][笑哭],2025-04-09 10:28:10,0,1,,未知,是,https://i1.hdslb.com/bfs/face/c4cfbbcd9e0326ba1743a47479502abd1707e315.jpg
17,0,259948186352,22845142,北览故里,6,男,发射区的老太和核心区的老太根本不是一个强度的，发射区老太有手随便打的核心区那个才叫恐怖。打发射区老太等于就只打老太打核心区的还要面对机枪车和自爆车[辣眼睛],2025-04-09 10:26:43,0,1,,未知,是,https://i1.hdslb.com/bfs/face/c4cfbbcd9e0326ba1743a47479502abd1707e315.jpg
18,0,259847552384,3537106557209516,-电报-,3,保密,我做飞升的时候被打过,2025-04-08 04:57:47,0,1,,未知,是,https://i2.hdslb.com/bfs/face/0b527fe5dc03ea66e9d2c088a7261c2b8c5dc9cc.jpg
19,0,258904360961,502189685,我还是比较强的好吧,5,保密,之前刷西区大门复活点，老太直接狙我，我搁那吃子弹箱[笑哭],2025-04-07 02:46:39,1,3,我这人向来神秘什么都不说。嘿嘿。,未知,是,https://i2.hdslb.com/bfs/face/dfdc6e5a01a2e4577b6de5efb8ad378a948dcd31.jpg
20,0,258833795217,3282683,山楼海橘的黄昏,6,男,刚从沙地进中控楼，发现花园牢太在中控里面的沙发上叫了个空袭。[2024明日方舟音律联觉_迷茫],2025-04-06 05:13:01,0,1,团结、勇气和至死不渝的忠诚是人类最美的赞歌。,未知,是,https://i2.hdslb.com/bfs/face/4e8988e5750f57dba6ecfcd72cb48c451206236a.jpg
24,0,258804915345,177146672,自颂独舞,6,保密,难绷了，刚在中控和人打架突然被核心区老太一枪头干没了,2025-04-05 18:20:53,0,1,騾吶蟇蟆大･ｳ縺溘,未知,否,https://i2.hdslb.com/bfs/face/add2e88883ce1a35cc4a227ffdb6672447b8e34a.jpg
25,0,258739272433,137453897,琴默千弦Fpv,5,保密,我又一次复活在发射台，md，27秒速通绝密航天,2025-04-05 04:16:09,0,1,一个会时常打游戏的奇怪航模飞手,未知,否,https://i2.hdslb.com/bfs/face/457ba36fb96d885f47547ae6cddda65617b8c47d.jpg
26,0,258739272401,137453897,琴默千弦Fpv,5,保密,我又一次复活在发射台，md，27秒速通绝密航天,2025-04-05 04:16:09,0,1,一个会时常打游戏的奇怪航模飞手,未知,否,https://i2.hdslb.com/bfs/face/457ba36fb96d885f47547ae6cddda65617b8c47d.jpg
27,0,258590176817,160199362,乐丨兮,5,男,我碰到唐人局，到结束都没人打核心区老太，有队鼠鼠接了飞升，那个花园老太小车一直对着发射区狂扫笑死我了,2025-04-03 09:18:33,0,1,,未知,是,https://i1.hdslb.com/bfs/face/c16aa600edf5f4bc25c90ec1f4ec6e5f5170f77f.jpg
28,0,258312377681,384369397,一只鸽子-z,6,男,牛魔的，有一局开局复活发射区，我先上左手边二楼看看西大刷没刷人，也没开枪，刚看了几秒钟牢太在花园一枪就把我头盔干碎了，我的队友也被超雄盾兵两枪打丝血，开局两个大残[笑哭],2025-03-31 01:28:28,0,1,,未知,是,https://i1.hdslb.com/bfs/face/57f721a50f0531227c633eb7cb9a40180d576828.jpg
29,0,258603819808,265214130,一个舔狗,6,女,甚至小车也能打到，断桥清人机慢了有可能被暴打,2025-03-24 14:05:16,0,1,,未知,否,https://i0.hdslb.com/bfs/face/aca2c5a33cba14ed9072ce3caaaaf726aa895f7a.jpg
30,0,257782535153,695772868,天寒桑,5,男,被狙里夫人吓哭[怪怪小黄豆_害怕]@落空晚上吃什么 @_Elysia_- @梅狸猫sz @本-比格冷门信仰玩家 @DDD是水怪 @米桃七分糖 @时光短火 @ZHE_阿笨 @碧隔- @山茶桑z @Gargok,2025-03-24 11:26:50,3,2,"夫徵孟的激推
嘿嘿..李徵小可爱的猫爪爪，嘿嘿..那白白嫩嫩的猫垫子..好想..嘿嘿嘿..好想..",未知,否,https://i1.hdslb.com/bfs/face/e7f2ad9a3ee0f8f9a1005e8bd84e13987bd0f1aa.jpg
31,0,258551816624,278253100,丨悲欢丨,6,保密,在想我的事？,2025-03-24 01:49:19,0,0,一个有好多想法缺迫于技术力不足而做不出视频的up主，等我学剪辑(›´ω`‹ )，大家想看更多有趣的视频就请先关注我吧٩( 'ω' ),未知,是,https://i1.hdslb.com/bfs/face/d6ae28eb4ab57cb9c20c3eb1a201f57070d633f9.jpg
32,0,257727566497,411157071,忻慕里,6,保密,你这这不算啥，我飞升做到还剩1分钟的时候，我就在火箭坪上面，被花园的老太一枪打头打死了,2025-03-23 16:03:41,0,1,,未知,是,https://i0.hdslb.com/bfs/face/74112070df78befd070e9c5f2d9a43cfae515959.jpg
33,0,258448540320,506934725,1米5仙人-魈,5,保密,你说得对，但是我在发射区都快走了给我抽死了[辣眼睛],2025-03-22 16:56:57,0,5,,未知,否,https://i2.hdslb.com/bfs/face/2758b4b696fd620a4493c57bee9351c875109d28.jpg
34,0,258255095904,2163142,倚山觀滄海,5,男,[笑哭]刚才保险过期我就想着挂机一会再丢包  结果   只有老太的声音   我丢包撤了  没人拉闸没人飞升,2025-03-20 12:19:40,0,2,,未知,是,https://i1.hdslb.com/bfs/face/7bbd1be000825d505442f46e78f623a3f37733f9.jpg
35,0,257343204593,15173083,恰柠檬茶吗,6,男,这算啥  别说你这个位置了 飞升那个平台我都被狙过 不过一枪死不了  好像是只打身体大概三枪才能死  不过小车就很猛了  瞬间能给你打成大残没错 发射区平台小车也能锁到,2025-03-19 01:17:42,0,1,无趣 柠檬茶都不敢叫了,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
36,0,257943544432,3546815137844110,骤降卍解,2,保密,怎么在战斗的时候打开背包啊？,2025-03-16 12:23:16,1,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
37,0,257078656705,3493083127744966,psjnlsohXOX,5,保密,挨过,2025-03-15 14:56:39,0,1,////////////////////////////////////////////////////////////,未知,否,https://i1.hdslb.com/bfs/face/1cfbf0edcc92870eb56d0964f38bd9c5eeb7075e.jpg
38,0,257051578641,1106579373,白嫖怪不白嫖wwww,5,保密,无敌了老太[tv_笑哭],2025-03-15 09:50:18,0,1,,未知,否,https://i0.hdslb.com/bfs/face/78fbe789c3fa4af216966d8f520e51e173cdddbf.jpg
39,0,257722204640,210887133,星籁歌姬-萨勒芬妮,6,保密,在中控二楼入口位置被主楼牢太的小车给扫死了，就逆天的索敌,2025-03-14 04:01:38,1,1,关爱咸鱼up主(ﾉ≧∀≦)ﾉ,未知,是,http://i0.hdslb.com/bfs/face/d4c92fff2786abbe714fb6a42cc9b54a1121c875.jpg
40,0,257684915536,265214130,一个舔狗,6,女,小车能从核心老太平台打到桥下的人,2025-03-13 13:57:24,0,1,,未知,否,https://i0.hdslb.com/bfs/face/aca2c5a33cba14ed9072ce3caaaaf726aa895f7a.jpg
41,0,256832319793,23961170,粉丝最爱吃粉丝,6,女,"开局牢二出油直接刷吊桥等飞升，结果飞升做一半老太突然给我抽死了，我之后特意去标点看了下，隔了400米……
    好在不是第一桶，不然真得骂街了",2025-03-12 14:25:09,0,2,现在就好,未知,是,https://i2.hdslb.com/bfs/face/049c23f9769a454149df570fa1e71e0b9b48f43e.jpg
42,0,256497903921,53422489,快乐的南极企鹅,6,保密,我经常在花园打做飞升的人。,2025-03-08 09:56:59,0,1,,未知,是,https://i1.hdslb.com/bfs/face/b019f576f173a120e6d5ea6a09652c380a3d3f14.jpg
43,0,257226948960,3546640151480642,喷喷老师你该死啊,4,保密,我和超雄老太对过狙，打赢了[打call],2025-03-08 01:27:05,0,3,,未知,否,https://i2.hdslb.com/bfs/face/ac74bfda3b5dd210351a1b7b55bc39592f1937bc.jpg
49,0,255647711233,22601259,鲨鱼白喵,6,男,原来大家显卡温度都那么高的嘛，我的2080都84度了,2025-02-25 21:26:47,12,77,交通运输爱好者/摄影爱好者/大陆旅行家，使命召唤苦手，购入16/19金库，永远热爱COD但对动视犯病行为绝不姑息,未知,是,https://i0.hdslb.com/bfs/face/17ee3c92c02cd6ea60a9ec16f18003bce8929510.jpg
50,0,256224312272,85302502,鼠鼠来送米咯,6,保密,共情了，我上次出油想去飞升也在这被揍死了，还是机密，我的更离谱，小车先锁我两枪，然后老太一枪头送我回特勤处[捂脸][捂脸][捂脸],2025-02-23 23:10:12,0,1,,未知,是,https://i1.hdslb.com/bfs/face/97eee1136dd696f46515b3c55bfb55b559583994.jpg
51,0,256135799344,400429009,老毕登才支持禁摩,5,保密,别拿镜子瞄她，会很悲剧。,2025-02-22 23:25:58,0,1,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
52,0,256121137312,397319438,梦幻精灵L,5,保密,我被打过,2025-02-22 16:07:16,0,1,,未知,否,https://i2.hdslb.com/bfs/face/bc7201fff5a101b7bffb6ea4267852cdec1ab25d.jpg
53,0,255138755377,28879355,坂田吉玲,6,女,是的，我是蜂医硬是吃了老太的5枪头，然后激情对狙,2025-02-19 15:16:03,0,1,评论区up主,未知,是,https://i2.hdslb.com/bfs/face/b7937e08516598119491bf5619c20d02bd5378bb.jpg
54,0,255117152145,399301183,唯唯诺诺的全彩画师,5,保密,烽医来了就跑了,2025-02-19 11:06:29,0,1,日常游戏集锦+美式游戏鬼畜。忙着写沟槽的AI，要死。,未知,否,https://i1.hdslb.com/bfs/face/56c094802a01365a7aaadb6ecd1ce0427a4c0abb.jpg
55,0,255821234720,3546577524230401,半天夏天的半夏,4,保密,奶奶：孩子们放心做飞升，我不在发射区。奶奶：骗你的孩子们，不在发射区我也能狙你们[doge],2025-02-19 10:00:38,0,13,,未知,是,https://i1.hdslb.com/bfs/face/cd78e621cb12941d04367a19dcad2609fadada10.jpg
56,0,255738090176,34519412,泠鸢你傻,6,保密,刚才接飞升，趴下来摸火箭仓，刚起身就被核心区牢太一枪头带走了。我全程没惹过牢太仇恨，裤裆一个留声机一瓶香槟，胸挂里六七个小金。,2025-02-18 10:44:17,0,3,泠鸢yousa单推人,未知,是,https://i2.hdslb.com/bfs/face/45061ef378c14638ee03c5665be06f81a1fa2c85.jpg
57,0,255654562656,3546683377977531,一无所有糊涂蛋,4,保密,像我这种绝密kd干到0.14的，老太根本舍不得打到我。[笑哭]只要不是太背我能顶着老太跟对面打架。偶尔莫名其妙刚到中控吧台就被抽死当我没说。,2025-02-17 11:06:27,1,84,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
58,0,255607844208,1338638833,久命卷柏,5,保密,[辣眼睛]现在版本更离谱了，我开局去抽西区大门的从上面走的，走到一半突然开始缓慢掉血，一次就掉一丝丝，哦，是战车，然后砰....我就噶了[笑哭]草。现在这版本中央区打发射区锁的更厉害了,2025-02-16 21:23:56,0,1,从童年起，我便一个人，照顾着历代星辰。,未知,是,https://i1.hdslb.com/bfs/face/8843dccfac2f809e481fb46148a83e3b763d2c98.jpg
59,0,254726198929,1899471887,德贰塔,4,保密,主播你声音好像lbw,2025-02-15 00:27:10,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
60,0,254672299505,1784115462,天空不属于哈夫克,5,保密,你好像还不太清楚天空属于谁,2025-02-14 09:43:54,0,2,,未知,否,https://i0.hdslb.com/bfs/face/9edc61f07c0525771a9304fbf56799307b7d05d6.jpg
61,0,254572614273,290450899,防弹钢板四五姐,5,男,昨天有个cs队乌鲁鲁堵桥，结果被中控的奶奶搞掉两个，笑死,2025-02-13 08:06:42,0,2,我就是懒得写而已～,未知,是,https://i1.hdslb.com/bfs/face/ddd71ee3fe79ff5381e869f2b700c02eb6c80462.jpg
62,0,254520474609,380046687,流念咿呀,6,男,老太真的越来越喜欢了，队友全死一个人在飞升桥上孤单寂寞，还好有老太陪我，直接430m爆了老太，得吃200w飞升撤离[doge],2025-02-12 15:22:02,0,2,"只是一个喜欢刻晴的普通玩家罢了
",未知,否,https://i0.hdslb.com/bfs/face/877bc41adaf211e3bde805a3e124716ecde0d975.jpg
63,0,254386172497,4027171,二次猿丶贝蕾亚lol,5,保密,我在火箭发射台站着吃火箭箱，被核心区老太一枪爆头了[doge],2025-02-11 09:40:47,0,1,二次元，二次猿,未知,否,https://i1.hdslb.com/bfs/face/8b9affe3a76772d32a2660c00a851dba271cd25c.jpg
64,0,254297865729,316476889,欧门先生的咖啡,6,保密,我在中控楼旁边的沙地被老太狙死过，我当时牢大位刚到在准备打架还以为屁股被偷了，结果一看右上角直接懵了,2025-02-10 11:04:39,4,10,,未知,否,https://i1.hdslb.com/bfs/face/6504214252f271f26ce23b3a8a0a0d1c2fae3849.jpg
65,0,254288180801,3546735943093178,啊哈鳄,3,保密,上次我在直升机撤离点的上面，准备先架一下，最后几秒撤离的，结果老太一枪差点没把我臭死,2025-02-10 09:21:36,0,1,,未知,否,https://i2.hdslb.com/bfs/face/8a8520517d6187199638d08d530afcdaf3a17318.jpg
66,0,254493555504,16508206,shadyaftermaths,6,保密,宿舍2出来看队友要去开西区大门，想着站那等一下看看宿舍一，然后被发射区老太一枪打头[无语],2025-02-05 12:09:34,0,1,,未知,否,http://i1.hdslb.com/bfs/face/6f84578830665377d73289f884ae04d0cf560886.jpg
67,0,254416106752,506357622,重型舰载机巡洋舰,6,保密,我有一次就是做完飞升就被牢太狙死了,2025-02-04 15:24:20,0,1,ⓘ该账号已被封禁,未知,否,https://i0.hdslb.com/bfs/face/5e34dc8f5cfd0b712106461a400b6358acdd87f9.jpg
85,0,254216721776,3546756451142517,小幽灵you,3,男,冷知识是即使你在火箭那里露点头，也会被秒本人被试过，但是没有截图了，因为S1的事了,2025-02-02 14:02:27,0,1,,未知,否,https://i0.hdslb.com/bfs/face/56beec7c69ce065574e2f37b6589dd4c63eceb47.jpg
86,0,253542608833,190645997,CHvuhds,5,男,"靠,之前也是,我和朋友第一次进航天就接了飞升者,在那个地方我被不知道人在哪里的老太抽了一枪都干出状态异常了",2025-02-02 09:34:38,0,1,I hate nope,未知,否,https://i2.hdslb.com/bfs/face/5bece0aabce71560cec44135ee71e83c66e5e892.jpg
87,0,254191823504,26543949,让我来简单汪两句,6,保密,有一次和队友清图了去接飞升被老太灭队了,2025-02-02 09:22:16,0,2,UID:26543949,未知,是,https://i0.hdslb.com/bfs/face/cb027132a2df4b14077da18420f3059b99950fd6.jpg
88,0,252994858049,3537116157970464,乌撸鲁,3,男,多努力呀，老弟。打不过就菜菜就多练。老子的战车近战，随便秒你ヽ(‘ー`)ノ,2025-01-27 08:33:38,0,5,,未知,否,https://i0.hdslb.com/bfs/face/116f6c0a8aefe65f17befd44ef5e594d16460c97.jpg
89,0,252918431201,3546722617789077,喜欢射队友的蜂医,4,男,"闪电3-1，启动火控雷达，确保吸引所有人的注意😤
他们上当了，闪电3-1撤出交战区😇
派遣最佳的地面小队入场，上传密涅瓦程序，坚守火箭发射台😕
哒哒哒～咚咚咚～超雄老太的小车打倒了队友😅
biu～超雄老太打爆了队友的头😩
程序已上传完毕，坚守发射台😡
嘟嘟嘟嘟嘟～直升机飞过来了🚁
哒哒哒哒哒哒哒～哈夫克士兵被击毙🤪
哒～哒～哒～啊～哈夫克狙击兵打倒一个队友😇
哒哒哒哒呼呼呼～哈夫克喷火兵带头冲锋😡
哔哔～新的撤离点开启，希望你喜欢火箭发射的最佳观众席😎
牛角，女郎，可乐😅
呼～～～～～～～布豪！乌鲁鲁巡飞弹来袭！😡
咚咚咚～哒哒哒哒哒哒哒哒哒～队友倒下了😩
哒哒哒哒～额啊～💀
撤离失败",2025-01-26 11:51:32,2,86,"做视频很努力，义父们喜欢就看
求求了，我需要关注",未知,否,https://i0.hdslb.com/bfs/face/f41eb9f96f90fbb32f31e870e4c13f184635e624.jpg
90,0,252888804273,1734097052,雷诺军尔-暗区突围,5,男,666,2025-01-26 05:50:20,6,33,什么也没有,未知,否,https://i2.hdslb.com/bfs/face/d3dfddf836b3231676ee646bdea0017040fa69e9.jpg
