序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262191760144,1824503900,星仔小白,5,男,只能拿一次吗,2025-05-06 14:34:06,0,0,QQ频道：MUWANMV1346,未知,否,https://i2.hdslb.com/bfs/face/0501cc4262494037b7da9bd3602e0fc35a6c0e0b.jpg
2,0,261152756353,3546858597124575,小fat君,2,保密,我是听障人士[微笑],2025-05-05 09:51:36,0,0,,未知,是,https://i0.hdslb.com/bfs/face/38f6605f1594facd8febe0873295220fa0b77f7e.jpg
3,0,262074454656,21678837,醉枕江山i,6,保密,就和开电脑一样  只不过不是看是听,2025-05-05 05:53:51,0,1,花有重开日 人无再少年,未知,否,https://i0.hdslb.com/bfs/face/2841d22e3bc46ed18e86fcdeb6f1cd555bee3eeb.jpg
4,0,261943557232,1444033221,板子缺双会画画的手,5,男,五点，四点一线，四线一点,2025-05-03 16:24:24,0,0,哪天我不在的时候，你们也一定要好好开心下去啊,未知,是,https://i0.hdslb.com/bfs/face/90be8f29adb7ffb937d6209b2986537046e99003.jpg
5,0,261901423632,689955131,小老三哦,5,保密,[UPOWER_40569661_顿顿顿],2025-05-03 08:00:22,0,0,,未知,是,https://i2.hdslb.com/bfs/face/0e8c95c8e8ac9f59ddef2ee8a58ad6106b3479a2.jpg
6,0,260067803217,526534588,不应该记起,5,男,你这也没教啊,2025-04-21 16:48:33,1,0,cwh ,未知,否,https://i1.hdslb.com/bfs/face/82b0dd1d651b6cc398c2fcc7f7579c2642d8eb36.jpg
7,0,260032931697,5634895,DDemon11,6,男,耳鸣根本听不到滴[辣眼睛],2025-04-21 09:37:07,0,0,放下情节，尊重自己以外所有人的命运,未知,否,https://i1.hdslb.com/bfs/face/2cef809b71b022f33107d442a761427139c6fb4e.jpg
8,0,259791292641,667737758,鹤田千绘,5,保密,哎呦我，原来是靠听的么？我平时自己玩声音要么开小要么不开，我还寻思怎么经常遇见这种说但是一点思路都没有嘞[2024明日方舟音律联觉_精神涣散],2025-04-18 11:01:07,4,2,,未知,否,https://i2.hdslb.com/bfs/face/9f459da188b9de5c4fef6826073afcc63270a4ec.jpg
9,0,259695469217,25964876,有证騎士,6,保密,"每一个点电码代表一个1 每一个杠电码代表一个2  每五个电码为一组 每一组表示一个数字 
点在前面时 只算点不算杠 几个点就是几 不用管杠
杠在前面时 就需要把所有的杠和所有的点相加➕",2025-04-17 05:32:48,0,3,外号疯狗 逮谁咬谁 咬死不放,未知,是,https://i2.hdslb.com/bfs/face/a964873edb3773870ab82e24f7b6ad7a6c3e8f42.jpg
10,0,259628821393,200038151,此账号处于活跃状态,6,男,熟练了速度就快  听和看真是两码事 我玩了一会就能解4位了[抠鼻],2025-04-16 08:02:50,4,3,谢谢你们的关注。,未知,否,https://i2.hdslb.com/bfs/face/f2f17c72cb3672b054301fee29a1e33ba172244c.jpg
11,0,260455461824,89301539,天风无,5,保密,怎么分辨是点还是杠？,2025-04-15 13:15:24,1,0,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
12,0,260287778736,58833748,指数成长,6,男,@山崎野原,2025-04-13 10:16:10,0,1,Open your mind,未知,否,https://i1.hdslb.com/bfs/face/12526dadc312c4bf1d1f3fb4ac27d92dcc405cdd.jpg
13,0,259317015617,3461573660117953,我最喜欢学长了,5,保密,密码门的密码B站上可以直接搜到，每天的都不一样[doge_金箍],2025-04-12 07:50:04,0,1,,未知,否,https://i1.hdslb.com/bfs/face/1a6a1bbf1d2ad23e42ea9b0701d8cdd5266d1de9.jpg
14,0,259590308560,524526,妖妖梦的麻薯,6,男,他这个摩斯密码我分不清短滴长滴,2025-04-05 05:07:30,2,2,快乐的时光是有限的，珍惜一切美好的事物,未知,否,https://i0.hdslb.com/bfs/face/7b52f9e89a71e20114f44113e63ceaf750353e3a.gif
