序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261237328897,3494375256492773,多疑的酒精,3,保密,就在那个撤离点蹲着，我一般都在最后卡边，那会儿来了一个人，他包里面一堆，要不是没时间了，我就把他的包吃了，那个时候已经是最后30秒了,2025-05-06 11:58:22,0,0,,未知,否,https://i2.hdslb.com/bfs/face/54ba8b527696cf6b7be2ed0b002b10facf5b8861.jpg
2,0,261106570369,3546802036935463,尾号28869,3,保密,我变电的卡，出了一个西门，金色的,2025-05-04 20:37:56,0,1,codm和ut的视频必点赞，只为能火,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
3,0,262035871968,3546896261974500,刘佳的人,2,保密,这个账号直接把装备卖了去跑到吧,2025-05-04 16:31:48,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,0,261083846689,701958389,活着的阎王,3,保密,这个盾兵不他妈是我吗？,2025-05-04 13:50:04,0,0,本人外号小阎，爱打各种游戏，还健忘，以后我会不定时更新，可能是各种游戏，如果想加游戏名私聊，谢谢大家！,未知,否,https://i2.hdslb.com/bfs/face/776af6b1c1bdfe1a2a4aa3a791ebd9e253dd31c0.jpg
5,0,261076517425,2043305389,骁修狗,5,保密,建议老六改名[藏狐],2025-05-04 12:28:19,0,0,,未知,否,https://i1.hdslb.com/bfs/face/ba8004d0af7b525c1c3ae5d8acd3a0b31d9c95ce.jpg
6,0,260962721697,3546847442373080,优太郎,2,保密,才开三次出张90万的卡。,2025-05-03 07:01:08,0,0,,未知,否,https://i2.hdslb.com/bfs/face/e70e1eda88557afb6b2056d9539b3c5689045e4a.jpg
7,0,261876640256,1089223002,你不优化我不停息,5,保密,玩一下暗区突围无限吧，我想看主播玩暗区单四电视台[doge_金箍][打call],2025-05-03 02:29:26,0,0,,未知,否,https://i0.hdslb.com/bfs/face/f850d0cced37c1257a407b26555f6324d4a77098.jpg
8,0,261412657184,1931327412,bili_1931327412,4,男,bug,2025-04-27 09:47:59,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
9,0,260409484577,1842417660,568556056886855,5,保密,04:49 麦鼠鼠的嘲讽,2025-04-26 08:16:45,0,0,,未知,否,https://i0.hdslb.com/bfs/face/6001d9201f8127c802be0f26176d45b35e9a4aff.jpg
10,0,261325833920,1396542039,鸭鸭皮,5,保密,孩子们，这号寄了[笑哭],2025-04-26 08:08:44,0,0,一个混吃等死的小初生哦⊙∀⊙！,未知,否,https://i0.hdslb.com/bfs/face/850dc5fe7aa5f3c21ea994294ee4ddeb94a3dd88.jpg
