序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260978167153,3546685051505384,小蝌蚪肘击他妈,2,保密,打了一架飞机，爆了两张卡,2025-05-03 10:39:25,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
2,0,259966676992,379234211,肨貓,5,保密,不是，白羊哥到底谁，为什么经常出现,2025-04-09 14:02:56,0,0,这个人很神秘，什么都写了,未知,否,https://i2.hdslb.com/bfs/face/0e25dca23ed7172f7f64e5121c7f325ff09df664.jpg
3,0,259641519216,1317830429,宇智波睦月,4,保密,从0到1，短短30天[妙啊][妙啊],2025-04-05 15:13:05,0,0,,未知,否,https://i2.hdslb.com/bfs/face/df50b8cb5bb238a0946c712cd1172c48540646e0.jpg
4,0,259202264608,309182321,-半醒的狐狸-,5,男,"打扰[doge_金箍]兼职新玩家
8r=100
 绝对绿色，因为是新手可能比较慢而且只会大坝。
有需要的私我吧[蹲蹲]",2025-03-31 15:04:14,0,0,言念君子 温其如玉,未知,是,https://i2.hdslb.com/bfs/face/44a7ba7d1a28e365d8faa06a2ed751070c95a0b9.jpg
5,0,258293235073,897368,悲酥清风丶,6,保密,这小妮子是谁啊  笑死[脸红],2025-03-30 15:28:34,0,0,比企谷八幡如是说道。,未知,是,https://i2.hdslb.com/bfs/face/16026f5d6467f7b8f19677126627b405d0a06dd8.jpg
6,0,258512942768,476984441,我是另一个新手,6,保密,为什么3.15有活动我3.23才刷到,2025-03-23 11:55:48,0,1,,未知,否,https://i2.hdslb.com/bfs/face/afe2a8f13721b8a830b41eddc25b10d5584d55d6.jpg
7,0,257660212273,478095890,free-fall-,6,男,@奈何天不许归期_,2025-03-23 01:28:32,0,1,,未知,否,https://i2.hdslb.com/bfs/face/9966fdfae46732c572b1a2fa5bbdc829d44ac019.jpg
8,0,257658273857,3546753557072477,vfdvhtdx,3,男,孩子们，千万别染上绝密，我已经从500多万掉到5万了[笑哭],2025-03-23 00:54:58,2,0,,未知,否,https://i2.hdslb.com/bfs/face/e7c43b2b086887e489c5809438d8bb3b321f9032.jpg
9,0,258458922784,3537106947278925,韡龍,3,保密,之前航空箱空投里出过卡和便携军用雷达,2025-03-22 23:44:36,0,0,,未知,否,https://i0.hdslb.com/bfs/face/0d78ce3498153eff8c60173e8542a62b9543feaa.jpg
10,0,258405812384,3546785685440922,七夜雪山飞狐,2,保密,在机密大坝，不要放过任何一个弹药箱我在弹药箱里出过两组金蛋,2025-03-22 08:20:29,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
11,0,257475685633,689734560,叶县夹子,3,男,非洲之心小子,2025-03-20 15:56:12,0,0,2013516,未知,否,https://i0.hdslb.com/bfs/face/348733e66bd5b69d8ab52d04fcc07c6bb9986c69.jpg
12,0,257474396145,280233651,精神领袖宇先森,4,保密,只剩10分钟了总裁没人去，沙发上刷了个复苏呼吸机！,2025-03-20 15:41:35,0,0,,未知,否,https://i0.hdslb.com/bfs/face/7f32fc65ba9b0edf96fdd0e6a5c16f0562eee643.jpg
13,0,257416761233,549383366,花楼梦客,5,保密,过几天白羊哥可咋办啊,2025-03-20 01:35:03,0,0,,未知,否,https://i2.hdslb.com/bfs/face/edd3a5afd7500049b82f69a3ff3ef2f942dbfb89.jpg
