序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,264879617233,3546912149998183,-Jing怡_,2,保密,有跑刀的嘛,2025-06-18 01:45:20,0,0,鹅3910897093,未知,否,https://i1.hdslb.com/bfs/face/a915882f42030ba168f457bbb409abe64f7e9f7e.jpg,Neutral
2,0,261996822736,1081425834,壶盏和糖的小号,4,保密,BOSS如果索敌范围内只有开大无名，也可以锁定，但是如果有别的单位会优先索敌别的,2025-05-04 09:12:27,0,1,,未知,否,https://i0.hdslb.com/bfs/face/df0c6b9070775cc1a7dd333a720f8287034ddf71.jpg,Expectation
3,0,261043523152,439758309,是何若若同学,6,保密,ai跟咱是好兄弟呢[doge],2025-04-22 15:59:01,0,4,,未知,否,https://i0.hdslb.com/bfs/face/3db488daabfbdb3a4bccb4184216c3dcaffc5c17.jpg,Neutral
4,0,261031785648,2848544,地守,6,保密,我一直玩骇爪制式券跑刀，生存活下去第一优先,2025-04-22 13:33:11,0,1,,未知,否,https://i2.hdslb.com/bfs/face/54d5721fdda203cfba9e141e1413f3a1ce259414.jpg,Expectation
5,0,260951294928,435480340,脑袋瓜被驴踢了,5,保密,对,2025-04-21 12:47:24,0,0,人生就像一场戏,未知,否,https://i1.hdslb.com/bfs/face/9de45fcb482c5a5239947ceaaf03fa1aad8aa9ed.jpg,Neutral
6,0,260045262129,3493115107215785,这非常极端,5,男,原来是你吧我刀了[热],2025-04-21 12:12:05,0,0,与赌毒不共戴天,未知,否,https://i2.hdslb.com/bfs/face/651694db6db5074240273699c11e8c39d4964b02.jpg,Surprise
7,0,260938257824,1568173501,弎弎亖亖弎亖,4,保密,可以黑夜大坝跑刀，保险塞满了到处找人，见到人就拿飞镖锁[doge],2025-04-21 10:19:13,0,1,一二十,未知,否,https://i1.hdslb.com/bfs/face/4dd00c984cdccd88f7fedf0b9b0c4cd44e0c8fec.jpg,Joy
8,0,260910105840,199327225,终年有缘,6,保密,既然无名都能跑那么深蓝也可以[doge],2025-04-21 03:18:45,6,24,,未知,是,https://i1.hdslb.com/bfs/face/eceaba37913790bbed712f709378b3e51e003faf.webp,Joy
9,0,260903345008,1153407213,小白球AK,5,保密,还有就是机密绝密跑刀可以让对面怂一下，明明知道有个无名，但却不知道在哪里，猛攻一个不好就跪，至少可以让攻势不那么猛烈,2025-04-21 01:20:28,0,12,,未知,否,https://i0.hdslb.com/bfs/face/238a05b77b91aa158ff2d0dbac5a962ab083922b.jpg,Expectation
10,0,260897701216,1620629332,不玩cod了只玩三角洲,4,男,这种无名跑刀我遇到过只不过舔我队友的时候被我一斧子劈死了,2025-04-20 22:38:56,0,0,cod和三角洲不可兼得,未知,是,https://i1.hdslb.com/bfs/face/651ecb81a86d743084f0f2dac6c52aead5415257.jpg,Joy
11,0,259995128801,402773192,清夜西园独酌,6,保密,学会了，明天就跑长弓,2025-04-20 19:39:43,0,22,我要成为星穹铁道糕手,未知,否,https://i2.hdslb.com/bfs/face/91e8ad03d627505bfd3383a5299399d5274c6391.jpg,Expectation
12,0,259991042433,1759616085,B站-回音花,5,女,@是Bacon啊,2025-04-20 17:17:47,0,1,去tm的方块人 淡玩生死狙击2 主攻三角洲 粉丝群:1017611427,未知,否,https://i0.hdslb.com/bfs/face/e3718d378fdeb29c9cad9d7dae5010c9e1b4b7c7.jpg,Neutral
13,0,260879378880,3546682809649700,123下饭战神,4,男,期待下一个作品！,2025-04-20 14:36:20,0,2,专打各种下饭操作,未知,否,https://i2.hdslb.com/bfs/face/9465047f9017a25ab90d37fa0893d3df4feb4609.jpg,Expectation
