序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262161432016,1850941204,夕扬溪峡,5,保密,小菜，不是很会打,2025-05-06 07:44:18,0,0,菜比UP主,未知,否,https://i1.hdslb.com/bfs/face/2f3f505f3ce3bc51665950d7b31d3b12a0f4fc03.jpg
2,0,262110253520,1704354245,陌瑾FNYU,4,保密,这是真帅的要命,2025-05-05 13:29:23,0,0,"咱只是一只普通的小猫咪（假的，待会把你们全吃了）
有意愿扩列的话加我QQ1948893955关注我的话会互粉的",未知,否,https://i2.hdslb.com/bfs/face/c38b1a154559b692dfd501d1f0b1f1461f7b46a7.jpg
3,0,261168352241,1910215086,玩妹卡的佳代子,5,保密,今天跑普坝做游客任务，单人死活进不去，就点了补充，开局两个队友一个跑水泥一个跑行政了，行政先死了退了，我做任务捡了个小金小紫，准备跑发现水泥队友倒了没退，一路跑过去拉起来丢了点药和捡到的金和紫，准备去把行政队友的枪捡了跑了，发现另一个队友没跑和我一起去捡队友枪[doge],2025-05-05 13:05:54,0,0,你可爱的太犯规了,未知,是,https://i0.hdslb.com/bfs/face/55ab8e38b1cb7d70f82c848726bfce3cab780ef8.jpg
4,0,262073808336,439584344,星海是只龙,4,男,UP主加油！看好你噢~,2025-05-05 05:46:28,0,0,嗷呜~大大们扩爆我,未知,是,https://i2.hdslb.com/bfs/face/25896370513ef21908a004c7813efd0b6a778b63.jpg
5,0,262060505168,130638485,时间轻语,5,男,UP主加油！看好你噢~,2025-05-05 03:11:05,0,0,珍惜现在，别后悔。,未知,是,https://i2.hdslb.com/bfs/face/637d9f23915a878077afcfdf6b3559ceea622d70.jpg
6,0,261983613904,432001806,月下胭脂凌,5,保密,UP主加油！看好你噢~,2025-05-04 06:08:31,0,0,,未知,否,https://i0.hdslb.com/bfs/face/656951e4d5b8c429256c1a77f5824762a21a72f2.png
7,0,261867785568,325958733,犹如光阴之过客,6,保密,有时候奇怪的视角会让队友标消失,2025-05-02 23:54:42,0,1,"夫天地者，万物之逆旅，光阴者，百代之过者。
天地光影之间，你我皆尘埃，生死如蚁灭，又有何惧之有？",未知,否,https://i0.hdslb.com/bfs/face/a892324ca1ad89d8a4648e226f0711f2a112aaa6.jpg
8,0,261779602128,2143823253,凡义龙,5,男,UP主加油！看好你噢~,2025-05-01 23:43:18,0,0,,未知,否,https://i0.hdslb.com/bfs/face/a4d9906fb16fad608c282ee9f3977b9de2e13489.jpg
9,0,261698237008,1618888636,聒道乾仙,5,男,UP主加油！看好你噢~,2025-05-01 01:02:21,0,0,密室逃脱重恐级坦克，部落冲突4年玩家，爱喝百事可乐，萌新粥批。,未知,否,https://i1.hdslb.com/bfs/face/b7c5c4d4afcf1a94ad58f57b172618f137a6e00d.jpg
10,0,260641733873,630660971,沉默的赶路,5,保密,红狼：做不到什么的，我听不懂,2025-04-29 09:13:39,0,1,小沉来辣o(｀ω´*)o,未知,否,https://i2.hdslb.com/bfs/face/0cb3315b6f07774ccbcefc528bf1d15c3d21c26e.jpg
11,0,261475423712,1295147619,--幻影坦克--,5,保密,祝贺有这样的好队友,2025-04-28 05:30:28,0,1,芜湖,未知,否,https://i0.hdslb.com/bfs/face/8d6498f4c2cab08d691fa1bde2191e5cc91d4161.jpg
12,0,260437448817,1422996869,心事予晚风,5,保密,@机器工具人,2025-04-26 14:19:21,0,0,,未知,否,https://i2.hdslb.com/bfs/face/07f43dead90d9b3ce41e807d54c13821339f69bf.jpg
13,0,261301428160,39901221,梅凌志,6,保密,不抛弃不放弃,2025-04-26 02:36:00,0,0,,未知,是,http://i0.hdslb.com/bfs/face/e72436aa750776b01d90e0f4f7ffa17ff0d2fc13.jpg
14,0,260327856065,87922387,醒世灵谭,6,男,@机器工具人 听歌识曲,2025-04-25 08:32:27,1,0,哦吼吼,未知,否,http://i1.hdslb.com/bfs/face/2a2b3c81e92fb1ac798cb0ed66f2cfef9cf42d99.jpg
15,0,260327679041,87922387,醒世灵谭,6,男,@AI识歌,2025-04-25 08:31:45,0,0,哦吼吼,未知,否,http://i1.hdslb.com/bfs/face/2a2b3c81e92fb1ac798cb0ed66f2cfef9cf42d99.jpg
16,0,261162725424,19576328,B了个y,6,男,得亏丢包还在,2025-04-24 08:19:41,0,0,哎！这人！这个人懒死了！什么都没有写呢！(*￣︶￣)✧*。,未知,否,http://i2.hdslb.com/bfs/face/d05ca84d8bbd76eb0440ce9f403207e142d1e1b9.jpg
17,0,260249966593,1744281356,堵车上班要晚了,3,保密,看哭了,2025-04-24 07:45:20,0,1,,未知,否,https://i2.hdslb.com/bfs/face/985fe8cc9845486f143ab29fa26a916b6b0e6a01.jpg
