序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,260974882288,498239622,幻之喵-,5,保密,再加一条，15分钟走遍地图都没遇到人，不是说明没人，而是都在等着你当他完成金枪客或者狙击精英的人头数[微笑]，还有夜视仪，真没必要，我感觉是看得听清楚的,2025-04-21 18:14:44,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Expectation
2,0,260000462337,70520062,翡翠鸟巡洋舰,6,男,黑夜模式开手电筒进去可以不？[驯龙高手_发呆],2025-04-21 00:31:40,1,2,人总是为自己犯下的错误而找借口，就算误会了也是一带而过，多么可笑。,未知,是,https://i1.hdslb.com/bfs/face/be62b56ba82baa9972c6c0697717f502853f9822.webp,Expectation
3,0,260896358800,108631123,提露密努斯-艾斯特,4,男,当黑夜大坝变电站想起了枪声，然后归于寂静，请尽快离开，因为猎手（赛伊德）在处于亢奋状态（我会追到天涯海角）,2025-04-20 20:57:51,0,0,被狐狸精勾了魂_(:з」∠)_,未知,否,https://i1.hdslb.com/bfs/face/f141ac6814c5df513360e0907716814b487ef087.jpg,Expectation
4,0,259964640545,62775575,林下久渡,6,男,今天单三刚打完一队美美得吃去撤离点，路上想到新加了个鳄鱼窝准备摸完走结果刚下水发现走不动了，尼玛下一秒直接接鳄鱼裸绞动画被🐊单杀，-240W[无语],2025-04-20 11:26:24,0,1,我得去码头整点薯条！,未知,否,https://i2.hdslb.com/bfs/face/3318494f054c9bd39e7ef952622eb75e01c7355f.jpg,Disgust
5,0,259951467345,3546554329729784,无聊的鬼龙,4,保密,而且，请注意草丛随时会有一个朝你扔飞盘，并拿G18再修你的无名,2025-04-20 08:29:30,0,0,"瞎子聋
",未知,否,https://i2.hdslb.com/bfs/face/21bbf9a02ab957df41328ca7758a5570a8b28e6d.jpg,Expectation
6,0,259944757329,484172795,穹灵九耀,6,男,猜猜我进场带的啥装备[doge_金箍],2025-04-20 06:52:33,0,0,喜欢故事，因为只有故事能让我感受到世界的美好。,未知,否,https://i2.hdslb.com/bfs/face/904fe3188f4a851376e8acec37e5110bd555c19e.jpg,Neutral
7,0,260839326560,3493120685640018,冤种史蒂夫,5,保密,666，越共大坝[笑哭],2025-04-20 05:59:54,0,0,,未知,是,https://i0.hdslb.com/bfs/face/c69b5dbf917a71aefdcd45e06fd2278f8964083c.jpg,Joy
8,0,260838882656,502900702,寒随你慰,5,保密,8元100w75元1000部门任务1-3级3元一积分，4级4元一积分3×3任务也可做大学生赚点生活费有意向可私信[嘟嘟],2025-04-20 05:53:31,0,0,三角洲纯跑刀赚1000W现金,未知,否,https://i1.hdslb.com/bfs/face/6a0faa5d86a4d7f29ee4a8cd7f3ddfdf2ecbcdce.jpg,Neutral
9,0,259934780209,34585394,克萝赛丝,6,保密,不要经过行政楼前路边的黑暗角落，深渊巨口将会突然吞噬你,2025-04-20 04:43:08,0,0,咸鱼少前玩家，咸鱼音游玩家，咸鱼东方人，咸鱼神秘学爱好者，还是个咸鱼fps玩家，总之是个很咸鱼的宅,未知,是,https://i2.hdslb.com/bfs/face/8b921ce94f9017a9598778e8e6ccaf3b50fe1650.jpg,Expectation
10,0,259934637569,690654873,自由です偶巴艾伦,5,保密,其实我觉得黑夜模式挺亮的,2025-04-20 04:41:28,1,0,爱你，老妈,未知,否,https://i0.hdslb.com/bfs/face/c994e942768499e09899594ce8da07c153ad2cc9.webp,Joy
11,0,260813830400,1498551947,虚无生命主义,4,保密,@什么名字要老子四个币,2025-04-20 00:23:58,0,0,CODM，三角洲，暗影格斗，都是慕容灾,未知,否,https://i2.hdslb.com/bfs/face/1c7d916c98a72f6e1c5c34eafb14c5eab743c73f.jpg,Neutral
12,0,259909130993,501577164,暗流残风,5,男,光听着我心脏就疼,2025-04-19 18:36:28,0,1,"学生党，做视频随心情，日更周更都会有，主玩明日之后 第五人格 海岛奇兵 龙族幻想 我的世界 
我最喜欢的主播是Mr小帕和板娘小薇以及B东",未知,否,https://i0.hdslb.com/bfs/face/c28d9e6c35d7774a7d00c51e775b2dff935f787a.jpg,Sadness
13,0,259906224097,553084395,KeDuoLiYH,6,男,33收集者卡我1天，牛逼害得我最后一个任务解锁不了，服了，明天撞车去了,2025-04-19 17:33:13,0,0,如果幸福有颜色，那一定是终末之红染成的蓝色,未知,否,https://i0.hdslb.com/bfs/face/0af5e5213341d69616808e8de5223967dd2d5352.jpg,Anger
