序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261230715281,1759616085,月白晴天,5,女,@是Bacon啊,2025-05-06 10:34:56,1,0,去tm的方块人 淡玩生死狙击2 主攻三角洲 粉丝群:1017611427,未知,否,https://i0.hdslb.com/bfs/face/e3718d378fdeb29c9cad9d7dae5010c9e1b4b7c7.jpg
2,0,261225195681,2131118489,企鹅湘庆桦,5,保密,好视频好素材,2025-05-06 09:16:59,0,0,,未知,否,https://i2.hdslb.com/bfs/face/347031846425b64c0d421e634e3e796c8ee5d440.jpg
3,0,261222614097,33826685,ni好鱼先生,6,男,我都不敢想把飞扑加进来，那一个楼梯飞下去有多帅,2025-05-06 08:30:53,0,0,^_^,未知,是,https://i2.hdslb.com/bfs/face/b40cfe09083bc5ce3855e1a9275cf89cc3f4b3f7.jpg
4,0,262158388336,102859327,CitiiI,6,保密,厉不厉害你蜂哥[doge_金箍][doge_金箍][doge_金箍],2025-05-06 06:43:01,0,0,願你的靈魂 可以安息,未知,否,https://i1.hdslb.com/bfs/face/af7a0f7df292b8b8961c6deecdaa7b500c55d42d.jpg
5,0,261198764769,385345054,老大这次崩谁,5,保密,开头的满编队在哪里？我没找到,2025-05-06 01:37:33,0,0,.,未知,否,https://i1.hdslb.com/bfs/face/b17684b8bfbc171e851c30e8425c2c6adcd0f3ee.jpg
6,0,262092111552,355640042,别骂了我顺从,5,保密,"是的这就是巴别塔
还有两队互拼没了，一座塔里十七八个人",2025-05-05 09:50:15,0,0,乐,未知,是,https://i2.hdslb.com/bfs/face/fb79103e8b33547023e2010030b6889bba2b49bf.jpg
7,0,262009671936,499944341,W拉米,5,男,跑的真果断，要是我先把大保险吃了，跳下去的时候再把医疗物资堆吃了，然后左拐吃航空箱[doge]我tm吃吃吃吃吃,2025-05-04 11:40:11,0,1,,未知,否,https://i2.hdslb.com/bfs/face/aba92d4d7063698a540e0a55a1cb7c815d533455.jpg
8,0,261045172881,3546729389492767,清风在黑夜里,4,保密,@我们说喜欢毛米,2025-05-04 05:47:48,1,0,,未知,否,https://i1.hdslb.com/bfs/face/80f05a9df3700f3e061ea3e36e7cfbb7fd01eebe.jpg
9,0,261007532897,1272490663,一颗爱玩游戏の白菜,5,男,@bili_39457272558,2025-05-03 16:20:43,0,1,世界奇奇怪怪，白菜可可爱爱,未知,是,https://i1.hdslb.com/bfs/face/bba599015cb1fbfca79c24a6fb9ee0338301f9c3.jpg
10,0,260974248097,3537122977908750,圆石cwc,4,男,圈外人，为啥要跑啊[脸红],2025-05-03 09:49:27,4,2,,未知,否,https://i0.hdslb.com/bfs/face/fed47710be1b650cff5abf92aaf8e9c40d3ecc4a.jpg
