序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261031965376,3461576034093846,bili_3461576034093846,5,保密,等我以后有电脑了，我也去玩玩[微笑],2025-04-22 13:36:50,0,0,平常人,未知,否,https://i0.hdslb.com/bfs/face/c05d5c83029cd414b452e1b5e84b56e59f7b4d29.jpg
2,0,260686439312,3546374746409608,Disassembler-N,3,保密,一枪红，两枪喘，三枪出名言,2025-04-18 11:40:37,0,0,(；ﾟДﾟ)耶？看我干嘛？我只是人畜无害的N而已(◐‿◑)﻿,未知,否,https://i1.hdslb.com/bfs/face/44102b02db7ca0cc60c747fe99d27433a9f2083b.jpg
3,0,259771366800,35397840,肉松猫薄荷,6,男,强烈要求出个死后锁包，可以选择死后让不让队友摸自己包！！！[生气],2025-04-07 06:16:00,0,0,为什么我没有脸，或许是因为你不想看到…,未知,是,https://i0.hdslb.com/bfs/face/b3f4a5dd1c3e8a50ee1b9f0aab60429bbf63327c.jpg
4,0,258992138464,2095582632,up是up,3,男,削弱雷斯,2025-03-29 08:10:31,0,0,梦想成为十万粉的up主！,未知,否,https://i0.hdslb.com/bfs/face/276ff61ff87a2535b23ff24bca4888c299d97281.jpg
5,0,257775158545,1531947366,一隻愛喝奶茶的喵,5,保密,官方什麼時候上手機端,2025-03-24 09:54:02,0,0,我是流螢老婆的狗,未知,否,https://i0.hdslb.com/bfs/face/d042e70bc668b0ef725cafd668cfba32bc0906b8.jpg
6,0,257536352337,395680974,做饭不洗碗QAQ,6,男,我以前玩战地1和5的，战地的战场烟雾，加上人物衣服颜色和地图颜色重合度高，根本找不到人在哪里。自从弃坑去玩三角洲以后，才知道战地pro哥捞薯条的快感是怎么来的，很多三角洲玩家你打他半天他都不知道你在哪打的，把把都能杀二三十个，一万多分，这份快乐是战地给不了我的,2025-03-21 12:04:55,0,1,,未知,是,http://i0.hdslb.com/bfs/face/434874e47a2195374595bbdfad076d013b3822b9.jpg
7,0,257455138193,505460092,大肥焦,5,保密,喜欢我的rpg吗？[笑哭][笑哭][笑哭],2025-03-20 11:35:02,0,0,,未知,是,https://i1.hdslb.com/bfs/face/31429d495abf30f92f89c7e7c14e8ea44f9ccc1d.jpg
8,0,258107534928,1560429636,枪准三角洲行动,2,男,支持官方,2025-03-18 13:25:06,0,0,"感谢B站提供的绿色平台
在B站记录三角洲行动精彩瞬间
喜欢的家人们支持一下哈",未知,否,https://i0.hdslb.com/bfs/face/fc97ae0841d64e48bfdf41ebd677cdcc1d972d18.jpg
9,0,257074534081,3546690101446662,流星下的流萤酱,3,保密,关于我打这个死了就看原电影[doge_金箍],2025-03-15 14:12:55,0,0,,未知,否,https://i0.hdslb.com/bfs/face/6150b3897ac35759d3446494e562703643d72ead.jpg
10,0,257025394625,3493125054007883,石制之马-码哥,5,男,黑鹰坠落手机端什么时候上？,2025-03-15 03:56:07,0,0,只是一个路过的初中生罢了(写小说的)， 时不时可能会更一点东西。,未知,否,https://i2.hdslb.com/bfs/face/f9d38520e5616439f455b7de2e7a49f02329567e.jpg
11,0,257691795152,353827808,蒟蒻之光orz,6,男,@三角洲行动 能不能给你家启动器加一个检测已存在游戏文件的功能？有时候身边的朋友已经下载好了游戏，可以直接用硬盘快速拷贝过来，不用每个人再一个一个下了。几十个g，网速不够快的话太折磨了,2025-03-13 15:15:55,0,0,,未知,是,http://i2.hdslb.com/bfs/face/1a5bdad2181cd2749c98b4c03425ea521670d3b7.jpg
12,0,256695482273,518622797,旺旺小坏坏,6,男,好玩爱玩，免费的黑不了,2025-03-10 19:49:47,0,0,随便传点东西当赛博相册,未知,否,https://i2.hdslb.com/bfs/face/dcc384261588645be191f19835941553f5e248b0.jpg
13,0,256667306801,3546703036680779,火渡爷,4,男,我要发到所有视频底下                                    大战场刚提的载具没落在指定位置，一扭头让别人开走了(҂ ꒦ິヮ꒦ິ)，S1赛季下半玩到现在，第一次叫载具啊啊啊啊啊，我快疯了，为什么不规定被叫载具只能让叫的人开啊[大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭],2025-03-10 11:48:17,0,0,,未知,否,https://i2.hdslb.com/bfs/face/496fad4571baba03727c57003157eeefd51a7251.jpg
14,0,256590236257,1188890257,小黑子zkw,4,男,"200小时玩家建议
1：把三角洲微信小程序单独出来做成快捷应用。
2：红鼠窝竞技场出房间模式可以好友内战。
3：调整一下大战场氛围，有一点代入不了。
4：大改一下特勤处，我感觉没有多大用处。
5：增加一个切换大厅背景功能，随时间变化亮度",2025-03-09 11:21:45,0,0,,未知,否,https://i1.hdslb.com/bfs/face/e63df5e9a78600e6bb6703e371ef62c7e3c66b87.jpg
15,0,256574894561,248625996,LXUEERね,6,男,什么时候出红狼和露娜的金皮,2025-03-09 07:56:38,0,0,,未知,否,https://i0.hdslb.com/bfs/face/58b76dd562ae020e831dce249c674242cd4bb0b2.jpg
16,0,257210725264,620816909,QA淦,5,保密,能不能把开火键和一键开火开镜做成两个按键,2025-03-07 16:28:38,0,0,,未知,是,https://i2.hdslb.com/bfs/face/58e9fa9ece7f0e8c0d093b6545c55e56624c6468.jpg
17,0,257128925504,426056048,白_咕咕咕咕_,5,男,为什么档案箱不能档案！！！！！,2025-03-06 16:22:57,0,0,咕咕咕.咕咕.咕咕咕咕咕.咕.咕咕咕咕咕.?,未知,是,https://i2.hdslb.com/bfs/face/eac1efb64b9cf057689d41801b4a1faf70e7daf8.jpg
18,0,256184038497,3546749434071887,SoDo_MuyeChen,3,男,为什么我在steam上玩不了,2025-03-04 10:01:01,0,0,hi ,未知,否,https://i2.hdslb.com/bfs/face/379e7d9240c4dcfcba23a47f4c8408ab7504eefc.jpg
19,0,256145544785,386005496,予君奉丹心,6,男,什么时候改一下ads装置？烬区守方根本打不了一点，对面一个坦克在守方非战斗区域工程导弹打不到突击人过不去直接无敌了？这就是你游的平衡？,2025-03-03 20:52:24,0,0,在？进来看我被锤！在线下饭,未知,是,https://i2.hdslb.com/bfs/face/a5f96dfa1854dad229957e1e89474b682feda1c0.jpg
20,0,256784165904,394203205,还差点那就,5,保密,需要带肝的找我,2025-03-02 11:13:09,0,0,,未知,否,http://i1.hdslb.com/bfs/face/a57b7974df45382f54c3554d46f1b6cc38443908.jpg
21,0,256672188800,1507014404,疯树烨,5,男,官方，我玩三角洲时，在巴别塔顶楼出了个复苏机，然后不小心被打死，让我队友捡，结果因为名牌不够，没撤离，能不能给我补回来呀[大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭],2025-03-01 07:59:08,0,0,"
",未知,否,https://i2.hdslb.com/bfs/face/0b7d0d39509b8d494527fd724314552c5c569a72.jpg
22,0,256617212832,2846846,夏目之秋,6,保密,手机是不是不能玩？,2025-02-28 15:17:32,0,0,,未知,是,https://i2.hdslb.com/bfs/face/353739e0eaa69a1362194fb6d66e58f2b9cb8f3e.jpg
23,0,255790395057,241423553,Aimbot棉悠悠,5,保密,手机什么时候出110fov,2025-02-27 15:10:42,0,0,,未知,否,https://i2.hdslb.com/bfs/face/e34d79272725c506cd4ee8e924d911ce35ee3e59.jpg
24,0,256419027568,506048101,我是老八51561,4,保密,啥时候出手游,2025-02-26 09:32:35,2,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
25,0,256390581312,24076708,爱念不忘啊,5,保密,能不能给我账号申诉下，我被冤枉封好了，需要人工客服。,2025-02-26 02:11:04,0,0,,未知,否,http://i1.hdslb.com/bfs/face/2b11bc5650d8d91ffc7bb70aa064f5783e403056.jpg
26,0,256329784016,309484034,doge永远滴神,6,保密,免费就是神作[doge],2025-02-25 07:17:15,0,0,喜欢配音的影视爱好者,未知,否,https://i2.hdslb.com/bfs/face/c8e7c6ba497ae1bfc9b2b5797bf76cfbe578d008.jpg
27,0,255587896161,3494365196454457,指尖的霓虹,5,保密,大战场到底能不能给空投载具上个锁？我好不容易召唤一个就让别人抢了去送？我给他们打的分呀,2025-02-25 04:24:33,0,0,,未知,否,https://i1.hdslb.com/bfs/face/101791ff86cec53a7cdf7194bb8009edd322b97d.jpg
28,0,256294584608,253811003,AdamForest,5,保密,能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！能不能出个烽火双人模式！！！,2025-02-24 16:58:59,0,1,,未知,否,http://i2.hdslb.com/bfs/face/531106f05047f5134e6223fb98405461821d4f1e.jpg
29,0,256290661024,344537042,看淡尘世那就随心而行,5,男,那个还想问一下大伙，三角洲分官服和b服啥的吗，还是只有官服呀，我现在从手机上玩的不太确定,2025-02-24 15:56:15,1,0,只有经历了人生的繁琐，才能看透世间的本质,未知,否,https://i2.hdslb.com/bfs/face/0141e944ff4855c3ddaff3248d898d9bfef7544e.jpg
30,0,255514799153,22320388,赵赵丨趙趙,5,男,你要不看看你那单三巴克什匹配时间[生气],2025-02-24 04:45:11,0,0,再见来不及握手,未知,是,https://i1.hdslb.com/bfs/face/dc56e3d70396efb0a5c57f2d8f556ef35fbabf2a.jpg
31,0,256222394800,23919718,真夜丶星沫,6,保密,不是哥，改了显示方式后就一直给我弹窗回桌面了是咋回事[微笑],2025-02-23 20:58:55,0,1,,未知,否,http://i1.hdslb.com/bfs/face/cb826fdc1ce9d9b9d94fe7ad784e7695d1645cd9.jpg
32,0,255495063649,3546636580030665,账号已注销,0,保密,烽火 建议 只杀敌 不管是否撤离失败或者成功 不丢失持有带入和杀敌抢到的物资,2025-02-23 19:14:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
