序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261159844225,494969468,白墙加黑叫灰,6,男,别人捡到就是吃到粑粑了,2025-05-05 11:19:51,0,1,美好的作品需要时间的抚养Σ⊙▃⊙川,未知,否,https://i2.hdslb.com/bfs/face/79d3aa5e69cf6c83dfc6282421758ece2d65c14e.jpg
2,0,262008259232,1584937032,雨良oblako,5,保密,很简单，手搓大战场用不来半自动[doge],2025-05-04 11:23:31,0,0,胜败乃兵家常事，但是下一次我们会输得更惨,未知,否,https://i0.hdslb.com/bfs/face/63b2fbcdce74e6b17bb7a2f20024bff89a1e89c5.jpg
3,0,260497732641,3546632274578163,bili_34201082007,3,保密,还是那句话敌人不会站着让你打,2025-04-27 10:51:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,0,259502433297,3493131163011281,杨小疯不想说话,5,男,子弹这么贵，那打人机的时候怎么办？也用这个子弹吗？,2025-04-14 13:21:37,0,0,生活是为自己而活，并不是为别人而活，不要因为别人的话而放弃，不需要理他们说的话,未知,否,https://i2.hdslb.com/bfs/face/954da0471b6ba63ac133eaf890ea0e2af1113da7.jpg
5,0,259871040976,6357841,喂萝莉控袋盐,6,男,用这玩意儿机密巴克什在旅馆杀过6个人[doge],2025-04-08 10:52:03,0,0,妙啊,未知,否,https://i1.hdslb.com/bfs/face/ef8ce0a50edb24bf2e469c5e490d5635d9ca46ca.jpg
6,0,259389053088,2553247,鼠鼠与长官,6,保密,这把枪在我这儿就是50米内的满改m16,2025-04-02 20:33:49,0,0,95后情侣，用视频记录生活，主玩各路FPS、RPG、TPS、可联机恐怖游戏和双人通关游戏，近期着魔于三角洲行动、双影奇境。(˵¯͒〰¯͒˵),未知,是,https://i1.hdslb.com/bfs/face/e406424b611f3e52f24e492b060fde4788135880.jpg
7,0,259120010912,442899346,爱玩游戏的小熊,5,男,上次对面最后一个人用三连发直接给我秒了,2025-03-30 15:14:55,0,0,！,未知,否,https://i1.hdslb.com/bfs/face/eb101ef90ebc4e9bf79f65312a22ebac84946700.jpg
8,0,258695829344,189970543,叫咱水水,6,保密,但是这枪可不是轮椅枪啊。。。。,2025-03-25 16:10:48,0,0,,未知,是,https://i1.hdslb.com/bfs/face/37d9e5d576e3f236baea7e0908184583fad2e270.jpg
9,0,258422966576,3546720338184827,我是能或,3,保密,没有人和我一样，不穿甲就拿个18c跑吗？,2025-03-22 11:48:24,0,0,,未知,否,https://i2.hdslb.com/bfs/face/f525c26a8ef3bbd1a8e0b995750a5184e17831f1.jpg
10,0,257589979105,104435677,爱看书的绝绝子,6,男,你说得对，但是我腰射乌兹只需要8万[doge],2025-03-22 05:01:50,0,0,爱一个人，就要牢牢地抓住她，因为只有和你在一起，你才能知道她过得幸福还是不幸福。,未知,否,https://i1.hdslb.com/bfs/face/5fc3785fdd78a08e72c15af4550a7bee2d1ebd1b.jpg
11,0,258230300992,167867609,东方の雲雪,6,男,这个手枪要完就玩四级蛋，而且要下意识的点对面头，M16三连还会往上飘，这个枪就是一个点，爆头收益高地离谱，之前一把手枪缴了一个吴涛队[脸红],2025-03-20 06:08:02,0,0,极限犹可突破，至臻亦不可止！HLL，冲！,未知,是,https://i2.hdslb.com/bfs/face/9ab52be62e716941ba476a7d6ea4130df82d4577.jpg
12,0,257392951857,1639842791,煤炭小小小小小子,4,保密,挺好用的我用你这把枪灭了一个小队,2025-03-19 14:11:37,0,0,,未知,否,https://i2.hdslb.com/bfs/face/b66dedb449691147dcc7cb5166a239bd723915df.jpg
13,0,257782736640,1544035424,欧内的手一好汉,5,保密,现在不行了，以前可以，现在因为护甲必须要两轮以上，而且你还得打的中，实际可能要三四轮，走过别人把你虐,2025-03-14 16:46:18,0,1,不论期待于未来，还是执着于过去，只是一沙子粒，我们相信时间之外任有自由的存在，,未知,否,https://i2.hdslb.com/bfs/face/2078200cce4cf03fef8f68c23d341b2c7f0569f4.jpg
14,0,257755725472,319790505,黑火药烤肉配双氧水,6,男,涨价了，要五万,2025-03-14 11:31:42,0,1,想死,未知,否,https://i0.hdslb.com/bfs/face/f5989e6b51eb9f4d2e327e4a9819073d3c5b904c.jpg
15,0,257746584912,3546628963175145,6868-三角洲行动,4,保密,我严重怀疑你讲了一期视频是炫耀你出货[捂脸],2025-03-14 09:51:00,0,0,一个爱玩山脚粥的UP主，技术很菜，爆率很高,未知,否,https://i0.hdslb.com/bfs/face/7bacaceb143835ace2cf12fc44be343a433509e8.jpg
16,0,257550394752,390567505,玉谢风流,5,保密,这把枪手感巨好[吃瓜]三级蛋都能稳稳偷吃,2025-03-11 23:17:12,0,0,,未知,否,https://i1.hdslb.com/bfs/face/e7de12342f8c78eaec5f00221c1bcabcb4907ca3.jpg
17,0,257309423280,3493256776124609,一只希望能火的甜瓜子,3,男,之前我玩机密大坝有一个敌人拿着93R小手枪，配件和你的一模一样，他打我三枪我才掉半血，我P90打他两三枪头他就没了,2025-03-08 23:24:24,0,1,经常做植物大战僵尸的,未知,否,https://i2.hdslb.com/bfs/face/25801bb31ea4e54b753c790ebca75db8c3d7c116.jpg
18,0,257075040416,524100,萨满-九幽,6,男,当我打够了乌兹野牛，那就该掏一把93R带24发四级弹恶心人了[doge_金箍],2025-03-06 04:09:16,0,0,,未知,是,http://i0.hdslb.com/bfs/face/d9e6a669f78f9293befa8d619159606ff87725c8.jpg
19,0,257053973168,267350622,虎痴许仲康,6,男,卧槽，那个保险库是哪儿？,2025-03-05 17:40:03,3,0,上善若水，水利万物而不争,未知,是,http://i0.hdslb.com/bfs/face/a8810e385a2d205833ea3993a1d7eddc5e86dfe6.jpg
20,0,257038055648,2947120,bilibili妞,6,男,线性瞄准与间歇性瞄准的区别~,2025-03-05 13:57:33,0,0,,未知,是,https://i1.hdslb.com/bfs/face/63a28d5f8c414891074a1d83d667a9d8eabbe50b.jpg
24,0,256918901424,414108158,-閃光-,5,男,打绝密航天m250近距离被一队93r夺舍了,2025-03-04 04:36:09,0,0,撒，show time達,未知,否,https://i2.hdslb.com/bfs/face/3827cce46b9c75d5c95543fc4a2e1143a5c4119c.jpg
25,0,256838981424,3546584379820801,UNKNOWN丨理智正负号,2,保密,全改绿配件，打的绿蛋，但是赚大了,2025-03-03 04:37:18,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
26,0,256692661392,3546790095752130,私斋蒸鹅C,2,保密,你都这么说了，那直接大战场启动。,2025-03-01 11:56:55,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
27,0,255778454241,3546610057349875,洛-哈夫克自动战车,4,保密,我选择4级子弹g18爆头,2025-02-27 12:56:15,0,0,8000度近视qwq,未知,否,https://i1.hdslb.com/bfs/face/7fe68eea643d46cb1fd558664288090ffb1bf8db.jpg
28,0,255727859729,13376566,鼠疫菌--LaPeste,6,男,现在红鼠窝我就经常玩93r，特别是对枪距离远的图,2025-02-26 23:53:40,0,0,咕噜咕噜~某鼠滚过~,未知,否,http://i1.hdslb.com/bfs/face/ddc6b40ac84f28f8ce135577d2a92170d6826bb6.jpg
29,0,255477422608,11977901,君莫笑扶桑,6,保密,大坝金库在哪里？？？,2025-02-15 11:50:00,1,1,,未知,否,https://i2.hdslb.com/bfs/face/4634629e8191f3c7a501b429b3e28a45a6df0126.jpg
30,0,255171020992,3493279544903945,坦闪5年老玩家,5,保密,93R确实好用，但是得练，打机密的话最多带120发四级弹，省子弹。,2025-02-12 09:24:53,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
31,0,255052019360,224304239,轩木梓,3,保密,我刚改了一把，确实很好,2025-02-11 06:39:11,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
32,0,254362804017,1625875573,你剑仙传说sans大跌,4,保密,最好用的，每次机密大坝带个二级蛋，上去无脑输出一把都能干掉三个人（只要没有老鼠），最辉煌的一把是靠这把手枪二级蛋搁餐厅干死了两个吴涛哥，肥肥得吃,2025-02-11 05:01:09,0,0,"eeee
",未知,否,https://i1.hdslb.com/bfs/face/21b6cbe0c3675274d5016d81bcbae66b1e94b91e.jpg
33,0,254354512865,520577263,起个名字好-难呀,4,保密,护甲没加强前打四甲基本四枪秒，而且很稳射程还远，现在我就想笑打个远点的小兵都费劲，原来30米左右小兵打身子三连发直接死，现在打头都不一定了,2025-02-11 03:35:46,1,0,,未知,否,https://i1.hdslb.com/bfs/face/0e55c4f11fced546bb981076c2844e01eaae1c0b.jpg
34,0,254354314689,520577263,起个名字好-难呀,4,保密,已经削废了,2025-02-11 03:33:56,0,0,,未知,否,https://i1.hdslb.com/bfs/face/0e55c4f11fced546bb981076c2844e01eaae1c0b.jpg
35,0,254734946928,88109344,煌影随风,5,保密,18c就加个33弹夹就完了2w,2025-02-08 02:30:47,0,0,,未知,否,https://i1.hdslb.com/bfs/face/be019903d16b6f077e36a779939b0f745dc6345c.jpg
36,0,254702163056,3546829920668246,LvemiT0306,2,保密,现在一点也不便宜,2025-02-07 14:31:05,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
