序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,259706024289,51882455,Hao_2202,6,男,up加油,2025-04-17 08:51:14,1,1,,未知,是,https://i2.hdslb.com/bfs/face/7a1facdad671d12a651c1b406054874a1ae7e581.jpg,Neutral
2,259706024289,259706301089,410281976,龙耀渊,4,女,我喜欢你[给心心],2025-04-17 08:58:00,0,0,懒癌晚期,未知,否,https://i2.hdslb.com/bfs/face/25a20aca2c52f3e81f3eb7adfa8ec803be8fc8e8.jpg,Love
3,0,259706024289,51882455,Hao_2202,6,男,up加油,2025-04-17 08:51:14,1,1,,未知,是,https://i2.hdslb.com/bfs/face/7a1facdad671d12a651c1b406054874a1ae7e581.jpg,Neutral
4,259706024289,259706301089,410281976,龙耀渊,4,女,我喜欢你[给心心],2025-04-17 08:58:00,0,0,懒癌晚期,未知,否,https://i2.hdslb.com/bfs/face/25a20aca2c52f3e81f3eb7adfa8ec803be8fc8e8.jpg,Love
5,0,259706024289,51882455,Hao_2202,6,男,up加油,2025-04-17 08:51:14,1,1,,未知,是,https://i2.hdslb.com/bfs/face/7a1facdad671d12a651c1b406054874a1ae7e581.jpg,Neutral
6,259706024289,259706301089,410281976,龙耀渊,4,女,我喜欢你[给心心],2025-04-17 08:58:00,0,0,懒癌晚期,未知,否,https://i2.hdslb.com/bfs/face/25a20aca2c52f3e81f3eb7adfa8ec803be8fc8e8.jpg,Love
7,0,259706024289,51882455,Hao_2202,6,男,up加油,2025-04-17 08:51:14,1,1,,未知,是,https://i2.hdslb.com/bfs/face/7a1facdad671d12a651c1b406054874a1ae7e581.jpg,Neutral
8,259706024289,259706301089,410281976,龙耀渊,4,女,我喜欢你[给心心],2025-04-17 08:58:00,0,0,懒癌晚期,未知,否,https://i2.hdslb.com/bfs/face/25a20aca2c52f3e81f3eb7adfa8ec803be8fc8e8.jpg,Love
9,0,259706024289,51882455,Hao_2202,6,男,up加油,2025-04-17 08:51:14,1,1,,未知,是,https://i2.hdslb.com/bfs/face/7a1facdad671d12a651c1b406054874a1ae7e581.jpg,Neutral
10,259706024289,259706301089,410281976,龙耀渊,4,女,我喜欢你[给心心],2025-04-17 08:58:00,0,0,懒癌晚期,未知,否,https://i2.hdslb.com/bfs/face/25a20aca2c52f3e81f3eb7adfa8ec803be8fc8e8.jpg,Love
