序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,259745013969,3493127019039160,大师球喵,5,保密,第一次见到三角洲比我还卡的,2025-04-17 19:02:45,0,0,游戏杂粮    喵~,未知,否,https://i1.hdslb.com/bfs/face/9122ac501476c8bb047d12fd13bc208048d1ff71.jpg,Disgust
2,0,259738947297,3546810706561471,houiwsjj,3,保密,me too me too[笑哭],2025-04-17 16:22:04,0,0,,未知,否,https://i1.hdslb.com/bfs/face/2522a00a33186e21946943bed1cefd7cfc407bfc.jpg,Neutral
3,0,259745013969,3493127019039160,大师球喵,5,保密,第一次见到三角洲比我还卡的,2025-04-17 19:02:45,0,0,游戏杂粮    喵~,未知,否,https://i1.hdslb.com/bfs/face/9122ac501476c8bb047d12fd13bc208048d1ff71.jpg,Disgust
4,0,259738947297,3546810706561471,houiwsjj,3,保密,me too me too[笑哭],2025-04-17 16:22:04,0,0,,未知,否,https://i1.hdslb.com/bfs/face/2522a00a33186e21946943bed1cefd7cfc407bfc.jpg,Neutral
5,0,259745013969,3493127019039160,大师球喵,5,保密,第一次见到三角洲比我还卡的,2025-04-17 19:02:45,0,0,游戏杂粮    喵~,未知,否,https://i1.hdslb.com/bfs/face/9122ac501476c8bb047d12fd13bc208048d1ff71.jpg,Disgust
6,0,259738947297,3546810706561471,houiwsjj,3,保密,me too me too[笑哭],2025-04-17 16:22:04,0,0,,未知,否,https://i1.hdslb.com/bfs/face/2522a00a33186e21946943bed1cefd7cfc407bfc.jpg,Neutral
7,0,259745013969,3493127019039160,大师球喵,5,保密,第一次见到三角洲比我还卡的,2025-04-17 19:02:45,0,0,游戏杂粮    喵~,未知,否,https://i1.hdslb.com/bfs/face/9122ac501476c8bb047d12fd13bc208048d1ff71.jpg,Surprise
8,0,259738947297,3546810706561471,houiwsjj,3,保密,me too me too[笑哭],2025-04-17 16:22:04,0,0,,未知,否,https://i1.hdslb.com/bfs/face/2522a00a33186e21946943bed1cefd7cfc407bfc.jpg,Neutral
9,0,259745013969,3493127019039160,大师球喵,5,保密,第一次见到三角洲比我还卡的,2025-04-17 19:02:45,0,0,游戏杂粮    喵~,未知,否,https://i1.hdslb.com/bfs/face/9122ac501476c8bb047d12fd13bc208048d1ff71.jpg,Disgust
10,0,259738947297,3546810706561471,houiwsjj,3,保密,me too me too[笑哭],2025-04-17 16:22:04,0,0,,未知,否,https://i1.hdslb.com/bfs/face/2522a00a33186e21946943bed1cefd7cfc407bfc.jpg,Neutral
