序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260910149425,3546845743679671,自W二,2,保密,666,2025-05-02 14:12:09,0,1,,未知,否,https://i1.hdslb.com/bfs/face/80f4c6d9f3dec45879ba49c35125fbc586642b72.jpg
2,0,261470094544,397218732,脑机relink,5,男,虽然，但是队友的道具炸到敌人的同时如果附近有队友也会炸死队友[doge]，之前我刚打完一个人没状态对面上来一个人要补我，然后我队友扔雷把我和那一个人一块炸死了,2025-04-28 04:19:30,0,0,,未知,否,https://i0.hdslb.com/bfs/face/839614a7d7c103f504b2574a845e9a0c190ddbc1.jpg
3,0,260987080752,2130617612,阿巴阿巴666666665,4,保密,并非成功,2025-04-22 02:16:56,0,0,,未知,是,https://i2.hdslb.com/bfs/face/01f352bb7803e72a21e8131fd52642379e50f160.jpg
4,0,260842916208,5048247,豪言の老奶奶,6,男,这麦小鼠把把吃瘪,2025-04-20 06:47:45,0,0,恢复视频制作。QQ：532558441,未知,是,https://i0.hdslb.com/bfs/face/b29a95df69215deb164a74bdabaa4fb5ee121399.jpg
5,0,260655963504,3546774809610930,一个学校三个,2,保密,不一定,2025-04-18 04:34:19,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
6,0,259518795409,1703450184,北方联合的苏萌,5,女,那个老板护航队反应慢成这个样子，拉绳索面对的事实是，老板被一脚踹死，两个护航会被直接补两个燃烧弹，然后红狼两手炮榴弹解决。,2025-04-14 17:10:10,1,2,"不要盲目地跟随，他们不希望后来人这样
不要盲目地相信，他们遇见过太多的背叛
不要盲目地读书，他们知道实践大于理论",未知,否,https://i0.hdslb.com/bfs/face/e58ede2ea1db689d2d1b30d892f31f26cc103fd2.jpg
7,0,259474671297,232556693,易大山bili,6,男,"三角洲纯手打代肝
本人手打
比例7r/100w，可私聊商量
开直播
保证不碰号里的东西，需要的私聊。",2025-04-14 06:14:36,0,0,三角洲代刷私聊,未知,是,https://i2.hdslb.com/bfs/face/00d529b5a3ce7425951633f294dc40b1b6bc2e7d.jpg
8,0,260322308112,3546643857148210,甜心南兮,2,女,什么时候制裁老板 ，看的我心里一股无名火,2025-04-13 17:58:17,0,0,,未知,否,https://i1.hdslb.com/bfs/face/50b3ab7f4adeffedbf93ca8532039aaff77cc719.jpg
9,0,259401507041,1986838768,bili_90407851578,3,保密,谁还记得作者一开始是录什么的？,2025-04-13 07:19:09,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
10,0,259320394113,85545695,15080942965,6,保密,这个变身好帅呀，我操。,2025-04-12 08:41:14,0,0,,未知,否,https://i2.hdslb.com/bfs/face/fff0be068ed2d88a6332d1300f11434352ed794b.jpg
