序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262178496656,399464628,pink纯洁的心,6,保密,"可接此赛季33，有信誉图，上赛季失去联系已做24，帮助31位老板圆梦33保险[打call][打call]，此赛季已经11个失去联系
S4两个老板目前全包21小时已做完77个任务
目前17位老板已拿下S4黑夜之子九格安全箱，已经轻松拿本赛季[喜欢][喜欢]，两单全包库存价值涨了2kw，轻松拿捏
嘎嘎拿捏，上赛季丰富的失去联系经验，直接拿捏此赛季，六天两个33什么含金量不用多讲，失联8个[打call]
失去联系平均两小时做完，嘎嘎效率，老板可以提前找我预约，现在排队，让每个老板在此赛季不再失去联系
2-3天内完成整个33[给心心][给心心][奋斗][奋斗]",2025-05-06 11:49:30,0,0,"接三角洲代肝33，各位老板私信dd，有信誉图，纯绿玩
",未知,否,https://i0.hdslb.com/bfs/face/ead1d02f6c269044e2cfd2c871668509a2ac6a2c.jpg
2,0,261229028017,52791987,derf0117,6,男,给人当成狙击兵干死了咋办,2025-05-06 10:12:06,0,0,,未知,是,https://i0.hdslb.com/bfs/face/81e520e9692e155870aee5ba14f3549b2e58a232.jpg
3,0,261205258545,8656596,bili_8656596,6,男,被打的时候，人机别打我，人机别打我,2025-05-06 03:40:18,0,0,螺旋桨现割，1000度高温炙烤，焦品美味，入口即化,未知,是,https://i0.hdslb.com/bfs/face/c60ee2a536e253982edc6299e581058046925bd9.jpg
4,0,261200406513,1538818473,哈夫克无畏机枪兵,5,男,现在这直升机没了,2025-05-06 02:09:18,0,0,,未知,否,https://i0.hdslb.com/bfs/face/a310694fdfaf4be603602bfa796e21efa2bab8de.jpg
5,0,262138110416,475373423,无可救药的喜欢02,5,男,透视挂哥：我就是突然想撤离了，没啥别的原因,2025-05-06 01:11:28,0,0,感谢曾经那位up“LC-免费琴谱分享”非常感谢你，希望您可以回来B站。,未知,是,https://i2.hdslb.com/bfs/face/816a884b392f85682c9136584c89c5f8ddbbe347.jpg
6,0,261187758465,310641874,灰常恐怖,5,男,试了，半天没上去，要么没扒拉上墙，要么在天上就被老太的全自动M700送走了[doge_金箍],2025-05-05 17:37:51,0,0,,未知,否,https://i1.hdslb.com/bfs/face/2b6e2804eff967fec41f4917d9bac7d4299db7c9.jpg
7,0,262096081696,315269245,蕉焦者,6,保密,有倒计时的兄弟，玩不了，别试了[doge],2025-05-05 10:38:42,0,0,,未知,是,https://i1.hdslb.com/bfs/face/55cfb8cbb79ca4f938eb35ba6485ae160933c028.jpg
8,0,262067929072,147694239,红尘劫匪,6,保密,刚看了一个坐飞机下来，虎蹲炮落地没事,2025-05-05 04:36:09,0,0,,未知,否,https://i0.hdslb.com/bfs/face/5e2c004ad3a7778800ad4cfd22fc1f6a5526a3ac.jpg
9,0,261115113137,1448469968,正经的大邢,4,保密,用虎蹲当落地水，倒地判定时无伤的[doge_金箍][doge_金箍],2025-05-05 01:36:54,0,0,,未知,否,https://i2.hdslb.com/bfs/face/f865eea4fcc4a423e56499a9334ed2aae2706e68.jpg
10,0,261076825585,159071559,退堂鼓冠军-,6,保密,可以虎蹲强行覆盖掉坠落伤害，但后面不能跳，一跳就会重新结算,2025-05-04 12:32:32,0,0,,未知,是,https://i0.hdslb.com/bfs/face/26a65646b31093195588018e619912350522998f.jpg
11,0,262013669264,1526585132,戰术人形AA12,5,保密,但凡威龙喷气能无伤[Mygo表情包_有趣的女人],2025-05-04 12:24:55,0,0,扣丝奇塔,未知,是,https://i2.hdslb.com/bfs/face/9c6eabf032875df87c49873d2f1cd42138a30910.jpg
12,0,262008594704,3493110436858503,星烛花海,3,保密,选择救援能触发类似于无伤攀爬的这种情况吗？,2025-05-04 11:27:12,0,1,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
13,0,262007845120,3494367083891211,-zerotwo-baby,5,保密,这个这个看这个[笑哭],2025-05-04 11:17:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/6e7e0c5dbddafc23d30cb95aed912d91ad5f44e3.jpg
14,0,262005957664,165589948,US-RU,6,男,@三角洲行动 赶紧修复！快点的,2025-05-04 10:57:45,0,0,无话可说,未知,否,https://i1.hdslb.com/bfs/face/be6f06149ef737d93472a89fb165dde2eb8f5b98.jpg
15,0,262003860480,3461582686259818,厘岸OvO,5,保密,昨天才刷到快速部署，队友都看呆了[脱单doge],2025-05-04 10:34:24,0,0,,未知,是,https://i1.hdslb.com/bfs/face/e3e2fec4260e38dd69ef1e0538018f386a6fd41a.jpg
16,0,262003247392,3546674892900923,蚊子不吸血55,3,男,也可以扔个虎蹲把自己在半空炸倒，这个时候还是判定在空中，救完队友之后原地跳一下才会判定为摔死,2025-05-04 10:28:22,0,1,,未知,否,https://i2.hdslb.com/bfs/face/e3383288597c26a25d1a781dd6dd07f971fd8d87.jpg
17,0,261987521744,1541151408,被超量叠放的飞段,5,保密,别试，会被天空属于哈夫克[doge],2025-05-04 07:02:40,0,0,,未知,否,https://i0.hdslb.com/bfs/face/86c82f31e741fa6f4fd42fc5e375e1a837216e0b.jpg
18,0,261986537296,526233640,S_P-Cain,5,男,这都几个赛季了，为什么老是有人觉得喷气能重置掉落伤害,2025-05-04 06:50:00,0,1,无钩无饵在线钓鱼，愿者自己主动来看,未知,否,https://i1.hdslb.com/bfs/face/4fcd13d33e683cad88e58f63156ed3380b426ba8.jpg
19,0,261973515552,295626547,语文课上的小池,6,男,不是，那咋下去,2025-05-04 04:08:05,2,1,,未知,否,https://i1.hdslb.com/bfs/face/68df82047d4e7567e9097496e57c3c947ec82329.jpg
20,0,261967433376,3546713274976402,lserinina,4,保密,gti狙击兵[doge],2025-05-04 02:53:20,0,0,,未知,否,https://i1.hdslb.com/bfs/face/7a2cd054ec13cdf4bc63f9685264c94cf5423718.jpg
23,0,261027816369,1352185265,operation390,5,保密,不好笑，坠机了[蔚蓝档案表情包_呜哇],2025-05-04 02:07:08,0,0,我是超级大混子ᕕ(◠ڼ◠)ᕗ,未知,否,https://i2.hdslb.com/bfs/face/59e10e6c0a95663b8c6e1597413524c56c68e492.jpg
24,0,261958398384,44155421,红叶为尘,6,男,那么问题来了怎么下去,2025-05-04 00:32:55,0,0,"
总有一天",未知,否,https://i2.hdslb.com/bfs/face/589a0ce1798926b0e8468fd8787c378b820d9813.jpg
25,0,261955139552,1420193,阿丫丫泡泡,6,保密,孩子们，用这个真的会封号，不用护食了[笑哭][笑哭],2025-05-03 22:53:26,0,0,无个性小姐的签名没有个性,未知,否,http://i2.hdslb.com/bfs/face/2caa1825834e746e8f70da7faaa02d4968f9a27d.jpg
26,0,261954106528,8717734,永冬Prime丶,6,保密,@莽夫KV-2,2025-05-03 21:59:06,0,0,鱼骨头，我们能横行霸道一辈子吗？,未知,是,http://i1.hdslb.com/bfs/face/db6d499f362b16dc27ec4aac596ac70b41e9a616.jpg
27,0,261014469761,171001173,艾伦_黑格尔,6,男,三角洲最逆天的发现——小怂弟[OK],2025-05-03 18:40:23,0,1,,未知,是,https://i0.hdslb.com/bfs/face/684981f0f40b1662c300242119cbc20ed8c75d87.jpg
28,0,261948640480,543077106,一只很烦神烦狗,5,男,牢三打五分钟斗地主等飞机越狱，不比东区吊桥香啊[doge_金箍],2025-05-03 17:48:14,0,0,,未知,否,https://i0.hdslb.com/bfs/face/9de56984b6a5d0e565205128dd6c3fe921915689.jpg
29,0,261009397281,160897257,Aniney,6,男,@白哲zhe,2025-05-03 16:47:56,0,1,中奖绝缘体ᕕ( ᐛ )ᕗ​,未知,否,https://i0.hdslb.com/bfs/face/412f53c470d46d46641f56122e8847a51084e94c.jpg
30,0,261934328400,515516528,二次元并不完美,6,保密,刚举报一个没成功被打死了,2025-05-03 14:38:56,0,0,少年，你相信命运吗,未知,否,https://i2.hdslb.com/bfs/face/926cd585773df72777546bd50c2713282f857701.jpg
31,0,260993838897,296292074,天天抽象の交兵,6,保密,改了，有空气墙[doge_金箍],2025-05-03 13:50:42,0,0,"交兵,出击！",未知,是,https://i2.hdslb.com/bfs/face/d9354d13dd805ddd833b42734b90270c35b8c213.jpg
32,0,261925392512,1654544149,风已凉FYL,3,男,主播喊一声发现敌人可以去cos哈夫克小兵了,2025-05-03 13:06:24,0,0,,未知,否,https://i1.hdslb.com/bfs/face/77e8d1239da8dec24caf6d1e275373964e868015.jpg
33,0,261924031808,3546592506284423,法外狂徒-尼克,5,男,这俩[笑哭],2025-05-03 12:49:40,0,1,"别相信我一定是个“好人”也别相信我因为我连自己都不相信
 （虚伪...之人
但也不确定好人一定比坏人多但也别信坏人很少毕竟万里挑一也有14万",未知,否,https://i2.hdslb.com/bfs/face/4a2a10bf1ff65ba1ef906c6420f39d72676c0b94.jpg
34,0,261923699568,144026516,神界丶,6,保密,主播主播，你这个点位雀食无敌，但是要怎么撤离呢,2025-05-03 12:46:16,7,22,,未知,是,https://i2.hdslb.com/bfs/face/2da8dfe51fdaf7cddf62c9c7ca2c1e47d613348a.jpg
35,0,261918660160,406079825,梦想是成为超级大厨,6,男,不是哥们 这位置都不倒计时啊,2025-05-03 11:44:41,0,0,,未知,否,https://i2.hdslb.com/bfs/face/cc2766b668cfc6c0a70aaa26e98390f37c416e9c.jpg
36,0,260977219361,482840453,燎鸷,5,男,会封,2025-05-03 10:27:57,0,0,保卫人民群众的兜底性利益。,未知,是,https://i2.hdslb.com/bfs/face/90020134991ed67e0a8b5565bf3e010322bb96d5.jpg
37,0,260976193601,1528508383,秋日之夕,5,保密,dma想了想走丢人撤了[笑哭],2025-05-03 10:14:53,0,0,,未知,否,https://i1.hdslb.com/bfs/face/3fede8bfae5b083e2be83277d5e41097d8670ce6.jpg
