序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262160180672,29773816,朽石未蚀,6,男,王宇昊同志摇起来了,2025-05-06 07:17:08,0,0,喷完就拉黑真是太有本事啦，谁先拉黑谁就是急的那个哦,未知,是,https://i1.hdslb.com/bfs/face/10c136a846a500f40a72b5f37e1be8de4909e86c.jpg
2,0,261140990353,1746623554,右歪七七了,4,保密,这刷能天才少年吗,2025-05-05 07:09:28,0,0,问好每一天 awa,未知,否,https://i1.hdslb.com/bfs/face/88d183920722203bbbb440b2ac75742585846a92.jpg
3,0,261102289185,355217775,你这猴子令我欢喜,6,保密,@三角洲行动,2025-05-04 17:51:34,0,0,如果真相带来痛苦，谎言只会雪上加霜,未知,是,https://i0.hdslb.com/bfs/face/65508e42771ae10ce2c8b7ec52104211bae4c48d.jpg
4,0,261083780881,474901457,sxh_Z,5,保密,666这bug现在还有刚碰到一把,2025-05-04 13:50:22,0,0,,未知,否,https://i2.hdslb.com/bfs/face/68b44465473f5f2366306a10b5ec76cfd90e4444.jpg
5,0,261990467200,3546554151471338,Doge_two,3,保密,天才少年生成器[doge_金箍][doge_金箍][doge_金箍],2025-05-04 07:47:20,0,0,114514,未知,否,https://i2.hdslb.com/bfs/face/80edae8490a48701c2081dfdc75642e20a1121e2.jpg
6,0,261989240000,85640837,Dr羽夜,6,男,天才少年[doge],2025-05-04 07:27:52,0,0,,未知,否,https://i2.hdslb.com/bfs/face/50b9fe87176c6bdf500ebddc9cd9cdd46b2033f5.jpg
7,0,261028418625,3546814615653180,咋圆了,3,保密,不拿250128刷居然还在用单弹量少的[doge_金箍],2025-05-04 02:15:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/92b42ee4f5e8c764fddc2699f787110a4f356313.jpg
8,0,261017782945,3546716481522051,血歌影,3,保密,天才少年速刷,2025-05-03 21:31:30,0,0,我累了，需要休息,未知,是,https://i0.hdslb.com/bfs/face/10b709034b1c0790bb092f7a34151914af133f55.jpg
9,0,260992785153,3546685494003961,一张不白的白纸o,2,保密,这一把加分加了多少我好奇。,2025-05-03 13:39:08,0,0,?,未知,否,https://i1.hdslb.com/bfs/face/010d558154c5bb9e18005ebb0c1d4b87f9156932.jpg
10,0,261879088208,305768814,一个斑斓的影子,6,男,这样的话官方会不会封你号,2025-05-03 03:03:59,0,0,最后祝您身体健康再见！,未知,否,https://i0.hdslb.com/bfs/face/0881d737a08ea2390b9f8e36f57d1f432879cf98.jpg
11,0,261844805488,1968050331,乌乌乌乌乌乌兰,4,保密,好奇最后加多少分,2025-05-02 14:25:31,0,0,"白垩纪末期，银河系和伽尔马星系、阿尔法星系融合。地球面积是原先的三倍，地形改变，国家和历史改变——乌兰世界观（乌兰原型：中国和蒙古国）
",未知,否,https://i0.hdslb.com/bfs/face/7ad3d0ce5344c8010892d4b31c87c841482666ab.jpg
12,0,260728186545,3546658797259670,筷尼,3,保密,byd一开始还以为制导炸那么多,2025-04-30 11:00:37,0,0,,未知,否,https://i2.hdslb.com/bfs/face/c019ac5251b58e11512e7ade4f9dc1c7588bd1cd.jpg
13,0,261645030096,212666119,DecretumR,6,保密,elo机制：来啦老弟,2025-04-30 08:36:24,0,0,"我们每日度过的日常，就是连续不断的奇迹。
我们所遭遇的无数失败，不是弱者的象征，亦不会因此停下前进的脚步       ———ハルウララ",未知,否,https://i1.hdslb.com/bfs/face/8041491c3e2e2232b0f649b68d6282c7c185b77d.jpg
14,0,261358705168,3546733162269410,碎冰冰超冰,2,保密,天才少年最没含金量的一集,2025-04-26 15:00:50,0,0,,未知,否,https://i2.hdslb.com/bfs/face/1cfbf0edcc92870eb56d0964f38bd9c5eeb7075e.jpg
15,0,260416876129,73846098,维一人恋一城,6,男,"喏，谁的不死秒复活超能力[脱单doge]
突然想起来玩mc联机，有个人玩命令方块，加上房主设定死亡秒复活，直接给所有人都整成了瞬死瞬复活，档成死档了[笑哭]",2025-04-26 10:03:04,0,0,,未知,是,https://i0.hdslb.com/bfs/face/692220e347c15fbffa93e2cc7fb079df401967c0.jpg
16,0,261319533056,3546873994414330,代号一威龙,2,保密,一局直接拿下天才少年的两倍都够,2025-04-26 06:31:22,0,0,,未知,否,https://i1.hdslb.com/bfs/face/371873a8ffb61e359e0b6d6cfee8aebfed73c8d3.jpg
17,0,261292180464,3546651287358336,米龙传说之金色天际线,3,保密,哈哈哈，满满的人性,2025-04-25 23:49:47,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
18,0,260331050433,97267465,欢愉令使坐忘道阿蒙,6,保密,感觉是哪位好心大哥被天才少年折磨疯了，决定回馈一下，让房间里的其他人刷一下天才少年,2025-04-25 09:21:35,0,0,看什么看  这是签名  ,未知,是,https://i1.hdslb.com/bfs/face/4039c8bf45c7bb4c6b52fa17a777cff1bdd9e1b2.jpg
19,0,260296305633,3546645427915390,我诗人不诗啊,2,男,加了多少排位分[doge_金箍],2025-04-24 23:04:01,0,0,鼠鼠我呀，又破产了T∧T,未知,否,https://i1.hdslb.com/bfs/face/7dcda558816bf876265ba7a4dee3680677e4ce86.jpg
20,0,260244909425,696075551,神算子-黑希儿,5,保密,所以这助攻怎么回事[笑哭],2025-04-24 06:09:37,3,0,,未知,否,https://i2.hdslb.com/bfs/face/3b35b4154a4f361ac24407634b118197cec81210.jpg
24,0,261139731344,1447638727,魄缜,5,男,死了秒活但有一两秒延迟，一直死就一直动不了？,2025-04-24 02:10:16,0,0,现役刀客塔。,未知,是,https://i1.hdslb.com/bfs/face/eadbba2116250cc8d3a0ddedc25c9ffa0123dec5.jpg
25,0,260204457697,491444281,替我向家父问好,4,保密,其实如果这个人不被T进攻方估计都赢不了,2025-04-23 14:25:48,7,2,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
26,0,260162086033,395902679,palimnesis往事,6,男,草船借箭既视感,2025-04-23 04:03:51,0,0,怀旧老小孩,未知,否,http://i1.hdslb.com/bfs/face/2dd6b5f3bf48f8e3e7dd0a0077e2291638429a4c.jpg
27,0,260100523249,473855183,一血小板一,6,保密,我都不敢想对面下一把会匹多少人机。,2025-04-22 07:32:14,0,0,别看了，私聊我免fei分享矛xuan1-5,未知,否,https://i2.hdslb.com/bfs/face/b8a3c8b54e51ea0be5df3a09610d8e33a4ddf3b2.jpg
28,0,260964996832,3461581658655600,失落の网友,4,保密,@极致的虚化 @8977757,2025-04-21 15:21:27,0,0,,未知,是,https://i0.hdslb.com/bfs/face/fe6b49e6c06e8c3dadac5c59d91818d15c3b6f4a.jpg
29,0,260021288801,1152941495,kleeSky,5,女,重来没打过这么富裕的仗,2025-04-21 06:15:43,0,0,(๑•ั็ω•็ั๑),未知,是,https://i2.hdslb.com/bfs/face/b70a292e6d22a7c8374a8767fcbf018c7efc70fc.jpg
30,0,259945074657,1667569775,mc星夜尘星,5,男,我之前遇到过一个，但是没有打死过他，以为是挂就跑得远远的，与天才少年失之交臂[大哭],2025-04-20 06:56:04,0,0,,未知,否,https://i2.hdslb.com/bfs/face/84e4068e1d4501d7effd77423b02312235683939.jpg
31,0,260835185632,3494368897927641,拟南芥不好吃,4,保密,“资源无限供应，导弹已在路上”“制导齐射 已就绪”“我还以为是巡飞弹呢”“我都这么用力了，你怎么还活着”,2025-04-20 05:09:05,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e365baf34e37ad8a8e5cc5e48af856da93c57f29.jpg
32,0,260825284480,3493106861213828,騰鱗,3,保密,赶紧练枪啊！换把枪直接打，能刷好多满级枪了,2025-04-20 03:14:17,2,0,阿玛提拉斯,未知,否,https://i2.hdslb.com/bfs/face/896305a4e485d02f73a4cf54d3eb1162b0137c93.jpg
33,0,259921768305,282620789,看吧故事结束了,6,男,直接解锁天才少年,2025-04-20 01:55:59,0,0,你这个眼神我曾经见过,未知,是,https://i2.hdslb.com/bfs/face/183bb8f9f0658ee79ae695a175f83f2d9adb2fcc.jpg
34,0,259877861169,3493110944369475,Thvera,4,男,威龙视角请看VCR:【无限原地复活！无限刷分！堑壕里的惨案 人人都能打导弹 三角洲新bug？-哔哩哔哩】 https://b23.tv/43cWhmS,2025-04-19 11:49:58,0,0,,未知,否,https://i0.hdslb.com/bfs/face/3946eaa4f11807b46137afa33a0338d22dd0b5e3.jpg
35,0,260753404768,3546390424717842,紫兰球,4,保密,直接导弹饱和式打击对面[OK],2025-04-19 07:26:21,0,0,"紫兰联邦共和国，建立一个中国人的里森堡！
本人为波兰球圈和游戏圈up主，期待大家的支持！",未知,否,https://i0.hdslb.com/bfs/face/27367989da51305520417a7c99c609d55429155e.jpg
36,0,260651427696,500501448,孑沓,4,男,批发捣蛋的,2025-04-18 03:36:45,0,1,"系天蝎座，福瑞控，有fursuit；
小号：は孑沓
小号主要做游戏剪辑视频
音符：孑沓/有混剪视频和搬运视频
收藏夹分类很多


",未知,是,https://i0.hdslb.com/bfs/face/4e1db6506b645a30031d579c00cf3522750edb63.jpg
37,0,259745586849,27724299,_山海藏_,6,男,这种能刷出来天才少年不[笑哭],2025-04-17 19:28:54,0,0,深埋于山海之下,未知,是,https://i0.hdslb.com/bfs/face/afbba6c04e6030566ff9bf27d4514e745fdd9f2b.jpg
38,0,259722031553,295366,色色G2,5,保密,这下c1能吃十几个导弹,2025-04-17 12:39:30,0,0,白嫖就是要白嫖,未知,否,https://i1.hdslb.com/bfs/face/53e7d5091a09c7b5bb59d4f60d0aa542723e7f5d.jpg
39,0,260609631824,3546695063309213,tfrahijk,2,保密,GTA老登这次居然没骗我们真的是资源无限供应[笑哭][笑哭][笑哭],2025-04-17 12:32:40,0,0,,未知,否,https://i2.hdslb.com/bfs/face/fcd20e9e4a4e95774dbd8adb464b56004aeb1dae.jpg
40,0,260355727312,527464546,azawwqssea,5,保密,不豪，集束制导导弹来袭，注意隐蔽😠,2025-04-14 07:49:37,0,0,,未知,否,https://i1.hdslb.com/bfs/face/b484fa106c5c0272c67e538cccf58e7a71084e83.jpg
41,0,259471051121,3461562064964193,我一勺,5,保密,当年从日本扔下原子弹的飞行员be like:,2025-04-14 05:07:54,0,0,,未知,是,https://i0.hdslb.com/bfs/face/f5c54f9ee2e89b5654bfb92b21e8d7bd970feda6.jpg
