序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,256197214832,22110534,NicoinPyjamas,6,保密,斯卡文鼠巨魔,2025-02-23 13:03:11,0,0,,未知,是,http://i0.hdslb.com/bfs/face/98d419aeb67e049115f11e44da2c58293ff23eaa.jpg
2,0,253906763473,650809485,东格玛天天,5,男,修脚枪是哪个，咋配,2025-02-06 08:28:07,0,0,没好市市民，让世界更没好！！！,未知,是,https://i0.hdslb.com/bfs/face/211454e253556308870cda2d2365f91b63ebe375.jpg
3,0,254365682256,535818313,天天不吃饭W,5,男,为什么声音和侥幸哥一样？[doge_金箍],2025-02-04 06:01:39,0,1,真无聊呀，真无聊,未知,是,https://i1.hdslb.com/bfs/face/adbc05c1f3047312679e48ca1fe13fd3e2498a20.jpg
4,0,253790419280,555932313,汇萨,4,保密,大佬们，我是新手，想问一下手机版和电脑版账号是互通的吗[蹲蹲],2025-01-29 03:38:21,2,0,,未知,否,http://i0.hdslb.com/bfs/face/b53f516cfb4f6d5567860c363483f8f139384c1e.jpg
5,0,252461355665,476298557,听闻你曾来过丶,5,男,我想要这个铃声！好听！,2025-01-21 19:37:53,0,0,希望每一个四季都有微风吹拂。,未知,是,https://i2.hdslb.com/bfs/face/97d64cd40332a607573b246749db77ad1ed58c78.jpg
6,0,253059112240,23315119,理科生中的鬼畜H,6,保密,单三的匹配机制确实很平衡[笑哭]之前匹了一把普通长弓，我一个人硬是拿R93新手制式券灭了三队唐人，那打得让我怀疑这游戏的人机是不是会cos干员,2025-01-21 17:24:47,2,1,一般通过 战脸人,未知,否,https://i1.hdslb.com/bfs/face/796e464fd870f8c82fad2fb3acbb7e2dfe25fe7d.jpg
7,0,252966265904,349183449,吃一口喵喵球,5,保密,不知道你们玩啥感觉，我每次偷保险时候，都紧张的要死，就跟做坏事一样[笑哭][笑哭][笑哭],2025-01-20 19:17:19,0,0,,未知,否,https://i0.hdslb.com/bfs/face/fd80348e88dbb184ed9cecd8a3ef5cdee8c2a100.jpg
8,0,252252261057,94386750,石森ノ炭治狼,6,保密,像柳州的口音[呲牙],2025-01-19 13:03:54,0,0,https://service.bilibili.com/v2/chat/h5/index.html?sysNum=102d1b485153,未知,是,https://i0.hdslb.com/bfs/face/7314d4ef4c96997a9d199dc1c4e6b34e7ea49830.jpg
9,0,252213600177,3546720489180067,是砂狼白子的黑子捏,3,保密,热成像加几乎全新五级头17格弹挂20格小包35进绝密航天,2025-01-19 04:57:08,0,0,,未知,否,https://i1.hdslb.com/bfs/face/beb88e29c348cc456b60f21af9864a3cec633296.jpg
10,0,252128201009,1149394886,佛系炸卡人士,5,男,其实又撤了个鼠鼠[doge],2025-01-18 05:56:39,1,1,"up玩我的世界，明日之后，皇室战争
",未知,否,https://i2.hdslb.com/bfs/face/fdf052b7d9955b604a865d650e21173a9cc97909.jpg
11,0,252116771905,450688163,是木梓林啊,5,男,md，打个游戏和我三区训练一样[微笑],2025-01-18 03:45:29,0,0,当一个人抵力前行，整个世界都会为之让步,未知,是,https://i2.hdslb.com/bfs/face/074165bea871ffe0ec63b33dcd7e74bd39beea54.jpg
12,0,252675854432,1563742803,芙漓的筱狐仙,4,男,[doge_金箍][doge_金箍][doge_金箍],2025-01-17 16:29:47,0,1,,未知,否,https://i0.hdslb.com/bfs/face/2b31938ab961bf575e3ba7e25f9b35d45b15bf98.jpg
13,0,252088626961,503572295,无助的江苏人,5,保密,诶，这集我好像遇到过，被鸡哥打死的跑刀仔，开过的保险里是人头像[doge],2025-01-17 16:12:36,0,0,,未知,是,https://i2.hdslb.com/bfs/face/e0f078170fdccb5c7e3a88cee658a8135bd130e5.jpg
14,0,252073971809,1311012454,氧化物550,4,保密,爽,2025-01-17 13:28:10,0,0,,未知,否,https://i1.hdslb.com/bfs/face/c0caebf4653d990eac08f0cb6e457a689eb3f02d.jpg
15,0,252059297969,14689964,平凡なAさん,6,男,有没有主播这把维克托的改枪码,2025-01-17 10:44:56,0,0,,未知,否,https://i2.hdslb.com/bfs/face/75c198c74644f8a4bcc84ff4a2ec111f0bbedd15.jpg
16,0,252045715712,67514240,己庆,6,男,这是打的三弹还是肉弹啊,2025-01-10 17:31:02,0,0,,未知,是,https://i2.hdslb.com/bfs/face/adf57c4771886c1b0ad5ddea52233501139a633f.jpg
17,0,251368326753,619855266,啊段白,5,保密,[打call][打call],2025-01-09 08:36:32,0,0,,未知,是,https://i0.hdslb.com/bfs/face/2a2b3c81e92fb1ac798cb0ed66f2cfef9cf42d99.jpg
18,0,251368405361,619855266,啊段白,5,保密,[打call],2025-01-09 08:36:29,0,0,,未知,是,https://i0.hdslb.com/bfs/face/2a2b3c81e92fb1ac798cb0ed66f2cfef9cf42d99.jpg
19,0,251348927329,355864184,断弈,5,女,战区呢,2025-01-09 03:43:46,0,0,未来无止境,未知,否,https://i2.hdslb.com/bfs/face/de102b9e0b7aa666bed3a72b8514b39655f1a8a5.jpg
20,0,251326498977,453603056,所到之处便是晴天,6,男,甲亢啊阿婆主,2025-01-08 16:50:40,0,0,,未知,是,http://i2.hdslb.com/bfs/face/ebab2af2f2c875f0da134c589974216226cdc47e.jpg
26,0,251850169056,667777207,停下来,5,保密,手机端 找固排队友  本人高中牲  每天晚上十点就能玩  放假另说  已经被三角洲的神人队友折磨疯了 《附近没人不救人的  看着我死舔我包》 《绝密航天跑刀排队友 拿队友挡子弹的》 《抢包的》 还有神人我打死老太 他抢包 我问他为什么 他说，我来都来了总不可能什么都不拿吧  《机密航天起全装蹲快撤的(而且还是三个)》                                                                         游戏 id183077125405893815523                                        q  3563730288                                                                         v   18573481087,2025-01-08 12:37:00,3,3,,未知,否,https://i1.hdslb.com/bfs/face/357bfc63bc03d6adf6af10f296033d2fc74dd9d9.jpg
27,0,251824379216,1602345647,沐雨汐夏,5,男,都堵桥了12分不拉飞升，堵都堵不明白,2025-01-08 07:11:19,0,0,,未知,否,https://i2.hdslb.com/bfs/face/885a2894008cfeedec7fdd28eaf939e8da4649a4.jpg
28,0,251280604865,645850176,姜淑姬啦,5,保密,手机里有一款从头打到尾赚不到钱的游戏,2025-01-08 06:53:14,0,0,我的眼中只有青色了,未知,否,https://i0.hdslb.com/bfs/face/facb6d91ff29f9bb8f8518ed613febe655b15309.jpg
29,0,251276187729,322901661,Sky灬晨晨,5,男,没人能在我的BGM里击败我[妙啊],2025-01-08 05:39:08,0,0,想把我觉得好玩的剧情向的游戏录下来，等哪天玩不动游戏了拿出来看,未知,是,https://i0.hdslb.com/bfs/face/7b163bdf2ee25124d810e6d0e15d50ef6b076a42.jpg
30,0,251812228960,434805003,浪痞孤亡,5,保密,机枪兵  直接抽他头啊  有僵直,2025-01-08 04:20:07,0,0,,未知,是,https://i0.hdslb.com/bfs/face/9d367dd011d5d8427a97f22e6a7269b4f871bee1.jpg
31,0,251808907456,16108528,゙゙゙米,6,保密,不知道为什么看到这个标题就知道是你的视频 [笑哭]（你的名字被“1万点赞”盖住了）,2025-01-08 03:34:42,0,0,,未知,否,https://i1.hdslb.com/bfs/face/d721d1d64bd5a877819c10cf5cef63329b8bc7b2.jpg
32,0,251808650128,3493275489012336,枯谭穹窿,5,保密,虽然我玩的是和平的地铁，但是真的恶心，段位一高我想赌辐射总是死那不出去多少钱,2025-01-08 03:30:54,8,1,能改变的不多，也就所坚持的,未知,否,https://i0.hdslb.com/bfs/face/f72e3baefb5232de613dfe07cbca071c8727c433.jpg
33,0,251803845168,1869235924,斯维尔德,5,保密,kd打这么高，被策划关小黑屋就老实了[doge][支持],2025-01-08 02:18:15,0,0,认识你自己,未知,是,https://i1.hdslb.com/bfs/face/81f68f4ab90829f19482f9cf3a8a17e24070b114.jpg
34,0,251798813936,259586731,绽放凛冬之花,6,男,你怎么知道我吃雷达站的剩饭吃出来一个军用雷达,2025-01-08 00:45:10,1,1,你不爱的样子真的很酷,未知,是,https://i1.hdslb.com/bfs/face/de35f6eb8fc9cb226990ab25edd1d39dad2f0260.jpg
35,0,251797352672,4403125,破碎极星,6,男,堵撤离迷失好似,2025-01-08 00:12:31,0,0,一个普通的星际玩家,未知,是,https://i1.hdslb.com/bfs/face/3d4a9e9e663ca262435ccc7a21f4c46f70c4d7e6.webp
36,0,251254942849,38129897,开小黄的车,5,保密,我还以为是谁，原来老6啊,2025-01-07 23:45:09,0,0,,未知,是,https://i2.hdslb.com/bfs/face/72db300d4e8eccebc40786e5919499816c3cee3b.jpg
37,0,251252148129,161261357,喵内噶ぃ,6,男,现在堵撤离是真的离谱，非要都出不去才开心,2025-01-07 20:46:53,1,7,,未知,是,https://i2.hdslb.com/bfs/face/3f16dec9e9a8ab5fa46b7f27c8900dedcadb313a.jpg
38,0,251251233713,1008339191,这六个硬币干什么好呢,4,男,[脱单doge],2025-01-07 19:58:01,0,0,,未知,否,https://i2.hdslb.com/bfs/face/76ef5f8fdc818486f86427e976764fee40d393c8.jpg
39,0,251250318017,208120876,哈夫克狙击兵78,6,保密,[吃瓜]真刺激啊，最后撤离是真爽,2025-01-07 19:04:01,0,0,,未知,是,https://i1.hdslb.com/bfs/face/0d6d8a621dacd2a6366cdee48d93612d39f33459.jpg
