序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,260576208913,1944149858,墨西哥鸡肉卷丶,5,男,经典河道乱斗,2025-04-28 11:30:13,0,0,,未知,否,https://i2.hdslb.com/bfs/face/dc66b16102a4cfa2825c918ccec59c5708996dc9.jpg,Joy
2,0,260573471665,1602091661,真理面具_,5,保密,一看就是十年老兵,2025-04-28 10:54:48,0,0,及时行乐,未知,否,https://i2.hdslb.com/bfs/face/cc7707e81113932720562ff8042af05f2c829250.jpg,Neutral
3,0,261495959344,446740729,Kid键盘坏掉了,6,男,像在玩大战场捞薯条,2025-04-28 10:52:59,0,0,,未知,否,https://i1.hdslb.com/bfs/face/cb82b816144cf2534b1d0de2c542b9506b599d85.jpg,Neutral
4,0,261461463184,2002617322,进击的Little,4,保密,这各种爆头 [doge],2025-04-28 02:06:47,1,11,,未知,否,https://i1.hdslb.com/bfs/face/ea5feb984550f973be411426fb5cbb2b66ef1e54.jpg,Joy
5,0,261429560256,457867527,成_木_木,5,男,有实力的哥,2025-04-27 13:23:34,0,0,跟你爆了！,未知,是,https://i0.hdslb.com/bfs/face/36efe8250c71b715a5617307e619d3e3063f0e05.jpg,Neutral
6,0,261428154752,521137243,灰灰兔司令,3,男,热乎的！,2025-04-27 13:06:19,0,2,,未知,否,https://i1.hdslb.com/bfs/face/f882bc8b70175a1ee22fef5087fae52fd4f88e43.jpg,Neutral
7,261461463184,260555446465,22463672,我不是大果儿,6,男,这枪莫名其妙就打到头了[嘟嘟],2025-04-28 05:59:23,0,1,前2000粉丝抽10位免费双护一把~ 定时更新三角洲内容 v：  LoveCan_1110 ,未知,否,https://i2.hdslb.com/bfs/face/12fe7f49567f61e4ab0366a38c01dc1b0fe3f656.jpg,Disgust
8,0,260576208913,1944149858,墨西哥鸡肉卷丶,5,男,经典河道乱斗,2025-04-28 11:30:13,0,0,,未知,否,https://i2.hdslb.com/bfs/face/dc66b16102a4cfa2825c918ccec59c5708996dc9.jpg,Joy
9,0,260573471665,1602091661,真理面具_,5,保密,一看就是十年老兵,2025-04-28 10:54:48,0,0,及时行乐,未知,否,https://i2.hdslb.com/bfs/face/cc7707e81113932720562ff8042af05f2c829250.jpg,Neutral
10,0,261495959344,446740729,Kid键盘坏掉了,6,男,像在玩大战场捞薯条,2025-04-28 10:52:59,0,0,,未知,否,https://i1.hdslb.com/bfs/face/cb82b816144cf2534b1d0de2c542b9506b599d85.jpg,Neutral
11,0,261461463184,2002617322,进击的Little,4,保密,这各种爆头 [doge],2025-04-28 02:06:47,1,11,,未知,否,https://i1.hdslb.com/bfs/face/ea5feb984550f973be411426fb5cbb2b66ef1e54.jpg,Joy
12,0,261429560256,457867527,成_木_木,5,男,有实力的哥,2025-04-27 13:23:34,0,0,跟你爆了！,未知,是,https://i0.hdslb.com/bfs/face/36efe8250c71b715a5617307e619d3e3063f0e05.jpg,Neutral
13,0,261428154752,521137243,灰灰兔司令,3,男,热乎的！,2025-04-27 13:06:19,0,2,,未知,否,https://i1.hdslb.com/bfs/face/f882bc8b70175a1ee22fef5087fae52fd4f88e43.jpg,Neutral
14,261461463184,260555446465,22463672,我不是大果儿,6,男,这枪莫名其妙就打到头了[嘟嘟],2025-04-28 05:59:23,0,1,前2000粉丝抽10位免费双护一把~ 定时更新三角洲内容 v：  LoveCan_1110 ,未知,否,https://i2.hdslb.com/bfs/face/12fe7f49567f61e4ab0366a38c01dc1b0fe3f656.jpg,Disgust
15,0,260576208913,1944149858,墨西哥鸡肉卷丶,5,男,经典河道乱斗,2025-04-28 11:30:13,0,0,,未知,否,https://i2.hdslb.com/bfs/face/dc66b16102a4cfa2825c918ccec59c5708996dc9.jpg,Joy
16,0,260573471665,1602091661,真理面具_,5,保密,一看就是十年老兵,2025-04-28 10:54:48,0,0,及时行乐,未知,否,https://i2.hdslb.com/bfs/face/cc7707e81113932720562ff8042af05f2c829250.jpg,Neutral
17,0,261495959344,446740729,Kid键盘坏掉了,6,男,像在玩大战场捞薯条,2025-04-28 10:52:59,0,0,,未知,否,https://i1.hdslb.com/bfs/face/cb82b816144cf2534b1d0de2c542b9506b599d85.jpg,Neutral
18,0,261461463184,2002617322,进击的Little,4,保密,这各种爆头 [doge],2025-04-28 02:06:47,1,11,,未知,否,https://i1.hdslb.com/bfs/face/ea5feb984550f973be411426fb5cbb2b66ef1e54.jpg,Joy
19,0,261429560256,457867527,成_木_木,5,男,有实力的哥,2025-04-27 13:23:34,0,0,跟你爆了！,未知,是,https://i0.hdslb.com/bfs/face/36efe8250c71b715a5617307e619d3e3063f0e05.jpg,Neutral
20,0,261428154752,521137243,灰灰兔司令,3,男,热乎的！,2025-04-27 13:06:19,0,2,,未知,否,https://i1.hdslb.com/bfs/face/f882bc8b70175a1ee22fef5087fae52fd4f88e43.jpg,Neutral
21,261461463184,260555446465,22463672,我不是大果儿,6,男,这枪莫名其妙就打到头了[嘟嘟],2025-04-28 05:59:23,0,1,前2000粉丝抽10位免费双护一把~ 定时更新三角洲内容 v：  LoveCan_1110 ,未知,否,https://i2.hdslb.com/bfs/face/12fe7f49567f61e4ab0366a38c01dc1b0fe3f656.jpg,Disgust
22,0,260576208913,1944149858,墨西哥鸡肉卷丶,5,男,经典河道乱斗,2025-04-28 11:30:13,0,0,,未知,否,https://i2.hdslb.com/bfs/face/dc66b16102a4cfa2825c918ccec59c5708996dc9.jpg,Joy
23,0,260573471665,1602091661,真理面具_,5,保密,一看就是十年老兵,2025-04-28 10:54:48,0,0,及时行乐,未知,否,https://i2.hdslb.com/bfs/face/cc7707e81113932720562ff8042af05f2c829250.jpg,Neutral
24,0,261495959344,446740729,Kid键盘坏掉了,6,男,像在玩大战场捞薯条,2025-04-28 10:52:59,0,0,,未知,否,https://i1.hdslb.com/bfs/face/cb82b816144cf2534b1d0de2c542b9506b599d85.jpg,Neutral
25,0,261461463184,2002617322,进击的Little,4,保密,这各种爆头 [doge],2025-04-28 02:06:47,1,11,,未知,否,https://i1.hdslb.com/bfs/face/ea5feb984550f973be411426fb5cbb2b66ef1e54.jpg,Joy
26,0,261429560256,457867527,成_木_木,5,男,有实力的哥,2025-04-27 13:23:34,0,0,跟你爆了！,未知,是,https://i0.hdslb.com/bfs/face/36efe8250c71b715a5617307e619d3e3063f0e05.jpg,Neutral
27,0,261428154752,521137243,灰灰兔司令,3,男,热乎的！,2025-04-27 13:06:19,0,2,,未知,否,https://i1.hdslb.com/bfs/face/f882bc8b70175a1ee22fef5087fae52fd4f88e43.jpg,Neutral
28,261461463184,260555446465,22463672,我不是大果儿,6,男,这枪莫名其妙就打到头了[嘟嘟],2025-04-28 05:59:23,0,1,前2000粉丝抽10位免费双护一把~ 定时更新三角洲内容 v：  LoveCan_1110 ,未知,否,https://i2.hdslb.com/bfs/face/12fe7f49567f61e4ab0366a38c01dc1b0fe3f656.jpg,Disgust
29,0,260576208913,1944149858,墨西哥鸡肉卷丶,5,男,经典河道乱斗,2025-04-28 11:30:13,0,0,,未知,否,https://i2.hdslb.com/bfs/face/dc66b16102a4cfa2825c918ccec59c5708996dc9.jpg,Joy
30,0,260573471665,1602091661,真理面具_,5,保密,一看就是十年老兵,2025-04-28 10:54:48,0,0,及时行乐,未知,否,https://i2.hdslb.com/bfs/face/cc7707e81113932720562ff8042af05f2c829250.jpg,Neutral
31,0,261495959344,446740729,Kid键盘坏掉了,6,男,像在玩大战场捞薯条,2025-04-28 10:52:59,0,0,,未知,否,https://i1.hdslb.com/bfs/face/cb82b816144cf2534b1d0de2c542b9506b599d85.jpg,Neutral
32,0,261461463184,2002617322,进击的Little,4,保密,这各种爆头 [doge],2025-04-28 02:06:47,1,11,,未知,否,https://i1.hdslb.com/bfs/face/ea5feb984550f973be411426fb5cbb2b66ef1e54.jpg,Joy
33,0,261429560256,457867527,成_木_木,5,男,有实力的哥,2025-04-27 13:23:34,0,0,跟你爆了！,未知,是,https://i0.hdslb.com/bfs/face/36efe8250c71b715a5617307e619d3e3063f0e05.jpg,Neutral
34,0,261428154752,521137243,灰灰兔司令,3,男,热乎的！,2025-04-27 13:06:19,0,2,,未知,否,https://i1.hdslb.com/bfs/face/f882bc8b70175a1ee22fef5087fae52fd4f88e43.jpg,Neutral
35,261461463184,260555446465,22463672,我不是大果儿,6,男,这枪莫名其妙就打到头了[嘟嘟],2025-04-28 05:59:23,0,1,前2000粉丝抽10位免费双护一把~ 定时更新三角洲内容 v：  LoveCan_1110 ,未知,否,https://i2.hdslb.com/bfs/face/12fe7f49567f61e4ab0366a38c01dc1b0fe3f656.jpg,Disgust
