序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260425375921,3546729708260195,潦草的野生小龙虾,3,保密,威龙哥哥...,2025-04-26 11:51:37,0,0,,未知,是,https://i2.hdslb.com/bfs/face/05adc2edc32710fc93b0b083cc017306e115002e.jpg
2,0,258798493488,513648623,馬克Twain,6,男,对老番茄拙劣的模仿,2025-03-27 02:36:55,1,1,我的灵魂与我之间如此遥远 而我的存在却如此真实,未知,是,https://i2.hdslb.com/bfs/face/61a5a697409087e4b6495eb3b5f8aafd2435c51a.jpg
3,0,257793623937,662226765,不是妠西妲,3,保密,更新！,2025-03-24 13:45:13,0,0,,未知,否,https://i0.hdslb.com/bfs/face/11b5f9ef28e9aca67a720cec68e7a6cc52c12e16.jpg
4,0,257725497664,3546761538832812,自强的小麦逛街,3,保密,这是上一期的图片,2025-03-14 04:39:54,0,0,,未知,否,https://i0.hdslb.com/bfs/face/dedd116c57c7a725dfed1e8f5589587185a538da.jpg
5,0,256351745249,3546604330027783,泥嚎小--你,3,男,@oi小鬼_-,2025-03-06 13:13:55,0,0, 卷不动了，以后一天一两个视频,未知,否,https://i1.hdslb.com/bfs/face/00777bc4ba6c16e475c046373059f14d935ac888.jpg
6,0,256869970288,3546632041793919,瑟德行,4,男,视频开头的地方是特勤处吗？怎么去？,2025-03-03 11:53:26,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c3dde1581a646004572ed478be3b8b0002b923bc.jpg
7,0,256098453200,526988432,乌拉乌拉的阿森,5,男,牺牲的队友是这么没的https://b23.tv/BV1sJNGejECm,2025-02-22 12:01:49,0,0,通辽第七炮兵师少将,未知,否,https://i2.hdslb.com/bfs/face/c866f9750b5001f63dbbec0eb19f14cce00d7003.jpg
8,0,255301008017,3546388075907277,衰神shift,4,男,@小破站还我名字啊 不行，这个太他妈好笑了,2025-02-21 14:17:13,0,0,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,未知,否,https://i0.hdslb.com/bfs/face/439255360bfe0eac9d3102d9709a298375ddb18d.jpg
9,0,255292037025,3493132580686584,白夜54,4,保密,@一只屑屑のZTZ-99A酱,2025-02-21 12:30:53,0,0,……,未知,否,https://i0.hdslb.com/bfs/face/d20ccfb4673d12ae9b593b47681748cac3f8958a.jpg
10,0,255722778992,3546577308223718,M250通用机枪,3,保密,你他妈赶紧更新,2025-02-18 07:21:37,0,0,,未知,否,https://i2.hdslb.com/bfs/face/8c0251caeaa4c9222679730becec4339381a5c90.jpg
11,0,255002888849,1946619582,怪盗只因1,5,保密,什么时候更第四集？,2025-02-18 04:04:35,0,0,,未知,否,https://i0.hdslb.com/bfs/face/0cb89c9cc25b65f35377e5d187a5d96927455b81.jpg
12,0,254779406321,3546782843799756,虚竹游世界,3,保密,快更新！！！！！！！！！！！！！！,2025-02-15 11:40:22,0,0,不要在意别人的看法，相信自己,未知,否,https://i0.hdslb.com/bfs/face/8f1425a4d9d3e03a2ec78574515277ff052239de.jpg
13,0,255465585600,3546663926892914,赞恩一黄,2,保密,快更新！,2025-02-15 09:47:23,0,0,,未知,否,https://i2.hdslb.com/bfs/face/522a520a9468bd4eef8b85a9fda054ed2dd22765.jpg
14,0,255440758912,3493104057322228,TBI破灭者,4,保密,啥时候才能更新？我好想看啊[tv_害羞],2025-02-15 04:47:08,0,0,我又又又又又又回来了,未知,否,https://i1.hdslb.com/bfs/face/8ba47cbf80d168d9eadb5be7e7d8fcb5bff6330e.jpg
15,0,255360524000,3546793876916320,微开12,3,保密,踢更！！！！！！！！！！！,2025-02-14 08:55:16,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
16,0,255086527312,131535807,易封川,5,男,emmm还招人吗,2025-02-11 12:42:34,0,0,我做我自己的切片，直播在啊抖?奶憨憨,未知,否,https://i0.hdslb.com/bfs/face/0ef88da3ebe37191de652585a03889277d715de4.jpg
17,0,254323500449,2146345199,hjfgcurhsy477,3,保密,威虫的新皮肤,2025-02-10 15:33:47,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
18,0,254824808592,3546729521613726,哈夫克安保,2,保密,快点更新。,2025-02-08 23:56:35,0,0,梦想是拿到一座优秀员工奖杯,未知,否,https://i0.hdslb.com/bfs/face/4b05f63c0e91166a9e5f13791f95bcfa5bac6dba.jpg
19,0,254770802368,3537111626025330,黑金雇佣兵,3,保密,把摸到优秀员工奖了，我还在同事身上捡到一张员工卡，我是哈夫克雇员,2025-02-08 09:32:13,0,0,,未知,否,https://i0.hdslb.com/bfs/face/ca3889da78662eba497b4a70aa498923811d4bd2.jpg
20,0,254010022273,3546672181282869,小赫赫游戏解说1,2,男,死因：解剖？,2025-02-07 10:22:58,0,0,,未知,否,https://i0.hdslb.com/bfs/face/b777acc37ebdebfd875eeeb84f5f6eb8c2dd47c1.jpg
22,0,254550286272,1877015436,装满水的耳机,5,保密,催更[大哭][大哭][大哭],2025-02-06 04:36:54,0,0,,未知,否,https://i0.hdslb.com/bfs/face/ddabe68d692c10eb6f7241e421a996884fffcbdc.jpg
23,0,253881298609,3546577993992995,反水天的行星球,3,保密,还没更。。。,2025-02-06 03:12:27,0,0,拖                 更,未知,否,https://i2.hdslb.com/bfs/face/260f0a91dcbc69606a5d8019b339bba76b617147.jpg
24,0,253578807873,3546780570486852,GTI特谴干员,3,保密,什么时候更新？,2025-02-02 16:03:48,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
25,0,254218264736,3493109170178940,柱塞监控-已死,3,保密,能更新了吗？,2025-02-02 14:18:12,0,0,抽粉丝回关,未知,否,https://i0.hdslb.com/bfs/face/461d812141ca7d023b50b41d370d2f9e8fee3e24.jpg
26,0,253446615617,3546657778043767,方添佑,4,保密,你看麦晓文长得多好看。,2025-02-01 08:56:40,0,0,,未知,否,https://i1.hdslb.com/bfs/face/347031846425b64c0d421e634e3e796c8ee5d440.jpg
27,0,253020932017,1449675380,机智的小王君,5,男,开头那个鳄鱼和老黑，不会是在玩小小烟的梗吧[doge],2025-01-27 13:25:09,0,0,新的开始！！顺便一提wotb珍豪van（doge,未知,否,https://i2.hdslb.com/bfs/face/259750b7d97b2c5e3ce1f8b61cd1910a2bdcf059.jpg
28,0,252970498529,1005780557,暴龙战士无敌贝利亚,4,保密,贝利亚大王占领此地,2025-01-27 03:34:58,0,2,,未知,是,https://i2.hdslb.com/bfs/face/b7916c2252c5482a771619ce1e698d0d6a22b321.jpg
29,0,252950869201,1099157990,吉林达子,5,男,赶紧出下一期！,2025-01-26 18:54:53,0,1,别看了，啥也没有。,未知,否,https://i2.hdslb.com/bfs/face/3ce0f7ed3440707c2ecd0e8537e061b4de513dd9.jpg
30,0,253566173168,3546573185223445,一只发芽的土豆QVQ,3,保密,什么时候出第四季？,2025-01-26 16:03:05,0,0,门外梳子！B站飞舞区UP主。一斤墨盒打把哟！（2X）,未知,否,https://i1.hdslb.com/bfs/face/0059aa77c90b090633689ce06eccb125f472b759.jpg
31,0,252821690577,700868893,贝利亚权威一大王,3,男,第四集什么时候更新？,2025-01-25 11:29:48,0,0,,未知,否,https://i1.hdslb.com/bfs/face/867702919bd7535f94576075e32b202963cdb6ae.jpg
32,0,252735642321,3546755998157462,三角洲吗喽,3,保密,来了（没错，是我）记得有广送我红皮[doge][doge],2025-01-24 13:02:20,0,0,,未知,否,https://i2.hdslb.com/bfs/face/9cbef78194ea4a8ce8548a99d2416914fecb3042.jpg
33,0,253316938832,3546799193197143,跑刀的麦晓雯,3,保密,呃，呃。我要卖球的时候出了三个红9×9的。,2025-01-24 06:50:38,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c36ac9074585a5ffc6a78b7452a664127220e54b.jpg
34,0,253222804176,511286902,牧牧家的路轩,5,保密,我是威龙，本体是虎蹲炮，我的安全箱满了，所以，骇爪，我能把我的虎蹲炮塞你安全箱里面吗,2025-01-23 08:35:17,3,45,,未知,是,https://i1.hdslb.com/bfs/face/7f936b53d27ece2224d47d5241e3831fd2c5e5ad.jpg
35,0,252581858961,3493089748453572,建设型蒸汽机车,4,男,下一期啥时候有啊,2025-01-23 02:34:07,0,0,喜欢火车也喜欢乐高，上海局宁波段的，离部分金温铁路中的小段比较近,未知,否,https://i0.hdslb.com/bfs/face/c63bb1730f1fa6df2a19816fe71001bbdea46421.jpg
36,0,253158776912,3546377701296847,主坦克模型,3,保密,你不要过来你坏,2025-01-22 15:08:18,0,0,一个三角洲行动里的变卖物好朋友步战车讨厌威龙虽然炸的不是我喜欢窝在总裁室里和赛伊德的行政楼偶尔在赛伊德的包里偶尔去航天基地和巴克什,未知,否,https://i1.hdslb.com/bfs/face/08fab93e82846381a8050495313afe8c26f795e3.jpg
37,0,252520298689,1206027083,What_is_happy,5,保密,你好,2025-01-22 09:41:31,0,0,只玩Minecraft,未知,否,https://i2.hdslb.com/bfs/face/e94b498d0beee1a5e8623ffb2a5eaff0333f348b.jpg
38,0,252504099233,667013664,缘杰Jie,5,保密,家人们，Q区爱抢包的可爱小狗子[星星眼](打算带他溜遍100个评论区。),2025-01-22 06:18:31,0,0,搞点儿好玩儿的,未知,否,https://i0.hdslb.com/bfs/face/7731ac1fdebdac19f02e87207f9ae61090f2032b.jpg
39,0,252461767169,3494377773075266,塔达林大爹_先锋,4,保密,手游q区，大家避雷一个人（飞飞羊萎）我在那修坦克，他下来把我车开走，然后给我开炸了（我车是高威胁）这是他和我的详细数据，统帅是我，可以搜，吃叶子的团子，如果有人遇到了，可以帮我制裁一下，谢谢了,2025-01-21 19:55:36,0,0,,未知,否,https://i2.hdslb.com/bfs/face/83652410a1860a48645271ca73b26a666d80bb5d.jpg
40,0,253063483312,1483945522,AAA威龙牌红包批发,5,保密,新年快乐，红包一个,2025-01-21 19:15:56,0,2,,未知,否,https://i1.hdslb.com/bfs/face/46645c210dc4002148af7de73d43879f8822a390.jpg
41,0,252436341809,3546736716941670,不必在意we,3,保密,更新,2025-01-21 13:23:07,0,0,,未知,否,https://i0.hdslb.com/bfs/face/ddc6dc7b831f1e25a88b9bc9d704b4bf3895b0ad.jpg
45,0,252963897904,3493286385813543,HARD_Hard-Mood,4,男,@一只屑鼠鼠_ 就像这样。,2025-01-20 18:03:29,0,0,你他妈瞅啥呢？,未知,否,https://i0.hdslb.com/bfs/face/95e852b3352e817728e47d030b35fd6233039940.jpg
