序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260866644625,526019182,阿D不是Mr_D,5,男,还说没加强人机，这狙击兵都打61弹了😅,2025-05-02 04:35:15,0,0,该账号封禁中,未知,否,https://i1.hdslb.com/bfs/face/d40924d33d2a30851e00a895f63f640fd666aeff.jpg
2,0,259534442928,3493117722363948,-理理的理-,4,女,本来想扎胰岛素但发现胰岛素自己在扎胰岛素,2025-04-04 11:59:20,0,0,,未知,否,https://i0.hdslb.com/bfs/face/af7041b4defc32d7e94210392bc0a4d484c8a481.jpg
3,0,258419455920,3461563151288325,杠就是你输,4,保密,流放m87星云,2025-03-22 11:08:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/dc66b16102a4cfa2825c918ccec59c5708996dc9.jpg
4,0,258397725440,3494364493908130,楼主的的一生之敌,4,保密,什么红蛋？避个雷,2025-03-22 06:23:26,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
5,0,258063120784,231636947,VVV111VVV3,3,男,打不到一个背人的直接回家种田了。,2025-03-18 02:58:48,0,0,,未知,是,https://i2.hdslb.com/bfs/face/7d1f4dd2e5c93d325090f05c7062c9b95da71a49.jpg
6,0,255948088240,513837818,一听见你鼻氧我就来了,3,男,666 打不过回家种地了,2025-02-20 18:04:34,0,0,,未知,否,https://i2.hdslb.com/bfs/face/190cf56c6fdaaa937fa1293455336241ba92f08b.jpg
7,0,255201323200,301158815,jetaimeLUCIA,5,男,你拿刀上去打他，他估计都死了,2025-02-12 14:25:09,0,0,初来乍到请多关照！！嘻嘻,未知,否,https://i2.hdslb.com/bfs/face/8dc79d0132c1b8415d056ad5889cb292d2918b92.jpg
8,0,254211168145,3494353087499082,小老鼠4399,5,男,视觉辟宴👍👍👍,2025-02-09 12:35:03,0,0,,未知,否,https://i0.hdslb.com/bfs/face/54738f6caa15b2ddf887daf4efec8d10c6092370.jpg
9,0,254096076017,3546743857744183,探索互联网的lumi,3,保密,天过使般的枪法[笑哭],2025-02-08 08:43:17,0,1,,未知,否,https://i1.hdslb.com/bfs/face/046250d911315a1bc5815268b91b66a6e3a38445.jpg
10,0,254696162752,3493121293814040,谁借六硬币改名,4,保密,你拿刀上去都刮死了[doge],2025-02-07 13:30:04,0,0,,未知,是,https://i0.hdslb.com/bfs/face/0a7cbf8bdbca8329bcc104950cc8688af9aad275.jpg
11,0,253954400513,3546650612074865,五河真士来下毒,4,保密,就你这技术，还不如回家种地,2025-02-06 17:35:45,1,1,"本无难路径，台越领红音
人生亦无路，处处皆欢愉
坐立山巅上，心中难处忧
忘了世间忆，处处本无心
道路亦有痕，灵台心留士
省流：坐忘道",未知,否,https://i2.hdslb.com/bfs/face/289e7c6ddf48a4aa0be5c8026338f5bf56b35543.jpg
12,0,254511930432,3546714373884218,2548369,2,保密,@是pairs呀,2025-02-05 15:16:13,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
13,0,253783008145,3493289393129694,叶子上的宇宙,4,保密,回家种地了[笑哭],2025-02-05 02:00:42,0,0,,未知,否,https://i0.hdslb.com/bfs/face/3c399daaf0fb203f098dc944504cff0f913acc37.jpg
14,0,253714822801,503592452,其实我不乖哦,4,保密,真自觉去种地了[支持],2025-02-04 06:51:44,0,0,你来观察我的同时，我也看到你了哟,未知,是,https://i2.hdslb.com/bfs/face/a411c4450ba55146ff32de05566c2e294ede6dfc.jpg
15,0,254297059104,3493136424766140,哈德森玩游戏,5,保密,回家种田了,2025-02-03 11:20:20,0,1,,未知,否,https://i0.hdslb.com/bfs/face/6e0d7e1d41f1043404eb5a2c9f9c766eca00ca2b.jpg
16,0,253343641041,3537106081155487,GTI指挥官-kai,4,男,666把这个干员撤职了,2025-01-31 05:56:40,0,1,我被限流了吗？视频流量那么低啊！,未知,否,https://i1.hdslb.com/bfs/face/ae7f961f55652cf4799936642b760a4ebe61c72b.jpg
17,0,253331393761,3493106255137673,Visualwall82199,4,男,不是我普通芝士券的三弹R93我都能抽死3个人,2025-01-31 03:23:04,1,1,这个13很懒改简介，因为困难症,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
18,0,253286122257,283061260,强装严肃的huh猫,6,保密,玩手游偷背身都能被反杀...但是排到的人就跟玩pc端一样灵活,2025-01-30 12:27:34,9,14,世界没变，变的是你我,未知,否,https://i1.hdslb.com/bfs/face/4757a3d4a9b987d52d5d59e999e0bf7259b7e8e4.jpg
19,0,253914145168,491859348,漂ful丶,5,男,@婴眠大神小然 @小辰_ovo,2025-01-30 10:16:42,1,0,,未知,否,https://i0.hdslb.com/bfs/face/77167f2462b50d9ac24bd5c1ec4dc4920ec96cd5.jpg
20,0,253148211697,3546715367933990,说得好脚后跟,3,保密,什么游戏,2025-01-29 01:46:02,0,0,,未知,是,https://i2.hdslb.com/bfs/face/17a24a4830ade3f7762bf38cd93957e748f061cb.jpg
33,0,253132424785,84461770,评论已不存在-,6,保密,和我玩手游差不多，走路走不明白，瞄准全靠陀螺仪。[笑哭][笑哭],2025-01-28 16:54:52,0,0,深夜，黎明，黄昏。,未知,否,https://i1.hdslb.com/bfs/face/bfa887c9f48a6dcd59be9656dc4e2fe3a55aa182.jpg
34,0,253740637984,647169247,一个丶无心,4,保密,看来我们暗区玩家落寞了,2025-01-28 12:20:24,0,0,人生重要排行榜 第一甘雨 第二特摄剧 第三生命,未知,否,https://i1.hdslb.com/bfs/face/94be59693fc1d683746511e60e8534d4eaaa93d8.jpg
35,0,253709660864,1676337903,UEC的大葱明,5,男,[笑哭],2025-01-28 06:24:32,0,1,一个普普通通的大葱明。,未知,是,https://i0.hdslb.com/bfs/face/9d85bfaf660156bb42cd04f522eded267e2de9fa.jpg
36,0,253050144513,1807524998,奈緒が大好きだ,5,保密,回家吧孩子，回家吧，你比较适合做一摊史,2025-01-27 23:51:39,0,0,_(:з」∠)_,未知,是,https://i2.hdslb.com/bfs/face/233b11969eae1548a2d4eac14459ad1ebc9bd408.jpg
37,0,253673080592,544044400,用中文遮羞的雪莲同学,5,保密,[doge],2025-01-27 18:23:10,0,0,这辈子有了,未知,否,https://i1.hdslb.com/bfs/face/f5f0bdc15e9d5932e44734818d4a1d786e4f4027.jpg
