序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261306599200,3546382665255329,-蹄影-,2,男,100发够干啥的,2025-04-26 03:48:25,0,0,,未知,否,https://i2.hdslb.com/bfs/face/aad02df36c8d5fdc5e16c7d4f2cc10236d3465b2.jpg
2,0,260117549233,349002165,Ys的王,5,保密,带了一背包白蛋，发现超重了走不动，不得已只能带少点[妙啊],2025-04-22 11:45:00,0,0,那些说不过的我，拉黑我是没用的,未知,否,https://i0.hdslb.com/bfs/face/6b7aa3bf6d126626d68dba0fdfba2f8f98440d43.jpg
3,0,259433304513,164634289,轩辕兔爷,6,保密,"这就不得不提生化备蛋的属鼠了[doge]
你别说子弹垃不垃圾。你就说有没有给你运兵的飞机干下来？
生化备蛋的鼠不语，只是一味击落飞机。[doge]",2025-04-13 14:20:39,0,0,,未知,否,http://i1.hdslb.com/bfs/face/becd2cc050642a67c3a29249e730ae5274699563.jpg
4,0,259369533025,3493109612677267,蒋昊伦,4,男,300发够吗？,2025-04-12 22:49:34,0,0,123100244285132165117https://www.bilibili.com860106501351650,未知,否,https://i1.hdslb.com/bfs/face/bac8ecaaeac2de1b21ee4ea02208f9e6701e0e16.jpg
5,0,260176096752,297259525,动个不停的蛇,6,男,上周两个唐人队友估计是光舔枪没舔到子弹，接个飞升一枪不开还跟我抢回收仓，那我不能惯着，三个人一起死平台上了,2025-04-12 05:21:49,0,0,（          ）这是一个陷阱，抓猪用的。,未知,是,https://i1.hdslb.com/bfs/face/c354bc20d1f82aca13979c5787fc703b7e458a57.jpg
6,0,257988853921,430356882,七军问邪,5,保密,补弹？我给你补个蛋！,2025-03-27 04:17:10,0,0,一击遁走的阴暗哥布林老鼠人，快来拉黑你父亲,未知,是,https://i0.hdslb.com/bfs/face/5445fa51600f598584861c368cb34174aee980e2.jpg
7,0,255805756529,383610188,当世界沉默,6,男,蜂医做飞升还得拿枪？,2025-02-27 22:15:51,0,0,你好八卦哦,未知,否,https://i2.hdslb.com/bfs/face/12cafd7ae9e9d109ba8bce0661a14921c2b6c5c2.jpg
8,0,255889221456,313269825,麦当劳味布,6,男,能忍住不刀人机的是这个[支持][doge],2025-02-20 05:16:37,2,4,AC就是赛博案底,未知,否,https://i0.hdslb.com/bfs/face/0047c7a401156cd107678de004c1f295890922c8.jpg
9,0,255815469040,6138546,腾讯退我血汗钱,6,保密,有点少啊，别人狙都是300发,2025-02-19 08:46:17,0,0,,未知,是,https://i0.hdslb.com/bfs/baselabs/9331d06f9a3887d13a3ef6f3ab8c8d7aaa28fec3.png
10,0,255689853024,1447275510,方忱归晓,5,男,玩的好的清飞升人机最多只要三五发子弹就够[doge],2025-02-17 19:35:05,3,0,百事缠身飘渺过，逍遥自在存我心。,未知,是,https://i0.hdslb.com/bfs/face/0eb045d16c11e80f5ef24cbcb5ade8f2f6a09ea6.jpg
