序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260534928064,22891233,夏目友人爱欠帐,6,男,史前巨鼠,2025-04-16 12:58:00,0,0,,未知,否,http://i0.hdslb.com/bfs/face/76bae1113936b7d5189c2b0e508d189b1eeb68b6.jpg
2,0,257872526241,3494357743175686,孔明烤鸡,5,保密,没打过，你过来😱，这会好了我红包没了😭😭😭，😱上马上我来救（低沉）（开总裁）我的红包，我就指望着这个凑战备呢 饿啊😭 跑路中… 我告诉你我红包没了我跟你没完 啊啊啊啊！！😦 我红包！！！😭呜呜呜呜呜😭我红包😭 哇！😭😱 别打了给我滚😭😭😭嗯嗯😭😭😭我咋进呜呜呜😭我就八万一😭😭😭 （擤鼻涕）又要玩机密大坝了😭😭😭（抽泣）,2025-03-25 13:54:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
3,0,257417180160,317735242,花鸟月下,5,保密,现在又出现了一种新的有害老鼠，故意等队友死吃队友包。。。我的枪啊(萌新),2025-03-10 06:23:06,0,0,,未知,否,https://i1.hdslb.com/bfs/face/1c6e188376d1814e88a3ce3010ecff0a70ecdac0.jpg
4,0,256418407009,3546576221898899,bili_3546576221898899,2,保密,有没有要做3×3任务的板板什么任务都接，在校男大学生（可以压学生证）赚点零花钱，需要可以联系我[星星眼],2025-03-07 10:47:04,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
5,0,256160394033,3546619947518771,英文童话故事机,3,保密,哎呦，那俩倒计时要是同时到零，咱们就能撤了吧？我之前玩那把机密大坝，就是快到零秒的时候撤的，结果出来以后游戏时间还显示着呢。,2025-03-04 03:52:11,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d1edab7adb4effc2879dad02d97d4c030be180d5.jpg
6,0,256494525200,349758108,小鸡子露出黑脚啦,5,保密,不是，这M700只要一个共鸣吗？其他配件咧,2025-02-27 07:55:31,0,0,,未知,是,https://i0.hdslb.com/bfs/face/710d47fa2f536de7f8f47237d203a591707a647a.jpg
7,0,255344901937,65344966,跑刀代肝鼠鼠要饿死了,6,保密,"大学生纯绿跑刀不动仓库
6r＝100w（9格）
7r＝100w（6格）
8r＝100w（2、4格）
80r=1000w
大学生纯绿跑刀要求可提可商量（留红留金）
有单就b站全程直播",2025-02-22 05:06:19,0,1,"代肝买斐济呗，求求了我真的很需要它
v A3594025074",未知,否,https://i1.hdslb.com/bfs/face/e4082343aa84535b2cf4d783f0bf20b7674887d9.jpg
8,0,255996029728,22787942,是小无诶,6,男,焰火？飞彩镌流年！,2025-02-21 10:02:09,0,0,无物可离虚壳外，有人能悟未生前,未知,否,https://i2.hdslb.com/bfs/face/86000ac723a9c607dfabb927976d83d8d29bff90.jpg
9,0,254832111089,5633574,东百人cccda,6,保密,哈哈哈哈哈,2025-02-16 03:18:37,0,0,A MEN!!!!!!!!!!!!!!!!!!!!!!!!,未知,是,http://i0.hdslb.com/bfs/face/11d4e048ce722720c58580ef06baea0b202ea5a6.jpg
10,0,254690434897,3546693861640362,穿白丝的萝莉小蟑螂1,3,保密,大战场这可太常见了，连狙经常前三枪被吞第四枪才开始有提示,2025-02-14 12:54:53,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
11,0,255312880608,4503215,钟离泪雪,6,保密,吃顿烧烤顺仨打火机[doge_金箍],2025-02-13 18:00:15,0,0,为天地立心，为生民立命。为往圣继绝学，为万世开太平。为人民服务，知行合一,未知,否,https://i2.hdslb.com/bfs/face/b58f698084aad0a5bb7394dd5a7edf067e627644.jpg
12,0,254539788993,3493091640085466,胡桃6加5前不改名,5,男,我嘞个78播放量啊,2025-02-13 00:04:18,0,0,"怎么还没成为最强lv6？
",未知,是,https://i2.hdslb.com/bfs/face/269cc339103afc92e66ea0cf88c1b8fbf49d47f1.jpg
13,0,254110789393,1750843565,-鼠鼠呢,4,男,"☝️🤓唉！
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 
 

 
 
 
 
 
 
 

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 

 
 
 
 

  
 
 
 
  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 
 

 
 
 
 
 
 
 

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 

 
 
 
 

  
 
 
 
  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 
 

 
 
 
 
 
 
 

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 

 
 
 
 

  
 
 
 
  
 
 
 
 
 
 
 
 
 
 
 
 
 
                                                
                                                                                   

                                       
咋这么闲呢[笑哭]",2025-02-08 11:25:20,0,0, (-^〇^-) ,未知,否,https://i2.hdslb.com/bfs/face/2742f27bf6e27ea001720012fe0de5dedb7f367b.jpg
14,0,254780107568,259322419,程磨,4,男,1,2025-02-08 11:11:02,0,0,"真沉默了
",未知,是,https://i1.hdslb.com/bfs/face/6ecf3141ad2a39c2f28bbb725d6d4658a8ec75aa.jpg
15,0,254021096993,522531291,bili_522531291,5,男,有点没看懂为啥m700各项数据都和另外两把栓狙（awm除外）差不多，却能贵一倍左右呢[思考],2025-02-07 12:17:42,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
16,0,253837634001,3537118781508163,丽莎最重要,4,男,[doge],2025-02-05 12:52:42,0,1,我不想上学!!!,未知,否,https://i1.hdslb.com/bfs/face/f30cb386dc70291ab4bfb367dacc25e3fc3d6f8f.jpg
17,0,253791496993,14548771,MisakaMontagen,6,男,和你们说，这种撤离点撤离时间比超时只超过一秒不到的是可以撤的真的我撤过。因为超时后要等个一秒多才会红而撤离是瞬间绿的。,2025-02-05 03:55:43,1,2,在三角洲评论区说了一句讨厌避战老鼠就被一群老鼠追着咬，可真行，动态先放个排位分，比我分高再逼逼可否。,未知,是,https://i1.hdslb.com/bfs/face/6b8e787d7e9ceab9da87c7a2d6b060bc4e8161c5.jpg
18,0,254443691056,3494361291557708,夸格迈尔,5,男,寂！寞！的！人！听！着！伤！心！的！歌！[星星眼]@我是烟灰缸,2025-02-05 02:43:43,0,0,引以为流觞曲水，列坐其次,未知,否,https://i2.hdslb.com/bfs/face/e2ddd2bc4aa4e1daeebdf79df057ac0eb1cb9eff.jpg
19,0,253786014417,1402424179,bili_29071724046,3,保密,1,2025-02-05 02:42:44,0,0,,未知,否,https://i1.hdslb.com/bfs/face/34bbce445454c61f77d5d011a750d79995dd8a3b.jpg
20,0,254434063952,3546785081461220,毁灭地球的贝利亚大帝,3,保密,电脑版比手游版爆率高[笑][无语],2025-02-04 23:43:12,1,0,,未知,否,https://i2.hdslb.com/bfs/face/f7d5596504cf39fceb78887b1f5466c47181d68e.jpg
23,0,254379488096,3546707373591122,晚霞中的bling眼,3,保密,原来是你教的[辣眼睛][阴险],2025-02-04 08:57:56,0,0,,未知,否,https://i2.hdslb.com/bfs/face/1ce2dd048cc105968f183c82e94feb4e326756cd.jpg
24,0,253652536257,3546724633151771,ROBLOX-LZ,3,保密,"不懂就问:主播为啥要用m700,明明r93跟它伤害一样,开镜拉栓更快,弹夹还比m700多5发",2025-02-03 12:45:09,0,0,"随机更新Roblox视频,主要更新Pressure,Doors,类游戏,Roblox名称:bilibili_LZ,粉丝群964370654",未知,否,https://i2.hdslb.com/bfs/face/9657dbcb3c5cdc79b8aa9a7fc0c64d7204a49c1b.jpg
25,0,253636615217,697013850,微雪飘洒为君眠,4,男,1111～,2025-02-03 09:48:52,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e8bb80bb7c207c96bbce40d9ebba5880fa79123c.jpg
26,0,253630693409,245899399,七依disk,6,男,我一直很想知道这些歌叫啥[少女乐队的呐喊表情包_倔],2025-02-03 08:38:09,0,1,"代肝详细加v+  qydisk2233
",未知,是,https://i1.hdslb.com/bfs/face/a1c93d060118aa9a02fe6e05c512588399dae977.jpg
