序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,257771367632,26658005,我是Jean,6,保密,🐻弟别怕，我踏嫲来啦!,2025-03-14 14:28:27,1,1,专注于MC的“建筑”up主。欢迎加入群聊:839679353←（群无了）加这个→974610777,未知,否,https://i2.hdslb.com/bfs/face/6ec8d02ee41260850db9271e360a993ac5c19b39.jpg
2,0,255210090689,406661693,大作家兵钉哥B_J,6,男,不懂就问，感觉视频前几秒里的持枪动作有点像扎了针的动力小子,2025-02-20 12:54:01,0,0,"坚持原创的一位成分复杂的小UP主兼私皮虚拟主播，业余作家
放假不定时直播，粉丝Q群752392218
＊今年7月份暑假复播",未知,是,https://i2.hdslb.com/bfs/face/d24bfd6433e006b24419e8d70af6aff5b88c9629.jpg
3,0,254991139808,1679175238,青柳风文,5,男,今天上市了西方朋友24辆载具😡,2025-02-10 13:37:59,0,0,不定期更新视频，wargame玩家交流群2364624854,未知,是,https://i1.hdslb.com/bfs/face/27102972ee8fa1857224d96eb222e6bd8fa01ac5.jpg
4,0,254201941153,39747471,焰之炼金术师Fa,6,男,这个凯夫拉你是咋协调的[笑哭],2025-02-09 10:54:05,0,0,,未知,是,http://i0.hdslb.com/bfs/face/499b1122326628c7afb20cf5c589612f64bc971c.jpg
5,0,254708749968,3493142621850236,看到请快让我去学数学,5,女,UP最后牺牲了[大哭],2025-02-07 15:38:31,0,1,"先学会用，才会感兴趣，自然会探究意义
小快龙加油！",未知,是,https://i2.hdslb.com/bfs/face/a2fdcd564631f4119922cf5d2ab17ed92bc2f768.jpg
6,0,254654074224,407812329,客16,6,男,啥游戏,2025-02-07 05:51:09,0,0,这个人很神秘，什么都没有写(´・_・｀),未知,否,https://i0.hdslb.com/bfs/face/a752f32a2d9abde5c0593f072965a3f4ecd6f40d.jpg
7,0,254121017872,2086292908,bili_2086292908,5,男,五十万播放量你的粉丝也没这么多,2025-02-01 13:54:54,0,3,,未知,否,https://i1.hdslb.com/bfs/face/829843d4de94c1010a443f19e42c5502f02ec25a.jpg
8,0,253368821441,301840968,星空之夜-James,6,男,干员只玩威龙和嗨爪，枪只玩国产枪，做最优质的战士！[OK],2025-01-31 11:14:15,0,7,一个兴趣使然的搬运工，不定期更新饥荒视频。,未知,是,https://i0.hdslb.com/bfs/face/7d18fd348478d2692f1dc3bc5b62c82fa047fe51.jpg
9,0,253989853904,384138428,韦诺,6,男,不是根号16我不是很认可,2025-01-31 06:47:34,0,3,我不会忘记，那里曾有着，无可替代的天空。,未知,是,https://i2.hdslb.com/bfs/face/967403ab9017442060e6a590b0399f636c390e86.jpg
10,0,253969608704,2047651742,Zeng00000,5,男,军训的时候因为有一天在下雨，原本是让我们在宿舍学习手语操的，然后我们几个打起了CSGO[吃瓜],2025-01-31 02:39:33,0,1,行走世间，自然会有各种烦恼相伴，但即得与你相遇，想必今后的人生也会更加自在吧,未知,否,https://i2.hdslb.com/bfs/face/57f32d255fc7bb92de01bf84e11374c1e787db56.jpg
11,0,253327813505,529800697,丁丁历险记0v0,5,保密,(*°▽°*)八(*°▽°*)♪,2025-01-31 02:36:21,0,0,人生很短，路很长,未知,否,https://i1.hdslb.com/bfs/face/d593829e4df24854930e18a8275868e6d4e88af6.jpg
12,0,253969199216,1015128542,理想熊丶,5,保密,@邪恶中二病大王 国家栋梁,2025-01-31 02:35:31,0,2,山巅加冕！,未知,否,https://i2.hdslb.com/bfs/face/93bcf808cca89582b0707b910f8e1fc3967398f4.jpg
13,0,253969037344,356594614,德顶人德顶魂,5,保密,"一般路过德顶哥
看完奖励自己一把德次顶顶（里面是id）
一个失败的团队通常由：
依然不知名开局起罗兰的aa超人
狼（嘉然今天给你们全点亮）
一般路过大PUMA并射了两长钉
伪装成122的A7
伪装成A7UH的A7
东线虎（战争教父）
西线虎（等级14）
台风（正在堵su34出生点）
F4（和铠甲斗智斗勇）
台风（扣1送硫磺石）
豹2A4（123，但是）
豹2A4M
豹2PL（单车等级20）
豹2A4M
贴满草躲树林里t61的德箭10（id终于轮到我玩箭10了捏哈哈哈哈）
豹2A4M
豹1a1（混入其中）
豹2A4M
拳师犬（试图快速起台风）
豹2A7
护卫57（全近炸弹）id我看看哪个阜南还敢起卡50rush
突击虎
豹2A4M
豹2A4（123装甲营）
豹2A4M
二号突击坦克（我来印钞了）
斯图卡
UWU猫猫（取自某个在评论区的野生猫猫）
组成，冬活期间限定版
你醒了？你转生到安东星了.JPG
版本5.1（2025特别版）",2025-01-31 02:33:04,0,0,俄罗斯原神，启动,未知,否,https://i1.hdslb.com/bfs/face/d3079aeedff12306deacfcae19d15a500c15e162.jpg
14,0,253327364257,1952216469,穷的心发慌,5,保密,这桌子可以啊，我一直嫌弃书桌太高了胳膊手腕难受,2025-01-31 02:28:41,0,1,,未知,否,https://i0.hdslb.com/bfs/face/fdc1230686d3579fc05c061c90ffa5c5c4730444.jpg
15,0,253968001872,629098535,驻虫师,5,保密,喷气啊，你怎么不喷[热],2025-01-31 02:16:25,0,0,,未知,否,https://i2.hdslb.com/bfs/face/45e89a2422c71869e674e35416d6fef710fe605d.jpg
16,0,253325666769,1382854393,HydroxidumFr,5,保密,做！出！回答！,2025-01-31 02:06:30,0,1,唔唔……熬夜好困ww,未知,是,https://i1.hdslb.com/bfs/face/6dc7dfd1218f92b9d252c0a57fe05d25eeeb97ac.jpg
17,0,253966836848,1660655937,sans的兄弟呀,5,保密,玩游戏遇到过当兵的人，说游戏里的枪的手感和现实中很不一样,2025-01-31 02:00:52,1,94,,未知,否,https://i0.hdslb.com/bfs/face/acaa8432855929a13c59925593a7883a21984129.jpg
18,0,253966474208,1917090936,旋转的tt-33,4,男,这要是没赢得给你好好提干[doge],2025-01-31 01:58:29,0,9,,未知,否,https://i0.hdslb.com/bfs/face/ccb1a92c0d1221b50e39432ac17c1dba61dd2a03.jpg
19,0,253324927153,157477086,妄求之师,6,保密,[笑哭]还真别说，牢美的霉菌就是打电动（模拟枪战）来培养新兵适应战场的,2025-01-31 01:54:15,0,2,鸭梨马斯内～,未知,否,http://i0.hdslb.com/bfs/face/6fe69b257dc325b0d845f2ebda1895969c448d83.jpg
20,0,253965113408,76694324,那个钱同学,6,男,国家财产,2025-01-31 01:35:31,0,0,"人生苦短，及时行乐。
《短歌行（曹操）》，《新刊大宋宣和遗事》",未知,否,https://i2.hdslb.com/bfs/face/86b966a720dbeaa2b3b8ff42ca356df1e938a054.jpg
23,0,253963993248,11490030,adokee,6,男,我想起来有一年拉战备结果等了好半天，我大哥用分队的老电脑开了把cs1.6给我说这样有沉浸感[喜极而泣],2025-01-31 01:18:44,0,2,,未知,否,https://i0.hdslb.com/bfs/face/23098d628e70ef360ebbe9788f4809742fe87731.jpg
24,0,253322846881,526826263,POLICECHN,5,男,玩丝瓜吧[星星眼]体验真正的战场,2025-01-31 01:18:43,1,65,我们是黑与白之间细细的蓝线,未知,否,https://i1.hdslb.com/bfs/face/30d76b660185f30b70e7c91ba1b2e9baee2f43f4.jpg
25,0,253322675665,3546652992342456,aaa木工杨师傅,4,男,在屋里不是帽子吗带头盔头疼啊？,2025-01-31 01:17:51,0,0,。。。。,未知,否,https://i0.hdslb.com/bfs/face/de54d6803d716472ddb252c456fe7dee791954e6.jpg
26,0,253963470752,3546713539218021,聪明吧唧的唐怀瑟,3,保密,@我是直井文人的狗 @楪凰 @painfulmemorie 电子对抗部队,2025-01-31 01:07:24,0,0,诗歌剧嘿嘿,未知,否,https://i0.hdslb.com/bfs/face/3dfc5e73ba20afd8feef8233470dabf28b93b0fe.jpg
