序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261836290624,1211494220,斐乐达人,5,保密,开服那会儿的赛义德老强了，几乎打的我连行政楼都不敢去，都是在外面看着他们进去以后才去,2025-05-02 12:47:01,0,0,,未知,是,https://i2.hdslb.com/bfs/face/9c41e119302795362d7b7b02ae69f1b49fff3f74.jpg
2,0,260402125969,3546757069801597,ncx小宇,2,保密,有没有谁能当我的固排？我挺菜的,2025-04-26 06:22:04,0,0,,未知,否,https://i1.hdslb.com/bfs/face/6e8238e581b8a1b687ac40adda8a1d81691bcf13.jpg
3,0,258821346257,1968187979,B站的老齐,4,保密,孩子们，你们的盾构回来啦,2025-04-06 02:44:23,0,0,,未知,否,https://i2.hdslb.com/bfs/face/0d3618f58a5703e07c85f3d43554ca4f56d8ac07.jpg
4,0,258266978977,3546679909288390,野生CR200J,4,男,焊武帝战车，用工程，开步兵战车，坏了就回家里修焊武帝启动,2025-03-30 10:18:16,0,0,是hcm也是福瑞,未知,是,https://i1.hdslb.com/bfs/face/08891af5798857e6e853b9ea02d6131720dadf3e.jpg
5,0,258942443232,1558716449,没有什么名字捏,3,保密,[笑哭][笑哭][笑哭]上回带一个萌新打大坝，他在西楼那跟我说有boss，我说我也没听到老赛的BGM啊，过去一看是个机枪兵[笑哭][笑哭][笑哭][笑哭][笑哭][笑哭],2025-03-28 15:57:58,0,0,,未知,否,https://i2.hdslb.com/bfs/face/14edb822ebf3d620cfb228fad61d6610119259d0.jpg
6,0,252128726672,1707973945,刘贺元tfh,5,保密,玩风衣杀到榜一也赢不了[笑哭],2025-01-11 15:26:56,0,0,"随便你

",未知,否,https://i1.hdslb.com/bfs/face/f84de6b5316b91cda258b33ce6071ce51f98e14d.jpg
7,0,248775483073,11562389,包荣兴包子入侵,6,男,[笑][笑][笑],2024-12-08 16:39:32,0,0,包子入侵！,未知,否,https://i2.hdslb.com/bfs/face/3d36915f00edabb8430a6b590568a042f1bcc41d.jpg
8,0,248160592961,3537111043016865,怨申启动,4,保密,这就是差别,2024-12-01 06:20:12,0,0,,未知,否,https://i0.hdslb.com/bfs/face/eb170ed8f58e9f837db5c594ead751f1281ab12a.jpg
9,0,247856776720,495416028,七O后的我,3,男,最讨厌的一种人就是，第一个倒，然后唧唧歪歪指挥你这样，那样的[笑哭][捂脸],2024-11-23 07:12:36,0,0,,未知,否,https://i0.hdslb.com/bfs/face/44d1e750de12fb0f4d64c2fc6961cd35332dc71e.jpg
10,0,247702887088,627579217,真不知道该怎么取名,5,保密,md枪都要解锁，我无语了,2024-11-21 11:27:50,0,0,,未知,否,http://i0.hdslb.com/bfs/face/e0d2cbc772d69b3551b8389d4724c6b31904b296.jpg
11,0,247277246096,500311207,CNHNHY,5,男,这个变调倍速能不能传一份上音乐软件,2024-11-16 11:04:02,0,0,"这个人懒死了,什么都没有写(´・_・｀)
这个人大约的确是懒了。",未知,否,https://i1.hdslb.com/bfs/face/611b0740429037d694a13b735ff35552b0271d82.jpg
12,0,247276139664,500311207,CNHNHY,5,男,@有趣的程序员 听歌识曲，00:26,2024-11-16 10:52:18,1,0,"这个人懒死了,什么都没有写(´・_・｀)
这个人大约的确是懒了。",未知,否,https://i1.hdslb.com/bfs/face/611b0740429037d694a13b735ff35552b0271d82.jpg
13,0,247274970064,500311207,CNHNHY,5,男,@有趣的程序员 听歌识曲，0:00，80,2024-11-16 10:37:36,1,0,"这个人懒死了,什么都没有写(´・_・｀)
这个人大约的确是懒了。",未知,否,https://i1.hdslb.com/bfs/face/611b0740429037d694a13b735ff35552b0271d82.jpg
14,0,246245380113,1737103361,FNFxORENJI,5,男,磁吸炸弹已就位，主战坦克优先飞,2024-11-07 14:45:52,0,0,FNF工作室负责音乐制作，代表合作作品：独立十字架（indie croos）。,未知,否,https://i2.hdslb.com/bfs/face/5c1ece0ff7bab88d6f6ea9baccdad6e2ba7eedf8.jpg
15,0,246043535649,38333195,星空漫游墨白,6,男,你能想象到，我队友被机密大坝人机肘死了，哈哈哈哈哈笑死我了。,2024-11-05 02:31:46,0,1,第五人格id星空漫游墨白,未知,是,https://i2.hdslb.com/bfs/face/84c5f942da2aad5c1f3da8b42423539d51102ac7.jpg
16,0,245997276928,12027532,章大家,6,保密,[笑哭],2024-11-01 03:50:49,0,0,,未知,否,https://i1.hdslb.com/bfs/face/6aa5b8e4597d720f0d5dd2f085af977490239bed.jpg
17,0,245602601632,3546565998283303,子言只要木鱼,4,男,一百一十五个我针都扎冒烟了。除了两个制导但队友就是死活上不去。,2024-10-27 07:49:29,2,0,假期还是宅着好,未知,是,https://i1.hdslb.com/bfs/face/225f8d3bb9f6c05614c30971a4dcfd57094334e5.webp
18,0,245255141296,3493130173155412,可爱的团长114514,5,保密,我觉得只要是暗区他们打的特别好的，做到单人清图的话，在别的游戏中出塔克夫以外都算是特别强的，也都能算出是fps大佬,2024-10-22 23:22:02,0,0,,未知,否,https://i1.hdslb.com/bfs/face/cceb4bd3fa9986818c0c8e5e2e39613d64a3dc6b.jpg
19,0,245250355584,3494369543850633,牢中渡鸦,4,男,@桃子味的鸽子蛋,2024-10-22 18:12:36,0,0,,未知,否,https://i0.hdslb.com/bfs/face/061ba8822132f10f0aeebe186bf5dced4123f6d5.jpg
20,0,244918907777,628813257,星渊不是攻,5,保密,刚开服第一天的时候，我直接11杀清图，给对面一堆萌新打退游了[笑哭]（但是我也是萌新）,2024-10-21 11:49:25,0,0,喵鲨普小罗,未知,否,https://i0.hdslb.com/bfs/face/177f2771a73f51bddd27fd34bf3ba9344534b0fc.jpg
25,0,244894240065,1977931264,昔璃暴雨危難聖帝,5,男,byd人机三喷子给我秒了,2024-10-21 05:07:04,0,0,,未知,否,https://i1.hdslb.com/bfs/face/ad8c2c86b67ea668a77edcf87213e70a48207ef8.jpg
26,0,245005434208,3461569335790111,酱饼不香吗,4,保密,看得出来，他是真的喜欢[辣眼睛],2024-10-19 15:44:51,1,0,,未知,否,https://i1.hdslb.com/bfs/face/0690f7bba8255991d52d8a707d886807ae6cc773.jpg
27,0,244702309393,26589956,流来泽,6,男,我特么被首领灭队几次了，那破机枪在自己手里跟废铁一样，在首领手机3枪我就抱头鼠窜[笑哭],2024-10-18 16:38:05,1,0,真老司机从不翻车????坐看一位位勇者入小黑屋,未知,是,http://i2.hdslb.com/bfs/face/91214b8af0efd3a2da63bf9b5b446a12517700fd.jpg
28,0,244915408256,694046127,华云秋寒,5,男,俩医疗一突击，经常一穿三[tv_doge]极致速度加高级子弹加使命玩家过度滑铲锁头[tv_doge]后面有俩奶妈掩护，基本无解（只要突击别被三人逮就行[tv_doge]）,2024-10-18 15:19:22,0,1,绅士绅士绅士,未知,否,https://i0.hdslb.com/bfs/face/92e411e6075a92ea14bfaa7cd06040636df6c1af.jpg
29,0,244688040417,372462591,漪涟mirror,5,男,兄弟们如何评价[doge],2024-10-18 13:40:03,0,0,哟吼，这里是陑峏moii！一个工地打工人，放假回家有时会开直播，游戏打的很菜，喜欢很甜很甜的食物，喜欢椰汁，期待有天能有自己的皮套直播,未知,是,https://i0.hdslb.com/bfs/face/7418b5e7ad2723544b2833c7424e5b7765f2baaf.webp
30,0,244686267649,226672965,爆破de地点,6,男,"“他们拉开了地狱的序幕！现在，让他们看看，谁？！才是真正的魔鬼！战斗！直到大地饮尽他们的鲜血！冲！”
（开服没找到好枪，一直在用ak74u）",2024-10-18 13:17:27,0,3,这个人很勤快，他改了个签名,未知,否,https://i0.hdslb.com/bfs/face/c3d7413156c14faa50a7cf1ec5a11fab7f862d31.jpg
31,0,244899122096,18797228,百无禁忌的Leo,6,男,全都是战地过来的一战，二战老兵了,2024-10-18 11:59:59,0,0,发呆~,未知,否,https://i2.hdslb.com/bfs/face/45affc14466d3a23bbc82837140d03cc0f134c9d.jpg
32,0,244614295457,1052904993,君愿安_CN,5,男,刚开服那段时间没看懂最后一段，现在懂了，我上早八！,2024-10-17 14:09:02,0,0,,未知,否,https://i0.hdslb.com/bfs/face/de5bbba03e4e26f9d4e760e2fe70d0b015fc5daf.jpg
33,0,244608287041,3494360182164094,fluuuuuge,4,保密,这游戏你如果有了一个配合很好的固排队不知道有多爽,2024-10-17 12:44:17,0,0,被注意到了吗Σ(ŎдŎ|||)ﾉﾉ,未知,否,https://i1.hdslb.com/bfs/face/faa0b763ca6fd91262797ec40091dbdb56af7e3a.jpg
34,0,244510588401,1215265958,往生堂の七月,5,女,经常被人机肘击[笑哭],2024-10-16 05:30:02,0,1,勾栏听曲,未知,否,https://i2.hdslb.com/bfs/face/91dedf55c76e2bc1315ae3cf4629088a2e15c962.jpg
35,0,244395599761,3461573920164664,赛伊德-齐亚腾,5,保密,一些逆天屌图,2024-10-14 11:42:09,0,0,"也可以叫我：深空鸣响FPV
原ID：枫局长",未知,否,https://i1.hdslb.com/bfs/face/e236f0bedca820d78492f7092026ff8607468d60.jpg
36,0,244588398512,294154618,Jalow66,5,男,我玩医疗兵主要是回血快，人是可救可不救。,2024-10-14 10:45:48,0,0,"我的世界加  Q2711875268   Q群1011698576
三国杀十周年 Q3075715988 Q群103984490 ",未知,是,https://i1.hdslb.com/bfs/face/ac6d23da71a3b0fb82b531f58bbcfe11fe2a34aa.jpg
37,0,244368846497,169455093,pohuashanensis,6,保密,三个人搬空差不多四百万⌓‿⌓,2024-10-14 04:31:38,0,0,开口言是非，秋风吹唇寒。,未知,否,https://i0.hdslb.com/bfs/face/7850d7c5bcfeea556884166ed9043bcf994d609e.jpg
38,0,244342358897,660528956,不许随地大小睡,5,女,找呀找找老板,2024-10-13 16:13:14,0,0,,未知,是,https://i2.hdslb.com/bfs/face/cc0f60b2715fae96cd44884834b157e91e30b4b8.jpg
39,0,244489650400,348998628,钅落,5,保密,爽,2024-10-13 06:02:16,0,0,"无名
",未知,否,https://i0.hdslb.com/bfs/face/70f3a93528fcdf0b692fd88bcac5748ad0afb880.jpg
40,0,244177002673,3546773152860677,最爱天童爱丽丝呢,3,保密,其实还要加一个内测老兵队[doge],2024-10-11 13:54:16,0,0,,未知,否,https://i2.hdslb.com/bfs/face/f5a4ea11112018db8a7a5245610c0374192337eb.jpg
41,0,244356432816,1995500518,关牢二又干了,4,保密,这很好笑,2024-10-11 12:34:20,0,0,awa,未知,否,https://i1.hdslb.com/bfs/face/977c01065513af62a1ff0623807a232182f01411.jpg
42,0,244165041953,165799,了忘忧,6,保密,三角洲的工兵没c4好难受[笑哭]还想着复刻一下我玩战地2时候的玩法（自爆卡车）,2024-10-11 11:09:11,0,0,当法理无法给予我公平公正时，我就会用物理来给予我公平公正,未知,否,https://i1.hdslb.com/bfs/face/84eea85d7a4d3033fb6bc49647cfad5cfedb24e1.jpg
43,0,244310735616,3546677059258848,天上有可乐,3,保密,"“威龙，咱都是刀枪里滚出来的，咱可别丢份啊！”
“对，精神点，是啊是啊”
“tmd”
“好，好样的”
“真是好样的，看他怎么办”
“赛伊德，我吃柠檬！”
“亮装备，摆击杀，好，那就把你的装备全亮出来吧！”",2024-10-11 00:19:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e94f6caf7dc84eeaadef85170cd8c366c7a39aaa.jpg
44,0,243980303025,525164063,桂言叶大小姐,5,男,"反正这游戏挺不好打的 航天一撤包来人的
打完一队又来一队打完又来一队我二次1V3都撑不住",2024-10-08 16:24:54,7,3,新人三角洲∪P主请多指教,未知,否,https://i2.hdslb.com/bfs/face/482246572c6fa6af270d6439c42658586bee99e7.jpg
54,0,243969452129,3537106299259862,莱尔泽,4,男,我第一次打机枪兵的时候打腿结果没死我死了后来我打头我的是fmj子弹头烂了在打一下头死了,2024-10-08 13:52:05,0,0,,未知,否,https://i2.hdslb.com/bfs/face/eb039d305c7094c3adc813760a0fe65d412f2a03.jpg
55,0,243940253393,489666,MenjouHares,6,保密,踏马的遇见最离谱的就是火箭兵打死了死前给了我一发然后狙击Ai也给了我一发,2024-10-08 05:54:20,0,0,坚持真的很难，但是贵在坚持。,未知,否,https://i0.hdslb.com/bfs/face/88f4a444b8e8c501b4f47cc171cf0ba5bd1bbb20.jpg
56,0,243893537969,669851767,最好的克兰,5,保密,摸金最有压迫感的还得是抱着c4跑过来扔你脸上的威龙[吃瓜],2024-10-07 12:08:17,0,0,,未知,是,https://i1.hdslb.com/bfs/face/dba1913b9cc6489579766980deb5d787695f7063.jpg
57,0,243875517121,179519394,我觉得布心,6,保密,塞伊德我在机密找过他俩次，全被见面五级弹俩枪头抬出来了，队友也是[笑哭]俩把都是跟队友一起被塞伊德俩枪抬出来，令人闻风丧胆,2024-10-07 08:09:23,0,0,高木同学天下第一,未知,否,https://i0.hdslb.com/bfs/face/65fe62e41d66ddf36e6e470257c9325a2ef10c0a.jpg
58,0,243867462001,1195626888,心之钢仙人,5,保密,气死偶咧！,2024-10-07 06:05:21,0,1,"脑子可以是黄的，毕竟属于生理反应。
心必须是红的，因为有自由意志！
",未知,否,https://i0.hdslb.com/bfs/face/c70c6bbc5ebbb9053cdbcd58736701f2e9cc01c8.jpg
59,0,243864478305,3546618219465476,Observer_AB,4,保密,大战场一帮人不会开直升机硬抢，开局坠机[辣眼睛],2024-10-07 05:27:13,0,0,yeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,未知,否,https://i2.hdslb.com/bfs/face/9f5508c026791552cfc2519ff9d1308885bd2e44.jpg
60,0,243850448433,411612861,_猩红之刃,5,保密,刚入坑的我尽然徒手杀死三个有枪的人[疑惑],2024-10-07 02:14:40,2,1,,未知,否,https://i0.hdslb.com/bfs/face/fa8dab0f712f56a30645460c927aa1f06b56a060.jpg
61,0,244017562496,17334011,康斯坦丁-伊琉,6,保密,该做新的了，现在是四套普坝时间[滑稽],2024-10-07 01:59:19,0,0,,未知,是,http://i2.hdslb.com/bfs/face/4c197a347a9e73a099d645d8cdbd894b298da82f.jpg
62,0,243847137793,630719385,bili_74628624109,5,保密,还有一战老兵轮椅人[脱单doge],2024-10-07 01:15:07,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
