序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261741077488,445560905,SXSWJSZY,5,保密,不是哥们，你杀他拿的钱还不够修自己甲的呢[笑哭],2025-05-01 11:03:39,0,0,谢邀，但是经验+3,未知,是,https://i2.hdslb.com/bfs/face/3d23248dcfc9a63b3b0f2ed2b8257f99536404a3.jpg
2,0,261105151888,1605823114,哈基基米基基,3,保密,哥别回头 我是嫂子,2025-04-23 12:39:54,0,0,q 2072461036,未知,是,https://i1.hdslb.com/bfs/face/4ef0928b50f5ba3676a0c25ed5759aaa2536516d.jpg
3,0,261063186128,300311306,Asher-DY,4,男,@好好学习好的,2025-04-23 02:25:22,0,0,DY,未知,否,https://i2.hdslb.com/bfs/face/8762fb6bafcb9129f6ea26f56c0b69c79b9a603e.jpg
4,0,259214073985,26779387,你什么老公,5,保密,（队友视角）偶遇跑刀野人，三个人围着他，我掏出心给他看傻了,2025-04-11 02:45:27,0,0,记得你叫我王老八,未知,是,https://i1.hdslb.com/bfs/face/1209cd1df27e63ea2a744387ef5922403b30abce.jpg
5,0,259214016401,26779387,你什么老公,5,保密,昨晚同样的剧情，普通长弓落地10秒出心，也是这个小房间，我还跟朋友说给你们表演一下落地10秒出心，还真的出了,2025-04-11 02:42:49,0,0,记得你叫我王老八,未知,是,https://i1.hdslb.com/bfs/face/1209cd1df27e63ea2a744387ef5922403b30abce.jpg
6,0,259171997361,3546661932501054,老大具体来讲,3,男,零号大坝出军用炮弹,2025-04-10 11:34:20,0,0,,未知,否,https://i0.hdslb.com/bfs/face/b5ca844c371477432e3eddc663ffcfba103b269b.jpg
7,0,257701314833,233085176,五适安,5,保密,https://b23.tv/BV1uvXxY8Ews 这有更快的了[doge],2025-03-23 10:38:13,0,0,,未知,是,https://i2.hdslb.com/bfs/face/050d602a6b739def6efae1ee6675266780d4e529.jpg
8,0,257661349233,1963708253,95岁带病进b站,5,保密,走遍每个出心视频[doge],2025-03-23 01:48:54,0,0,,未知,否,https://i2.hdslb.com/bfs/face/57a82df50703164413c77b59671e00336dd384d9.jpg
9,0,254704285665,2093322352,木无山殇,5,保密,我有一个朋友，开局5秒，摸个鸟蛋，一个非洲之星，一个军用炸药。(大巴狙点1号位。)[大哭](虽然我有4个星),2025-02-14 15:13:15,0,0,,未知,否,https://i1.hdslb.com/bfs/face/942dc16e1c3c287d44c533351d862b6aed36189e.jpg
10,0,254300664177,419160993,裤衩ii,5,保密,鸟窝出滑膛枪是我没想到的,2025-02-10 11:32:48,0,0,,未知,否,https://i0.hdslb.com/bfs/face/8fbc7bde46ca66fc46c1c87babf8a780a6d1ce40.jpg
11,0,253072385457,240657160,爱妮芝,3,保密,哈哈哈，普通大坝。游客中心免宝摸到的，我跑刀的啥都没带，听到有人过来我也没管，刚塞进保险我就死了，杀代的那个也是跑刀仔可惜他晚了一步哈哈哈。,2025-01-28 05:07:38,1,1,,未知,否,https://i1.hdslb.com/bfs/face/03af26b517473376862d634bae4f60f5311a57bf.jpg
12,0,253607048128,174894240,善良的风滚草,5,保密,同一个点位 ，爆率真滴高,2025-01-27 05:32:39,0,0,,未知,否,https://i0.hdslb.com/bfs/face/1cb61d09f34fd3668bf4d85675d21447116e22af.jpg
13,0,252953724529,321314187,铁头娃兄弟,6,男,回来还愿，普通长弓开局同样位置出了第一颗非洲之心[星星眼],2025-01-26 21:12:41,0,0,为学日益，为道日损,未知,是,https://i0.hdslb.com/bfs/face/10d977b250e53024774dc36665da8d83c8793741.jpg
14,0,252861351377,3461566078913375,暗真的黑心,5,保密,一天出两个非洲之心[星星眼],2025-01-25 22:59:50,0,0,,未知,否,https://i2.hdslb.com/bfs/face/930e3dd48e955b20df474404988aff977e0c3932.jpg
15,0,252666958241,1976813095,谕示裁定机枢机,5,保密,欧洲之心,2025-01-23 18:58:33,0,0,,未知,否,https://i1.hdslb.com/bfs/face/a4247483881c327cdf07a5f0f128f637e47cc7a6.jpg
16,0,252516908193,3546385074883051,奇乐在英都,2,保密,佛了， 玩三角洲几个月还没有过一个红的,2025-01-22 09:02:14,0,1,8888888818477486316,未知,否,https://i1.hdslb.com/bfs/face/ac113204891963e757ef0ce26358dea4916b0fb4.jpg
17,0,252489150433,1141538154,摸鱼这件事,4,保密,我一般都是一局最后摸出非洲之星，玩一个,2025-01-22 03:36:10,0,0,,未知,否,https://i0.hdslb.com/bfs/face/a7e2f6a9b96a2f2abcff10183825c8d0592a3987.jpg
18,0,252433969745,1799944255,使命召唤优化匹配机制,4,保密,请问这鸟窝是乌鸦窝吗？？,2025-01-21 12:57:45,0,0,司人使命召唤手游,未知,否,https://i1.hdslb.com/bfs/face/c8e16b9b788e890a3577f9c1ad4f82b98a84daee.jpg
19,0,252739078480,3493131412572520,励志给全b站人拜年,4,男,UP主加油！看好你噢~,2025-01-18 10:44:18,0,0,励志给全b站拜年（36人）,未知,否,https://i1.hdslb.com/bfs/face/688903f0e29a084b3065c4882734d9edc287f045.jpg
20,0,252304600576,516563595,无畏的小申,5,保密,UP主加油！看好你噢~,2025-01-13 14:51:41,0,0,,未知,否,https://i0.hdslb.com/bfs/face/9e288fe865dd27d748d0df7168f2c1ca9f6e241c.jpg
22,0,251661213745,88836067,CasuvDow,6,男,新手刚玩了7个小时就出了,2025-01-12 15:37:18,0,0,我只说3句；这是第二句；没了,未知,否,https://i1.hdslb.com/bfs/face/232579e1ac49075111317968b395a86d0b3cbaed.jpg
23,0,251497412881,353684453,VUP保护协会-空白,5,男,今天普通长弓刚出的心，开局30秒的小保险,2025-01-10 20:47:54,0,0,111,未知,否,https://i2.hdslb.com/bfs/face/9067211949b2fc4a3a5139cc7a411f88a88c7043.jpg
24,0,251481213953,1544947551,航天狙击王Official,5,男,看了这个视频才玩的三角洲,2025-01-10 14:45:44,0,0,洲孝子看跌被骂了马上就寻着味过来???,未知,否,https://i0.hdslb.com/bfs/face/e655c2e06243a990f56ea863ea359cdd9c7a96fe.jpg
25,0,251972207712,29306001,森琼珞,6,女,两个赛季没见过一个,2025-01-10 01:34:12,2,1,Mark Sein,未知,是,https://i0.hdslb.com/bfs/face/86dd654fa65026139c39eb4249c97bd5f3fa9fe4.jpg
26,0,251928852624,247354519,bili74356398895,5,保密,这什么游戏？,2025-01-09 11:23:47,0,0,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
27,0,251911107488,9215690,AtoTAT,5,保密,属于跑刀人的奖励[打call],2025-01-09 07:35:10,0,0,#ato,未知,是,https://i2.hdslb.com/bfs/face/b67963bac0842721f203d78103c4d32105d6acbf.jpg
28,0,251250514897,438667060,yzklsf,4,保密,[星星眼][doge],2025-01-07 19:18:33,0,0,,未知,否,https://i1.hdslb.com/bfs/face/db226cb66d30182f862a0fa7de705a934a0340ec.jpg
