序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,259473784337,700599655,CWQCY,4,男,"大学生挣生活费纯绿手跑哈夫币，可以直播哦
100W＝7r，200W＝14r，300w＝21r
500W＝35r，1000w=70r，1500W＝105r
[蹲蹲][蹲蹲][蹲蹲]大老板们加我了解一下呗，肝等级代做任务也可以哦[doge_金箍][doge_金箍][doge_金箍]",2025-04-14 05:56:37,0,0,想要三角洲游戏代肝加CWQH20050921,未知,否,https://i1.hdslb.com/bfs/face/716b4891baacf9aa77956b53c364024476ee0036.jpg
2,0,259255300465,542951084,缘之以梦,5,女,有点唐,2025-04-11 12:31:51,0,0,私信骂人拉黑，自认定为破防,未知,否,https://i2.hdslb.com/bfs/face/19883f8201c41c795a88c75610d1e44545e05be5.jpg
3,0,260098426080,21451348,该名称已被占拥,6,男,我现在都是单排几百发白弹m249打机坝，挺快乐的😆,2025-04-11 07:29:41,0,1,https://game.bilibili.com/animistic/h5/?ivt_code=MjE0NTEzNDg%3D,未知,否,https://i1.hdslb.com/bfs/face/51b96c9d2b9fd6b8326f25467d47bfd60f03cf82.jpg
4,0,260022038048,3546855812106822,bili_80421870640,2,保密,安徽口音？,2025-04-10 08:37:17,0,0,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
5,0,259997603888,95251909,一直很灬想恋,4,保密,从来没摸到过这个大红,2025-04-10 02:16:02,0,0,,未知,否,https://i1.hdslb.com/bfs/face/165e63b65fd7be8eb7f02eb2b2d6e9859b01c387.jpg
6,0,259995326864,690559623,くうはく空白,5,保密,最后别打啊，拉烟就跑,2025-04-10 01:34:18,0,0,,未知,是,https://i0.hdslb.com/bfs/face/a4964e09f56fec01012573582726212bcbcaf3c8.jpg
7,0,259842393056,344331015,捡到水泥丢包撤离,6,保密,爆率还行吧,2025-04-08 03:57:05,0,0,,未知,是,https://i0.hdslb.com/bfs/face/6555020cbb82a6b83f8f2a33e07cdae82deeb16e.jpg
8,0,259805687616,355429615,Redeemerofme,6,保密,80万播放了[笑哭]，删了吧,2025-04-07 14:02:48,1,3,Мой спаситель.,未知,否,https://i1.hdslb.com/bfs/face/ff4e0c60abb7589293a160987df2cafaa047a877.jpg
9,0,258941747777,389113771,威威呀呀呀呀,5,保密,风衣为什么要带血药。。,2025-04-07 12:08:10,0,0,,未知,是,https://i1.hdslb.com/bfs/face/c254f5c5b4cc843c5dcda5076f4782a4da9fc10f.jpg
10,0,258908103057,3546861103220995,三角洲代肝小寒,2,保密,3*3任务，可以找我预约拉，保证纯绿且效率，主页加v找我联系吧,2025-04-07 03:49:25,0,0,纯绿接所有任务，新赛季dd绿泡泡19196033033,未知,否,https://i1.hdslb.com/bfs/face/f9ca8c0c1250851c427f77694882051ba5f3225e.jpg
11,0,259580243424,1673603226,六王旭亖,5,保密,唐人爆率啊，随便摸了点就报了张金卡又报了瓶香槟,2025-04-05 03:03:20,0,3,,未知,是,https://i0.hdslb.com/bfs/face/eb58f347d560732b545cbee17557429fb9a43f9f.jpg
12,0,259569683200,1432959801,影浪弥宵,5,男,"大学生纯红代肝
1元一千万
进图直接开转，盐豆不带盐
不封号全额退款",2025-04-04 23:38:04,0,0,123qaz,未知,否,https://i0.hdslb.com/bfs/face/922f90ce36799648d55294c5eead0fde51ce8532.jpg
13,0,259566177984,507858833,划算的人了吗,5,保密,喜欢跑刀的小朋友们有福了，一人赏十发仙丹,2025-04-04 19:50:57,0,2,,未知,是,https://i2.hdslb.com/bfs/face/67735196fe28438661001cf5ec88b33c111aa5c3.webp
14,0,259023592192,383184600,Hanabi-三角洲代肝,5,男,"手打哈弗币，有无老板需要的
首单5r=100w
7.5r=100w
36r＝500w
70r＝1000w
先打后付，绝对绿色
可接部门任务 详情可私信
可打锅打油
（要保留特殊房卡大红可备注）
注:纯币
（还接3*3所有任务除失去联系“时间成本太大”[笑哭]
以及所有部门等级）[doge]四张图全都像回家一样，详情可私聊 全程可直播",2025-03-29 14:18:31,0,3,接三角洲各种任务 可以私信 白天一般两小时内回,未知,是,https://i0.hdslb.com/bfs/face/e4f466ac1caa22a04ed824bc5e49a0e54a671e1c.jpg
15,0,257849257521,37385365,熊式井盖,5,保密,有一把开了把航天刷视频给忘了，点进去在劳大剩17分钟，离心拉了闸想着直接去蓝市拉闸撤了，还捡到个油[笑哭]，全图就听见个接飞升的队,2025-03-25 09:03:25,0,0,这个人特别懒，什么都不留下来van,未知,否,https://i1.hdslb.com/bfs/face/0187787291d113620c2d89617a9932decd266b3a.jpg
16,0,257804862577,32643288,爱六加衣,5,保密,很明显，最后是遇到寻血猎犬了,2025-03-24 16:03:01,0,0,不是人,未知,否,https://i0.hdslb.com/bfs/face/177d7b4e7316cf46da6d059c3bab4f0b88fd0b8b.jpg
17,0,258515237200,3493092187441208,MALE-07,4,保密,大家现在是真有钱了蓝都不捡了,2025-03-23 12:23:26,0,2,清醒的理想主义者终将走向胜利,未知,否,https://i2.hdslb.com/bfs/face/95ff8a859bd0abc9b352601de4ea64825cc3188f.jpg
18,0,258443820560,687901549,cc是代肝,5,保密,"借一下楼大学生赚生活费接三角洲行动带干[打call][打call][打call][打call]看看孩子吧让孩子吃吃饭吧[大哭][大哭]
火箭燃料（不出一直打包亏损）
卫星锅
等级
哈弗b
通行证
段位
护航（可点指定大红单 不出打到相应保底）
9格保险
这些咱们都接哈效率都很高的哦 绿色无撞车 都是手打 有售后有保障不会存在毁号有喜欢的板板加我主页联系方式哟让你享受根本花不完哟[打call][打call][打call][给心心][给心心][给心心]",2025-03-22 15:50:48,0,0,"q 3691414763
v cc03021913
可代三角洲 
高价回收三角洲  暗区突围账号",未知,否,https://i1.hdslb.com/bfs/face/e83cfb4f22f7e743b15891e010c522aebfce3285.jpg
19,0,258325509504,3546733013371441,6一亖,3,保密,单排不就是捡垃圾吗？小蓝不吃？,2025-03-21 10:05:42,0,0,,未知,否,https://i1.hdslb.com/bfs/face/9728943783931cfbeb97bf9e7b9366bb84f99f02.jpg
20,0,257501473745,516343680,龙佑羲,5,保密,现在老巴不是落地二十来秒八方来敌就是全城静音被6，走丢包有人蹲，走撤离点会刷新巴别塔蛊王,2025-03-21 03:52:17,0,1,,未知,是,https://i0.hdslb.com/bfs/face/c316bacbcc37926063ffc9f2e8c9cff8c63cf627.jpg
22,0,258270776992,3546571364895701,威特利P7,4,保密,@SPN_冰顏,2025-03-20 15:30:09,0,0,哭哭,未知,否,https://i2.hdslb.com/bfs/face/769834de829bfdbb532ceb4885caf4622fd195eb.jpg
23,0,257473232385,3546700968888588,黑色猫猫最可爱辣,4,女,没想到有人买黑鹰坠落捆绑包[星星眼][星星眼][星星眼]（同款）,2025-03-20 15:25:31,0,1,,未知,否,https://i0.hdslb.com/bfs/face/fefeacafe403a0aaaa5ae2cabf88f68a4bc047f4.jpg
24,0,258255815248,1029195811,某不知名的屑银星,5,保密,笑死，避战就没避开过，开局5分钟都没就被堵在房间杀[笑哭]封烟跑了都死追我3分钟[笑哭],2025-03-20 12:29:22,0,7,汝若降世，切戒罪行恶果，唯使光明降临,未知,否,https://i1.hdslb.com/bfs/face/7f1c8bceddb30a11cc20d4937da7fa5672098e16.jpg
25,0,257425028801,496700698,芙愿天明,6,男,玩这么久献祭流不知道为啥越玩越强度高，有一次绝密航天开局在发射区复活，发射区火箭仓摸到滑膛枪就趴在飞升任务对面，任务一开就去接，然后发射区刷了个老太，眼都不带眼的，系统直接针对我[星星眼][星星眼],2025-03-20 03:58:34,3,16,只是想把心中的幻想表达出来,未知,否,https://i1.hdslb.com/bfs/face/642e29893677d86a5834ccbf5c8814b424bb9121.jpg
26,0,257424687185,496700698,芙愿天明,6,男,666开局23秒被巅峰战神踹死在出生点[星星眼][星星眼],2025-03-20 03:52:12,2,1,只是想把心中的幻想表达出来,未知,否,https://i1.hdslb.com/bfs/face/642e29893677d86a5834ccbf5c8814b424bb9121.jpg
27,0,257412038417,448784770,航天返回舱,6,男,一个搜打撤游戏现在只剩打撤了[笑哭],2025-03-19 23:48:04,0,4,感觉自己......,未知,否,https://i1.hdslb.com/bfs/face/6230dc51e103a4bf03ed420da74ee57e333cce1a.jpg
28,0,258204885696,1496138604,亿の白,5,男,大浴场餐厅出过心[doge],2025-03-19 20:57:17,0,0,,未知,否,https://i0.hdslb.com/bfs/face/52c18f6af36ae9af544455e206d463af06ab4810.jpg
29,0,258204477712,357465829,凉幽辰,6,保密,巴克什卡战备吗，有意思[脱单doge][脱单doge][脱单doge],2025-03-19 20:31:23,0,1,,未知,是,https://i1.hdslb.com/bfs/face/2f6c15fa11c34250a3bc42a775c38145ffb459c7.jpg
30,0,257401014065,3546664549747079,some_bbody,4,保密,之前跑刀碰到个红狼，他在博物馆看见我连保险都不吃开大追我到山城[笑哭],2025-03-19 15:56:34,13,71,签名变成没关系,未知,否,https://i2.hdslb.com/bfs/face/03969ab7ca13d1a434ca983aa73d65b2bdd62eaa.jpg
31,0,257387422801,357166854,古見硝子一,5,保密,巴克十穷的要死，除了巴别塔外面都是低级容器。,2025-03-19 12:56:41,1,0,,未知,否,http://i0.hdslb.com/bfs/face/92dcf3af380bd960361c22c4c15bc170a8894b2a.jpg
32,0,258175893552,3493088234309915,GERADF,4,保密,难道这就是爆率,2025-03-19 11:36:32,0,0,,未知,否,https://i2.hdslb.com/bfs/face/4ec9db0af93028dfd3711d85fdf6523c29bb62ae.jpg
33,0,257379039473,1521886162,偷袭之刃,4,男,不是？,2025-03-19 11:02:43,0,0,,未知,否,https://i1.hdslb.com/bfs/face/342410bfaa47fc032fb95dfad1e21291fcab2860.jpg
34,0,257371592913,321430975,MyGO的soyo本人_,6,女,老浴场餐厅登山包出过黑匣子[笑哭]还是机密,2025-03-19 09:15:25,0,1,,未知,是,https://i1.hdslb.com/bfs/face/ac6ace4f33099d85457ace4442a4c8a08981057f.jpg
35,0,257363670753,178865761,是赤璃不是吃梨啊,6,男,"巴克什现在除了落地是旅馆那个博物馆一号位不知道去哪，其他地方基本都能硬刮地皮凑个八九十万，
穷死就去塔前扣那些人机的子弹配件，
复活塔里就拉个闸往角落一蹲，等人打架吃尸体，吃不了去扣一波人机子弹配件直接就走丢包，
反正我就是躲着，就是不打架，
这样玩基本一套装备能玩好几局，死了对方什么都拿不到",2025-03-19 06:53:24,5,46,,未知,否,https://i1.hdslb.com/bfs/face/1e8e96848e065d3e21c2327c1c91feb01da920a7.jpg
36,0,258147246352,1312868912,安全总监德穆拦,6,女,"长功西湖开启排位跑刀流了解一下
虽然赚不了多少钱 但是对于我来说已经够了",2025-03-19 04:16:38,0,0,天空属于哈夫克！,未知,否,https://i2.hdslb.com/bfs/face/1dcf30b59fddd9e4534e8c86f7dde5df23a9e5d2.jpg
37,0,257342687329,177032273,蕉左衽,6,保密,带这么多针干嘛？,2025-03-19 01:07:33,0,0,,未知,否,https://i2.hdslb.com/bfs/face/4160f968288111248ff4a442ed053dedf29d8f3d.jpg
38,0,258135783168,295008431,RFU晓,6,保密,不多不少[doge],2025-03-19 01:05:26,8,14,,未知,是,http://i2.hdslb.com/bfs/face/a809a3b8407840ae00032360108261fcf503d38a.jpg
39,0,258133429168,3546385469148011,莺soup,4,保密,五级自闭头破损比全新贵,2025-03-19 00:20:27,0,7,,未知,否,https://i2.hdslb.com/bfs/face/9bf458e5c9a8cde8a4a5f05e0ed84c3217b75b7b.jpg
40,0,258130912528,366675605,MuLingio,5,男,201神力，一件衣服，俩格，两张卡,2025-03-18 22:54:38,0,0,“我大概是病了，我爱的深沉”,未知,否,https://i2.hdslb.com/bfs/face/d4f766083615068530471de0f00363a14820befb.jpg
73,0,257336791601,1252958774,无岫1,5,保密,问题是芳纶比特种钢贵吧,2025-03-18 21:25:57,5,82,究极胡桃单推人,未知,是,https://i2.hdslb.com/bfs/face/f559b77040c7e1a2f269532ffca7a41dbbf76ca9.jpg
74,0,257327736081,3493078717434675,努力与时间并存,5,男,核心配件九格。,2025-03-18 16:02:21,0,0,安静做视频,未知,否,https://i0.hdslb.com/bfs/face/28462f8804a4fd2f1dba5d33a69a6d5cf04738df.jpg
80,0,259473784337,700599655,CWQCY,4,男,"大学生挣生活费纯绿手跑哈夫币，可以直播哦
100W＝7r，200W＝14r，300w＝21r
500W＝35r，1000w=70r，1500W＝105r
[蹲蹲][蹲蹲][蹲蹲]大老板们加我了解一下呗，肝等级代做任务也可以哦[doge_金箍][doge_金箍][doge_金箍]",2025-04-14 05:56:37,0,0,想要三角洲游戏代肝加CWQH20050921,未知,否,https://i1.hdslb.com/bfs/face/716b4891baacf9aa77956b53c364024476ee0036.jpg
81,0,259255300465,542951084,缘之以梦,5,女,有点唐,2025-04-11 12:31:51,0,0,私信骂人拉黑，自认定为破防,未知,否,https://i2.hdslb.com/bfs/face/19883f8201c41c795a88c75610d1e44545e05be5.jpg
82,0,260098426080,21451348,该名称已被占拥,6,男,我现在都是单排几百发白弹m249打机坝，挺快乐的😆,2025-04-11 07:29:41,0,1,https://game.bilibili.com/animistic/h5/?ivt_code=MjE0NTEzNDg%3D,未知,否,https://i1.hdslb.com/bfs/face/51b96c9d2b9fd6b8326f25467d47bfd60f03cf82.jpg
83,0,260022038048,3546855812106822,bili_80421870640,2,保密,安徽口音？,2025-04-10 08:37:17,0,0,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
84,0,259997603888,95251909,一直很灬想恋,4,保密,从来没摸到过这个大红,2025-04-10 02:16:02,0,0,,未知,否,https://i1.hdslb.com/bfs/face/165e63b65fd7be8eb7f02eb2b2d6e9859b01c387.jpg
85,0,259995326864,690559623,くうはく空白,5,保密,最后别打啊，拉烟就跑,2025-04-10 01:34:18,0,0,,未知,是,https://i0.hdslb.com/bfs/face/a4964e09f56fec01012573582726212bcbcaf3c8.jpg
86,0,259842393056,344331015,捡到水泥丢包撤离,6,保密,爆率还行吧,2025-04-08 03:57:05,0,0,,未知,是,https://i0.hdslb.com/bfs/face/6555020cbb82a6b83f8f2a33e07cdae82deeb16e.jpg
87,0,259805687616,355429615,Redeemerofme,6,保密,80万播放了[笑哭]，删了吧,2025-04-07 14:02:48,1,3,Мой спаситель.,未知,否,https://i1.hdslb.com/bfs/face/ff4e0c60abb7589293a160987df2cafaa047a877.jpg
88,0,258941747777,389113771,威威呀呀呀呀,5,保密,风衣为什么要带血药。。,2025-04-07 12:08:10,0,0,,未知,是,https://i1.hdslb.com/bfs/face/c254f5c5b4cc843c5dcda5076f4782a4da9fc10f.jpg
89,0,258908103057,3546861103220995,三角洲代肝小寒,2,保密,3*3任务，可以找我预约拉，保证纯绿且效率，主页加v找我联系吧,2025-04-07 03:49:25,0,0,纯绿接所有任务，新赛季dd绿泡泡19196033033,未知,否,https://i1.hdslb.com/bfs/face/f9ca8c0c1250851c427f77694882051ba5f3225e.jpg
90,0,259580243424,1673603226,六王旭亖,5,保密,唐人爆率啊，随便摸了点就报了张金卡又报了瓶香槟,2025-04-05 03:03:20,0,3,,未知,是,https://i0.hdslb.com/bfs/face/eb58f347d560732b545cbee17557429fb9a43f9f.jpg
91,0,259569683200,1432959801,影浪弥宵,5,男,"大学生纯红代肝
1元一千万
进图直接开转，盐豆不带盐
不封号全额退款",2025-04-04 23:38:04,0,0,123qaz,未知,否,https://i0.hdslb.com/bfs/face/922f90ce36799648d55294c5eead0fde51ce8532.jpg
92,0,259566177984,507858833,划算的人了吗,5,保密,喜欢跑刀的小朋友们有福了，一人赏十发仙丹,2025-04-04 19:50:57,0,2,,未知,是,https://i2.hdslb.com/bfs/face/67735196fe28438661001cf5ec88b33c111aa5c3.webp
93,0,259023592192,383184600,Hanabi-三角洲代肝,5,男,"手打哈弗币，有无老板需要的
首单5r=100w
7.5r=100w
36r＝500w
70r＝1000w
先打后付，绝对绿色
可接部门任务 详情可私信
可打锅打油
（要保留特殊房卡大红可备注）
注:纯币
（还接3*3所有任务除失去联系“时间成本太大”[笑哭]
以及所有部门等级）[doge]四张图全都像回家一样，详情可私聊 全程可直播",2025-03-29 14:18:31,0,3,接三角洲各种任务 可以私信 白天一般两小时内回,未知,是,https://i0.hdslb.com/bfs/face/e4f466ac1caa22a04ed824bc5e49a0e54a671e1c.jpg
94,0,257849257521,37385365,熊式井盖,5,保密,有一把开了把航天刷视频给忘了，点进去在劳大剩17分钟，离心拉了闸想着直接去蓝市拉闸撤了，还捡到个油[笑哭]，全图就听见个接飞升的队,2025-03-25 09:03:25,0,0,这个人特别懒，什么都不留下来van,未知,否,https://i1.hdslb.com/bfs/face/0187787291d113620c2d89617a9932decd266b3a.jpg
95,0,257804862577,32643288,爱六加衣,5,保密,很明显，最后是遇到寻血猎犬了,2025-03-24 16:03:01,0,0,不是人,未知,否,https://i0.hdslb.com/bfs/face/177d7b4e7316cf46da6d059c3bab4f0b88fd0b8b.jpg
96,0,258515237200,3493092187441208,MALE-07,4,保密,大家现在是真有钱了蓝都不捡了,2025-03-23 12:23:26,0,2,清醒的理想主义者终将走向胜利,未知,否,https://i2.hdslb.com/bfs/face/95ff8a859bd0abc9b352601de4ea64825cc3188f.jpg
97,0,258443820560,687901549,cc是代肝,5,保密,"借一下楼大学生赚生活费接三角洲行动带干[打call][打call][打call][打call]看看孩子吧让孩子吃吃饭吧[大哭][大哭]
火箭燃料（不出一直打包亏损）
卫星锅
等级
哈弗b
通行证
段位
护航（可点指定大红单 不出打到相应保底）
9格保险
这些咱们都接哈效率都很高的哦 绿色无撞车 都是手打 有售后有保障不会存在毁号有喜欢的板板加我主页联系方式哟让你享受根本花不完哟[打call][打call][打call][给心心][给心心][给心心]",2025-03-22 15:50:48,0,0,"q 3691414763
v cc03021913
可代三角洲 
高价回收三角洲  暗区突围账号",未知,否,https://i1.hdslb.com/bfs/face/e83cfb4f22f7e743b15891e010c522aebfce3285.jpg
98,0,258325509504,3546733013371441,6一亖,3,保密,单排不就是捡垃圾吗？小蓝不吃？,2025-03-21 10:05:42,0,0,,未知,否,https://i1.hdslb.com/bfs/face/9728943783931cfbeb97bf9e7b9366bb84f99f02.jpg
99,0,257501473745,516343680,龙佑羲,5,保密,现在老巴不是落地二十来秒八方来敌就是全城静音被6，走丢包有人蹲，走撤离点会刷新巴别塔蛊王,2025-03-21 03:52:17,0,1,,未知,是,https://i0.hdslb.com/bfs/face/c316bacbcc37926063ffc9f2e8c9cff8c63cf627.jpg
101,0,258270776992,3546571364895701,威特利P7,4,保密,@SPN_冰顏,2025-03-20 15:30:09,0,0,哭哭,未知,否,https://i2.hdslb.com/bfs/face/769834de829bfdbb532ceb4885caf4622fd195eb.jpg
