序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261113193392,1262676214,一个普通无名用户,5,保密,我打普通大坝也喜欢带G3 只带个30发和弹匣座 我感觉很好用,2025-04-23 14:21:47,0,0,,未知,否,https://i1.hdslb.com/bfs/face/e5904968cdd2b0821e553d1298b01f1f7577d2a8.jpg
2,0,260836638080,3546558920395443,打野小Jun,3,保密,@玖羽子,2025-04-20 05:26:03,0,0,孤独,未知,否,https://i0.hdslb.com/bfs/face/3d05bd7f2c54467fc39f9bd371de475707fe9f13.jpg
3,0,259706528817,495653480,AKASaroo,5,女,[笑哭]能不能扶贫一下我 ，打了好久普坝了 一进高级我就死 至今没有敢玩过 高级,2025-04-17 09:01:27,0,0," 我是贫穷陌生的流浪者
只为穿过这个悲哀的世界",未知,否,https://i2.hdslb.com/bfs/face/fa020516cdfd85bed8bfe4b085b78e12a1b5e194.jpg
4,0,260210380352,23240715,迷惘的kepler,6,男,新手，这游戏普通模式遇到真人几率大吗？枪法实在不行。。。,2025-04-12 12:42:18,0,0,说点什么好呢？我爱b站！！！,未知,是,https://i0.hdslb.com/bfs/face/d341ed6b87c3dc7f4112d1ddd34c414662ed48dc.jpg
5,0,259067252961,342568761,曾经有个杨树林,6,保密,听桂柳味的普通话有点舒服了,2025-04-09 04:48:11,0,0,我投降,未知,否,https://i0.hdslb.com/bfs/face/5d2aa3a403a8f7f68a2ae634eeaac31c2efb794e.webp
6,0,258720935985,32785489,战部阿鲁姆,5,男,那个游标卡尺很值钱的，比紫色的干扰器和情报还值钱，同样的还有蓝色的燃料和军用罐头，便宜的时候1w2，贵的时候超过了1w4,2025-04-04 20:43:26,0,0,久我三严、伴随吾之血脉与言灵，谨以古老盟约之符咒下令，时间啊，停止吧！,未知,否,http://i1.hdslb.com/bfs/face/0568b817b36e97298f1f1a2021ad9697458a020c.jpg
7,0,259265175616,3546838246361813,78小鼠鼠78,2,男,[doge],2025-04-01 10:41:36,0,0,,未知,否,https://i2.hdslb.com/bfs/face/fc36e1003c8537ac4975f1acb21ee4e0d2d41036.jpg
8,0,259105694944,3546618949274136,我的名字非常特殊,4,保密,选我，三联给你安排所有视频都给，选我我哈弗币400万随便造，,2025-03-30 12:31:20,0,0,名字是随便起的,未知,否,https://i0.hdslb.com/bfs/face/1c8df8af1bf253692cc302f0b011e8d3d1346d42.jpg
9,0,258866790400,522002947,海豹大可爱,5,保密,航空箱出了一个黑匣子，普通大坝。,2025-03-27 19:37:35,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
10,0,257890566193,1300797177,米粒瑶姐姐,5,保密,(｀・ω・´),2025-03-25 18:49:01,0,0,(｀・ω・´)(｀・ω・´),未知,是,https://i0.hdslb.com/bfs/face/2c98c698ae659bc728a6bbacb3f56287e9379b2d.jpg
11,0,257628665121,98757485,叶小白超强的,6,保密,机密航天二等一，找个固排盾哥,2025-03-22 13:29:36,0,0,私の一人暮らし,未知,否,https://i2.hdslb.com/bfs/face/037497aa9d884e6da618392740be5d29429c103a.jpg
12,0,257469953089,651801956,逆锋,5,保密,你2*2怎么永久的？,2025-03-20 14:46:20,0,0,憧憬拥有百万播放量,未知,否,https://i2.hdslb.com/bfs/face/eb101ef90ebc4e9bf79f65312a22ebac84946700.jpg
13,0,258227465616,362013146,悠然心慧,5,保密,看到桌面愣了一下，连忙回来给了个赞,2025-03-20 05:20:53,0,0,在短暂的lolm生涯中，我学习到了一件事，一个人越是专注于当爹上分，越容易被机制杀到道心崩塌，所以，来不及为掉分哀悼，接下来赶到的是——混子,未知,是,https://i2.hdslb.com/bfs/face/2fed5cd7683989236cce59d42b6a4462354dd8f2.jpg
