序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,257903187569,40721457,SaltedfishAMM,6,男,浪费[doge_金箍],2025-03-26 02:25:54,0,0,,未知,否,http://i0.hdslb.com/bfs/face/5a7d42f7ca839ddc2568389c131747ad5bc79a1c.jpg
2,0,258165795968,385720217,张铭月的爱情,6,女,姐姐的声音大概15岁的小女孩的，女童音,2025-03-19 09:19:53,0,0,LK-鲍雅洁，张铭月，刘春-我们永远在一起，永不分离！！！,未知,否,http://i2.hdslb.com/bfs/face/1d3450d6394916b69b0212465882397a4dacf426.jpg
3,0,257311659281,8951263,UltraStage,6,保密,当我了解到三角洲这个项目背后的真相后，我呵呵了,2025-03-18 12:41:03,0,0,超级舞台,未知,是,http://i2.hdslb.com/bfs/face/2059a53d64a04713c841027dc5fcb6c10ad2fd2d.jpg
4,0,257162015393,14733557,战斗吧椰子,3,保密,你体验过天降子弹的绝望吗 见过车漫天飞吗  这才我碰到最难打的战场,2025-03-16 13:37:45,0,0,,未知,否,https://i2.hdslb.com/bfs/face/deadceef45699115f64332f19dbb28a3272887a0.jpg
5,0,257134565601,3493074806245882,星梦衍,5,保密,杀鸡用牛刀,2025-03-16 07:48:57,0,0,点击领取大会员！,未知,否,https://i1.hdslb.com/bfs/face/f952f505dd83a46e12d56b91c66c7a7d154538c3.jpg
6,0,257908301520,293790343,夜猫CG,5,保密,美国大兵体力是真不行，跑20米就要喘一分钟,2025-03-16 05:06:34,0,0,,未知,否,http://i2.hdslb.com/bfs/face/ed10c09f9c46fed6a1632d66b0c7fbfaf77006b9.jpg
7,0,257091641489,479331058,liuhui818,4,男,5090 H200 B200可以找我长期大量订货！,2025-03-15 18:02:04,0,0,"vx55652385

英伟达 七彩虹GPU涡轮卡 服务器
超微华硕 戴尔 广达A100 H100 H200 H800 

巴西大宗商品期货",未知,是,https://i1.hdslb.com/bfs/face/aee7ba9c442d7d2e06a4c0b538b7f7cf05cd5cb0.jpg
8,0,257084926625,22909053,露露子luluda,6,保密,这不是巧了[doge],2025-03-15 16:10:50,0,0,无意开杠，如果是因为观点不合而进入空间的话请不要太过生气，祝你拥有美好的一天,未知,是,https://i0.hdslb.com/bfs/face/93bbd50c9a959368b09d4a6b65150c69a02c2257.jpg
9,0,257036750977,694049053,bailanks,5,男,看评论区才发现是邪神的视频，不当男娘去做性转手术了吗，哈基邪，你这家伙...,2025-03-15 06:18:23,0,2,好的,未知,否,https://i1.hdslb.com/bfs/face/d547f0153855fe5be4a78716f11c3c244ffc921d.jpg
10,0,257786416320,421271137,黑盐西瓜冻冻,5,保密,邪神邪神！你可以和我当舍友吗？我可以帮你  做你   很多事哦,2025-03-14 17:55:57,0,1,这个人很懒！！什么都不会写！,未知,否,https://i1.hdslb.com/bfs/face/74f8318f07cfc07b8f1c2b6a085984f6621e2899.jpg
