序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,259917773937,3493281042270362,B站最无用的UP,3,保密,卸腿补人封烟头甲包枪挂花来！,2025-04-20 00:47:17,0,0,专注于搭配性价比装备,未知,否,https://i2.hdslb.com/bfs/face/570082c627ef71cb4a10fc7ef18a26a24c704604.jpg
2,0,259916575313,3546626819885190,tgdvg,4,保密,朋友都说我得请高人了[笑哭][笑哭],2025-04-20 00:22:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/844ee0096934bd2ab570bb1bf971e8b2d21c45d5.jpg
3,0,259912509057,519154894,俩眼一黑,5,男,我已安全返航[吃瓜],2025-04-19 21:37:58,0,0,道是人间遇难留，恍恍无言乱上头。,未知,否,https://i1.hdslb.com/bfs/face/115186c0bb15c66505148bc94d49d7779e46f0e1.jpg
4,0,260788205184,51948923,风间ウ琉璃,6,保密,本人有幸，捡到过自己的狗牌一枚,2025-04-19 14:26:20,0,1,,未知,是,https://i2.hdslb.com/bfs/face/c893cd986074fbbcaa5e524b9076e3d180d69d89.jpg
5,0,259869379377,403886487,装逼我让你飞起来,6,男,啊？,2025-04-19 10:03:50,0,0,我看着这毁灭,未知,否,https://i0.hdslb.com/bfs/face/538a885a362fc45551a24e061179696a63aec7d7.jpg
6,0,259847228641,91737988,嗝儿在下不是洛梓辰,6,男,头甲枪胸挂背包顺序错误，花时间扣子弹扣大分，往来人的方向跑扣大分，这波啊没死纯是运气好，队友没跟在后面,2025-04-19 04:44:50,0,0,这里不是个性签名,未知,否,https://i1.hdslb.com/bfs/face/1aac3ac6f2b6cf1a680c6345d5e99989dde5b0ed.jpg
7,0,260726996912,56305104,一零八X,6,男,我一般买几包干脆面夺舍了以后扔地下送给他,2025-04-19 01:19:09,0,1,,未知,是,https://i0.hdslb.com/bfs/face/8fcca06afd6d23282d14c56047597658417e7792.jpg
8,0,259824676001,7036154,不卡大神,6,男,虽然顺序不太对，但是手速是真的快,2025-04-18 19:39:50,0,0,这货没个性签名,未知,是,https://i2.hdslb.com/bfs/face/ca408b347fc5d8b05e063ea013b2f9a90d35fbdf.webp
9,0,260711065168,1948255644,犹巧森,4,男,"没有奇妙的小咒语,难受",2025-04-18 16:37:33,0,0,一只犹他盗龙,未知,否,https://i0.hdslb.com/bfs/face/92cbd400f6d5f4ec0a4657f1cdc2694213ac78cc.jpg
10,0,259760792529,12756181,彼痒得__帕克,6,女,在大坝，每个人都有自己要做的事情[doge][doge],2025-04-18 03:27:02,0,0,,未知,是,https://i1.hdslb.com/bfs/face/2b91b3e0ad520f87d566da9a0a3d370fbb7fb8fd.jpg
11,0,259747611745,1958442759,元分飞机,5,保密,细节拿狗派交任务或者留着巴克什用[吃瓜],2025-04-17 22:09:01,0,0,,未知,否,https://i0.hdslb.com/bfs/face/99e92dc1d7453e376aee929437ec1165dcfaf59e.jpg
12,0,260569344752,3546570370845637,洛水呐,4,保密,这兄弟退的再快点 说不定能在市场上买到自己的枪[墨镜],2025-04-17 02:26:35,0,0,,未知,否,https://i1.hdslb.com/bfs/face/5917f7225c1b48899d2de49164a5d63a893e93bd.jpg
13,0,260548600880,435667338,练华瑜Lumine,6,保密,开头这个跟枪就告诉我对面死的不冤,2025-04-16 15:42:51,0,0,终有一日，来自五湖四海的人们，无关国籍、信仰、种族与肤色，能够在一起快乐的交流畅谈，这是我的梦想，我亦坚信它终将在这个世界上实现,未知,否,https://i0.hdslb.com/bfs/face/507d6fb9db8b67ba01b37b03230e41b3141c46c7.jpg
14,0,259640247777,485193689,老尼真可爱,5,男,巴别塔能打进去也不缺飞鼠的牌子，打不进去基本上进去的第一时间交牌子。自己带很难有机会走的。,2025-04-16 10:45:04,0,1,嘟嘟嘟,未知,否,https://i2.hdslb.com/bfs/face/b47c3d7e3f54ba6fd87f59bcc640534a95646cf8.jpg
15,0,260500464624,281315309,MiKaぃ,6,保密,我突然想到了这个，老哥穿五套拿金蛋追我打，被我蹲死了，然后看见他没变盒子，我吃完东西跑路，枪子弹一枪没打，后面我拿金蛋打了他队友，他没变盒子，我害怕他队友堵撤离点，慢慢摸过去的，后面撤离点真有人堵，但是只有他自己堵，还傻傻的漏身位，又被我鲨了[大笑][大笑]死两次，兄弟估计睡不着了。,2025-04-16 05:03:24,0,1,爱莉希雅！爱莉希雅！爱莉希雅！啊！我的粉色妖精姐姐！,未知,否,https://i2.hdslb.com/bfs/face/a03aa7bf9905bf3daad675f907f9db4f1b65ce01.webp
16,0,259539111665,40995079,非官方献丑级评论员,6,男,我有个疑问哈，一倒的时候把狗牌给摘了，他队友扶起来又把他杀了，还有没有狗牌,2025-04-15 04:04:29,0,0,,未知,否,https://i1.hdslb.com/bfs/face/02044b71aea7c120177ae57606c038ad0d478a32.jpg
17,0,259537305985,3546387620825193,偏偏偏我不逢春,4,男,我碰到过夺舍流红狼逃跑那个刀撞我脸上了。给他突突死舔完包里面一个曼德尔超算。刚塞保险就被追他的人突突死了[笑哭],2025-04-15 03:36:33,0,1,生命中所有的灿烂，终要寂寞偿还。,未知,否,https://i0.hdslb.com/bfs/face/5b20fb5f62b35dd3d4aa33a6af0eb18cc7485828.jpg
18,0,259536793553,265035152,千到零,4,男,刚被朋友拉起来，舍友就问我怎么破产了来普坝跑刀了,2025-04-15 03:27:57,0,0,,未知,否,https://i2.hdslb.com/bfs/face/8b23915a75785491efff04be5fc58c432c6049d9.jpg
19,0,259533140385,177604488,佐哀大王www,6,保密,杀死的人狗牌有啥用阿，只有1500,2025-04-15 02:22:14,0,0,不知道，我真的什么都不知道,未知,是,https://i0.hdslb.com/bfs/face/86debd16158a0b0e430f04fab3c5a73af00336e7.jpg
20,0,259502671777,1156018482,Ari_真心为你,5,保密,不仅枪和防弹衣没了连身份证都丢了[笑哭],2025-04-14 13:24:17,0,0,"""再见是为了再次相见而说""









哔哩哔哩 - ( ゜- ゜)つロ 乾杯~",未知,否,https://i0.hdslb.com/bfs/face/8aaf907bf85dc28163ab57993b7ea92e9780d3bd.jpg
21,0,259481616065,3537115249903698,蒙雲Sama,4,保密,扫码了,2025-04-14 08:29:38,0,0,:D,未知,否,https://i0.hdslb.com/bfs/face/5676a11e5ac5e5e9ae0ed19c194af702f55fdc41.jpg
22,0,259448936161,430172069,爸爸咪咪呀,4,保密,这跟枪,2025-04-13 18:54:02,0,0,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
23,0,259439760129,700599655,CWQCY,4,男,"100W＝7r
200W＝14r
300w＝21r
500W＝35r
1000w=70r
1500W＝105r
大学生纯绿手跑，可以直播哦[星星眼][星星眼][星星眼]",2025-04-13 15:37:30,0,0,想要三角洲游戏代肝加CWQH20050921,未知,否,https://i1.hdslb.com/bfs/face/716b4891baacf9aa77956b53c364024476ee0036.jpg
24,0,260256012592,381812186,随缘无奈,6,保密,第一次倒地，有狗牌，被拿走了，第二次倒的话，还有吗？[思考],2025-04-13 03:24:00,0,0,,未知,是,https://i2.hdslb.com/bfs/face/52db57c16e00e3a778132ffc3760c3e6bfd902d7.jpg
25,0,260244867200,12336511,马戏团里的苏卡熊,6,保密,我有点好奇如果第一次倒就把狗牌拿了，二倒还有么，那岂不是俩狗牌,2025-04-13 00:37:32,1,0,只与同好辩长短，不与傻弔争高低，点进来查成分，你就已经输了,未知,是,https://i1.hdslb.com/bfs/face/e54981dda882c2f9710972abd4510195263a7485.jpg
26,0,260238597536,485381028,我叫小萌香,5,保密,我看战绩是绝密脸跪，破产来大坝回血，这一狙下去我感觉退游了[笑哭][笑哭][笑哭],2025-04-12 19:48:44,0,0,嘻嘻,未知,否,https://i0.hdslb.com/bfs/face/c7cd19ecf4161404dee3bdf6b18d30795e38fe83.jpg
27,0,260221850384,399814240,新昵称0000,5,保密,小王买了怎么不放[doge],2025-04-12 14:49:15,0,0,,未知,是,https://i1.hdslb.com/bfs/face/ad38a7e7e499697ef692cb23be15ab9400552b21.jpg
28,0,260218747328,3493130055715543,桓耀影,4,男,"对面救起来一看天塌了
除了保险里的啥也没有",2025-04-12 14:16:16,0,0,看到这行字，说明你点进了我的主页（bushi）,未知,否,https://i1.hdslb.com/bfs/face/355eb3ea6edebf2899eaf69eee15ef77b17f5eae.jpg
29,0,259312624497,259549859,没杀过人不够高洁善良,6,男,bro起来变成gti黑户了,2025-04-12 06:43:51,0,3,,未知,否,https://i2.hdslb.com/bfs/face/132b4d9b9a39bbf5ed4d85caeeaa47dbc3b1615d.webp
30,0,259306781393,519987455,VLGC,5,男,bro起来变尼罗鳄了,2025-04-12 05:19:01,1,2,,未知,否,https://i2.hdslb.com/bfs/face/1d15a64e6b8f8054ee4503ee714c807e54221d4a.jpg
31,0,260145446672,247288018,诡计方程,6,男,身份牌有什么用啊，我纯萌新，刚开始拿过几回发现不值钱，后来就不拿了,2025-04-11 17:34:28,4,1,贫僧唐三葬，葬天葬地葬众生,未知,是,https://i1.hdslb.com/bfs/face/abf7b3b6a00dffdcd186e8845421de57da91bffe.jpg
32,0,259200122433,252046656,豆腐伴咸菜,6,男,这跟枪跟锁一样,2025-04-10 18:42:37,0,1,留我狗命,未知,否,http://i0.hdslb.com/bfs/face/cf85d5023adc47a90d0608f0104296fb81915d4d.jpg
33,0,259164923649,28905898,高跟单孩,6,保密,问个问题，一个大招能跑这么远吗[doge],2025-04-10 10:01:02,0,0,爱你哟，贝贝,未知,否,https://i1.hdslb.com/bfs/face/d537288182ee47f640fcbaeefe0c659d2a73c76c.jpg
34,0,260026260880,393532041,明月时晰,5,男,差点把手伸人家仓库去,2025-04-10 09:40:35,0,0,你是年少的叹息,未知,否,https://i0.hdslb.com/bfs/face/a21a3385c74d82819cc9aa69ecb6de63771d6607.jpg
35,0,259144870193,304704571,一只白羊-_-y,5,保密,前天往打死的兄弟包里放了一把滑膛枪，转身我就走了[doge],2025-04-10 04:30:41,0,0,白羊天真好骗～,未知,否,https://i1.hdslb.com/bfs/face/8e5effa0e689d8a3f41ef69c669bb85fb6d4acce.jpg
36,0,259143625409,520433765,松江Boy,5,保密,应该把你的狗牌塞给他,2025-04-10 04:14:54,0,0,,未知,否,https://i2.hdslb.com/bfs/face/abdeadd0e8fd48f475d70a44e00b4b20dcd1c2da.jpg
37,0,259133503553,7935352,小兎老师知识课堂,5,保密,昨天遇到个蹲箱子老鼠红狼，我菜没打赢他，夺舍我直接跑了（然而我浑身装备加起来11.26w还是假账[笑哭]）,2025-04-10 01:27:21,2,0,,未知,是,https://i1.hdslb.com/bfs/face/fe587f3476f6f7aa85692c199fab65fb8083b909.webp
38,0,259903713664,306610804,币全都拿来改名了,5,保密,我一般把狗牌塞回他子弹口袋[妙啊],2025-04-08 18:23:39,0,0,漫天都是亮晶璟,未知,否,https://i1.hdslb.com/bfs/face/9c29cbed71c6fdb1e42d22fbde51cbb738f62ab4.jpg
39,0,259902282272,74123907,qimi酱,6,保密,这跟枪有实力的，该你得吃[傲娇],2025-04-08 17:39:41,0,0,这个世界上路有千千万万条，而每个人都有属于自己的那一条,未知,是,https://i0.hdslb.com/bfs/face/89ff4e6db4c5b8a84102af8260599b8d3b6fbec4.jpg
40,0,259901585408,3546649271994607,ldern,5,保密,狗牌是干啥的？只玩到普通巴克夫还被乱杀的彩笔[笑哭],2025-04-08 17:22:45,2,2,想看哪位舰娘可以直接去置顶动态评论.,未知,是,https://i1.hdslb.com/bfs/face/cf62d3cbf218b7e571e528479e86c48b928b3cd9.jpg
51,0,259901150208,3546627247704114,chka-chka,4,男,我有个问题，这人没成盒狗牌被拿了，救起来又死了，成盒子了，还有狗牌吗,2025-04-08 17:13:02,1,2,暮威慈畏大亚纹土,未知,否,https://i0.hdslb.com/bfs/face/a349ec70db033ba2a0a2f4ec00f81ff049ecfeb0.jpg
52,0,258997716609,3546688646023797,月月丨MOON,3,保密,没准退的快还能买到自己的枪呢。,2025-04-08 06:39:17,0,0,这个人不神秘，只是单纯懒得写.,未知,否,https://i0.hdslb.com/bfs/face/3f960baee8636349f69eef8434fc4008540f099e.jpg
53,0,259844474224,687901549,cc是代肝,5,保密,"借一下楼大学生赚生活费接三角洲行动带干[打call][打call][打call][打call]看看孩子吧让孩子吃吃饭吧[大哭][大哭]
火箭燃料（不出一直打包亏损）
卫星锅
等级
哈弗b
通行证
段位
护航（可点指定大红单 不出打到相应保底）
9格保险
这些咱们都接哈效率都很高的哦 绿色无撞车 都是手打 有售后有保障不会存在毁号有喜欢的板板加我主页联系方式哟让你享受根本花不完哟[打call][打call][打call][给心心][给心心][给心心]",2025-04-08 04:23:36,0,0,"q 3691414763
v cc03021913
可代三角洲 
高价回收三角洲  暗区突围账号",未知,否,https://i1.hdslb.com/bfs/face/e83cfb4f22f7e743b15891e010c522aebfce3285.jpg
54,0,258985856993,623380170,MRADrifle,4,女,666盐兜不带盐,2025-04-08 03:48:06,1,25,快乐到模糊～,未知,否,https://i0.hdslb.com/bfs/face/c5c91b63830d74b2d0d5b934490d0b2588cba43d.jpg
55,0,258984791313,475456176,混凝土小白狗,6,男,我不反感这种夺舍的，我反感3v3打到一半把对面装备一舔队友也不救直接跑的,2025-04-08 03:34:14,0,0,,未知,是,https://i0.hdslb.com/bfs/face/39f69b8bcc9be43f2a91adbb424e850200824214.jpg
56,0,258983531041,480944580,冥都飞鱼,5,男,起来一看变跑刀的了,2025-04-08 03:11:31,0,0,你喜我做,未知,是,https://i0.hdslb.com/bfs/face/fb539467d06e6fabc68721cc5bcf5c3ca5c93aa5.jpg
57,0,259831362032,420688139,原味麻酱ii,6,男,话说把他打死 狗牌拿了 被拉起来再被打倒还有狗牌嘛？,2025-04-08 00:49:21,0,0,,未知,是,https://i2.hdslb.com/bfs/face/a29067031a0d9e312b9c2574c1b1e659d59b119f.jpg
58,0,259819951712,95495905,九天厉鬼,6,男,话说这样把人杀了狗牌塞他自己口袋里他复活了他的前一个狗牌还在不？,2025-04-07 17:05:54,0,0,,未知,是,https://i1.hdslb.com/bfs/face/36e86d8dbceb52660870b567899efca56b6dbae6.jpg
59,0,259819293504,336264643,黑色の礼服丶,5,保密,建议下次狗牌塞他兜里,2025-04-07 16:51:02,0,0,上善若水 宁静致之,未知,否,https://i1.hdslb.com/bfs/face/dbd5a27447eea16e45fb6b60e7e3930d8308136e.jpg
60,0,258930085633,291942580,是小水啊逆天,5,男,这跟枪纯凭实力啊,2025-04-07 09:38:45,0,0,鬼谷八荒  肝   永宁州小霸王,未知,否,https://i1.hdslb.com/bfs/face/6443d9b31b6f599f4e9b27d35c34bd1b04c52d2d.jpg
61,0,258829378689,2560760,嘶_倒吸一口凉皮,6,保密,忘记塞小王了，不中,2025-04-06 04:21:20,0,0,,未知,是,https://i2.hdslb.com/bfs/face/674032cf74f98167575be5a22bb954858174e60a.webp
62,0,259673527104,21052225,大D丶12138,6,男,没玩过这个游戏，这是用最低的成本阴死别人吗,2025-04-06 03:12:45,7,1,,未知,否,https://i1.hdslb.com/bfs/face/cce49c60b173d9d55b6e620a18e75fcf1550fe23.jpg
63,0,258811345377,1777872871,杜康忧_代肝哈夫币,5,男,"3×3任务详谈
10=100w
18=200w
45=500w
90=1000w
（现金！）纯绿&可直播
第一次下单九折",2025-04-05 23:49:57,0,0,3×3任务详谈 10=100w 18=200w 45=500w 90=1000w （现金！）纯绿&可直播 第一次下单九折,未知,否,https://i1.hdslb.com/bfs/face/d1dd606acb1d495e48a4d2d5fa990acc96e66c17.jpg
64,0,259618087280,1443201834,西安第一老实人,5,保密,要不要建议策划加一个给枪可以蚀刻自己ID的功能，或者可以自定义蚀刻[doge_金箍],2025-04-05 10:58:43,2,1,正儿八经陕西人,未知,否,https://i0.hdslb.com/bfs/face/c602fccf64c4c12cf87ef1aeeeb57d17f694492b.jpg
65,0,259615232048,458052402,小荆啃大瓜,5,保密,我玩塔科夫玩的狗牌必拿[笑哭],2025-04-05 10:26:28,0,0,全力以赴,未知,是,https://i0.hdslb.com/bfs/face/32772a5f0fde500630ff823097a9391eabd48bed.jpg
66,0,258764917201,362392072,正宗威宁破忒头,5,男,"特勤处：今天又带了什么东西回来？
干员：🔍",2025-04-05 09:58:41,0,3,,未知,否,https://i1.hdslb.com/bfs/face/a8a20e00502b212cb079e608db978e94381279d9.jpg
67,0,258737215457,3493092587997989,u7hjjm,4,保密,这才是真正的救起来都流口水,2025-04-05 03:50:02,0,0,,未知,否,https://i2.hdslb.com/bfs/face/ead159f5c689388fedee691b14ea6bc05b73493e.jpg
68,0,259547377792,3546719117642026,桥西的乔西,3,保密,名牌儿都薅走了。,2025-04-04 14:21:34,0,0,,未知,否,https://i1.hdslb.com/bfs/face/7d4ff93a9d8d355b578d085c4e47c946b5345ad8.jpg
69,0,259527059488,445483334,九尾妖胤,5,保密,没塞一张小王[doge],2025-04-04 10:36:18,0,0,,未知,否,https://i2.hdslb.com/bfs/face/8327353b3a944ad936461607ea46f6d2b8d715c4.jpg
70,0,259521472336,37283017,嘿妳惹毛我了,6,男,@晨Chen_X @逆天破站不让改名,2025-04-04 09:30:52,0,0,,未知,否,https://i1.hdslb.com/bfs/face/31070b1557a5977f52ca7ae7c7de590498daa4b1.jpg
82,0,259516288400,3493074699290730,原来我活在梦里丶,4,保密,笑不出来，因为我昨天5套就被这样夺舍了[无语],2025-04-04 08:23:57,0,0,,未知,是,https://i0.hdslb.com/bfs/face/b063805da1e02fed337b2ba9ed9c8d725693c8de.jpg
83,0,258670592577,1894354483,真不是柯哀,5,保密,市场上架：正在加载中...,2025-04-04 07:59:39,0,0,,未知,否,https://i1.hdslb.com/bfs/face/e0738aee76420ef0b7ad34183f3551b9c189a7b4.jpg
84,0,259496437440,35971620,你好呀我叫李林,6,男,他撤的快，还能把装备买回去,2025-04-04 04:00:37,0,0,人生如逆旅，我亦是行人,未知,否,https://i0.hdslb.com/bfs/face/0e6a5f5db79daa1ee828d8a963a2c62cbadaaac7.jpg
