序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261862192672,374328149,桐-子-木,6,男,"三角洲代打，大学生纯绿玩来啦
[doge]鼠鼠跑刀，可直播超低价格破产的板板来看一看
9＝100
17＝200
40＝500
80＝1000w
切勿为了省几块钱，遇到开挂代肝
导致账号被封，因小失大！【飞吻R】
挣个辛苦钱，绿色纯手打！
大学生黑奴纯绿色手工跑刀一千万一天跑完绝对真实一分钱一分货，给老板账号绝对的安全保障！",2025-05-02 19:04:50,0,0,"(｡ì _ í｡)需要代代的请联系wcu8577
",未知,否,https://i2.hdslb.com/bfs/face/649caf20fb8aaf2ddf021d4e8ed5ab0cbcb9c3b8.jpg
2,0,260903897985,1640179999,正义戴表,4,保密,这个p90怎么改的呀？,2025-05-02 12:57:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
3,0,260876821233,305605399,出色的五分之四,5,男,包不会的,2025-05-02 06:54:12,0,0,巅峰迎来虚伪的拥护，黄昏见证虔诚的信徒,未知,否,https://i1.hdslb.com/bfs/face/9c7de9c9bba6b4e09ce26eda5b9e53650ce920a8.jpg
4,0,260711882689,13567390,ogdhroi,4,保密,哈哈哈哈哈哈单排打自闭了就喜欢公屏世界里找个带妹的队伍进去混吃混喝[给心心],2025-04-30 07:06:42,0,0,,未知,否,https://i1.hdslb.com/bfs/face/424a0e9aaafe6e332c817db47293c4d093494d34.jpg
5,0,260409065281,504208291,奈斯内恰哒哟,4,女,我想知道这个P90是怎么改的 看起来好强,2025-04-26 08:10:26,0,0,,未知,是,https://i1.hdslb.com/bfs/face/22ad90eafa82e670a0e1f159db3936d4a6552d69.jpg
6,0,260029985153,264499551,友生,6,保密,哥哥[脸红],2025-04-21 08:53:23,0,0,,未知,否,http://i0.hdslb.com/bfs/face/0f7be89cc0936da267fc8718878c05bd8f20ddc7.jpg
7,0,260759282944,353436349,三角洲亲卫汤姆,4,男,蹲一波pc端老板（超会照顾老板游戏体验），保险和房卡会优先给老板摸。目前兄弟俩人刚起步，单量比较少，价格定的比较低，具体价格的话动态里面有，暂定的是这些，以后还会做调整。我们一般猛攻绝密航天，三赛季超前卫思路老兵，会指导游戏思路，撤离率百分之六十，从大俱乐部离职自己做陪玩 绝对纯绿 🛰️15597790612,2025-04-19 08:50:57,0,0,"亲卫打手汤姆，让你体验众星拱月绿泡泡:1551949
2239",未知,是,https://i1.hdslb.com/bfs/face/baf5db59e1ce7fad67af008aa79c7d55abd20eee.jpg
8,0,259669913169,12104997,時空管理局局長,6,保密,红狼和威龙单挑谁更厉害？,2025-04-16 17:39:42,1,0,急什么急,未知,否,https://i0.hdslb.com/bfs/face/e1062dd1e5ebf1cb7940fcc49465b0fbaf0843ea.jpg
9,0,259593339633,1556868,水若惹,6,保密,后续呢？,2025-04-15 17:57:40,0,0,喵喵喵？,未知,是,https://i0.hdslb.com/bfs/face/149d50dd8159ed55c6cc194fc7dafdbde2b8a9ff.jpg
10,0,259019149521,116966,奕九儿,6,男,啊？撞头像了,2025-04-08 11:56:10,0,0,开着我心爱的E92。缝缝补补又一天2333,未知,是,https://i2.hdslb.com/bfs/face/68effde59db2fe910dbc061eb088c6c4c4a50600.jpg
11,0,259854584144,3546783900764432,东星吊锋,2,保密,"很抱歉打搅大家看视频，属实没钱了[热]大学生纯手打绿玩
8r--100W
20r--300W
35r--500W
65r--1000W

首单特惠5r--100W，25r--500W（绝不动仓库，装备全手打。红全留，顺路做任务。摸大红超出金额也一并带出。）有意请私信[热]再次抱歉打搅大家看视频了<(_ _)>",2025-04-08 06:49:49,0,0,,未知,否,https://i2.hdslb.com/bfs/face/038db38e0eb7f8aae1601b09936af69c2c972d8a.jpg
12,0,259526082896,3546633534965936,酷啊mo,3,保密,欢迎老板点单,2025-04-04 10:24:58,0,1,,未知,否,https://i2.hdslb.com/bfs/face/3c9be478b0c219c15bf0eed75cc1ba37ff299031.jpg
13,0,259322400624,131562536,纯aiest,6,男,@牧之原0o @tifosi2G,2025-04-02 04:12:17,1,0,什么都发,未知,否,https://i2.hdslb.com/bfs/face/f3358969c08806657a34c7a54cbddd6851ae703b.jpg
14,0,259050534576,477283110,白夜咣咣哒,5,保密,好夸张的小头[OK],2025-03-30 01:07:25,0,0,,未知,是,https://i0.hdslb.com/bfs/face/419c5f1a633f6176bb985b2a3773a71590054bfd.jpg
15,0,258126127697,411360563,小野不生气,5,男,大学生赚钱给对象买戒指 纯绿廉价跑刀,2025-03-28 17:19:02,0,0,哈喽?,未知,否,https://i2.hdslb.com/bfs/face/cd95081a7ee07afce4f20bf7733127dd4b0541d9.jpg
16,0,257900468625,26208668,橘子味巧克力麻薯,6,男,调好了,2025-03-26 01:35:15,0,0,,未知,是,https://i2.hdslb.com/bfs/face/f10e96a01c944bec05b3fdec86268f25791ffdc1.jpg
17,0,257696467313,3546860383898479,yzdzK,2,男,"稳定长期纯绿跑刀
直播跑
9=100W哈夫币
45=500W哈夫币
80=1000W 哈夫币",2025-03-23 09:37:17,0,0,"接三角洲纯币
九格保险9R100W
6格保险11R100W
绿泡泡：srqlck
纯手打全程直播到结束
",未知,否,https://i1.hdslb.com/bfs/face/e3d08fe05cc077ec659ae60bb36e5f81ea68c223.jpg
18,0,257450549457,12577297,半夏Haruka,6,男,我不一样，有没有妹妹带我吃饱饱[doge],2025-03-20 10:36:19,0,0,我是奶龙，我才是奶龙,未知,是,https://i1.hdslb.com/bfs/face/93b1d3bdb7c3a26d13224089fef810c9e1fd8e78.jpg
19,0,257286382753,512245180,狂耍帝君,5,男,现在护航真的死贵，100万币护航要收20到30多，自己跑2把刀就有了，普坝运气好也能跑到大红,2025-03-18 06:31:50,2,1,方舟修仙总群号：515829493,未知,否,https://i1.hdslb.com/bfs/face/ec5b097d30f2920b0526753eee67c02207efa088.jpg
20,0,257268635121,804659,上班人油漆,6,男,总结：白叫了,2025-03-18 02:00:22,0,1,一个上班族，有时累，有时忙了，但我一直都在这里！,未知,是,https://i2.hdslb.com/bfs/face/ea871ab563a4b69c9c10c835a8d26b5c58ed3871.jpg
25,0,258025292320,1514841637,尚鼬,2,男,完啦是堵飞升gou,2025-03-17 12:42:20,0,1,"直播时间不固定，但基本每天都播
vx19159013494",未知,否,https://i1.hdslb.com/bfs/face/03761b5e44034c6ebd6db64ff61c743917c09738.jpg
26,0,257175441121,88445188,拔电池养你,6,保密,所以发射那队躲在哪里不会被老太抽啊[笑哭],2025-03-16 16:17:36,0,0,想想梦泪怎么做,未知,否,https://i1.hdslb.com/bfs/face/2a87de521c731baa1449e01bbfc2015b95191572.jpg
27,0,257174277201,668898569,忽忽521,4,保密,nm太假了吧，这没开？,2025-03-16 16:02:22,1,0,,未知,否,https://i2.hdslb.com/bfs/face/cb94e6c40ff0791efa3ea3d27bfa7dade3e70c75.jpg
28,0,257960910736,166276442,易飞扬喽,6,男,游戏打得好真的能找女朋友吗,2025-03-16 15:45:15,0,0,晚安,未知,是,https://i2.hdslb.com/bfs/face/368f8d9ad76ec168c386c39187df8944bd9a4114.jpg
29,0,257172051857,148068062,名字呺难起o,6,女,玩大战场的哪有这种待遇啊,2025-03-16 15:34:12,0,0,只可惜你洋碟没有你这么自信,未知,否,https://i2.hdslb.com/bfs/face/b4f82beb06402b2417c67bf90eabb466a136255d.jpg
30,0,257134553297,11230795,晴天见-,6,男,这个游戏怎么玩阿，我就觉得打大战场好玩，这种小规模的玩法不好玩，舔包是为了游戏币吗，游戏币有什么用,2025-03-16 07:51:25,3,2,,未知,否,http://i1.hdslb.com/bfs/face/9ecc23789c84c483ab4bcee9d1382228aacfe81b.jpg
31,0,257123118625,91706985,丶丶冻手冻脚,6,男,131.4万播放，我不好评价[doge_金箍],2025-03-16 05:22:53,0,0,想养条柴,未知,否,https://i0.hdslb.com/bfs/face/3e30b4933bef9e01582f0a8dc85f6d44aa282904.jpg
32,0,257904585808,94539,麻阿,6,保密,主包适合在故事结尾搁妹妹回忆里出现的那种角色，就张柏芝米老鼠.jpg,2025-03-16 04:26:25,0,0,我是正经b站会员。,未知,是,https://i0.hdslb.com/bfs/face/4d3d4ef580f3a67849262f667bde4305b34e7f33.jpg
33,0,257881344192,1364093336,文名虫二,5,女,nb,2025-03-15 20:13:22,0,0,养老,未知,否,https://i2.hdslb.com/bfs/face/b9534750c798f33759b9ee294c12f3cbc7ff016b.jpg
34,0,257088191521,1234622264,落地付款,5,保密,现在五万了,2025-03-15 16:57:35,0,0,,未知,否,https://i2.hdslb.com/bfs/face/25142efd0e312ed4562a043cce5d0b6865b8155c.jpg
35,0,257869171840,437000107,WITCHER-H,5,保密,@乌龟囚犯 @無聊的紙飛機 @无脑欢乐猪,2025-03-15 15:54:30,0,0,——热爱摄影的游戏玩家——,未知,否,https://i1.hdslb.com/bfs/face/e7effd78597a18ca74472b2f69d6cd44ece99679.jpg
36,0,257855276816,3546739927681503,华仔1145uyiti,3,保密,被乌鸡蛋打成海绵宝宝,2025-03-15 13:22:53,0,0,,未知,否,https://i0.hdslb.com/bfs/face/8629ed62c4087823b870f31d94b0e5fdb30bdb50.jpg
37,0,257034703265,430174598,Cire--,5,保密,看开头很不绿色啊，而且演的也不像,2025-03-15 05:49:54,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
38,0,256997599649,442250071,未来还做主唱,5,男,老太什么意思,2025-03-14 16:16:34,0,1,"每天都要开心呀！
",未知,否,https://i1.hdslb.com/bfs/face/f425e551c9244affd8b61989879a80652a395e72.jpg
