序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260749619953,294579961,杨柳a,6,保密,高手帧数,2025-04-30 15:27:49,0,0,,未知,否,https://i1.hdslb.com/bfs/face/3c69d4479fc41308ed1a3671ba53ba59dbcd9fa0.jpg
2,0,260501954081,1424331788,颖小鸟,3,男,非常的好用,2025-04-27 11:45:56,0,0,,未知,否,https://i2.hdslb.com/bfs/face/ecff360edf77a4e76bd35133d8e7dbd5a972141f.jpg
3,0,259382125441,3493272410392678,会飞的人桑,2,保密,@睡眠猫-猫,2025-04-13 03:05:33,0,1,,未知,否,https://i1.hdslb.com/bfs/face/501dbbc134b1df517fbe811195d965ec2075030e.jpg
4,0,259795284480,381434149,安神定心,6,男,AK改机枪，就是射速不太行,2025-04-07 11:58:14,0,0,像水一样，我的朋友,未知,否,https://i1.hdslb.com/bfs/face/b50f74f6155851acd1f1e913126aaba1c19f67a3.jpg
5,0,258471774641,3546625687423479,鱼与雲与雨,4,保密,支援兵那么多冲锋枪，反正玩的人少，不如给侦察兵[脱单doge],2025-04-01 23:53:03,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e3f4dc805af1d26b7520127d916ecd1de00b1450.jpg
6,0,258422900928,2126966826,梦里寻花海,4,保密,正宗柏林口音,2025-03-22 11:48:59,0,1,,未知,否,https://i0.hdslb.com/bfs/face/8ef08594b65d5ba5b3b619fcb035db75b0ff01f3.jpg
7,0,257387129633,3546393998265173,三角洲腹蛇,4,男,Mp7真的很好用唉。三级弹可以当四级弹用。,2025-03-19 12:51:33,0,1,天才与疯子之间有一条横线去维持而我就是那一根线…,未知,否,https://i2.hdslb.com/bfs/face/b4cc9d0842606a03580c535a8e47f2e8e4b99f69.jpg
8,0,257313123889,3546733304875682,七度雪乃最可爱,3,保密,刚洗了个mp 7，（吃）好吃！[doge],2025-03-18 12:57:46,0,0,雪乃厨,未知,否,https://i2.hdslb.com/bfs/face/f85a9277120ee1b5c699dd17d4309b23f2f5d523.jpg
9,0,257269451409,515474479,AsrielYX,4,保密,自己改的，第一个烽火第二个全面[微笑],2025-03-18 02:12:57,0,0,Asriel好可爱！！！让我抱一下啊啊啊！！好可爱！！让我摸一下！！想和Asriel贴贴！！无论是大只的还是小只的都看着好有感觉！我先冲了！,未知,是,https://i1.hdslb.com/bfs/face/bb63d89e09be5d03e3f40ab5f191bf31b2329893.jpg
10,0,257150282225,3546862673988579,万尘归终,2,男,我竟然能听懂德语,2025-03-16 11:15:09,0,0,万生万事皆归尘,未知,否,https://i0.hdslb.com/bfs/face/48eda946dddae2577fa666317d33ba0f4c23e51c.jpg
