序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262127055536,37450827,狂拽酷霸强,6,男,换弹癌,2025-05-05 17:12:53,0,0,早点跌倒 早点爬起来,未知,否,https://i0.hdslb.com/bfs/face/9ea88f564c59d7bfecbc2c48c20620bd25f6c2ca.jpg
2,0,261155967521,401583289,傲雪凌霜R,6,男,五一的时候改了一个半改m14一秒之内灭一队 ，但是子弹太贵了 玩不起,2025-05-05 10:33:21,0,0,是B站变了还是人变了,未知,否,https://i1.hdslb.com/bfs/face/3824284ae79c60365f3b1bc6b0d437a922f8baed.jpg
3,0,261100611217,23672781,网瘾少年失心疯,6,男,一样的兄弟，我爱上m14是缴的别人的，自己打的蓝弹schar，m14大人打3弹四级甲跟纸糊的一样,2025-05-04 17:17:11,0,0,,未知,是,http://i0.hdslb.com/bfs/face/148c2859917da6fe7fd4a8b4cce01c9d423e2e26.jpg
4,0,261023143201,39547792,典孝急乐盒赢绷麻,6,男,我队友1000发绿蛋m249肉身勾引，我16W丐版m14静步绕后，连偷三个背身[笑哭],2025-05-04 00:47:24,1,0,我是原神高手，不用查了,未知,是,https://i1.hdslb.com/bfs/face/d201370b529287bd95c841b92e20293630c58968.jpg
5,0,261016079121,2131118489,企鹅湘庆桦,5,保密,我叫丰川家小祥,2025-05-03 19:50:25,0,0,,未知,否,https://i2.hdslb.com/bfs/face/347031846425b64c0d421e634e3e796c8ee5d440.jpg
6,0,261887578784,535788303,乌龟爱玩水,5,保密,他们说我玩的枪超标，从m4到m14，到后来m250，我才知道是我自己实力,2025-05-03 04:48:58,0,0,帅气的人,未知,否,https://i0.hdslb.com/bfs/face/e6eb179fb236833ab7a5944a9f68d342dff61f35.jpg
7,0,260736563313,84334096,Wayne_rain,6,男,超杰 我小时候还抱过你呢,2025-04-30 12:45:19,0,1,雾失楼台，月迷津渡,未知,是,https://i1.hdslb.com/bfs/face/fd31b2e5f829ca5eb47784a94ed4b33e679a0f03.jpg
8,0,261498712176,316957903,灬尽头灬,6,男,"倒地后该干什么：关键信息和保守数据，当队友慌张时，确保他止痛吃了状态大于对面再进一步处理
千万不能：一丝！一丝！位置都不报
然后死了又说：你是真的菜别玩了你不适合打这个
这种压力哥纯逆天，可能自己有点实力但队友没准备就无脑冲然后失误死了乱叫",2025-04-28 11:27:54,0,0,up开大：‘’滑天下之大稽！”,未知,是,https://i1.hdslb.com/bfs/face/665b8420f0d9efd6db842df7bdce6321096816f1.jpg
9,0,260545872577,66937462,HuyaLaoJiu666,6,保密,00:09 三个大招不用，留着下把用哈哈哈哈哈哈哈,2025-04-28 03:44:36,0,0,FPS多面手，背背背背背起了行囊,未知,是,https://i1.hdslb.com/bfs/face/c4ba0cafaf719b11c81c97193e8e92ae7ebb48da.jpg
10,0,261450682960,53738406,对生活比个剪刀手呀,6,男,杰哥厉害啊,2025-04-27 19:29:39,0,0,↑↑↓↓←→←→BABA,未知,否,http://i0.hdslb.com/bfs/face/024355936357684b454d0f7ab5836390530672df.jpg
