序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,257522680929,3546582391720585,艺雪-Fantasy,4,保密,自闭头一枪不死被当成没达到头了吗[笑哭],2025-03-21 09:14:04,0,0,目标，像”猫崽君不是猫“大佬那样，希望接触更多有趣的东西,未知,否,https://i1.hdslb.com/bfs/face/fdb8348e46eb20325061ec3c59e4edae36540167.jpg
2,0,256730896449,295424269,风满洛城花满天,6,保密,[嗑瓜子]这么多云的吗，那击中反馈就是打到头了，而一枪没死就至少是五级头，而能抗一枪不碎的就只有铁壁头，六级头都不行,2025-03-11 09:05:03,0,0,放下个人素质，享受缺德人生,未知,否,https://i1.hdslb.com/bfs/face/c0345cca3303896d810a281cfb78ee48c16daf47.jpg
3,0,256160678897,3546619947518771,英文童话故事机,3,保密,哎呀妈呀，350万整买了个东经理室卡，结果机密开完了连个小红头都没瞧见，不过过年那会儿，策划还挺实在的，往俩保险箱里塞了不少红包啊，哈哈。,2025-03-04 03:53:15,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d1edab7adb4effc2879dad02d97d4c030be180d5.jpg
4,0,256853993840,48043126,克莱恩今天吃什么,6,男,开头那是什么歌,2025-03-03 08:26:32,0,0,,未知,否,https://i1.hdslb.com/bfs/face/eafd4423c2113c4d8b6a6b6a0f65dcbdb1000a0f.jpg
5,0,256308020768,23244826,皮到深处自然爱,6,男,开过一次了全家福,2025-02-25 01:44:54,0,1,,未知,是,https://i1.hdslb.com/bfs/face/93da518394926ce82c2ed33a527b88894193a36c.jpg
6,0,255242011361,3493288269056458,DONEMYSELF,5,男,G3战场架点不错👍🏻,2025-02-21 00:42:20,0,0,过去的，现在的，未来的,未知,是,https://i1.hdslb.com/bfs/face/86740eed57f874d67a1d8ddf494ca73b156a763f.jpg
7,0,255072047345,7604868,如此厚颜无耻之人,6,保密,其实鸡哥什么都知道，他只是不想面对,2025-02-18 23:44:26,0,0,Boy next door,未知,是,http://i0.hdslb.com/bfs/face/5bf7139fefd8510783c878ad6d8be22c2383043d.jpg
8,0,255033033745,3493117548300587,zonesoil_带土,5,保密,[笑哭],2025-02-18 11:04:26,0,0,,未知,否,https://i2.hdslb.com/bfs/face/2c4ddda9d5d5bc26270ac2e7df5987d9159aeb2e.jpg
9,0,255550674128,175874225,丿无世,6,男,"三连了，抱歉打扰一下，打个小广告
纯经济学跑刀（自学教父无名真传大弟子）
帮赚哈夫币
（首单半价最高500万）
1.   4格保险，11元100万（最高接300万）
2.  6格，9元
3.  9格，8元
大学生寒假娱乐赚点零号，纯跑刀，价格稍贵，请谅解，但效率可以",2025-02-16 07:03:36,0,1,,未知,是,https://i2.hdslb.com/bfs/face/065e432f841e8b55a7a734d545da574eea1ecde3.jpg
10,0,254827885425,5633574,东百人cccda,6,保密,哈哈哈哈哈,2025-02-16 02:22:57,0,0,A MEN!!!!!!!!!!!!!!!!!!!!!!!!,未知,是,http://i1.hdslb.com/bfs/face/11d4e048ce722720c58580ef06baea0b202ea5a6.jpg
