序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,257095881424,3493090063026635,bili_80957989179,2,保密,这是啥,2025-03-06 09:33:17,1,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
2,0,246831084433,1345544460,我摔的克拉克,5,男,"老飞宇
视频那的那个密码是每天换一个的，上面的摩斯密码是一个单词（应该是全面战场地图的名字）而你开密码上方的“A1 B1 B2 C1”代表着每个密码数字都在哪个位置，但是比较隐秘，而且你找到也是摩斯密码，只不过从字母改成了数字，把他们以上方的排列顺序进行排列可以得到密码，也可以在每天凌晨的时候蹲点，Bilibili上有好心人会告诉你密码的，但要注意：
本方法并不一劳永逸，因为密码是每天更换的",2024-11-15 02:52:41,0,6,好整活 黑晶迷阵 启动！,未知,否,https://i0.hdslb.com/bfs/face/0efbc463bd79516247dffd4f1de8bbc63b4aa5eb.jpg
3,0,245624746945,19960369,朝阳清风,6,保密,开头的哈基米歌叫什么,2024-10-30 17:09:00,0,0,https://space.bilibili.com/19960369/favlist,未知,否,http://i1.hdslb.com/bfs/face/aa07ad5e327622fa8165896af915b45488899ec5.jpg
4,0,244957482080,73600012,让我栞栞雫,6,男,开局掉帧的问题，现在依然还有，我真服了[捂脸],2024-10-19 05:50:09,0,0,阿B不给流量，基本不发东西了,未知,否,https://i1.hdslb.com/bfs/face/4cc7605655b8c638168d86d91abfd7b808195e3b.jpg
5,0,243646371745,1170595073,ks普洱,3,保密,今天是2024年10月4日密码是:6590,2024-10-04 11:11:38,0,0,,未知,否,https://i2.hdslb.com/bfs/face/596b23c09393b10034118f241e694075a3e08536.jpg
6,0,243646400033,1170595073,ks普洱,3,保密,通用密码，打全面战场，每天刷新，墙上会有提示。,2024-10-04 11:11:06,0,0,,未知,否,https://i2.hdslb.com/bfs/face/596b23c09393b10034118f241e694075a3e08536.jpg
7,0,243600408305,65626151,千緒Chio-chan,6,男,为什么主播这个贴片可以丢这么远,2024-10-03 19:32:36,0,1,I am Dennis,未知,是,https://i2.hdslb.com/bfs/face/c1e9e72b3f893d9788834bebbd36d98f6e6126c0.jpg
8,0,243555194033,1260645063,一条屑德芙,4,保密,大好玩了[doge],2024-10-03 07:37:29,0,1,祅景教大长老~德芙捏~,未知,否,https://i0.hdslb.com/bfs/face/03c058dc7db2f2b7c4183e5b42f47690f862939a.jpg
9,0,243693895216,502459937,-169-,5,男,"hy天羽
dy凡凡
b站老鼠",2024-10-03 03:57:46,0,0,个人原创动漫剪辑，感谢支持,未知,否,https://i2.hdslb.com/bfs/face/44ba875fd6a1cd23c1b097efea8f97ea521a5a1e.jpg
10,0,243693287248,446944634,零天分选手,4,保密,下一个视频是海德，他还指着鼠标说是老飞宇,2024-10-03 03:48:14,0,1,我要成为ps大佬,未知,否,https://i2.hdslb.com/bfs/face/2dd5f17c6c9869b0f9ab4556051f966744e29fa5.jpg
