序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261255141441,25973483,寒了个气,6,保密,我这不讲了吗[tv_难过][tv_难过],2025-05-06 15:43:46,0,0,,未知,否,http://i0.hdslb.com/bfs/face/702806feda08a7db9b405103e83572f3c3a84c46.jpg
2,0,262084532912,35609302,蜂蜜柚子加咖啡,6,男,贪污到了只卖原油，炼油设施都舍不得建，真cs[笑哭],2025-05-05 08:11:27,0,0,“群众发牢骚，有意见，说明我们的政策和工作有毛病。不要一听到群众有议论，尤其是尖锐一点的议论，就去追查，就要立案，进行打击压制。”,未知,否,https://i1.hdslb.com/bfs/face/f561a4100996c2ebe2631626649e6034b1718c32.jpg
3,0,260941861345,429891088,90後愛國港男,6,男,這種地方除了資源什麼都沒，簡直比商朝還落後百倍[辣眼睛],2025-05-03 02:23:38,0,0,做個有獨立思想的人。,未知,否,https://i1.hdslb.com/bfs/face/85fcc1cff5b53dbfa273c14dc3fb7d2581f5e106.jpg
4,0,260890659713,3546858894920170,bili_67909708952,2,保密,我是尼日利亚虚拟公民,2025-05-02 10:13:36,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
5,0,261785665312,443250221,巴巴罗萨丁岛计划,6,保密,钢丝千禧黎明尼日利亚开局就10级瘫痪性腐败，我现在知道原因了。,2025-05-02 01:42:38,0,1,崇光的宣告者我真的好喜欢你啊,未知,否,https://i2.hdslb.com/bfs/face/4cb59b48d019aeaf644ffa5e4168c19c19f0cab2.jpg
6,0,260847845793,3546884027189352,-龙児,2,保密,来中国,2025-05-01 23:36:52,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
7,0,261775701040,1744569322,南澳是个岛1,5,保密,，，,2025-05-01 20:15:49,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
8,0,260841731905,449711798,吉祥8249,5,保密,所以尼日利亚很稳，公务员，军队不会造反，老百姓连菜刀都买不起几乎没威胁，不像阿萨德那沙雕，裁军，欠公务员工资，找死[吃瓜],2025-05-01 18:23:37,0,0,,未知,否,https://i2.hdslb.com/bfs/face/fce26e4f359d6263d753ad0750187ac257ec6848.jpg
9,0,261722550544,1744569322,南澳是个岛1,5,保密,，，,2025-05-01 06:41:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
10,0,261719156608,1538726065,风带走了它,5,保密,非洲国家就没有不贪的政府,2025-05-01 05:53:15,0,0,,未知,是,https://i1.hdslb.com/bfs/face/0bbde43c4ea4c7086fb50601bd2060148cbb2af7.jpg
11,0,260696656417,77247950,doublesun111,5,保密,小王啥时候能讲讲喀麦隆吗？开始跟喀麦隆合作项目了，给我雷的外焦里嫩[笑哭],2025-04-30 03:18:45,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
12,0,260686894385,18644185,是你的阙阙呀,6,保密,如何能够买到四卡四待的手机，我真的很需要[doge_金箍],2025-04-30 00:13:41,0,0,,未知,是,http://i1.hdslb.com/bfs/face/3bbe7d85f6b745b23113c33c23693b358370b539.jpg
13,0,260685719345,778857,亮人,6,保密,突然觉得中东王爷们能稳到现在，虽然还是分化严重，但是好歹日子都能过，跟他们一比，那是真厉害的。。。。。。。,2025-04-29 23:46:00,0,0,墨中明灯。,未知,是,http://i0.hdslb.com/bfs/face/4326c6b20f8cd8682b2134bb73108344fec06ab3.jpg
14,0,261607425808,34967016,星栗Vstar,6,保密,看到传音一季度业绩暴雷就想到这期视频了。在非洲毛利大降肯定也有尼日利亚百姓收入的因素。,2025-04-29 19:04:46,0,0,,未知,是,https://i0.hdslb.com/bfs/face/6b2ec4d8513c88f271947e37b0f35a082618f676.jpg
15,0,260605423729,475791154,改个名就中奖t--,6,男,在这两年，深有体会,2025-04-28 19:45:15,0,2,大学生活好,未知,否,https://i1.hdslb.com/bfs/face/a7d60b8249aeb572763ab04319746f76e74d931b.jpg
16,0,261505296656,414619724,铁拳强攻,5,男,不经历冲突，怎能不断进化,2025-04-28 12:50:48,0,0,,未知,是,https://i2.hdslb.com/bfs/face/050c09091edbd8e24633761c8bfc40991dee91f0.webp
17,0,261450719456,943107,红叶漫天,6,男,这就达到了个书同文车同轨，语言都不统一,2025-04-27 19:35:00,0,0,路虽远   行则将至,未知,否,https://i0.hdslb.com/bfs/face/670b33b1308951c6c3139d4eda7e665c2dd9539c.jpg
18,0,261447583792,508535815,紫菜刀,5,保密,主要是尼日利亚有价值，没有价值就跟海地一样，遭人嫌弃，这都是命,2025-04-27 17:34:21,0,1,这个家伙很懒，千万不要关注他,未知,否,https://i1.hdslb.com/bfs/face/54023ee6068d894a637e944f8c911245f781ce40.webp
19,0,261411097488,295580124,像谢幕的演员丶,6,男,有石油还僋，但凡学点阿拉伯也不至于这样,2025-04-27 09:28:35,0,1,就像邂逅   都是重逢,未知,是,https://i0.hdslb.com/bfs/face/0a7ae9a5e8f573536d695ac508cb02e485d045ec.jpg
