序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261965559168,3546788107651642,bili_86445430125,2,保密,刚才拿的那把枪。,2025-05-04 02:28:50,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
2,0,261393176608,3493262948043717,某某人137,4,男,UP快开门，有人说你做动画不错要来找你[doge],2025-04-27 04:32:51,1,1,,未知,否,https://i0.hdslb.com/bfs/face/96b16887c3c560112390a2f0542dbb036f072e44.jpg
3,0,258425694768,1130934325,见微知章,4,男,炸单啦[doge_金箍],2025-03-22 12:21:07,0,0,,未知,否,https://i1.hdslb.com/bfs/face/65b2d518f402ff77df6a5e9da7183fa293e9a5e2.jpg
4,0,256687405712,522198722,二核巴德尔,5,男,说实话，如果是我拿了那么重一个包的话……包里面是什么已经不重要了，重要的是这个包真的是个大包，比我拿着一个制式券里面的东西要好多了，是我就直接由枪换刀，然后外骨骼启动，直接朝着较近的常驻撤离点跑去[笑哭],2025-03-01 11:00:31,1,0,高考终于结束了，可算是解放了,未知,是,https://i2.hdslb.com/bfs/face/798ed3888438c50f6216828ffbfe4bde34a01153.jpg
5,0,255913206481,3546565975214692,爱朴昌爱悦袍,3,保密,我之前在浮力小门那干了个刘涛还有一个蜂医被我追杀致死后来去拉闸在黑室和离心门口看到两个红包里面还有一个怀表一个手表本来只有49万左右吃完后直接300万,2025-03-01 05:03:38,0,0,,未知,否,https://i1.hdslb.com/bfs/face/bbd6c5ee4c87de2a2d33fb403d4ac523d3a62f16.jpg
6,0,255911995857,11012889,老黄O_o,6,男,有点意思[吃瓜][吃瓜],2025-03-01 04:51:52,0,0,一人一屋 与她,未知,是,https://i0.hdslb.com/bfs/face/87911815e9e9a3304cf6e6927cf9007e7161eaee.jpg
7,0,256655847632,3546388893797342,芥末-早起版,4,保密,哎呀，没跑出来可惜了,2025-03-01 04:39:02,0,0,千思万绪,未知,是,https://i2.hdslb.com/bfs/face/4a90f99a0d9c1a0eb0536599dc7afc0da1919c66.jpg
8,0,255879725489,3546602759260882,非球一个,3,男,还是一如既往的抽象[辣眼睛],2025-02-28 16:33:25,0,0,,未知,否,https://i1.hdslb.com/bfs/face/6a857cb50d6da410e945c0acbe7d11948cf3b078.jpg
9,0,256620388528,5842710,巨咸鱼王,6,保密,我还真和朋友在飞升撤离截了一个老板，包里笔记本电脑各种大金,2025-02-28 15:54:49,0,0,,未知,否,https://i0.hdslb.com/bfs/face/3f24d68a98e01e5a018cb9494bcb43076e85b039.jpg
10,0,256579959568,351633416,グ寒,6,男,@银川茂,2025-02-28 07:53:23,1,0,你好,未知,是,https://i2.hdslb.com/bfs/face/e84aa77402009cc28ce475019be049e53d1f1f76.webp
11,0,255799607441,401946070,百身莫赎,6,保密,@冷库糕手 @破晓灬红月 @往尘-风雨,2025-02-27 17:16:55,0,0,我就一破看动画片的,未知,否,https://i1.hdslb.com/bfs/face/3b89f2900b2ff942f173ae651fea2460875e4f29.jpg
12,0,256490771856,526820721,天铭尚阁空城,5,保密,@殊灬小欣欣 @抚平过去的伤疤 @向我低语呢喃 @爱吃酸辣粉的赵同学 @焊不住的小e,2025-02-27 06:52:31,0,4,一名随缘更新的人（其实就是懒）,未知,是,https://i0.hdslb.com/bfs/face/f2bc44be4f5aaf427173f6eaf68e20d409525596.jpg
13,0,256412392736,475419026,神三苏啊,6,保密,这跑不掉不跳水撤,2025-02-26 07:47:55,0,0,,未知,否,https://i2.hdslb.com/bfs/face/724dfb4c4970be1611ad78fe79d4c3dad0e8b275.jpg
14,0,256319289072,3546758751718132,三角洲入职基沃托斯,2,保密,这就是我,2025-02-25 04:38:03,0,0,,未知,否,https://i1.hdslb.com/bfs/face/bf0d698b61d0304191a37c725313b6311c828fc2.jpg
15,0,256283107376,3546681761073924,萝莉大王9527,2,保密,@鲉鲦 @念思明玥,2025-02-24 14:25:54,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e69dd1424b7ab5cbc4bc6dc9fa487efcfcc6ce24.jpg
16,0,256132123744,3494365987081134,一只平平无奇的鼠鼠,4,男,比出非洲之心更稀有的事情出现了,2025-02-22 19:44:56,1,0,,未知,否,https://i0.hdslb.com/bfs/face/8be01154b29eccb807bb1e4597f5436d2b28c66d.jpg
17,0,255396112145,364829066,妖喰,6,男,@梦游Dreamwalk @恋叶夏琳,2025-02-22 15:31:37,0,0,"在黑暗深处望向光明
",未知,是,https://i2.hdslb.com/bfs/face/665a054bbc61b08d664cc2069c84fe2b49419da4.jpg
18,0,256029914768,3546746720357101,旧城旧人旧感情,2,保密,话说赛伊德真的在行政楼刷新吗，我玩手机版 去了好几次行政楼，拉闸都没碰到？,2025-02-21 16:23:00,0,0,,未知,否,https://i1.hdslb.com/bfs/face/3c69d4479fc41308ed1a3671ba53ba59dbcd9fa0.jpg
19,0,255992068256,34954143,平安哥-BUFF团队,6,男,当你第一次为了挣大钱起装备进航空基地的时候，这个游戏对于你就已经变味了[笑哭],2025-02-21 09:15:11,0,0,,未知,是,https://i0.hdslb.com/bfs/face/16d955b4b078b85b18a4b72ca0fa8e43bf056390.jpg
20,0,255963739600,94369432,灭狗法王,6,保密,这不直接塞个红到保险,2025-02-21 02:40:51,0,0,"感觉我什么游戏技术都很菜
_(:з」∠)_",未知,否,https://i1.hdslb.com/bfs/face/28d442da8153aab433c2af7b32272b4a09486eda.webp
25,0,255876837168,19661730,腐烂金鱼,6,男,好玩,2025-02-20 02:40:20,0,0,"In case i don't see you...Good afternoon,good evening,And good night.
",未知,否,https://i0.hdslb.com/bfs/face/868e08cbbcecd7e6b4f94c4f7cbd91a75a5a1778.jpg
26,0,254821323889,167933777,-laffey,6,男,这裤兜能放啊,2025-02-16 00:29:43,0,0,摄影，画画，音乐，街舞，游戏都沾点的阴角,未知,是,https://i2.hdslb.com/bfs/face/bdbe150a07b77b5b087c1b88cba652968c9b2ac0.jpg
27,0,255486611552,424465135,不在线chaos,6,保密,其实还好，不至于是要是护航是踢出游戏就更乐了,2025-02-15 13:26:28,0,0,灵魂出窍.jpg,未知,否,https://i1.hdslb.com/bfs/face/28ced6192d5cb8afec5dddab6d5d43b5da466a34.jpg
28,0,255473018784,8672840,碾碎现实的梦想,6,男,@嬴命怀,2025-02-15 11:04:57,0,0,哟，你来了。,未知,是,https://i2.hdslb.com/bfs/face/e96e3378c0a6583760edec376430c7c6d65bcd92.jpg
29,0,255224200144,273088131,欲挽天倾者,6,男,@最成功的马赛克 @夜之城の传奇 @一般路过のKurumi酱 @面包房一动不动,2025-02-12 21:51:49,1,1,无穷的远方，无数的人们，都和我有关。 ——鲁迅,未知,是,https://i0.hdslb.com/bfs/face/fbfe98c8335db06f7d3b2605f39932d60d8608a7.jpg
30,0,255218754256,473180508,他们叫我天sih,6,保密,今天打绝密航天中控摸完和朋友打算去大桥等拉飞升的结果遇见三种人，往左边跑发现又有一对五套，吓得跑回中控楼绕了很久绕到西边大桥，看着两队五套打了半天，最后剩下来的两个人更是相隔还不到10m的地方打了半天都没打死，最后活下来的一队被我朋友几枪放倒另一个被我svd爆头打倒，最后一个人打倒我朋友之后犯了致命错误轻易被我赶跑，等到我救起朋友的时候才回来，最后美美得吃一大红包满改枪，朋友更是在另一个人包里面发现了油，结果他去拉闸的时候遇见一队老鼠，幸亏最后他们没有守尸体，而我朋友也幸亏没带包，最后老鼠封烟过来一起撤离了[笑哭],2025-02-12 18:01:33,0,0,,未知,是,https://i0.hdslb.com/bfs/face/2590fa07a3031df02969b1e61d609f0385297044.jpg
31,0,254516317985,1300204152,土豆威廉,5,保密,@飞舞的BA,2025-02-12 14:38:30,0,0,"我嘞个骚刚啊
",未知,否,https://i0.hdslb.com/bfs/face/faa946a3a4e589fdc7ec6fe501a8a4f9fe9b975b.jpg
32,0,255200985728,1176819306,不不能和,3,保密,就当老板想要刚许完愿望之时，却发现他成流星了。,2025-02-12 14:21:22,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
33,0,254438455521,540017250,每天养老七杯水,5,保密,你把甜不辣夺舍了？,2025-02-11 22:32:03,0,0,八杯水还是七杯水,未知,是,https://i0.hdslb.com/bfs/face/50b35bdad99e6707de0140952c8235a025ffe02c.jpg
34,0,254350395569,3546771257035075,bili_22755312235,2,保密,这他妈不是三角洲吗？,2025-02-11 02:44:47,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
35,0,254330674113,43403873,旋转睦马,3,保密,有一次我绝密出货了，但队友都死光了，我愣是想熬到最后一波闸再走，把包藏好去拉闸，结果包被偷了。。。。,2025-02-10 17:03:43,0,0,只关注大奈的,未知,是,https://i2.hdslb.com/bfs/face/a62d219134c0c74c06f12c0f8b436d9313604d23.jpg
