序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261218483153,485028771,小鱼爱滑冰,6,保密,真想找一个啊，卡火箭燃料了，本人菜鸡难受,2025-05-06 07:09:52,0,0,听说关注的人2025年都会暴富！,未知,否,https://i0.hdslb.com/bfs/face/0e39ae48c0640523fed1d62dbd7eedb7ad178752.webp
2,0,262133163568,1501226406,鲁小伯,5,保密,权威！,2025-05-05 22:28:03,0,0,"瑟瑟骚连
",未知,否,https://i0.hdslb.com/bfs/face/9acd638e71164fca122052532e3a421ca7e00816.jpg
3,0,261189152097,3461569193183456,居居也会落泪,5,男,二十元战神,2025-05-05 18:20:33,0,0,,未知,否,https://i2.hdslb.com/bfs/face/26112e5488c93eda2da5aa6caf2258697fc8fd58.jpg
4,0,261157256017,1831696379,aaczy,5,保密,什么叫10元战神和5元战神，我不懂，问问，谢谢,2025-05-05 10:48:24,1,0,,未知,否,https://i2.hdslb.com/bfs/face/4aa783370cd48ab7c4f2f17506d65f69fd044b7e.png
5,0,262085674720,508613436,FP耐摔王,5,男,"养活工作室一家老小，三角洲行动哈夫币代肝 新赛季跑刀保证纯绿，全程可直播
哈夫币只算纯币价值

3x3保险箱任务=950r（保证效率）
 活动：5r=200万哈夫币（每日限量10单）  
【火】可选套餐
1：35r=450万
2：55r=700万
3：80r=1000 万
【火】4：95r=1200万
【火】5：195r=2400 万
6：495r=6000 万
追缴包赔【送花】
定制需求：  
需保留红/金物品？提前告知，按实时价结算  
指定直播验证？下单前备注即可",2025-05-05 08:26:40,0,0,,未知,否,https://i0.hdslb.com/bfs/face/abfd0582e116223e9d8e2e56ffc4c4eed527c5df.jpg
6,0,261112917089,274573092,杨路遥,5,保密,这几天喊的二十元战神水平都一般 机密大坝都带不出来,2025-05-05 00:58:20,6,0,,未知,是,http://i0.hdslb.com/bfs/baselabs/150f333151dfb002d5dcc236b41e8e3d37bbf3ca.png
7,0,261104815121,3546813030205576,好运气的澪天,2,男,大学生跑刀，1元/10万上不封顶（只要你不怕时间长），手游跑刀，不动仓库，大坝长弓，人菜瘾大，想试逝的可以私聊[tv_doge],2025-05-04 19:01:58,0,0,咕咕咕,未知,是,https://i1.hdslb.com/bfs/face/be60d476099a48db0ac98c95193fa36eb30a8616.jpg
8,0,261101312353,437170576,小黑子疯狂星期四,5,男,那我问你，他们进直播间了怎么不打开背包看了，不爱看吗[doge],2025-05-04 17:30:59,0,0,正直且纯洁,未知,否,https://i1.hdslb.com/bfs/face/9bd47efe89094be391da5430c0b5d870915e803b.jpg
9,0,262025505744,526908304,经年bt7274,3,保密,"三角洲（pc端）纯跑刀赚点饭钱
一般晚上跑，纯币，出红可留
10=100w
30=300w
50=500w
100＝1000w
绿色纯跑刀刮地皮，不吃仓库东西，可录屏跑，直播跑，放心食用
纯跑大坝巴克什
[脱单doge]需要的私聊",2025-05-04 14:32:07,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
10,0,261069108081,1053025991,鼻嘎大蛋糕,4,保密,像演员[笑哭],2025-05-04 11:04:16,0,0,行到水穷处，坐看云起时。偶然值林叟，谈笑无还期。,未知,否,https://i2.hdslb.com/bfs/face/25d617ad685aa2154e4a7d8a5dc3b0d9a61b04d4.jpg
11,0,261933909488,668681045,硝宫,5,男,下次我也发,2025-05-03 14:35:03,0,0,,未知,是,https://i2.hdslb.com/bfs/face/2795f89534f68b2d4684a327a2d5abbea5c3c304.jpg
12,0,260966413697,3494375113886167,我是任几_,4,保密,有没有五元战神,2025-05-03 07:57:48,0,0,,未知,否,https://i1.hdslb.com/bfs/face/037534beae46e086d7852edebdb549932f71f643.jpg
13,0,260939339457,483949085,Love我所愛,5,保密,我是能吃战神[doge_金箍],2025-05-03 01:46:20,0,0,,未知,是,https://i2.hdslb.com/bfs/face/b66537b2c444e8d8c4523a930d8e26ce1e07d96c.webp
14,0,261798641168,1740773200,三角洲跑刀垃圾王,4,保密,"借楼：代肝哈夫币
四格7r=100w
六格6r=100w
九格5r=100w
纯绿色手搓",2025-05-02 04:33:05,0,0,"代肝哈夫币
四格7r=100w
六格6r=100w
九格5r=100w
纯绿色手搓，需要的私聊。",未知,否,https://i1.hdslb.com/bfs/face/36979dc5e9684d9cbc1f59f5f4cb3ff8da8c7447.jpg
15,0,260853948689,88185887,夕乆不是西八,6,男,就前天在网吧，看见一个刚玩八宝粥的哥们，不熟图，很多高级物资点都没去，我就给他指了下路，看他出一个金图纸就很激动高兴，最后他走的时候还送了我一瓶饮料，开心[脱单doge],2025-05-02 01:40:37,2,16,我认为打牌就得吃意面拌42号混凝土，卡组里塞马达加斯加的兵马俑，打断展开得用我的世界溺尸的坚果保龄球，进群就得进345363280来决斗,未知,否,https://i2.hdslb.com/bfs/face/5ff467babdd7ed1f9b5347752067b971e0b20dca.webp
16,0,260786711585,285679898,星空一碎裂,6,保密,我连着10吧不是左上角就是大浴场，头疼,2025-05-01 05:20:40,0,1,,未知,否,https://i2.hdslb.com/bfs/face/f171759d3f330763da0d668ace573f71eec815da.jpg
17,0,260782029777,632872397,我不好6243,4,保密,老板：打手你有没有私藏大红？Look my eyes！回答我！,2025-05-01 04:19:17,0,0,(ง •̀_•́)ง加油工作,未知,否,https://i2.hdslb.com/bfs/face/f020c8da31030745629f23a850445fd3b7263f89.jpg
