序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,260111640864,249396743,芋艿Imoo,6,男,大神 又大又神,2025-04-11 10:33:03,1,1,菜,未知,否,https://i2.hdslb.com/bfs/face/3cf1ef59fa1766910e4e902f7789ac8252f851e8.jpg,Neutral
2,0,259245101553,163974171,Creamix_x,6,保密,好玩在哪,2025-04-11 10:29:59,1,4,反二次元,未知,否,https://i0.hdslb.com/bfs/face/4fcc2750f9a79550ed215cf81e01ee66a35bff58.jpg,Expectation
3,0,260110790144,102548201,EternaLotus,6,保密,我勒个黑雾,2025-04-11 10:23:11,2,1,各大音游漂流ing，永远喜欢かめりあ,未知,是,https://i2.hdslb.com/bfs/face/615918ffad5c919b7f5762cae16c7877bf2fa858.jpg,Surprise
4,260111640864,259245770945,177678196,1molの猫,6,男,神搓搓,2025-04-11 10:36:13,0,0,"已开始养生音游
心情好才最重要",未知,否,https://i1.hdslb.com/bfs/face/ab39d840805c3ff722cf0efbd415e39cd7f68af1.jpg,Disgust
5,260110790144,259244622577,177678196,1molの猫,6,男,还是玩卡拉比丘喵！,2025-04-11 10:24:07,0,1,"已开始养生音游
心情好才最重要",未知,否,https://i1.hdslb.com/bfs/face/ab39d840805c3ff722cf0efbd415e39cd7f68af1.jpg,Joy
6,259244622577,260112231856,102548201,EternaLotus,6,保密,回复 @1molの猫 :卡拉比丘好玩喵,2025-04-11 10:39:44,0,1,各大音游漂流ing，永远喜欢かめりあ,未知,是,https://i2.hdslb.com/bfs/face/615918ffad5c919b7f5762cae16c7877bf2fa858.jpg,Joy
7,259245101553,259245542113,177678196,1molの猫,6,男,打了会学喵叫,2025-04-11 10:33:49,0,0,"已开始养生音游
心情好才最重要",未知,否,https://i1.hdslb.com/bfs/face/ab39d840805c3ff722cf0efbd415e39cd7f68af1.jpg,Neutral
8,0,260111640864,249396743,芋艿Imoo,6,男,大神 又大又神,2025-04-11 10:33:03,1,1,菜,未知,否,https://i2.hdslb.com/bfs/face/3cf1ef59fa1766910e4e902f7789ac8252f851e8.jpg,Neutral
9,0,259245101553,163974171,Creamix_x,6,保密,好玩在哪,2025-04-11 10:29:59,1,4,反二次元,未知,否,https://i0.hdslb.com/bfs/face/4fcc2750f9a79550ed215cf81e01ee66a35bff58.jpg,Expectation
10,0,260110790144,102548201,EternaLotus,6,保密,我勒个黑雾,2025-04-11 10:23:11,2,1,各大音游漂流ing，永远喜欢かめりあ,未知,是,https://i2.hdslb.com/bfs/face/615918ffad5c919b7f5762cae16c7877bf2fa858.jpg,Surprise
