序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261251880881,334511250,齐木木木,6,保密,这盾如果第一个压上去就不好打了，队友都死完了才出来,2025-05-06 15:01:13,0,0,,未知,是,https://i0.hdslb.com/bfs/face/4a4ac00f6c16ff9e26cab39390b2a110f516ae72.jpg
2,0,261161645345,365756395,御-坂14259号,5,保密,打暗号回了，被杀。符合对乌鲁鲁的刻板印象，大家引以为戒,2025-05-05 11:42:26,0,0,,未知,否,http://i1.hdslb.com/bfs/face/e6ad2499b8a9cec3b56c1f6831f9ea205e6d0b5f.jpg
3,0,262097596832,3546700809505640,闲的der,4,男,歌在哪听？,2025-05-05 10:59:10,0,0,,未知,否,https://i2.hdslb.com/bfs/face/c97a1c56093fb567c36b603723f854ff62114dd3.jpg
4,0,262093783056,26981637,是小阿浩没错了,6,男,挂个出生，匹配补齐队友，问起没起装备也不说话，有砖我们抢砖，让他来帮忙，他自己一个人冲雷达站，我们没守住砖，他就在那说菜狗菜狗菜狗，我红温了骂他，他就一直急了急了急了，卧槽，真恶心啊,2025-05-05 10:11:06,1,0,别看了，不值得,未知,否,https://i0.hdslb.com/bfs/face/03a1d76b77d12094a14c487cfca5fe22f99febae.jpg
5,0,261122494801,14191752,-黑羽新之助-,6,保密,开头这音乐是哪个来着？,2025-05-05 03:19:37,0,0,优势在我，稳中向好,未知,否,https://i0.hdslb.com/bfs/face/52398b34b22ae5862a2d8aa88958c28a795f3aa9.jpg
6,0,261998396128,156737721,小余想睡觉zZ,6,男,78耳机用的什么啊,2025-05-04 09:35:02,0,0,处理情绪的最好办法就是停止幻想,未知,否,https://i0.hdslb.com/bfs/face/3acae9f0f729ba84df33efcdacd66e0dfea3a566.jpg
7,0,261054632481,401933066,95096736608_bili,6,男,刚想做200万任务就先给我一波大,2025-05-04 08:02:18,0,0,,未知,否,https://i2.hdslb.com/bfs/face/8d7a0d1e4e87ac4604a5e8d5a5334eb1cfe393aa.jpg
8,0,261029753921,505738684,九霄墨枫,3,男,各位鼠鼠注意了，就是这个紫菜dann花汤，如果你野排见到了他离他远点，越远越好，这是个抢包狗，抢了我一套五级，枪，弹挂，背包都被抢，我看了一眼他战绩基本都是抢包的，如果他死了大家能不能帮我鞭一下，就当帮各位被他抢过包的报仇了,2025-05-04 02:36:44,0,0,,未知,否,https://i1.hdslb.com/bfs/face/1e7a04312217daa1c66cef3bf86b9e406ac31b40.jpg
9,0,261954421040,498293939,悲伤俊俊,5,保密,@无敌猎枭王 来学猎枭,2025-05-03 22:15:46,1,0,,未知,是,https://i2.hdslb.com/bfs/face/7694681bd2198ced832db37ba1094eb31a4ecbc2.jpg
10,0,261016903249,477294366,我叫杨间-杨戬,6,男,天才少年，官方到现在还不封苏畅T，开透视盐都不盐，直接追杀，风衣的烟根本没用直接架住你头，直接就开两枪爆头趋势,2025-05-03 20:23:59,1,0,,未知,否,https://i0.hdslb.com/bfs/face/8bff8128d997702895503d86dbf17e4509c90b27.jpg
11,0,260989604305,3546699073063288,bili_36412334346,3,保密,用金蛋打图，越打越牛逼,2025-05-03 13:02:27,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
12,0,260985675393,409015775,取名字难得一匹,5,保密,发现个问题，我俩都玩，但是现在三角洲热度远超暗区，而且游戏体验也不一样 三角洲死了我会一拍大腿说出自己真菜，暗区死了只能一拍脑门说老鼠真勾,2025-05-03 12:16:40,0,0,你是来查成分的对吧，不要查辣，我来告诉你。本人酷狗＋白蚁，满意了吧,未知,否,https://i2.hdslb.com/bfs/face/66ed762cb256516d61d295315de424e2a6c6eb0e.jpg
13,0,261889688080,695363104,铭字老是被占用,5,保密,"大学生纯绿玩5块钱100万哈弗币，纯瘾大
只接周一至周五 周六周末要回家。
有意的可以发个私信细聊。",2025-05-03 05:13:02,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
14,0,260953421569,3546723599255895,电路过载,3,保密,今天刚出的[大笑],2025-05-03 04:55:45,0,0,,未知,否,https://i0.hdslb.com/bfs/face/901435ef227c679e6df25f681e730d5539874fe4.jpg
15,0,260921806385,1440216886,宁局的川崎镜CRH2A,4,保密,飞宇哥怎么和小小烟坐一桌了[别当欧尼酱了表情包合集_好可怕],2025-05-02 16:35:19,0,0,想去科尔马,未知,否,https://i1.hdslb.com/bfs/face/2b0d47e5b53fa9352a22bc488b1cc2a88675b07a.jpg
16,0,260919679633,3546382552009485,寞行,3,保密,感谢三角洲鸿运当头礼包[doge][doge][doge],2025-05-02 16:05:03,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
17,0,260913890721,1469173362,一爵迹一,5,保密,交易桥最近还是不要再去了，偷东西的打狙的近点儿乱扫的，被刺的全都是，这里主要指的是手机,2025-05-02 14:54:15,0,1,,未知,否,https://i0.hdslb.com/bfs/face/9e91feb3ed6713fcd16c50997ea3526656458d0a.jpg
18,0,261834734848,3493278523591449,寒国第西比届带桶勇,4,男,@秋水木南 行政楼广州分楼,2025-05-02 12:26:45,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e0398f4f4511f3ad40206724229eac618e6b6786.jpg
19,0,261810406016,1904576514,唉真的不会,4,保密,孩子们三天出七个大红了,2025-05-02 07:11:19,1,0,,未知,否,https://i0.hdslb.com/bfs/face/aa5cc93d2487eb1e35a2f1375f720d88012f41f6.jpg
