序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261446582448,140443800,黑雨幽城,6,保密,这种人真得纯出生,2025-04-27 17:11:37,0,0,终于你看过天空海阔，流星化作属于你的花火。,未知,是,https://i0.hdslb.com/bfs/face/1dc81614e47082ed99bf619ef61d80ecc5315b7d.jpg
2,0,259743733681,400180858,amoris-,5,保密,逆天，我发现比这人逆天的大有人在啊，fps游戏我不杀你？是敌人我不打你啊？埃及吧咋玩咋玩，三角洲是我见过最逆天的游戏玩家了只能说,2025-04-17 18:09:23,0,0,,未知,是,https://i1.hdslb.com/bfs/face/17c4cceedc79d0a370bf95a57a510da24f7939cd.jpg
3,0,258718827777,37809066,昏睡紫颜熊,6,男,最后这个人真tm孬灿,2025-04-04 18:47:09,0,1,喜欢分享快乐,未知,否,https://i0.hdslb.com/bfs/face/21622efa46a3c0c17e2883aee28f768519a4b9bf.jpg
4,0,259158990064,81615321,御坂琼宫,5,保密,只要不打暗号，见人就开枪就是这个游戏的基本道理。我怎么知道你会不会俩枪给我打死了,2025-03-31 05:45:18,0,0,233,未知,是,https://i0.hdslb.com/bfs/face/ed1979f0117629f3add2dc806932f0f7d9475974.jpg
5,0,258244887664,48485926,慵懒的梦晓殇,6,男,这些是不是和慢充话费一样的套路的,2025-03-20 10:08:29,0,0,,未知,否,http://i1.hdslb.com/bfs/face/60bab161bb3091c6eef2fc61c3b414a50674f0c4.jpg
6,0,258244807488,48485926,慵懒的梦晓殇,6,男,最重要的是先熟悉下地图，东西可能刷的位置，听声音，玩多了会知道哪里大概率有老六蹲着等你，虽然我才玩没多久,2025-03-20 10:07:10,0,0,,未知,否,http://i1.hdslb.com/bfs/face/60bab161bb3091c6eef2fc61c3b414a50674f0c4.jpg
7,0,256959411489,3494350608665163,三角洲野生护航,3,女,[笑哭],2025-03-14 08:38:54,0,0,陪丸/护航/代肝/3*3➕ Premise5200  Vx公众号：金三角洲,未知,否,https://i0.hdslb.com/bfs/face/2272dee3cdb71d47adfe08e89bcd4123d6c8286b.jpg
8,0,256704132993,506405870,鼠鼠队庸医,5,保密,我的鸟窝有面包配置,2025-03-11 01:50:27,0,0,不希望被打扰的普通人,未知,是,https://i2.hdslb.com/bfs/face/88ffa0ef7e8516f4d68b281c1acec76a09b641b0.jpg
9,0,257324073360,312590105,现金有点贵,5,男,上去就拿了一个300万，队友真人机，敌人站前面儿离他2m还背对打不住。,2025-03-09 03:44:21,0,0,,未知,否,https://i2.hdslb.com/bfs/face/7d3afba9d89da0a6d64d25bd5cf198e51368cebc.jpg
10,0,256547458529,17911193,Christina丶A,5,保密,绝航就是这游戏的哈夫币回收图，一共就能走那几个核心区养蛊最后养出来那队也背不完，遇到全装多的丢个五六百万的资源带不走都是家常便饭[捂脸],2025-03-09 01:48:06,0,2,懒癌晚期患者。。。,未知,否,https://i2.hdslb.com/bfs/face/daf5bcd79569d8e349f5513423cdcc82576b5dbb.jpg
