序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261990713680,3546718450748016,账号已注销别点,3,保密,[doge],2025-05-04 07:51:35,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
2,0,261836767072,441871505,雾女曼叶,4,女,主任你忘了塔科夫里小羊崽也改过这种枪吗[doge_金箍][doge_金箍][doge_金箍],2025-05-02 12:51:41,0,0,大家好，我是雾女曼叶，请多关照,未知,否,https://i2.hdslb.com/bfs/face/b12242dd6c97a454f195f7b21ef44fb722365a30.jpg
3,0,261784964688,26405,兄泽命斗,6,男,当年玩CS1.3，AK突然改了后坐力，当时就不会用了。后来跟一个哥们打了一夜的沙二中门，就发现这枪只要给准方向当当当三枪不死就往下压到地面对面不知道怎么就爆头了。,2025-05-02 01:28:15,0,0,我是中国人！,未知,是,https://i2.hdslb.com/bfs/face/dd4fe758bb2133bea04c24430993bd2d41b7750e.jpg
4,0,261770640048,29060617,音の未,6,男,我发明的,2025-05-01 17:21:48,0,0,嘤嘤嘤,未知,否,https://i1.hdslb.com/bfs/face/67b6de3663a7e20fbe4e52a731161247ce60357a.jpg
5,0,260647898033,1461832773,云朵拳打小学生,4,女,给你们讲讲什么叫做究极大保底！我之前开出来一个仿制红卡，只有4次机会，结果前三次机会都用了，最后一次机会开出来一个怀表！,2025-04-29 10:37:23,0,0,热爱生活,未知,否,https://i0.hdslb.com/bfs/face/facc81f2b576e26a7f9177e2ecea2c75c8ee108a.jpg
6,0,261431693072,526180911,wwww12134,5,保密,我的美杜莎跟她的一毛一样,2025-04-27 13:48:42,0,0,"v15689562105
q781582185",未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
7,0,260225450193,237830787,树羽文轩,6,男,R6玩家很喜欢一句话：压不住就别压了 飘我一颗头什么意思,2025-04-24 00:38:24,0,0,-最喜欢玩战雷的大家了-,未知,否,https://i0.hdslb.com/bfs/face/7efa89f66eab791bfb8c2b058434e366a1427520.jpg
8,0,260041078289,3546591543692156,小知人,4,保密,放ba的音乐让我有个想法，这枪不是自动给敌人画虾线,2025-04-21 11:23:16,0,0,一生要强的丹瑾厨子,未知,是,https://i2.hdslb.com/bfs/face/a3c5148ea22286957dfe1755075b9678d8aa21ac.jpg
9,0,260038395121,10327778,cyberlily,5,保密,给你们看个好东西,2025-04-21 10:49:32,0,0,一个神秘的LV 5,未知,否,https://i2.hdslb.com/bfs/face/da69c49462e15080ded782cff7f2ba1310b7f42f.jpg
10,0,259961695457,3546888716421779,天空属于威龙玩家,2,保密,敌人死亡时，看到右下角你枪的图片陷入了沉默……,2025-04-20 10:49:42,0,0,,未知,否,https://i2.hdslb.com/bfs/face/c0daa08512fe91abe08299233c02f302f2fbfc35.jpg
11,0,260253824400,309274539,教皇i归来,6,保密,这把枪不能瞄头，不对！可以瞄头，下面那个头，这样一开火，两个头都可以被打爆！,2025-04-13 02:56:57,0,0,,未知,是,http://i0.hdslb.com/bfs/face/4f24b2b1f781bbb506f130ac10addadbd7d1e60a.jpg
12,0,259638201312,3546721686653801,爱玩游戏の音乐家,3,男,下面没有一个显示是爆头击杀的，这你怎么解释？,2025-04-05 14:37:27,0,1,不知道,未知,否,https://i2.hdslb.com/bfs/face/b9e04ae73298996595cb2faeb969a8101f1c9fd9.jpg
13,0,258603123153,3546835970951686,77520-小号,3,保密,[吃瓜][吃瓜][吃瓜],2025-04-03 11:54:25,0,0,阿巴阿巴,未知,否,https://i1.hdslb.com/bfs/face/e013362cffc80f13cccefcbc2b0ca1b1ae1af9e8.jpg
14,0,258509046049,1298553794,楷壹墨,5,男,[委屈],2025-04-02 10:02:31,0,0,一个主玩FPS的屑,未知,否,https://i2.hdslb.com/bfs/face/b19c05f74fb881fa502f41c1760818b19c925d75.jpg
15,0,258786181888,8308,坝绿是念来过倒,6,男,这不是某款游戏十年前的2.5倍镜416吗，只要人在镜中就能乱抖爆头,2025-03-26 20:15:23,0,0,著名鸽手~~我是鸽手所有季冠军~~~~~~,未知,否,https://i1.hdslb.com/bfs/face/be3d66aca738ab4275175b5db847230f103fdae7.jpg
16,0,258728864912,358814939,哎呀我赣,6,保密,大头小头一起爆炸,2025-03-26 05:19:19,0,0,,未知,是,https://i2.hdslb.com/bfs/face/b92d06e9565483ad07fea8221c55749561d584ed.webp
17,0,257737974241,1879334155,黑马喽小菜777,2,保密,出个教程,2025-03-23 22:36:43,0,0,一个黑马喽玩家，喜欢我的世界,未知,否,https://i1.hdslb.com/bfs/face/265481fb2a4d7e597d00ddefff11c3aa55488045.jpg
18,0,257697763153,401270753,一苏小言一,5,男,纯绿跑刀，7：100，可直播，累计已跑十亿+,2025-03-23 09:52:23,0,0,当时只道是寻常,未知,否,https://i2.hdslb.com/bfs/face/6626d15c9d402ae7866497f4b2d3aff117f4e0ee.jpg
19,0,258431932464,14382403,snakey1983,3,保密,up主我改出来了。,2025-03-22 13:36:00,0,0,宅得不行，腐到天际,未知,否,https://i1.hdslb.com/bfs/face/1e3a164bdcc8548006149c81b65b9ffa57d6af40.jpg
20,0,257615633121,3493106255137673,Visualwall82199,4,男,俺寻思冲锋枪大部分爆头倍率都很低啊,2025-03-22 10:50:43,0,0,这个13很懒改简介，因为困难症,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
21,0,257605196817,2011649279,弱智KLOL,3,保密,[笑],2025-03-22 08:39:08,0,0,,未知,否,https://i2.hdslb.com/bfs/face/fc84703468d35f320c4b13e5b91dd5f480a4e639.jpg
22,0,258029053312,220895023,ACG乄RanHo,5,保密,"弱者压着后座力 对抗环境
强者利用后坐力 改变环境",2025-03-17 13:29:24,0,0,,未知,否,http://i1.hdslb.com/bfs/face/85c5285173a941648720b7ab786650815ff61fc2.jpg
23,0,257143299809,3546831260748171,不想以及懒得取名字,3,保密,看了个视频，入（坑）了个游戏,2025-03-16 09:47:49,0,0,整个大活，目前进度：训练蜂医模型中·······,未知,否,https://i0.hdslb.com/bfs/face/b440cecae6d564f4b2a4047d1a3c3fa5267a0736.jpg
24,0,256941092913,622718695,鲸-52,5,保密,额，为啥子弹是蓝色，皮肤特效吗,2025-03-14 03:59:19,0,0,不问过去,未知,否,https://i1.hdslb.com/bfs/face/c15cd712dabfbfd778fab1f18fbf37603af86b6f.jpg
25,0,256834980081,1530608796,落落爆破手,5,男,她是改枪的专家，你是武器大师,2025-03-12 14:55:26,0,1,一个平凡的普通人,未知,否,https://i0.hdslb.com/bfs/face/7373f7451cc1631496c32f869d6c2a06665c439b.jpg
26,0,256756722401,672456677,邂逅与你1,2,保密,缺哈夫币大红任务道具的老板私聊我价格便宜 追缴包赔,2025-03-11 14:33:42,0,0,加v   T24730P,未知,是,https://i2.hdslb.com/bfs/face/3c92ffd15f9aa8b8cb7285412210c871cd1c294b.jpg
27,0,256038532641,388856159,鹿树人,6,男,这样就不用压枪了,2025-03-02 12:01:28,0,0,从来如此便对吗？平凡安全的做个小市民，直到燃起熊熊烈火的时候我愿意做那捆干柴,未知,是,https://i2.hdslb.com/bfs/face/2e7bceb3136f08093b776d5cb31f511443011ac2.jpg
28,0,255923307857,3546710659828557,混沌一一单机,3,保密,我也有一把这个,2025-03-01 07:12:18,0,0,无,未知,否,https://i0.hdslb.com/bfs/face/661597f4b99c13df3d15dbf26fdd902cbf8ed074.jpg
29,0,256490984672,3546703634369028,二八七点半,3,保密,"高丸SVD，是高丸就来玩[doge][doge]
SVD狙击步枪-烽火地带-6FG0AHC0C45NN9BKCTKE0",2025-02-27 06:55:10,0,0,,未知,否,https://i0.hdslb.com/bfs/face/01cf4b6660b519d668cedb50d74872b9179f753d.jpg
30,0,256356468304,3546557999746013,gshxd号,3,保密,Vector冲锋枪-全面战场-6FFE1M80CD5BCR6FL53V0               改进了一下还不错打腰射,2025-02-25 13:13:02,0,3,,未知,否,https://i2.hdslb.com/bfs/face/56ca571b9041d068d2f4ec3011ded8beaf136f52.jpg
31,0,256129698832,679429841,不会取名啊逗号,5,保密,最新版5个手电筒加一个镭射,2025-02-22 18:24:16,0,2,,未知,是,https://i2.hdslb.com/bfs/face/988175a3d171a1a48b51e0345471882adaf273cd.jpg
32,0,255874079936,23706607,银色天空sky,6,男,弹夹多还不怕洒水（确信,2025-02-20 01:58:37,0,0,"少前比较肝的玩家
RWBY和黑岩我吹爆",未知,是,http://i1.hdslb.com/bfs/face/99ac341da99f7630da2f34001ae7b4e919b2c91f.jpg
33,0,255046652161,1286189189,bili_47215620742,2,保密,@三角洲行动,2025-02-18 13:44:04,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
34,0,255046479153,1286189189,bili_47215620742,2,保密,@西蓝花糕手,2025-02-18 13:43:38,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
35,0,255726080688,435404440,桐藤ナギサ单推人,6,男,我舍友改的枪[doge]我一度怀疑三角粥是不是出了电磁武器[笑哭],2025-02-18 08:10:14,0,0,吾心吾行澄如明镜，所作所为，皆属正义。,未知,否,https://i1.hdslb.com/bfs/face/c84804d83acf15175739a64dccdd9af8603480fa.jpg
36,0,255603637344,3494373494885125,葡萄边的青提,4,男,我突然想到自己每次都不压枪，就是叫子弹自己往上跳。,2025-02-16 18:14:13,0,0,我是青绿色，不是绿色,未知,否,https://i1.hdslb.com/bfs/face/6931e55dafaca6122d00049840ebf31979047196.jpg
37,0,255567151936,3494367750785621,Minecraft图个图,3,保密,我这样可以入职小羊仔重工吗？,2025-02-16 10:29:39,0,0,玩三角洲和MC还有红警.有问题在B站上找我,未知,否,https://i2.hdslb.com/bfs/face/9b5ecb0d37199f42fc28ae0b8775b8a220f3b014.jpg
38,0,254860733921,3546778565610160,meng_meng呀,2,保密,这不麦扣吗？,2025-02-16 09:16:16,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
39,0,254808421089,442980376,bili_70971714948,5,保密,结果后面还不是打了好几个只爆了一个[可爱泰蕾莎_龇牙笑],2025-02-15 17:01:19,0,0,,未知,否,https://i1.hdslb.com/bfs/face/78d73e59c2bf1c1b76067d1b9ea85246a0f4e505.jpg
40,0,255482850688,3546696493566241,甜瓜规则怪谈,4,保密,………………,2025-02-15 12:47:21,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
41,0,255395905744,3493291607722800,好了你刷到了这个名字,4,保密,求配件,2025-02-14 14:51:53,0,0,,未知,是,https://i0.hdslb.com/bfs/face/983093ba17e0a125dc946d19868adada08bbbf58.jpg
42,0,254619237121,144691,堕落的信仰,6,男,瞄低打高,2025-02-13 17:03:07,0,0,一场绮梦泪相似，二度落花暮様如，三觅逝颜旧忆初，四待暖生黎珊续,未知,是,http://i1.hdslb.com/bfs/face/3ce241d2a00bb9daf0ef2dac28090f38dd62d0c9.jpg
43,0,254547077089,3546751231330985,风暴凋零魔,3,保密,我刚才试过了，如果去掉倍镜那更好用。准备猛攻航天基地,2025-02-13 02:23:30,0,0,,未知,否,https://i2.hdslb.com/bfs/face/1bfe913bdbc52e4d932b925ab5b769d416af7a37.jpg
44,0,254516720241,2034038761,先子星,4,男,激光枪[doge_金箍],2025-02-12 14:41:16,0,0,,未知,否,https://i1.hdslb.com/bfs/face/3bf761ea594460384272fa9838c9c788357b8ba6.jpg
