序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,260035665361,100397352,宇宙无敌超级聪明猫猫,5,保密,饱了饱了[doge],2025-04-21 10:15:00,1,0,错把陈醋当成墨，写尽半生皆是酸。,未知,否,https://i0.hdslb.com/bfs/face/29bc130489c230d680118b8ce36a48661483c6f8.jpg,Neutral
2,0,260021897729,1419844666,坏小子梦醒昆明,5,保密,[星星眼][星星眼][星星眼][星星眼],2025-04-21 06:31:10,0,1,,未知,否,https://i1.hdslb.com/bfs/face/c1e6637ec9118be147bba909c054a71d97e944cc.jpg,Neutral
3,0,260016472817,3493119091805062,香香是我老婆阿,4,保密,第一,2025-04-21 04:59:07,1,0,,未知,否,https://i1.hdslb.com/bfs/face/bbd1efaa6d22251218e6c02be7103d3fa9d61b80.jpg,Neutral
4,260016472817,260017533377,3494365871736875,神奈北北,4,女,好宝宝[奶蓝少女番 第二弹_suki],2025-04-21 05:12:13,0,0,"反应迟钝 素质遇强则强遇弱则弱
亲和力max 看到就回复
聊天唱歌玩游戏（什么游戏都玩成分复杂",未知,否,https://i2.hdslb.com/bfs/face/037cce3ee7de460cfed9d16f5b974ff2c52c5cbd.jpg,Neutral
5,260035665361,260076327601,3494365871736875,神奈北北,4,女,[大哭],2025-04-21 23:32:10,0,0,"反应迟钝 素质遇强则强遇弱则弱
亲和力max 看到就回复
聊天唱歌玩游戏（什么游戏都玩成分复杂",未知,否,https://i2.hdslb.com/bfs/face/037cce3ee7de460cfed9d16f5b974ff2c52c5cbd.jpg,Sadness
6,0,260035665361,100397352,宇宙无敌超级聪明猫猫,5,保密,饱了饱了[doge],2025-04-21 10:15:00,1,0,错把陈醋当成墨，写尽半生皆是酸。,未知,否,https://i0.hdslb.com/bfs/face/29bc130489c230d680118b8ce36a48661483c6f8.jpg,Neutral
7,0,260021897729,1419844666,坏小子梦醒昆明,5,保密,[星星眼][星星眼][星星眼][星星眼],2025-04-21 06:31:10,0,1,,未知,否,https://i1.hdslb.com/bfs/face/c1e6637ec9118be147bba909c054a71d97e944cc.jpg,Neutral
8,0,260016472817,3493119091805062,香香是我老婆阿,4,保密,第一,2025-04-21 04:59:07,1,0,,未知,否,https://i1.hdslb.com/bfs/face/bbd1efaa6d22251218e6c02be7103d3fa9d61b80.jpg,Neutral
9,260035665361,260076327601,3494365871736875,神奈北北,4,女,[大哭],2025-04-21 23:32:10,0,0,"反应迟钝 素质遇强则强遇弱则弱
亲和力max 看到就回复
聊天唱歌玩游戏（什么游戏都玩成分复杂",未知,否,https://i2.hdslb.com/bfs/face/037cce3ee7de460cfed9d16f5b974ff2c52c5cbd.jpg,Sadness
10,260016472817,260017533377,3494365871736875,神奈北北,4,女,好宝宝[奶蓝少女番 第二弹_suki],2025-04-21 05:12:13,0,0,"反应迟钝 素质遇强则强遇弱则弱
亲和力max 看到就回复
聊天唱歌玩游戏（什么游戏都玩成分复杂",未知,否,https://i2.hdslb.com/bfs/face/037cce3ee7de460cfed9d16f5b974ff2c52c5cbd.jpg,Neutral
11,0,260035665361,100397352,宇宙无敌超级聪明猫猫,5,保密,饱了饱了[doge],2025-04-21 10:15:00,1,0,错把陈醋当成墨，写尽半生皆是酸。,未知,否,https://i0.hdslb.com/bfs/face/29bc130489c230d680118b8ce36a48661483c6f8.jpg,Neutral
12,0,260021897729,1419844666,坏小子梦醒昆明,5,保密,[星星眼][星星眼][星星眼][星星眼],2025-04-21 06:31:10,0,1,,未知,否,https://i1.hdslb.com/bfs/face/c1e6637ec9118be147bba909c054a71d97e944cc.jpg,Neutral
