序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261045640849,473257362,不该却有,4,保密,"来两把狙玩玩[微笑]

M870霰弹枪-烽火地带-6G51U6001LUP768DB84FV
M1014霞弹枪-烽火地带-6G5IU1001LUP768DB84FV",2025-05-04 05:53:47,0,1,,未知,否,https://i0.hdslb.com/bfs/face/4cd086d6266f0000f4e6d7608901b91a3fe41fbb.jpg
2,0,260116250753,3546782770399798,曹盛凯-,2,男,en,2025-04-22 11:28:11,0,2,你好,未知,否,https://i1.hdslb.com/bfs/face/f8b522b15b679c9c19e7e461d959d1200d9edf2b.jpg
3,0,260436398736,3546831390771223,bili_41032843279,3,保密,左轮真可以当大狙玩大战场我拿左轮狙死了五六个人👁️👄👁️,2025-04-15 09:07:41,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,0,259428421201,3546849889749066,Markqi齐,2,保密,《方剑》,2025-04-13 13:20:10,0,2,,未知,否,https://i0.hdslb.com/bfs/face/cdff2011ae30c8eb469de92db9c7dd594505636f.jpg
5,0,258508935489,1298553794,楷壹墨,5,男,[喜极而泣],2025-04-02 10:01:29,0,1,一个主玩FPS的屑,未知,否,https://i2.hdslb.com/bfs/face/b19c05f74fb881fa502f41c1760818b19c925d75.jpg
6,0,258734815696,13150633,灰冥0v0,6,保密,腰射爽的一批[嗑瓜子],2025-03-26 06:58:26,0,1,咕咕咕,未知,是,https://i1.hdslb.com/bfs/face/496d769c1d888cc32126f7ac9d788b699ddbeda6.jpg
7,0,257659327584,317135413,Avocado618x,6,保密,剪辑灵感来自哪里,2025-03-13 08:22:00,0,1,,未知,是,https://i1.hdslb.com/bfs/face/70ff38d2cf009360eda79079fd42238be1173d45.jpg
8,0,256490747280,3546703634369028,二八七点半,3,保密,"高丸SVD，你是高丸你就来
SVD狙击步枪-烽火地带-6FG0AHC0C45NN9BKCTKE0",2025-02-27 06:51:08,0,1,,未知,否,https://i0.hdslb.com/bfs/face/01cf4b6660b519d668cedb50d74872b9179f753d.jpg
9,0,256489035216,3546703634369028,二八七点半,3,保密,《腰射》AK，也是个“太阳神”，肥肠好用[doge][doge],2025-02-27 06:22:33,1,2,,未知,否,https://i0.hdslb.com/bfs/face/01cf4b6660b519d668cedb50d74872b9179f753d.jpg
10,0,254429536209,646454768,天降堂主,6,保密,@米粉小生,2025-02-11 17:11:08,1,0,,未知,是,https://i2.hdslb.com/bfs/face/783491a5757b480d525be49c704ad63075e8066f.jpg
11,0,255073893008,3546818096925106,者相信你亠,3,保密,最后一个跟我改的特别像,2025-02-11 10:40:44,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
12,0,254084039457,13938953,FENRIX_忧郁,6,保密,超好用卡战备G3，移速2.1m/s，后坐力据枪连射都很不错，改装价值16W，巴克什以小博大专用,2025-02-08 06:03:05,0,3,少想，多嗨皮,未知,是,https://i2.hdslb.com/bfs/face/7702b82bf4987e0dba2912d54be33db45603471e.jpg
13,0,253907771681,104385669,冷寒译,6,男,这枪改着改着直接把原枪丢掉用零件组装好了一把一样[辣眼睛],2025-02-06 08:40:22,0,1,"家乡：广西玉林北流陆川
工作地：广东惠州博罗
",未知,是,https://i0.hdslb.com/bfs/face/df3584e782f24ba8097d305d5b3cba678ba1a647.jpg
14,0,254555642896,3493078969092564,见利亚,5,保密,[加油],2025-02-06 05:34:18,0,3,,未知,否,https://i0.hdslb.com/bfs/face/ea64362141af5e1a8e97662449c62b0fc95e3450.jpg
15,0,254160381520,2073833447,bili_64828911929,4,保密,改的好像小羊仔改的,2025-02-02 03:11:49,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
