序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261826079024,392541120,狩猎NE555的电打火,6,男,@阿洛不会矿炸,2025-05-02 10:45:40,0,0,,未知,是,https://i0.hdslb.com/bfs/face/1d8346521bb181bb9d6cea287f59f80c072b5289.jpg
2,0,260804407329,523862969,这名还能有人取,5,保密,楼梯翻护栏，我必被卡，不停的跳也翻不过去,2025-05-01 09:42:15,0,0,我再™瞎比比就给自己两个大嘴巴子,未知,是,https://i2.hdslb.com/bfs/face/a6b5ea4f183ac9ab6b94e1ff7e80230edced7d8f.jpg
3,0,260815983008,2116219529,FazeKarrigan,5,保密,别带33节奏啊,2025-04-20 01:06:08,0,0,,未知,是,https://i2.hdslb.com/bfs/face/e6daea33e318c355257fb725770df2f369cf0b96.jpg
4,0,259829406241,3494363514538579,汶蓝,4,男,三角洲跑路王,2025-04-19 00:01:50,0,0,嗨嗨嗨,未知,否,https://i1.hdslb.com/bfs/face/f9ea20a498e5208e6e77165dc124c6b87f17ff25.jpg
5,0,260679574688,397047212,普通帕朵菲莉丝,6,保密,@地平线の浅间智,2025-04-18 10:22:59,0,0,卡拉比丘不知名剑圣，二游全家桶玩家,未知,否,https://i2.hdslb.com/bfs/face/6dd31cec204244a81e6cbca134faf8e41e77d975.jpg
6,0,260055036544,1719178016,小只忧,5,保密,体验服id184596544986519600158的出生恶意不救人是吧，你赔我装备,2025-04-10 15:37:30,1,0,,未知,否,https://i2.hdslb.com/bfs/face/35a8a5ba03c362523e124d57f9286420d06fbc18.jpg
7,0,259649488160,73873234,970821054,6,保密,不懂就问，这是肾么游戏啊，看起来好好玩啊[妙啊],2025-04-05 16:51:14,0,0,ⓘ该账号正在解禁中,未知,是,https://i1.hdslb.com/bfs/face/3c3e3e57ec0f445e410083673b692aa01b2b1e12.jpg
8,0,259009872416,102411241,飞天小猪豆豆妈,5,保密,这跟枪确实有点东西,2025-03-29 11:41:24,0,0,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
9,0,258761771648,1086924805,椎名真玥,5,保密,@不响丸了QAQ,2025-03-26 13:01:23,0,1,不定期更新，谢谢大家的关注！,未知,否,https://i1.hdslb.com/bfs/face/55c4f98234e95ce351dc43a71c1080ff42481cce.jpg
10,0,257591038657,11437450,神尾风,6,保密,主要对面这三人的协同也是真的厉害，但硬是被拆成3次1v1。,2025-03-22 05:15:14,0,2,七日世界全区接代肝，pve28，pve150，pvp27区出材料，有意+v：KamioAlice,未知,否,https://i1.hdslb.com/bfs/face/420d51e9db9b02c128e343d05c89379bd654c3bd.jpg
11,0,257537938913,433993254,梦里有花香吖,5,女,lfy直播间来的[doge_金箍]重温,2025-03-21 12:24:03,1,13,一起去啊，更远的地方,未知,是,https://i0.hdslb.com/bfs/face/8ec3d11b27b0c2bb9dcf5152ff964d6311ca9626.jpg
12,0,257537834449,79653679,奥巴马我头像牛逼吗,5,保密,喜提官方素材,2025-03-21 12:24:02,0,1,,未知,否,https://i1.hdslb.com/bfs/face/339d20e2751028068864f8adf43770813626f910.jpg
13,0,257907854784,308510132,清凛黄昏下的猫,6,男,@栗子姐没pp,2025-03-16 05:01:26,0,0,人间烟火，山河远阔。,未知,是,https://i2.hdslb.com/bfs/face/248a67c641405b2206622dd77f863444bd26c59b.jpg
14,0,257477502816,437284400,一只优菈厨i,4,保密,视频被盗啦【78老飞宇直播卡战备进绝密 离心化身成龙1V3-哔哩哔哩】 https://b23.tv/TQBNt67,2025-03-11 01:48:35,0,0,,未知,否,https://i2.hdslb.com/bfs/face/cfb2334667cef55c358e981e1128ddf45708ccfd.jpg
15,0,257420426768,2116005841,雪凝月落,5,女,这不是一个，这是一队,2025-03-10 07:21:42,0,0,,未知,否,https://i1.hdslb.com/bfs/face/240f23589b6e5e47aaf8b737e887fbd3a6218333.jpg
16,0,256927671952,374013610,明明颜值高却过于沙雕,6,男,之前在浮力1打3，先打掉链接外面靠墙的一个，然后架浮力里面，听到外面有拉烟救人，过去架住刚才打倒的那个位置，拿着维克托就是一顿乱扫补掉，直接跑过去架最后一个，听到脚步，一个帅气拉枪直接灭队，当时打完这一队，最痛苦的不是别的，而是没有录制，就是杀了他们这一队就得吃600多万，因为被他们清了，就只剩我跟我朋友两个，还剩一个老鼠跑了，因为我跟我朋友是双排，不匹配队友，,2025-03-04 06:50:41,0,1,我不是高冷，我只是有点不好意思 ,未知,是,https://i1.hdslb.com/bfs/face/7e7f988c9f52a0d40b59015ee0292fe9da811619.jpg
17,0,255727140481,3494376328136957,自我从何而来,5,保密,牛逼,2025-02-26 23:31:00,0,0,我们常常在想这样一个问题：自我从何而来？我们被产生，我们在成长，我们会终结，我们会新生。我们就像是果子的籽变为树，重复产果取籽成长老死,未知,否,https://i2.hdslb.com/bfs/face/2908c6037e7cb2ae7f36e4f48d930facc9c15041.jpg
18,0,255595093377,312776486,夜还不黑你还很美,6,男,"假如：
小玉（麦晓雯）：总裁有人，架枪，打一枪，没打到快跑。不好，追过来了，快跳。。。（闯祸了）[尴尬]
小玉刚跳下来，一回头。。。
小玉：hi～龙叔～[调皮]
成龙（队友）：hi～小玉～[笑]。等等！！！小玉！！！你怎么在这？那刚才的枪声是你？。。。[无语]
阿福（敌方）等：乌鸦坐飞机～！！！成龙！原来刚才是你。猩猩折枝～！！！[tv_发怒]
成龙：阿福！！！黑手帮！！！不好，快跑小玉！[惊讶]
。。。。。。",2025-02-25 06:04:08,0,47,不顺心的时候，你可以像疯狗一样对周围的事物狂吠，也可以咒骂命运不公。但是到头来，你还是要继续生活……,未知,是,https://i2.hdslb.com/bfs/face/b058f1233a7741cdfad3fe5dec9deb75bd8b4f06.jpg
19,0,255238376289,504019863,其实我对苹果一般,6,保密,xdm 这是哪期啊,2025-02-20 22:46:35,1,0,,未知,否,https://i0.hdslb.com/bfs/face/c75bc20914bd5132eea475a18b22d3b8f440258a.webp
20,0,255950540048,21248743,澄闪小姐的狗_,6,男,这波对面其实也有配合的，翻楼梯和一楼拉出来都是两个人一起冲，逼着老飞宇一直走位不敢漏太久，不然打一个就会被另一个补，最后一波也是分兵绕后被老飞宇看穿了，但还是78主播技高一筹（,2025-02-20 19:34:19,1,6,喜欢FPS、航拍、嵌入式和苏茜小姐,未知,是,https://i1.hdslb.com/bfs/face/ccd2a9836b028a89f2d5ca5e90dea12ccbeb54b5.jpg
