序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261716498624,3546892944280339,莫言--魔泉,2,保密,6,2025-05-01 05:18:02,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
2,0,261111052272,507694720,绝响ww,2,男,"借楼，正常跑刀，不自杀进黑屋，学生骨折无事9r=100w哈夫币
85r=1000w哈夫币 3kw以上有优惠
3*3任务全包约850
纯绿手搓，全程开直播，需要的老板私聊我
需要留金留红提前说明",2025-04-23 13:54:26,0,0,三角洲代有需要的加我vx：juexiang714，qq：2732388611,未知,否,https://i1.hdslb.com/bfs/face/a9c457420ba75e0c85c4f69cfe0ca380d2214999.jpg
3,0,259266141633,349527578,Elmer雏水,6,男,@别汀州,2025-04-11 14:46:50,0,0,『只要有意思，怎样都好啊』,未知,否,https://i2.hdslb.com/bfs/face/4dd56c832f0b5bdae9af9ad769e3b61c794bdac3.jpg
4,0,259126084929,38404977,此人真的莫得名字,6,保密,"大学生在校跑刀 纯哈夫币
 100w=8r
200w=15r
500w=40r",2025-04-09 21:12:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/92a88f36901670d5490c53aeca46963a16d8f7bf.jpg
5,0,256819953457,1537493282,山鰰,5,男,我是酱油,2025-03-12 11:49:21,0,0,,未知,否,https://i2.hdslb.com/bfs/face/021d92e9b48f53f5780076aa522c33df1d1bb64d.jpg
6,0,256323033345,3546576221898899,bili_3546576221898899,2,保密,有没有要做3×3任务的板板什么任务都接，在校男大学生（可以压学生证）赚点零花钱，需要可以联系我[星星眼],2025-03-06 06:08:29,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
7,0,256850233728,383020305,九ing命猫,4,男,"大学生在校跑刀 绝密巴克什 普坝
纯币 非仓库价值
 100w=8r
200w=15r
500w=40r
1000w=78r
1500W＝128r",2025-03-03 07:25:02,0,0,ing,未知,否,https://i0.hdslb.com/bfs/face/6760b0aac63a53542918f7fd89dec3b7bdbf731c.jpg
8,0,254792533745,1672129476,七彩墨水O-P,5,男,这S人机凭什么一枪打刘涛半管血呀？,2025-02-15 14:02:01,7,6,,未知,否,https://i0.hdslb.com/bfs/face/d86738f6a0dd0d227cd6d5120e7d8d6499f3eb9d.jpg
9,0,254161737697,3493135386675982,bili_79976346598,2,保密,主播,2025-02-09 02:49:32,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
10,0,253992565073,2090297162,_无伤-,3,保密,赤两份[脱单doge],2025-02-07 06:54:14,0,0,,未知,否,https://i2.hdslb.com/bfs/face/2c98ed63f8e76d9ebfc2855ed0921a17646c7ac0.jpg
11,0,253807316753,179741776,DeStiny-01,6,男,主播喜欢哪些倍镜,2025-02-05 07:06:17,0,0,嘤嘤嘤,未知,否,https://i1.hdslb.com/bfs/face/46dd902dece3db7b052941148a923ac6be556356.jpg
12,0,254443936864,3546839318005842,LE付王,2,男,这是什么78音乐？,2025-02-05 02:46:39,0,0,mortal 永垂不朽,未知,否,https://i0.hdslb.com/bfs/face/c20958162f6681713402e409021e784091d0439d.jpg
13,0,253747132049,3493127717390789,不是雷诺考特,3,保密,"没卡,只是欣赏一下刀罢了[doge_金箍]",2025-02-04 13:13:11,0,0,,未知,否,https://i2.hdslb.com/bfs/face/db16e315d2db23b6c13f8e3c1b9f9130013af96f.jpg
14,0,253472191440,3546825101412425,马梓哲,2,保密,想要这个红温的表情包,2025-01-25 16:56:27,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
15,0,252599781585,3546619947518771,英文童话故事机,3,保密,哎哟，孩子们，是不是都喜欢咱老爹妈啊，那还有啥说的，肯定都喜欢咱呗！,2025-01-23 06:00:16,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d1edab7adb4effc2879dad02d97d4c030be180d5.jpg
16,0,252633211376,401213528,孟君撷,5,保密,也体验过被机哥肘死过，当时机坝本来能200万撤离，也是小看人机[辣眼睛],2025-01-17 08:47:25,0,1,放假了好开心^ω^,未知,否,https://i2.hdslb.com/bfs/face/6e92a9318379b11c75ea845a4f5ba00856c7f97b.jpg
17,0,251821669825,94878395,铃铛风儿摆,6,女,第二段战斗音乐叫什么，有点上头，我想收藏一下[滑稽],2025-01-14 14:53:58,0,0,想要变成furry，想要rua毛毛，想要被胶兽同化，想要被吃掉，什么都想要，就是得不到,未知,否,https://i2.hdslb.com/bfs/face/f6cf7d2d71c95f3179a362509500b31ddd841c51.jpg
18,0,251645257361,1125079676,1阳仔0,5,男,03:15,2025-01-12 12:38:15,0,1,,未知,否,https://i2.hdslb.com/bfs/face/388f945e79d9fa5ca388bbfb474c385878c91197.jpg
19,0,252051486656,342512415,Ai-孤舟,5,保密,这也太搞怪了吧！老鼠人？太空基地？我怀疑是地球上最后一个秘密基地。 😜,2025-01-10 21:00:33,0,0,我不做人了！无聊的世界，无聊的我！毁灭吧！,未知,否,https://i0.hdslb.com/bfs/face/1027eb2fa76045405b1ac16c6c803af6ffaa2473.jpg
20,0,251362991761,3546816152864993,火也将,2,保密,刚在航天机密出的。,2025-01-09 07:11:02,0,0,,未知,否,https://i2.hdslb.com/bfs/face/853d2ba8182a6cf0312da94a9d3ca51b5909393e.jpg
28,0,251890899392,29366544,路过的老妖怪贤者,6,女,修脚搞死两个刘涛，还没来得及舔队友就抢了，直接原地送，我倒是要看看他们怎么活下来，果然，他们被剩下的那个人灭了[呲牙][呲牙]喜欢抢，还笑，我看看没我你们怎么活着出去[呲牙][呲牙],2025-01-09 02:41:37,1,0,  努力只是完成结果的过程，如果以过程本身为荣的话，就本末倒置了。,未知,是,https://i0.hdslb.com/bfs/face/b8d2571ea0f65b90eadc167388c949690f086da2.jpg
29,0,251747324704,26457904,玊师傅和小毛毛,6,保密,主播这实力，也就打打真人了，真到人机局，也就是一枪的事[doge_金箍],2025-01-07 09:02:37,0,1,,未知,否,https://i1.hdslb.com/bfs/face/51adac95f32227491f8ddb4774ff54a0d93c59cf.jpg
30,0,250757713249,443845263,蓝标瑰夏,6,保密,3:12,2025-01-01 19:47:24,0,1,〈i〉〈!〉,未知,否,https://i0.hdslb.com/bfs/face/5d9a5ce57c734bd7f23acff258c356e6fb6eae83.jpg
31,0,250557013873,549624972,打开看看1,5,保密,03：19哈福克小兵一秒三肘打碎你的航天梦,2024-12-30 12:54:32,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
32,0,250374103777,3493116218706576,默青是只狐,4,保密,搞了半天，原来是赛博琥珀呀[吃瓜],2024-12-28 09:24:24,0,0,,未知,否,https://i0.hdslb.com/bfs/face/edb8d8f04a24c42800e41aa7641880eb20062cb0.jpg
33,0,250267326400,277928314,千箬華,5,男,@离岱陪葛饰应为好78抽象的地图理解，快来学,2024-12-21 04:58:51,0,0,跑路的鸽子,未知,否,https://i1.hdslb.com/bfs/face/c95df1523efe14ac6db26ecfcae997337448db12.jpg
34,0,249779572081,482936084,慕程雪吖,5,保密,你好，飞宇哥，我从生死狙击就开始关注你，后来看见你玩了这个三角兽行动，我也因为你接触这款游戏，然后我就深深的爱上了这个游戏，然后上上个月开始，它就提示我使用的第三方插件。给我封了一个月，然后我等待了一个月之后，刚上号又被提示封一个月，后来我向专人问过，是因为我这个蜻蜓鼠标f1的问题，他说我这个鼠标的固件和自瞄盒子固件很像，但是我并没有使用盒子自瞄，我只是使用我的鼠标，申诉了四五次都无果，我想请能不能让老飞宇帮我申请复核一下，我真的什么都没有开,2024-12-21 01:25:06,1,35,qq交流 674164848,未知,否,https://i2.hdslb.com/bfs/face/549746111f279da93424c02f68da9f571c2a188a.jpg
35,0,250137869120,1679287348,昨夜乘风行,4,男,@环形山谷 @一只小暗喔 @桂花载酒-与君重游 这才是我想象中的，猛攻！,2024-12-19 15:34:25,1,1,好想一直躺着,未知,否,https://i1.hdslb.com/bfs/face/e5ff357afcc8bbf64838a4239d50f54fe77840aa.jpg
36,0,249913145248,43735140,第一家电影院,6,男,曾经机密长工打机哥两发飞刀加一梭子子弹没打死被扫死,2024-12-17 04:00:15,0,0,一个喜欢平静的普通人,未知,否,http://i0.hdslb.com/bfs/face/cbd749b60ba86066ba048dd2850029098aac4f6d.jpg
37,0,249064426689,1495699373,MoriuAyako,5,保密,我都有仨火箭燃料了,2024-12-12 10:42:23,0,0,徜徉于漫天纷落的细雨中，纤凝作倒悬于碧落的芥舟,未知,否,https://i2.hdslb.com/bfs/face/f5810e1a7dfbc5248dec3ad2434a0812d2213740.webp
38,0,248974832065,267599959,呕吼_完了,6,保密,@染空I,2024-12-11 08:37:51,0,1,,未知,否,https://i1.hdslb.com/bfs/face/05afce5ca91ea6f3312354c19df2c11bb59aa125.jpg
