序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,262642771584,3493112599022522,撒野补石,4,保密,黑夜大坝带手电筒不怕当靶子吗？,2025-05-12 09:20:45,1,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Expectation
2,0,262437705696,483092608,风瀞直人凉,6,男,片哥想和你一起玩[笑哭],2025-05-09 21:31:58,1,1,⊙该账号已被永久封禁,未知,否,https://i1.hdslb.com/bfs/face/5a782292a7d554f44c5f3eb6da203ca43e9365b6.jpg,Neutral
3,0,262230322320,3546836293912903,哈夫克重甲兵,3,男,片哥出了30多发红蛋都不叫的吗？,2025-05-07 05:27:39,1,1,"666都不跟我玩,我去堵桥了，你们都别想测!",未知,否,https://i1.hdslb.com/bfs/face/ddbdc847b462a78ac0e3da6cc2befa5771ecd792.jpg,Neutral
4,0,262136969808,1312868912,安全总监德穆拦,6,女,什么时候用手机玩？,2025-05-06 00:41:15,1,1,以后准备光出打蓝鹰直升机视频了一个视频开十次看看能不能出黑匣子,未知,否,https://i2.hdslb.com/bfs/face/1dcf30b59fddd9e4534e8c86f7dde5df23a9e5d2.jpg,Neutral
5,0,262110591808,691771223,攻攻鼠赤月,4,男,片哥比小绿、王小兆这种乐色牛多了,2025-05-05 13:33:59,0,0,"老赛在跑我在追
78老太同你飞（红鼠窝竞技高手）",未知,否,https://i2.hdslb.com/bfs/face/6e27b34ea125910c7ba9cf2166f3f7e311fe803c.jpg,Disgust
6,0,261151589185,3546715426654863,老影鹿,3,保密,片哥用上4级甲了[星星眼][星星眼][星星眼],2025-05-05 09:37:53,1,1,,未知,否,https://i0.hdslb.com/bfs/face/3fbd2cf3433ad092344df8641d116fd25a2f25aa.jpg,Neutral
7,0,261049233281,3493106999626261,看不见的_黑手,5,男,打大坝出了两个角磨机，爆率太高了,2025-05-04 06:43:07,1,2,看不见我，看不见我                                                 粉丝群790154549,未知,否,https://i1.hdslb.com/bfs/face/7bfbd1c445793504b66280210b6da2b9bdd25338.jpg,Neutral
8,0,261871663648,3546636460493602,实弹训练场,4,男,无名蹲面条撤离点太可恶了,2025-05-03 01:15:15,1,1,创优世界用户名：突击实弹射击场,未知,否,https://i1.hdslb.com/bfs/face/cb9facd00fc98b7e6472e7149510ac6c0535e7b6.jpg,Anger
9,0,260867066960,1375116824,天空属于龙魂,5,保密,今天在水泥厂外面来回绕圈装人机，单三无名跑过来想刀我被反杀了,2025-04-20 12:08:07,1,6,,未知,是,https://i2.hdslb.com/bfs/face/4b5f66740a0c62fc9f1afb00c5cdd73e0ccfd420.jpg,Surprise
10,0,259917568065,275061293,薪火电竞,5,男,"带上主播粉丝截图享受额外优惠哦
部门任务   
战斗部门1-4=150元（1天左右完成，不包币，包币+60元）     
战术部门1-4=150元（1天左右完成，不包币，包币+60元）  
医疗部门1-4=120元（1天左右完成，不包币，包币+60元）  
后勤部门1-4=130元（1天左右完成，不包币，包币+60元）  
研发部门1-4=130元（1天左右完成，不包币，包币+60元）   
亿唐特价:五个部门任务全包1-4=900元（完成时间以打手反馈为准，包币）  
  
一个部门任务1-2=40元（1天左右完成，不包币，包币+50元）   
一个部门任务2-3=60元（1天左右完成，不包币，包币+50元）   
一个部门任务1-3=80元（1天左右完成，不包币，包币+50元）    
一个部门任务2-4=100元（1天左右完成，不包币，包币+50元）",2025-04-20 00:44:33,0,0,"三角洲行动3*3哈夫币部门任务
需要+V  faqng5131421
频繁加V  qazplm5131421
频繁加Q 2961553035",未知,是,https://i2.hdslb.com/bfs/face/21c25e46713b9057bc764dd35b00475e49ee3310.jpg,Neutral
