序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,255516344704,211183327,蕾姆拉姆我都要嘿嘿,6,保密,"那个时候呼吸机还很便宜
现在的呼吸机一千多万[笑哭]",2025-02-15 22:06:50,0,0,,未知,否,https://i1.hdslb.com/bfs/face/328734fce2e4cad6c99c9fb3cf2c904150a7163a.jpg
2,0,252499027441,3546748395981160,璃娆,3,保密,一分33秒，78主播面前的架子上，可能会刷火箭燃料，望众知[doge],2025-01-22 05:17:24,0,0,,未知,否,https://i1.hdslb.com/bfs/face/540391fec8079973b723a719e46ce206357ca262.jpg
3,0,251443267105,1290295364,埃及艳后_,5,男,64W～668W   爽！！！[星引擎party闪亮启航 表情包_大叫],2025-01-10 06:44:46,0,1,美好一直在，重要的是感受,未知,否,https://i2.hdslb.com/bfs/face/3275f2ade8e26f01388ade282b18f95c434c7ea1.jpg
4,0,251162321841,87990570,瑪露西尔,6,保密,这么看现在复苏呼吸机涨了好多[2024明日方舟音律联觉_精神涣散],2025-01-06 16:14:35,0,0,怎么会有玛露西尔这么好的孩子,未知,是,https://i0.hdslb.com/bfs/face/38adf76991c1b19daf0e5e82c4ee4eb23fa20da7.jpg
5,0,248110481152,351624845,神神秘秘方方硕,6,男,你家6级弹不要钱的吗[星星眼],2024-11-26 06:47:51,1,0,该账号封禁中（dog）,未知,是,https://i2.hdslb.com/bfs/face/71d3e6007874897c71b3dd668294e18efde7d083.webp
6,0,247670984705,32289656,卑微的祭夏,6,男,"这种局飞余的节目效果就是杀完人然后就是迷失
为什么说迷失是节目效果勒一个月没有几把迷失感觉不是他，其中走的一部分还是被sc提醒才去拉，弹幕发了一分钟一个sc突然反应过来去拉[笑哭][笑哭]",2024-11-25 06:01:42,0,1,不定时的直播,未知,是,http://i2.hdslb.com/bfs/face/b2c541f1cbd3073eb465cfe495b0a3be8aaa74a5.jpg
7,0,247572387105,3546775245818683,不要见怪不怪了,2,保密,6,2024-11-24 02:19:06,0,0,,未知,否,https://i1.hdslb.com/bfs/face/8cc2976f008311b4c540f03639d80c39f79b7ad8.jpg
8,0,247473324369,378412853,浮夸君你个憨批,5,保密,我只能说到现在还没有举报成功,2024-11-22 18:54:56,1,1,jojo，我不做人了,未知,否,http://i2.hdslb.com/bfs/face/fe615e2afd4f9d43ef20bcb1af9244dff6961cdf.jpg
9,0,247317374849,3493146040208284,孤言寡语林万夜,4,男,绝密灭一队刘涛直接七百万,2024-11-21 00:21:38,0,0,"什么游戏都会玩一些哦，目前在ow嘞
直播时间晚上，有时间就打～
有什么需求可以私聊我qwq",未知,否,https://i1.hdslb.com/bfs/face/13e4283dd29974f943016a017865a1a42d340da8.jpg
10,0,247453920672,1829840502,作者の父亲,5,保密,普通捡垃圾[doge],2024-11-18 11:29:02,2,2,"没有签名

",未知,否,https://i0.hdslb.com/bfs/face/63d1524acf54b04e9cd333159f2a5298d655caf2.jpg
11,0,247423117248,679024931,无聊的凉白,5,保密,李高宇,2024-11-18 04:23:07,0,0,,未知,否,https://i2.hdslb.com/bfs/face/ee99b6754969c38765c55d8c15eda2fcd61773d2.jpg
12,0,247027199121,3546708503956172,账号已注销,0,保密,主播我不给你点赞，但我给你三连,2024-11-17 08:23:18,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
13,0,247023390305,3493110101313993,Mc一只Black,3,保密,[三角洲行动表情包_嗯嗯][三角洲行动表情包_全仰仗您][三角洲行动表情包_狗狗祟祟][三角洲行动表情包_大佬喝茶][三角洲行动表情包_全仰仗您][三角洲行动表情包_吃瓜][三角洲行动表情包_兄弟我晕了][三角洲行动表情包_呼叫呼叫][三角洲行动表情包_狗头],2024-11-17 07:29:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/31a4c8aaa884103ee934965542e9037227ee8270.jpg
14,0,247296353392,12706918,nekotou,5,保密,今天有个威龙队友一个帅气的喷气从大坝上直接摔下去了[抠鼻],2024-11-16 14:34:26,0,0,一天一个梦,未知,否,https://i1.hdslb.com/bfs/face/3a68c336adcf3d7788dc699628b7c3c3a8dbae72.jpg
15,0,247279190912,1448623321,LLLPX-,5,保密,昨晚夺舍一位大哥，二级弹打死了，好像头裂了，二级弹全打头了，20进的400万走的，,2024-11-16 11:26:16,0,2,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
16,0,246909181521,3546560619088750,1245处理机,3,保密,77‘78’66,2024-11-16 01:40:55,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
17,0,246895762881,381363277,沐阳三三,5,保密,没敢多吃。怕有猎犬。,2024-11-15 17:24:01,0,0,,未知,否,http://i1.hdslb.com/bfs/face/1c797ef6b5b94ef0c15e8d535dbd7d456ba12890.jpg
18,0,246829592737,454769364,TBcode,5,男,那个公式往视频套是吧，祝掉粉,2024-11-15 02:27:58,0,0,,未知,否,https://i0.hdslb.com/bfs/face/534afb8970237f1fea8beded04de8119917e44e7.jpg
19,0,246674831953,65225063,鹏鹏兽,5,男,代价有点大，我平时45万卡战备有时候也能700万撤离，还是没大红的情况,2024-11-13 03:54:30,2,1,"三角洲护航Vx:SikL804(本人)
水友群: 961625173(不加公会)
",未知,是,https://i2.hdslb.com/bfs/face/3552da93e6a3c88cf37f595c73b8e48bd4360b40.jpg
20,0,246620855377,3493289734965858,bili_3493289734965858,3,保密,回来吧我的热油[脸红],2024-11-12 10:06:17,0,0,,未知,否,https://i0.hdslb.com/bfs/face/9abe96092cae2e4410954db4a83564a5bed883ad.jpg
27,0,246839960256,589938412,千早太空鸡,6,男,"2024年10月18日晚老飞宇在700万大红局因为被香槟吸引注意力忘拉闸导致迷失
2024年10月29日凌晨2:28老飞宇贪吃保险被火烧死转战卡拉彼丘发现被封号一小时后红温下播
2024年10月29日下午18：52分，78主播清图后被火箭砸死
2024年10月29日下午19：57分，78主播清图后故意卡极限飞机撤离，飞的途中卡了一下导致撤离失败
警钟长鸣[doge_金箍][doge_金箍][doge_金箍]",2024-11-11 06:26:51,0,0,"糖阿诺是糯祥做的喔
音乐/音MAD /动漫区up主，关注！关注！关注！
欢迎来哲学群里玩：541366470",未知,是,https://i1.hdslb.com/bfs/face/d0e6ac2da41df1babed3e6766eb205c8f774829e.jpg
28,0,246526562161,1658993968,五架客机打点滴,5,保密,我造！6弹！,2024-11-11 04:50:49,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
29,0,246451601265,1115158986,爱游戏的某人-,5,保密,近距离老太不是赛伊德或者雷斯那种会肘击你的boss，近距离很呆的,2024-11-10 05:43:18,0,0,,未知,否,https://i0.hdslb.com/bfs/face/cbb0f5aba0ba4a5a4f18de7828c1dbc6bebf2ba0.jpg
30,0,246365523057,478704076,记30,4,保密,[打call],2024-11-09 05:34:17,0,0,想和up 玩的请暗区突围微区战队“记30的粉丝进”，运气好的可以上视频。,未知,否,https://i1.hdslb.com/bfs/face/9cbf64d41332ad4d9640946140c057ad1f795972.jpg
31,0,246358422241,3546744036001891,火山文不是受,2,保密,求扶贫,2024-11-09 04:05:21,0,0,,未知,否,https://i1.hdslb.com/bfs/face/0fb40df63f6ca435ea23add8913515823074d719.jpg
32,0,246295811393,390439055,秋山耐死王,3,女,咱们究竟谁是鼠[无语],2024-11-08 08:52:22,0,0,,未知,否,https://i2.hdslb.com/bfs/face/b37ca962917a0852298038f3403c08f502037d5f.jpg
33,0,246467384384,11607631,人生不如咸鱼,6,男,@AI识片酱  bgm,2024-11-06 15:49:15,0,0,,未知,否,http://i2.hdslb.com/bfs/face/351f7eca35513079133b534110b69f4715ad9fbc.jpg
