序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261553039584,1590882624,宇ler,2,保密,还接吗？长期蹲代代,2025-04-29 05:19:44,0,0,,未知,否,https://i0.hdslb.com/bfs/face/359a5161f667b53102308ea005f10690f3ae1b49.jpg
2,0,260750773696,450569741,钢铁兄弟会震旦分部,5,保密,没怎么玩过网游，小时候最早玩的游戏是星际争霸1，然后是魔兽争霸，后面初中有自己电脑了就玩了星际二，然后又接触了steam平台，就开始什么游戏都玩了,2025-04-19 06:44:49,0,0,,未知,否,https://i2.hdslb.com/bfs/face/acb5c4b945f3164d41c132df8aec633e3436d81f.jpg
3,0,258870300593,280981187,Spirit-子衿,5,女,steam可以和官服一块玩么,2025-04-06 13:11:21,0,0,,未知,否,http://i2.hdslb.com/bfs/face/4f254c4ae640f916faa397c0a821e78512f14075.jpg
4,0,258713752849,403552187,炽舞雪I樱落,5,保密,听都没听说过。。。,2025-04-04 16:48:48,0,0,,未知,否,https://i2.hdslb.com/bfs/face/f5c54f9ee2e89b5654bfb92b21e8d7bd970feda6.jpg
5,0,256031957025,3546662827985854,bili_3546662827985854,3,保密,封面那报刊玩舆论攻击抹黑，都道歉了，还拿那当真理,2025-03-02 10:42:42,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
6,0,254464450321,1116785656,秋灬风清,5,保密,琳琅天上的枪神纪，那可真是我的青春[吃瓜],2025-02-12 05:12:40,0,0,什么都舍弃不了的人，什么都做不到。,未知,否,https://i1.hdslb.com/bfs/face/4d8dd04a473a4b8506162c35dc93e2edbbae75bc.jpg
7,0,254262195921,1660920688,___--四氧化三铁--___,4,男,琳琅天上仅凭一个三角洲就把腾讯一夜之间拉成了军事公司[笑哭][笑哭]你敢说他没实力吗,2025-02-10 04:10:39,0,1,像氧一样活跃，像铁一样坚强！,未知,否,https://i1.hdslb.com/bfs/face/34beba6b767cd7465bdd8186aa694046bcc78585.jpg
8,0,254794238800,1763246601,白嫖的屑老板,5,男,笑点解析: “我一般不随便入坑游戏，除非......它给的太多了”,2025-02-08 13:35:12,0,0,,未知,否,https://i0.hdslb.com/bfs/face/ba10616c9dba95ffe03dc9510092844d13c427e8.jpg
9,0,254004360161,9210963,歪比巴不丶,6,保密,琳琅天上都来了，你真是天才,2025-02-07 09:22:44,0,0,,未知,否,https://i0.hdslb.com/bfs/face/d2d22ae5a1745aecb55bb2028462230e079b0ce2.jpg
10,0,253955495441,3546831271233560,bili_64687798232,2,保密,别说什么良心了 那时候网友什么消费环境？跟现在比能一样嘛？,2025-02-06 18:00:19,0,1,,未知,否,https://i2.hdslb.com/bfs/face/2293a0b7e94f8b52a6ec1d8fe9a7e797229c1724.jpg
11,0,253307123745,1433048778,青羊1275,5,保密,三角洲……,2025-01-30 16:17:09,0,0,【特菜】型【海】视频up主 粘土首位【沙雕】up主,未知,否,https://i0.hdslb.com/bfs/face/2f7f6d410011ee530c3e0e950e3c038fb50a900f.jpg
12,0,253122362961,3546556617722683,4湛工程师,4,保密,哥们快更琳琅天上做的视频吧三连了,2025-01-28 15:03:58,0,0,一个不会剪辑的小菜,未知,否,https://i1.hdslb.com/bfs/face/9ef7a7deb4f320e780027dd954eef574519e57c5.jpg
13,0,253556075120,1624384912,天际awa,4,男,三连了，快出下期[打call][打call][打call],2025-01-26 14:16:56,0,0,我的世界U P主,未知,否,https://i1.hdslb.com/bfs/face/895722f49e3f53ef89dc71fe7a60e60dbca31d3d.jpg
14,0,252634808337,20194079,尊贵的年度超级大会员,6,男,？ 更新啊吗的一个月了,2025-01-23 12:18:38,0,1,,未知,是,https://i2.hdslb.com/bfs/face/a18250b393e44d2a3723e6a00f6a838229892c4e.webp
15,0,251878648737,5404758,the_Saga,6,保密,琳琅天上[笑哭]做游戏有一个不是抄的吗，刚开始举的例子像那种小时候玩网游，长大后反补用力过猛的装逼哥啊,2025-01-15 09:35:14,16,6,,未知,是,https://i0.hdslb.com/bfs/face/43302f7ed6b687218bc4d990a1c77694f8a73835.jpg
16,0,252435472128,32927203,メ瓶盖儿メ,6,保密,？？？？,2025-01-15 05:07:51,0,1,,未知,否,https://i1.hdslb.com/bfs/face/85fe9312fdca3b6c473aa9438557fc184dfa8711.jpg
17,0,252162904112,52277324,子非鱼安知余之乐,5,保密,重新定义“自研游戏”[辣眼睛][辣眼睛][辣眼睛],2025-01-12 03:59:35,0,6,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
18,0,251849620576,3546659931818718,一个普通的图鉴,4,男,看个视频，结果把我爱玩的游戏制作公司的黑料给爆出来了😱🤯,2025-01-08 12:30:23,2,0,我跟一只forkand是一个人,未知,否,https://i0.hdslb.com/bfs/face/a5e8676c4c24b5b48c390d529b867e3eb24cc0d5.jpg
19,0,251298952321,8882868,藤藤蛇我怕新叶喵误会,6,男,枪神纪认识的琳琅天上，结果14年全民不限号，15年琳琅就解散换成天美了，只能说琳琅的命不好，如果它生在米哈游就是另一个结果了,2025-01-08 11:12:19,0,3,大家好，这里是自己，拉黑我就说明你又菜又爱?叫又说不过我又爱破防，不接受一切借口和反驳，永久有效。也永远不要和我理论，你杠就是你错,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
38,0,251296919761,349386288,loli_kw,5,保密,没经历过，跟天美他们有什么区别？好，也好不了多少。,2025-01-08 10:47:19,0,0,我不是萝莉控，只是喜欢的人恰好是萝莉,未知,是,https://i0.hdslb.com/bfs/face/c6cd8d22899a1598a03dbc976af35d4ff9aeaf20.jpg
39,0,251820665424,3025838,Helix-4,6,保密,水军,2025-01-08 06:09:32,0,2,被迫弃坑音游玩家,未知,是,https://i2.hdslb.com/bfs/face/c0b706388b77327f555603a9e754fec9b2d95267.webp
40,0,251265174433,1239764470,霞泽美遊,5,男,NEXON咋那么熟悉呢，sensei们[滑稽],2025-01-08 03:12:02,2,3,,未知,是,https://i1.hdslb.com/bfs/face/1a5c195333f04899558dd027892f3bbc0709bcd4.jpg
41,0,251805155808,186696643,我们又放假了,5,保密,听都没听过,2025-01-08 02:42:03,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
42,0,251207550961,3493078375598860,爱妳3000,3,保密,下一期呢？快更下一期，这一期给我看的热血沸腾的[嫌弃],2025-01-07 08:55:49,0,1,,未知,否,https://i1.hdslb.com/bfs/face/549899cd8e2b8ccf61006125cb1a8f283b09c17d.jpg
43,0,251676970240,349969512,别读害羞,6,男,"[笑哭]感叹一句青春啊！[doge]以前玩飞车没花过钱，每天和同学基本每天都跑上几把挂机2小时，以前可惜说10键位一下舞蹈0失误，现在6键以上的能错好几个，以前都是攒点券买东西，当年起码开过s车;玩逆战买过死神，战神，飓风锤，后来出SS套脱坑一段时间，回来还是买了天启7件，陨星，天帝，神凰，还是脱坑了，感觉已经没有以前一堆熟人，吹着牛打各种模式了！玩DNF去年10也刚脱坑了！也扛不住了了
御龙在天那时候也玩，一套紫6就是高官",2025-01-06 11:57:48,0,0,汪汪汪,未知,是,https://i0.hdslb.com/bfs/face/8ffd3f2718fb0bc9c0ed41cadc37034b3a232328.jpg
44,0,251673067200,9199431,谭哥灬,6,保密,99个评论？,2025-01-06 11:13:35,0,1,杂食型up主，什么都做，兴趣使然,未知,否,https://i0.hdslb.com/bfs/face/5d9749458da2840bea5d4a0ad1b1691a5a4d623e.jpg
45,0,251653049264,553521441,c1a12,5,保密,当年藤子自己其实也有好游戏可惜就是当年普遍配置不高，战争之王和codol我都挺喜欢的可惜不给资源一直就半死不活到死。藤子有qq微信捧什么火什么，我那些同学以前叫打csgo一个个晕3d打不了fps现在一个个瓦罗兰特打的飞起[笑哭],2025-01-06 06:43:32,0,0,,未知,否,https://i0.hdslb.com/bfs/face/f5c54f9ee2e89b5654bfb92b21e8d7bd970feda6.jpg
46,0,251112945889,94554085,女王侯美丽,5,女,"大如腾讯，
但走过的弯路也是万万千，倒闭的作品千千万
最主要点就是能重新站起来，不再踩坑才有今天之大，
其实做人何不是如此，走点弯路无可厚非",2025-01-06 05:24:31,0,0,LGBT群体，Transgender，跨性别者，出生地中国山西。,未知,否,https://i1.hdslb.com/bfs/face/45d89271fab4ae2712e2f65bf014f7659ba05a3c.jpg
47,0,251556623728,21648822,洋葱加草莓,5,保密,用薪创造快乐。,2025-01-05 04:29:33,0,0,,未知,是,https://i0.hdslb.com/bfs/face/e40ae00317512ab842d00b05496b1929340f8e69.jpg
48,0,251014706657,1796158394,一级计算机考试,5,男,凉心,2025-01-05 02:08:14,0,0,小动物爱好者，FPS苦手,未知,否,https://i2.hdslb.com/bfs/face/ca9db94899161167c302457ab7d1ee0c428cb6e9.jpg
49,0,251010838545,104631057,爱作死的元首,6,保密,我的评价是琳琅天上还是死了好，成为记忆中的那个琳琅天上，现在这个无非是拿琳琅的皮来赚情怀钱,2025-01-05 00:55:00,1,3,咸鱼,未知,否,https://i0.hdslb.com/bfs/face/b9e856d26b675ed7347b5939e89747636b963e0a.jpg
50,0,250976798961,38077565,加大力度OvO,6,男,也就现在的人吹了，当年张口闭口淫狼的[笑哭][笑哭][笑哭],2025-01-04 12:50:48,2,1,,未知,否,http://i2.hdslb.com/bfs/face/52bc874e4dbd21a3e14b10c9a6a670a7fcb8855a.jpg
51,0,250830218193,174897888,天涯丶羽凌云,4,保密,物是人非,2025-01-02 16:18:42,0,1,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
52,0,251326896288,3546819042740509,bili_35342469795,3,保密,鲸彩工作室也很良心,2025-01-02 11:11:38,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
53,0,250737214241,13464278,渣客鼠,6,男,良心谈不上，但比不上天美会O钱就是了。我接触第一个琳琅天上游戏是逆战，我记得那时的蛇年套没大几千下不来，12年那会，我是完全没氪的欲望。但那时氪金的都是真正的大哥[doge]而不氪金的至少还是有条活路的。,2025-01-01 14:01:12,4,5,,未知,否,http://i2.hdslb.com/bfs/face/9d23b00c4f0856b036e97183368452a8422138e2.jpg
54,0,251221624000,94407210,把思雪还给我,5,保密,一个三角洲行动，琳琅天上什么样深有体会。不被打散，留着混工资吗？,2025-01-01 07:30:49,0,0,本人小说《安世之曲》起点读书首发多平台同步章节发布，微信公众号：且听龙吟。「平民日记亅游戏鉴赏视频及个人主观观点为主的文章持续在微博上更新。,未知,是,https://i0.hdslb.com/bfs/face/f298e496f4d5c875120bc4b8ce4a8502e98fcba4.jpg
55,0,250617483153,3537125142169992,蘿素,4,保密,得了吧，玲琅天上从头到尾都没消失过，天美和琳琅就是姚晓光工作室的两套皮，披上哪张干哪种事，什么“曾经的琳琅不是现在的琳琅”，它从头到尾都没变过，是你把以前的想的太好了,2024-12-31 08:26:17,1,4,明哲保身，褒义贬义的让别人说去吧,未知,否,https://i0.hdslb.com/bfs/face/9b7d8e0845c238c7957b70ed98fd3cf858db6e8d.jpg
56,0,250616934673,18566650,心碎片地,6,男,"三角洲行动在开服前的一段时间，各种预热直播活动，还拿琳琅天上出来说事儿，我就知道这游戏肯定是没活儿了，才会拿着所谓的琳琅天上原班人马当招牌。
不过开服之后我也确实玩儿了。主要是想看看腾讯开发的战地是个什么样子。
我不喜欢类塔克夫的摸金撤离模式，我只打大战场，但是我一两个月没上线了，碰都不想碰。优点就是服务器稳定，挂比战地少，也不会做出什么艰难决定。缺点就是战地走过的老路，他还重新走一遍。并且给我的感觉策划更侧重于优化更新摸金撤离模式，大战场只是一个附加品而已[笑哭]",2024-12-31 08:17:50,0,7,小ikun又来偷窥我空间是吧,未知,否,https://i1.hdslb.com/bfs/face/5c3cbff5274cd50f540acf12c6a733b7a67d18e3.jpg
57,0,250613094273,1823307577,沧熙泱黎,4,保密,"腾讯最难看的是吃相，优秀的地方是别人有什么他就能复制什么。
但腾讯的面试我过不去[笑哭]。",2024-12-31 07:17:58,7,13,啊对对对，q:1140330571,未知,是,https://i1.hdslb.com/bfs/face/8f7d8f7c80255105e845477a6128e02929716e3c.jpg
75,0,251120742032,8558639,故弄嫌虚是外行,6,男,讲道理，逆战早期很好玩的。可惜他是腾讯的,2024-12-31 05:54:49,1,4,,未知,否,http://i2.hdslb.com/bfs/face/652f1ceca635b1d9101ed8411f75edc7a46aa8d1.jpg
76,0,251112508448,21128511,支漓夏,6,保密,琳琅天上就算回归也不会是以前的那个琳琅天上了,2024-12-31 04:13:13,0,3,,未知,是,http://i0.hdslb.com/bfs/face/2b9f18251365359c47415193ab8979f7dcf10c56.jpg
77,0,251108553344,30317610,恐虐是个LAN郝仁,6,保密,突破玲琅，自己上天[doge],2024-12-31 03:21:49,0,2,放下个人素质，享受缺德人生，拒绝精神内耗，有事直接发疯，与其委屈自己，不如为难别人。,未知,否,https://i0.hdslb.com/bfs/face/d758189d394e9a473c01155ef18a98a92faa7ecb.jpg
78,0,250589687521,110724297,时不の知归,6,女,全是因为名字改的早,2024-12-31 01:18:46,0,1,,未知,否,http://i2.hdslb.com/bfs/face/3d5f22830dfdb206583ba9cad564583e56cd3e30.jpg
79,0,251097705024,544605,东方.天依蓝_,6,女,逆战之前还有个战地之王AVA吧,2024-12-30 23:52:07,0,2,,未知,否,https://i0.hdslb.com/bfs/face/84c1448686f3f9aad991a8721e1baaed36f88933.jpg
80,0,251097572480,544605,东方.天依蓝_,6,女,啊？炫舞原来是08年的啊…太久了都记混了,2024-12-30 23:48:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/84c1448686f3f9aad991a8721e1baaed36f88933.jpg
81,0,250582731585,284884477,喵生导师三号楼,6,保密,琳琅天上好？好个鸡毛好啊，我11年飞车冲两千多块钱别说永久s车，连永久a车都没有，还好呢？,2024-12-30 20:10:40,6,4,猫德教育是封建冻干！是伪猫粮！应猫猫得而猪猪！​,未知,否,https://i1.hdslb.com/bfs/face/a82a402f974c77907a55c4a8625e50eed38b406c.jpg
82,0,251059508672,5558109,雅冰寒羽,6,男,枪神纪什么时候转生出手游吧[吃瓜],2024-12-30 11:24:02,0,0,,未知,否,https://i0.hdslb.com/bfs/face/5723224eee710eb8c0f39547b7fd821ab57fe461.jpg
83,0,251059475104,11574823,゚゚御坂美琴゚゚゚,6,保密,现在的琳琅天上不就是光子和天美套的皮么,2024-12-30 11:22:48,5,29,,未知,是,https://i1.hdslb.com/bfs/face/1ce38282d0691db52d8aea21abed219858af9a0d.jpg
