序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261147683297,436416877,清樽独醉啊,6,男,我吃剩饭的时候喜欢顺便看一眼狗牌的击杀时间,2025-05-05 08:44:04,0,0,,未知,是,https://i1.hdslb.com/bfs/face/925056b23cce52797a04371ea7225027f4530216.jpg
2,0,262073389952,88761721,Yamai_Yuzuru_,6,女,哎呦喂，您普通话蛮地道啊[大笑][大笑][大笑],2025-05-05 05:39:15,0,0,什么都想学，什么都不想做！以后能当个作家就再好不过了，嗯…就坚持到命中注定的一天吧…（人生只要躺着就很幸福啦…）,未知,是,https://i1.hdslb.com/bfs/face/7f62850ed7faae5fa40ca7e5e05e15e29e76bb38.jpg
3,0,262040520032,3546566474337133,05r欧陆风云,4,保密,"看到一半才发现是咕咕
我说声音怎么这么耳熟",2025-05-04 17:53:42,0,0,,未知,否,https://i1.hdslb.com/bfs/face/8e0eb0f0edececace49a40670ce74262e9f819f5.jpg
4,0,261012519329,434529888,奕梦あ,6,男,完了，昨天一模一样的位置，一模一样的三个静步哥,2025-05-03 17:47:08,0,0,感谢京阿尼,未知,否,https://i0.hdslb.com/bfs/face/3a99cde34b1ba522b8cc2a9f57b538b9cf50824d.jpg
5,0,261878643520,41694844,魔法少女上条当麻,6,保密,啊？你是之前的离骚吗？怎么声音变这么多了！注意休息哇,2025-05-03 02:57:35,0,0,ⓘ 该账号封禁中,未知,否,https://i1.hdslb.com/bfs/face/e53626ceccaba2570e59a313763f4ce036eff377.jpg
6,0,261852151584,50969328,DUST2-P90-RUSHB,6,男,甘   文   崔,2025-05-02 15:48:59,0,0,我是一个木得感情的人,未知,是,http://i0.hdslb.com/bfs/face/eac6073cc857ca5cee08721f3f3c1686b87f1ad9.jpg
7,0,261589937664,25394145,难觅蔷薇,6,男,@自律的gh3 @黎v歌,2025-04-29 14:04:22,0,1,混子一个,未知,否,http://i0.hdslb.com/bfs/face/07e9da71d312fbd049487c82696fb6b8c262df04.jpg
8,0,261426341120,356408,斯芭拉希,6,保密,@AI识片酱,2025-04-27 12:42:56,0,0,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
9,0,261392028384,3906147,美味的兔兔卷儿,6,男,我只能说……这种游戏，组队的就应该只和组队的匹配。独狼玩家真的劝退，打的苟就被说老6 鼠鼠……艹，你一人满配强攻拼掉一个躲房间里俩人扔雷过来抓你你就再也不想单人满配玩了。开心老6收垃圾吃剩饭挺好,2025-04-27 04:19:05,0,1,在这个世界里……两个癫癫的人走到一起，真不容易啊……嘿,未知,是,https://i0.hdslb.com/bfs/face/1af6e915bea67b58702952149207f0dc4acc26f5.jpg
10,0,260449931825,489701164,wd满穗,5,保密,@渡渡鳥饲养员,2025-04-26 17:09:45,0,1,ray满穗随缘出，不定期更新了,未知,是,https://i1.hdslb.com/bfs/face/e53969d7487032e350726b6af8c0383d2f90a294.jpg
11,0,261130017168,177348642,秋琪恋,5,保密,（＾ｖ＾）,2025-04-23 20:33:09,0,0,游戏误代入现实，游戏我想干啥就干啥。先骂个狗晨助助兴！,未知,是,https://i0.hdslb.com/bfs/face/222ef0f231e45571afa155d31b91d566a209bee1.jpg
12,0,260183124385,211144193,bili_211144193,5,男,卸载，没队友，野队又是坑人的，你救他，他不救你，抢东西比你还快[藏狐],2025-04-23 09:46:50,0,0,,未知,否,https://i2.hdslb.com/bfs/face/8e90f90eb8c5dee9b52936af449d468a245aebfe.jpg
13,0,260165922497,222373195,逆光微羽,5,保密,第二段那个箫的背景音乐是什么啊？求求🥺🥺,2025-04-23 04:52:25,0,0,,未知,是,http://i1.hdslb.com/bfs/face/a54033e809138cbe46b7a71d0fb1f0f71ddc2953.jpg
14,0,260959759664,1271373513,星空20040,5,保密,@城中一座亭,2025-04-21 14:22:50,0,0,,未知,否,https://i0.hdslb.com/bfs/face/4aaf1759fb179a92c9546200d1e7da7e9963f4cc.jpg
15,0,259836056721,3546735649491582,凌镜lw,3,男,本赛季3*3私信。时间三天，可直播打绝对纯绿，完成其他很单了，走平台，有保障。需要大概1000-2000w哈夫币（一般损耗不大，只是需要准备）,2025-04-19 02:09:44,0,0,"立志要做瑶光沁雪第一也可以是二三四的法神
每天午12-3，晚9-12隔壁某音直播中。b不定时~
游戏名：凌镜",未知,否,https://i0.hdslb.com/bfs/face/12c2fff4d10d770078ea14cb8e3028e8e8fdc760.jpg
16,0,259463254801,479118887,爱学习的齐小梦,4,保密,我也遇到过[脱单doge]不过是两个，都被我贴上C4了同归于尽了[笑哭],2025-04-14 03:17:18,0,0,活在这珍贵的世间，太阳强烈，水波温柔,未知,否,https://i2.hdslb.com/bfs/face/fa055c725a381363b5d74b1011a353400af3a5e6.jpg
17,0,259206676833,385106670,钟吾東汌,6,男,对于只玩大战场的我来说，这模式我连碰都没碰过。[笑哭],2025-04-11 00:23:56,0,0,,未知,是,https://i0.hdslb.com/bfs/face/30ce3296c16234a2be8d45de4336717026170669.jpg
18,0,260055159504,1719178016,小只忧,5,保密,体验服id184596544986519600158的出生恶意不救人是吧，你赔我装备,2025-04-10 15:37:40,0,0,,未知,否,https://i2.hdslb.com/bfs/face/35a8a5ba03c362523e124d57f9286420d06fbc18.jpg
19,0,260011273360,651282903,叶茗是茶,4,男,哈萨拉盾兵[狐妖_不明嚼栗],2025-04-10 05:30:59,0,0,我这个阴晴不定的头像啊………………………?,未知,是,https://i0.hdslb.com/bfs/face/2cd4a5da16ab4769f49be7139f97d4966b50c2c2.jpg
