序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,248673942336,180969305,宇宙服唐怀瑟,6,男,沙漠bgm,2024-12-02 17:10:40,0,1,开心快乐每一天！,未知,是,https://i2.hdslb.com/bfs/face/2093b9557fcc0ceff1c640dc543f580190f7b998.jpg
2,0,248331188368,3493090935442134,让我康康你的操作,4,男,可是这关三角洲什么事？,2024-11-28 22:27:02,0,0,,未知,否,https://i0.hdslb.com/bfs/face/7b2dca2318aa302ed2e5e1011d7b0637ccf901f6.jpg
3,0,247960700833,669912780,某隔壁小王,5,保密,实际上蒸制的温度应该是较为稳定的  对火候并不敏感，只需要计算时间就好。 烤制才对火候敏感，需要时时刻刻看着,2024-11-28 21:24:20,1,4,大家好我是某隔壁小王,未知,否,https://i0.hdslb.com/bfs/face/10016469562aba142e53ab161dc20b469d6b7884.jpg
4,0,248330275392,1453233,好人卡槽,6,男,就冲这个bgm，点个踩个举报不过分吧？,2024-11-28 21:04:47,0,1,"不要关注！
不要关注！
不要关注！",未知,是,http://i0.hdslb.com/bfs/face/db1535d01653f510ef0e26d9c527c51eda136fc7.jpg
5,0,247960373473,478188,受小兔,6,保密,[来古-疑问]吸几口烟就能改变味道了？,2024-11-28 21:04:30,0,0,求关注喵0w 0  谢谢喵~,未知,是,https://i0.hdslb.com/bfs/face/744438de822097e474090ced6066a65621993b7a.jpg
6,0,247960560209,382123457,顾及白,5,男,没绷住，科幻片？先不说为什么最后闻个烟味就能比其他人同样手法做的好吃，就这祖宗这么多年传下来的短命法子竟然没有一代人想着为了长寿为了子孙健康不干这活的？你哪怕多生几个孩子让他们去做其他工作都能避免啊。而且干了这么多代，钱又没挣多少，命还提前搭进去不少，名气也没干多大，编剧没活了,2024-11-28 21:03:23,0,0,亵渎圣剑梦男，一战技劈死一个米凯拉的卫兵,未知,否,https://i2.hdslb.com/bfs/face/3d1a61cf10a841eefe8fa2947bb087220d7339fb.jpg
7,0,248330207712,11099533,CGT橘子,6,保密,强行编，强行上价值，莫名其妙,2024-11-28 20:56:56,0,1,这签名写的不错,未知,否,https://i1.hdslb.com/bfs/face/af07eefbfbc3f23de5f00fd493d0644ad7d43467.jpg
8,0,247959119425,7076197,小蕊的皮皮璃,6,保密,闻烟也不至于死那么早呀....再说你不教怎么知道怎么闻...天天抽烟的也没见每个都死的早,2024-11-28 19:35:55,1,0,,未知,是,http://i0.hdslb.com/bfs/face/53e123709fa4dfb949e4020e71effca1335198e8.jpg
9,0,247959157521,7076197,小蕊的皮皮璃,6,保密,"额,没意思,加个摄像头啥都知道了",2024-11-28 19:31:28,0,0,,未知,是,http://i0.hdslb.com/bfs/face/53e123709fa4dfb949e4020e71effca1335198e8.jpg
10,0,247959216529,1650679,無馱無馱無馱,6,男,为什么直接闻  扇扇不行吗,2024-11-28 19:25:51,0,0,喜欢用他人个人主页攻击人的小朋友你们好，我是你爸爸,未知,是,https://i1.hdslb.com/bfs/face/a76afe1411258ad2b3f223c6a607be6991036386.jpg
