序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,259097813440,439081024,Juile_a,4,保密,什么时候可以适配iPad pro2020的120帧,2025-03-30 11:02:54,0,1,,未知,否,https://i1.hdslb.com/bfs/face/dd1f722b348988df5453a3f2a3efe67aee8aab22.jpg
2,0,257938745280,3546382436665845,夏天的风吹到最后一页,4,保密,扫墓,2025-03-16 11:28:07,0,0,,未知,否,https://i0.hdslb.com/bfs/face/ce718a17d293ac1c3cfbc831b54de0ec83fc3b54.jpg
3,0,255973253521,483830091,网名太难取了10086号,5,保密,搞个爆破模式,2025-03-01 17:02:46,0,0,,未知,是,https://i0.hdslb.com/bfs/face/a90d49c4c5dd4cd7fa18091901d7853633213ebf.jpg
4,0,254373089425,97747074,見崎零,6,保密,再多出几张烽火地图吧，这些地图都玩腻了，做一张很大的地图,2025-02-11 07:07:17,0,0,,未知,否,http://i0.hdslb.com/bfs/face/7fa828f461cd18997f8193e8645971b8f8d10c78.jpg
5,0,254744731328,524588904,晕血兽医,5,保密,起猛了，看见S1mple开坦克了[哦呼],2025-02-08 04:22:20,0,2,吃一堑，饱一顿,未知,否,https://i0.hdslb.com/bfs/face/c41075f6c0300650f6e9e88f44675bfa004397c1.jpg
6,0,254637511872,1629050432,炙千,5,保密,这名字,2025-02-07 02:46:59,0,1,敬不完美的明天,未知,否,https://i2.hdslb.com/bfs/face/432055a535c4f4002b7b21a2ab0c78fa098239a8.jpg
7,0,254502963328,359584732,程静姝和付苏,5,女,艾特官方黑鹰坠落模式什么时候上？⊙_⊙,2025-02-05 13:47:07,0,0,仰望星空的人，不该被嘲笑。,未知,否,https://i1.hdslb.com/bfs/face/3b77109d845b6bfb6ce412fff1231d82c69135c8.jpg
8,0,252920647121,3546774966896864,双那,2,保密,能不能上线新模式,2025-01-26 12:15:14,0,0,,未知,否,https://i2.hdslb.com/bfs/face/e657fd69931c6c2d249e1b8f5bf0677ee05316f5.jpg
9,0,252828643073,509730263,步驭频yearcs,5,保密,快出AN94!,2025-01-25 12:46:03,0,0,,未知,否,https://i2.hdslb.com/bfs/face/cd7cec19117d97cf5e2d63bfa6bcf5766162c127.jpg
10,0,253217227200,3546840054106716,虚拟鱼24889,2,保密,客服不回消息 号没借过别人一觉起来账号被洗干净了怎么说客服都不回一晚上被洗130m一直都是在家里玩手机号莫名其妙给我洗了我努力了半辈子要是就这么给洗了我是真不想玩三角洲了,2025-01-23 07:35:00,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
11,0,252632734576,3493091577170523,有点硬核的阿涵,5,男,改,2025-01-17 08:41:31,0,0,未成年搞事情专家 祝大家新年快乐,未知,否,https://i0.hdslb.com/bfs/face/6a991a95f83fd7acc64ff064b63e90706c74871b.jpg
12,0,251505769521,3493116742994064,三孔椰子_,4,保密,有一次长弓溪谷看见两个不同阵营的人机互殴，以为都是真人，发现他们只是人机后感觉非常惊喜,2025-01-11 01:35:48,0,0,,未知,否,https://i0.hdslb.com/bfs/face/f326f847bb5b16238830bf5c870aea0b7428705a.jpg
13,0,251437641361,3546793553955393,牛蛙鱼Tra,5,保密,出一个回放呗，方便录视频素材,2025-01-10 05:13:37,0,0,大家好 我是牛蛙鱼Tra喜欢打游戏也喜欢整活搞抽象！感谢支持和关注！游戏画面/笑话投稿邮箱：NiuwaFishTra@qq.com,未知,否,https://i0.hdslb.com/bfs/face/4e4974905f1535eb26f8b2a7b28e8a67371c6677.jpg
14,0,251264275185,1914497393,芜湖魐,5,保密,[星星眼],2025-01-08 02:56:47,0,0,,未知,否,https://i2.hdslb.com/bfs/face/802712aa34ecbacc96ab68b9988ae20cbf04652b.webp
15,0,250967040241,384656196,上杉绘梨猫,6,男,战斗机啥时候出[吃瓜],2025-01-04 10:56:06,0,0,开心是最重要的,未知,否,https://i0.hdslb.com/bfs/face/90e3233f782b027188271f2ac5e0944c6ef7c38a.jpg
