序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262185980544,37431508,宝宝金水晶,6,男,这枪是不是捡来的？弹道偏左？,2025-05-06 13:27:03,0,0,愿肺炎早结束,未知,是,https://i1.hdslb.com/bfs/face/cf1ef9c2045e317dfe6dbe8659b6f7a69c7572d5.jpg
2,0,262157400544,122949106,安东尤丁采夫official,6,保密,50÷550=0.0909......s。算不开镜移速3.8m/s。半头宽0.1m。移动0.342米，还真是投石机的锅。,2025-05-06 06:24:07,0,0,"这里不是Gaijin Entertainment所属的老总安东尤丁采夫。
粉丝群：1145141919（大嘘）",未知,否,http://i1.hdslb.com/bfs/face/77ec69c981ca69c5e288015fd5c14520beecfe83.jpg
3,0,262156235312,122949106,安东尤丁采夫official,6,保密,电脑里有一款狙的弹速不到600m/s的游戏，我就纳闷了，普通枪管都600mm弹速怎么只有550m/s的。,2025-05-06 06:04:16,0,0,"这里不是Gaijin Entertainment所属的老总安东尤丁采夫。
粉丝群：1145141919（大嘘）",未知,否,http://i1.hdslb.com/bfs/face/77ec69c981ca69c5e288015fd5c14520beecfe83.jpg
4,0,261987847328,16528948,゚宝贝,6,男,一点枪口初速度没有打集贸狙,2025-05-04 07:07:22,0,0,他们都是我的姊妹兄弟,未知,否,https://i1.hdslb.com/bfs/face/d50231c0175e1d0cc19536f5320b1ab3b8c04426.jpg
5,0,261894891808,695841610,荒芜拉普兰德-official,5,男,m700一枪头有时候死不了，我悠闲架坝顶狙的时候用sr25，还不错还没声，听说svd更强,2025-05-03 06:20:48,0,0,"    可以算是个小号吧，原来的五级弄丢了…
    十年之内回不了老家了，现在尝到背井离乡的感觉了，以前下雪天搁被窝里缩着真的舒服
",未知,否,https://i1.hdslb.com/bfs/face/908a25bc2916792e6bcbcf9ea4e1dadebe651071.jpg
6,0,261893884256,2103841900,又起星鱼哩,5,保密,可…可恶居然是替身吗？[惊讶],2025-05-03 06:08:34,0,1,我们都在用力的活着~,未知,否,https://i1.hdslb.com/bfs/face/eb04e8ae1618dc589a69bc4a829673bfde670bc6.jpg
7,0,260925625409,8919667,丨庄尼玛丨,6,男,"【这波还真不怪槟榔地下-哔哩哔哩】 https://b23.tv/pYmYTzH
R93这个抛石机谁用谁知道",2025-05-02 17:46:56,0,0,这个人帅死了，什么都没有写(´・_・｀),未知,否,https://i1.hdslb.com/bfs/face/4e21fdd95692d944cad44a0d8844287aaa6de0ea.jpg
8,0,261859247760,486573800,DrWangLuLu,5,保密,飞升时候20米不到M14、乌鸡蛋两枪头没打死小兵，不知道子弹卡哪里去了，我不信我这么菜，他站着不动我单点还能打歪[疑惑],2025-05-02 17:39:59,0,0,,未知,否,http://i2.hdslb.com/bfs/face/40f97ac552b2c97c87c17d233cf7494e2d53a1f1.jpg
9,0,261783657840,347324909,肥宅rider,5,男,给我这个19世纪猎魔人手上的尖头弹莫辛纳甘看笑了[脱单doge],2025-05-02 01:09:55,0,1,一个无聊的家里蹲,未知,否,http://i2.hdslb.com/bfs/face/277af8d1315491d9c2ac3230502632df2401e813.jpg
10,0,260843761041,372783597,孤独的瓶盖er,5,男,离谱的是这弹速放步枪里都快垫底了,2025-05-01 19:43:35,0,0,,未知,是,https://i0.hdslb.com/bfs/face/9af8f065b3038e7053977d6225ee773a912c7405.jpg
