序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,261143990705,89265958,悄悄问L,6,男,集合手势跟随，停止手势加敬礼代表解散、自由行动如何,2025-05-05 07:53:46,0,0,,未知,否,https://i1.hdslb.com/bfs/face/8da6f5ea08e183880d2b0be6dcb048d2439fc08f.jpg,Neutral
2,0,261852934720,119561816,Tarm墨璃,6,男,昨天开局出了火箭燃料，但是不好意思卖了野排队友，就和他们接着打，然后死了[笑哭],2025-05-02 15:58:18,0,0,玄不救非，氪不改命,未知,否,http://i2.hdslb.com/bfs/face/a11d7bc79ba41a9d2d18fa016fd1df1a6d29ed26.jpg,Regret
3,0,261851254416,9136921,挽袖倾枫,6,男,如果是我的话  什么都不拿  并且他燃料放地上[doge],2025-05-02 15:37:12,0,0,（ '▿ ' ）,未知,是,https://i1.hdslb.com/bfs/face/601d62a9c809b83994bff142e9b3f585e5d1a538.jpg,Neutral
4,0,261845558080,2137356439,惜氲,5,男,今天单三跑刀机密航天同样位置摸到一个动力电池，可惜清图队拿完砖后一直等拉个极限闸，我玩的威龙没法混闸对暗号也不理我，最后我只能走丢包了[大哭][大哭][大哭],2025-05-02 14:34:20,0,0,,未知,否,https://i1.hdslb.com/bfs/face/ec64bb75fbabcff08ff02e4d5813a436d126a44b.jpg,Sadness
5,0,260878926177,174017890,乔巴的影分身,6,保密,被骇爪扫的人有什么提示嘛？,2025-05-02 07:27:46,0,0,,未知,否,http://i1.hdslb.com/bfs/face/325a5ed035d8ea9b566510302883f71e2e321e1d.jpg,Expectation
6,0,261680315232,1351729931,MulinRufeng,5,男,今天晚上机密团队清图了拉闸撤的，遇到一个打暗号的鼠鼠，然后丢了点东西给他。结果鼠鼠让我们跟着他，然后送了我们一把滑膛枪，非常的开心。非常好的鼠鼠。,2025-04-30 15:53:19,0,1,瓦区的小小保安,未知,是,https://i2.hdslb.com/bfs/face/b07a94c013b536beb7a892841b1307106254e618.jpg,Joy
7,0,261341492400,3546734716258747,长安思瑶落雨,2,保密,手游一帮超雄小学生，听见枪声就打架，抢包，不懂暗号，可多都是我撤不了你也别想撤,2025-04-26 11:36:06,0,0,,未知,否,https://i1.hdslb.com/bfs/face/b50c152071eb2ec2768126c7df87b95513e95c6c.jpg,Disgust
8,0,260295764977,403202689,AnchovyDuce,6,女,鼠鼠只是想吃东西然后撤离，如果你回了鼠鼠的暗号他们会很高兴，会把自己觉得值钱的东西分享给你，有可能是大金，碰到友好鼠还有可能是红，当然有的鼠鼠爆率不高，可能只会给一些紫，但这是鼠鼠觉得最好的东西，请善待鼠鼠。另外一种是食人鼠，它们一般会拿一些改后价格不高的腰射墙躲在各种地方，墙角，箱子后，门口等等，它们的目的是想以小博大，但只敢用肉弹足疗，并且有的食人鼠会伪装成鼠鼠，通过打暗号来吸引人过来，随后夺舍，造成人们分不清鼠鼠和食人鼠的区别，如果您发现食人鼠，为了您自己的安全，请立刻击杀,2025-04-24 22:36:18,0,1,,未知,否,https://i1.hdslb.com/bfs/face/cd24470b751c16340a2bb5c45691829419bf69ec.jpg,Expectation
9,0,260922643824,188607335,Jdez黎,5,男,新手鼠鼠有没有一起玩的，我可以送你epzg10[脸红],2025-04-21 06:15:49,2,2,凡是过往皆是序章 所有未来皆有可盼,未知,否,https://i2.hdslb.com/bfs/face/61b1d3e8c247690d6e7674f8393052d3b8d03ff8.jpg,Love
10,0,260195314816,1607757806,一只小喵_喵喵,5,女,我问我的穆德兰说，不是，你带这个枪太鸡肋了。带上这把AWM去打A点的胜率会更高[doge],2025-04-12 09:46:57,0,0,爱玩，爱学,未知,否,https://i2.hdslb.com/bfs/face/f1317d88c91a3b3514bc3e8d4c0c7d8c47ad16b0.jpg,Neutral
11,0,259266943169,30744992,Saturn_丶,6,男,@凉枫Na@李式夫@sh12uku@北陌M0,2025-04-11 14:55:42,0,0,不想说也不愿说什么,未知,是,https://i2.hdslb.com/bfs/face/55941d5874a5d2e8534d7512d7cf7caa32c15e17.jpg,Neutral
12,0,259189204353,522597280,异界人偶,5,男,前几天和朋友打机密航天，在锅炉房楼梯底下看到一个趴着的鼠鼠，及时收枪没打，因为实力都不行，大家就交换了一些小紫，然后带着这个鼠鼠一起丢包撤离了,2025-04-10 15:09:29,0,1,,未知,是,http://i1.hdslb.com/bfs/face/1f454707c5cdff54663725b62de1570e6d96756c.jpg,Joy
13,0,260024450928,106834713,做梦的星辰,5,男,昨天也碰到个好人送了我一桶油还带着我撤了[打call][打call][打call],2025-04-10 09:14:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/7be3f72228c80908fc09986bad88e598119769b9.jpg,Joy
14,0,259093367873,3537119964301759,宇宙皓瀚,4,保密,立志走遍每个视频,2025-04-09 11:24:59,0,0,你好，陌生人……立志走遍每个视频,未知,否,https://i1.hdslb.com/bfs/face/d1bd3bc733974f499c7274aa07a88ed057b8b149.jpg,Expectation
15,0,259857556800,2065096816,这名字苟都不曲,4,保密,怪不得总部要送我一桶油[doge],2025-04-08 07:41:42,2,5,,未知,是,https://i1.hdslb.com/bfs/face/eb4f5d108f81eae6e766cab78ceb05850efbef23.jpg,Joy
16,0,259388725424,3537125217667438,玉米水饺来一袋,4,男,因果是什么意思,2025-04-02 20:11:58,0,0,,未知,是,https://i1.hdslb.com/bfs/face/78ddbf1389ce6bc8b5460580bc758bcbe4a8b735.jpg,Neutral
17,0,258496601681,507646894,虚怀寄怀-洛,5,男,摸了一下午，出了两桶火箭燃料，全都没带出来,2025-04-02 06:43:51,0,1,我们都变了……,未知,是,https://i1.hdslb.com/bfs/face/e5b842717bf0ff026bcbd9feac7f6e381c3d5319.jpg,Regret
18,0,258288839393,506405870,鼠鼠队庸医,5,保密,看完暖鼠鼠一天[给心心],2025-03-30 14:38:34,0,0,不希望被打扰的普通人,未知,是,https://i2.hdslb.com/bfs/face/88ffa0ef7e8516f4d68b281c1acec76a09b641b0.jpg,Love
19,0,258185952929,1127148980,黍歌拌粉,5,男,有什么头绪吗？,2025-03-29 11:42:13,0,0,ᐡ•͈ ·̭ •͈ᐡ,未知,否,https://i2.hdslb.com/bfs/face/25fa48076d439aaef7f40fc5656f6a8e74b6619f.jpg,Expectation
20,0,258177047617,3494371173337694,谜之守卫,5,保密,手机端的我就碰不到这好事 全是护航和战斗爽 绷不住了,2025-03-29 09:57:38,0,0,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg,Regret
25,0,258896633584,3546568422591128,AAA终焉之地门票批发,3,男,我听到了【因果】的回响,2025-03-28 06:34:44,0,0,,未知,否,https://i2.hdslb.com/bfs/face/62534c010f511df3d7ab186bb141b44192acd58a.jpg,Expectation
26,0,257984965857,1328068184,落晨雨梦02,5,保密,这个视频真好，游戏出了再多的优化，可能都没有这个视频的效果好，我觉得这两个视频可以说是把三角洲玩家的善意拔高的不知道多少个等级，真的谢谢阿婆主愿意把这两期视频剪出来,2025-03-27 03:20:18,0,2,叫咱雨梦就好啦~昨晚~今晚~明晚~都要做个好梦~,未知,否,https://i2.hdslb.com/bfs/face/9f190bbe4470c0bd00e23565edec03e5b7dd0f09.jpg,Love
27,0,257738634705,4388679,柳丿常山,6,保密,前几天和固排打绝巴，爆率并不高，仨人姑且没亏钱去浴场撤离点。队里麦晓雯扫出来一个人，不确定是鼠鼠还是三人队没扫全。我把大盾展开了顶在前面，进去撤离点猛然看到皮卡车斗里趴着一个板寸蜂医。我爬上车看着他，他也不再蹲着，起来看着我，但他没有做出任何攻击行为。最后时间到了我们一起撤了，没有任何暗号，没有任何上供。但感觉挺开心的。,2025-03-23 23:10:39,0,0,b站能不能别一天到晚唐突地推一些政治社会的玩意儿给我？哥们儿活得很凡俗，没心思管那些个事儿。,未知,是,https://i0.hdslb.com/bfs/face/439f69bbda2266ac39fa16fa54a5115dd92da132.jpg,Joy
