序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,261250705169,446637579,大黑蘑菇,5,保密,这个赛季除了失去联系，其他都很简单呀，这狗屎的失去联系，让我卡了40多把而已，其他基本一把过,2025-05-06 14:47:58,0,1,,未知,否,https://i0.hdslb.com/bfs/face/4add3acfc930fcd07d06ea5e10a3a377314141c2.jpg,Anger
2,0,261216662321,516048657,龙蒂,5,男,有人接吗[doge],2025-05-06 06:32:13,0,0,,未知,否,http://i0.hdslb.com/bfs/face/5d7c13fb6996ae4857534cd151fdead4e7b5c9b6.jpg,Expectation
3,0,262147375216,442912527,古月萧诧,5,保密,终夜一把过[doge],2025-05-06 03:58:23,0,0,喜欢玩游戏,未知,是,https://i0.hdslb.com/bfs/face/3c69d4479fc41308ed1a3671ba53ba59dbcd9fa0.jpg,Joy
4,0,262145946672,1238532243,10年acg老兵,4,保密,最私募的还是狙击精英热成像爆头，8倍热成像是没用的😅长夜爆头狙了两个，距离够，也是爆头杀，不跳任务进度，纯私募,2025-05-06 03:36:22,0,0,别查了，哥们11年就在单机圈混着了，你资历比我高再说，最看不起的就是带鄙视链的“玩家”,未知,否,https://i0.hdslb.com/bfs/face/5f5dbf7574bff527f75e738ba6ebaf78bc91d359.jpg,Neutral
5,0,261159571409,1893777350,仅仅是个萌新,5,保密,@三角洲行动 咱说能不能改改这个破任务[腾讯招聘_流汗],2025-05-05 11:16:43,0,0,,未知,否,https://i2.hdslb.com/bfs/face/e630af5e79a6ac5556503e09e1ba85ce8914e2f4.jpg,Disgust
6,0,261130799169,244308173,兴奋の大马猴,5,保密,我觉得单纯就是觉得夜图没啥人玩才这么逼着你,2025-05-05 04:59:36,0,1,我将代表扎兰屯冲锋！！！！,未知,否,https://i2.hdslb.com/bfs/face/f7629ba934b9cc520cf9833b95afb71ca797516a.jpg,Disgust
7,0,262053622992,524294125,屑鸟神-玩了四年轮椅,5,男,"这个任务后期又没人抢好做的很，失去联系才是真的活全家
把把不刷砖能怎么办",2025-05-05 01:34:26,0,0,希望大家可以友好相处,未知,否,https://i1.hdslb.com/bfs/face/a3f3155d5cb3dfe54d04ac08b37beb906a3c3791.jpg,Disgust
8,0,262038750912,25337400,狂轰乱炸,6,男,"这任务跟失去联系比？
我S4到现在了206把，就见过一次砖[藏狐]",2025-05-04 17:17:38,1,0,我是社恐,未知,否,https://i0.hdslb.com/bfs/face/761fbcb725f0badfe31f331d2bb19e8d137cdb49.jpg,Neutral
9,0,262031500352,3546816075271016,Sky--小叶,3,保密,不是高手接完第三把就过了。,2025-05-04 15:36:15,1,0,,未知,否,https://i2.hdslb.com/bfs/face/b560ac400424e425b9a6068af323c6faf85d6263.jpg,Disgust
10,0,261090051889,397370385,福琳沅珊い,5,男,"中坚五十
蓄水池四十五
纯绿直播打 半天内结单
需要的板板可以d我",2025-05-04 14:56:57,0,0,"“游戏的笑声和开心能带进生活就好了""

不是炸鱼/常年混迹黄铜白银局",未知,否,https://i0.hdslb.com/bfs/face/c9d91b189813af32fb993e3212a9d9052ef5b1d4.jpg,Neutral
11,0,262017221632,433709225,清岸Cerc,5,男,勾日的风衣似全加了,2025-05-04 13:04:18,0,0,,未知,否,https://i2.hdslb.com/bfs/face/1b54ea3b68d594d518c4f90367a128e643ebd175.jpg,Disgust
12,0,261974836448,3493272823531633,亦赖,4,保密,最后一段bgm是什么,2025-05-04 04:23:23,0,0,awa,未知,否,https://i1.hdslb.com/bfs/face/ca481a2a0ce40678225a5954f59878d2af4bcfad.jpg,Neutral
13,0,261018575745,31345199,滑姬鸽,6,男,昨天下午也算是把屎吃完了，太难做了，不少任务是纯运气任务,2025-05-03 22:25:55,0,1,不想争辩,未知,是,https://i2.hdslb.com/bfs/face/1b84814f93e2b46e739e21df79da0132e9319363.jpg,Disgust
14,0,261950206320,434778222,芙兰朵露death,6,男,共鸣了,2025-05-03 18:29:48,0,0,在？有没有空?为什么不看看《发条精灵战记 天境的极北之星（天境的阿尔德拉民）》？,未知,是,https://i0.hdslb.com/bfs/face/ce887c220e7125519658932157182529ab9ecd59.jpg,Joy
15,0,261939970496,1918247944,未来可妻耶,5,男,我开九格保险是为了挣钱，但是要我花钱才能得，有点本末倒置了吧[微笑],2025-05-03 15:42:19,0,0,,未知,否,https://i1.hdslb.com/bfs/face/8a2c8ba606b0ebd301239dee1700d96514889890.jpg,Regret
16,0,261937618880,109004734,灬逸宸灬,5,保密,这赛季如果不算最后一个任务我运气算是比较好的了，刚做到两百万撤离就在东楼经理室捡到心，做到失去联系就刷出来砖，标杆先做的折翼后做的飞升，一把过，唯独尖峰时刻卡了我5天,2025-05-03 15:13:19,0,0,,未知,否,http://i1.hdslb.com/bfs/face/f5ae843387c6259f72e745ce07d4477dd11931b9.jpg,Regret
17,0,261905950880,3546890159262540,乖乖259,2,保密,有没有帮忙把段位打上去的代代,2025-05-03 09:03:38,0,0,,未知,否,https://i0.hdslb.com/bfs/face/af1c752ea1578a96c9a89344cc973dc6716552c6.jpg,Expectation
18,0,261898504256,1327425015,超雄700,5,男,不是绝不姑息？,2025-05-03 07:13:57,1,0,还请赛博义子别老是查别人成分，你吧我吃不消,未知,否,https://i0.hdslb.com/bfs/face/a76a4508efd0155d2febabc37582f56d0c8147ea.jpg,Anger
19,0,260949447873,1483465972,纳米孙笑川,4,男,有人撞车吗？,2025-05-03 04:05:57,0,0,,未知,否,https://i1.hdslb.com/bfs/face/53c6bf4043b1781641793c2be0d6f67ea2291913.jpg,Neutral
