序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,260972456960,511014822,梦若江河万古流,4,男,自从玻璃小炮遇到纤维板半个地图才找到一个包后就习惯至少一个12格子包嘞,2025-04-21 17:12:03,0,0,良辰美景奈何天，赏心乐事谁家院,未知,否,https://i0.hdslb.com/bfs/face/2046c1c6191d56f5b60803732b4550eafe08b692.jpg,Neutral
2,0,259386651472,2081688832,屁兴坎公,5,男,吗的我真的要笑死了救命，好久没刷到这种质量的了,2025-04-02 18:28:18,4,9,如果事与愿违，请相信一定另有安排！,未知,是,https://i1.hdslb.com/bfs/face/e8d2df9f5e2e719ccdff573da7128d044bb0cb24.jpg,Joy
3,0,258285950624,512552231,厕所里脱秋裤,5,男,"三角洲大学生纯绿代肝
九格保险    7保100万，20保300万，30保500万，68保1000万
六格保险    8保100万，20保280万，50保700万，75保1000万
四格保险    比例9保100万，90保1000万
两格保险不接
06大学生赚点窝囊生活费 笔记本手搓12小时内打完 立马就能上号  超出不用补",2025-03-20 23:53:10,0,2,,未知,否,https://i2.hdslb.com/bfs/face/a82d4da7c94fe3ae475f63b4b239893252367c74.jpg,Neutral
4,0,257350843761,365264889,梦鬼飞弓,6,男,普坝跑刀没带包，人机包也装不下，就在旁边等别人来拿直接夺舍[脱单doge],2025-03-19 03:36:20,0,0,少站在道德的制高点，山顶冷不冷？,未知,否,http://i0.hdslb.com/bfs/face/e0c75cc56755b5c4078432c661c49120de89b45f.jpg,Joy
5,0,256272640337,1836452980,皮熊爱喝汽水,4,保密,[胜利][doge][胜利],2025-03-05 12:31:24,0,0,这个人很帅，什么都懒的写,未知,否,https://i1.hdslb.com/bfs/face/e59955839aefb61a1a18b4fae9d70be2b96376a0.jpg,Joy
6,0,256962909040,3546839714368404,三角洲鼠鼠跑刀仔,2,保密,"先给视频点赞！可全程直播打三角洲，主页有联系方式秒通过，
留红留金留卡提前说，纯绿！！！
6格12R=100w
9格10R=100w
信誉保证！欢迎老板下单",2025-03-04 14:39:32,0,0,,未知,否,https://i0.hdslb.com/bfs/face/d745936f679d95c6551e5e5d54d3a811289ea187.jpg,Expectation
7,0,255554180593,29971470,bili_29971470,6,保密,我也试过低保券 落地大红200w 直接叫1w撤离了[喜极而泣][滑稽],2025-02-24 14:20:05,0,0,,未知,是,https://i0.hdslb.com/bfs/face/064943b000b9218488b918fc0c4acbd2508b2b18.jpg,Joy
8,0,256093145376,3494370957331015,紧张的小艾,5,保密,鼠不带包，终将自食其果！,2025-02-22 11:02:34,0,1,一个励志拥有自己电脑剪辑的新人,未知,是,https://i1.hdslb.com/bfs/face/90e42663f5068d6d04f285b28dbde7eb086969b8.jpg,Regret
9,0,255146729345,1926789297,XFreaks,5,男,@___Rocky___,2025-02-19 17:06:22,0,0,嗨嗨嗨,未知,是,https://i0.hdslb.com/bfs/face/2f174568ee7864e144d01cb77423fa96dfc0fae8.jpg,Expectation
10,0,255116384880,3546643074910333,开线选Y轮的屑新手,3,保密,考古,2025-02-11 18:24:32,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
11,0,255109338640,3493134161939239,治爆者K22,4,保密,bgm是啥,2025-02-11 16:29:48,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Expectation
12,0,255044470336,227460734,十二点K,6,保密,喜欢省6k背包,2025-02-11 05:13:08,0,0,,未知,否,http://i2.hdslb.com/bfs/face/906d34eb1e91d7774120f450f613fdd5114afc3d.jpg,Joy
13,0,254945757216,507181832,bili_97566072911,2,保密,3×3宣传片,2025-02-10 05:20:23,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg,Neutral
14,0,254198405697,506405870,鼠鼠队庸医,5,保密,怎么说呢，普通局路人队友，拉起来就舔包然后再被打死，另一个因为我没有第一时间拉他他就退了[辣眼睛],2025-02-09 10:15:21,0,0,不希望被打扰的普通人,未知,是,https://i2.hdslb.com/bfs/face/88ffa0ef7e8516f4d68b281c1acec76a09b641b0.jpg,Disgust
15,0,253973428881,512329062,Pbwild,5,男,我一直都喜欢用蛟龙战术，但这次之后就再也没用过了，只能说感谢盾兵,2025-02-07 03:09:48,1,4,,未知,否,https://i0.hdslb.com/bfs/face/d59f7885b4502e0bd04f0a5c7075fbd70724e56a.jpg,Neutral
16,0,254604073136,12036938,Tseveni,6,保密,我在长弓也经历过一模一样的事情[doge]最后感谢背大背包的机哥,2025-02-06 14:33:51,4,3,剪我喜欢的（被锁了好多视频5555555）,未知,否,http://i2.hdslb.com/bfs/face/c87a7552c8a2624ca759aef1bad843622254c916.jpg,Joy
