序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,262155590448,238190804,长安忆苏打,6,保密,挣得五百亿实打实的，亏得1500亿就是股市数字是吧，弹幕有些人有逻辑吗,2025-05-06 05:52:59,0,1,,未知,是,https://i2.hdslb.com/bfs/face/af607cf14dc1bf2a7edfcac5d703ed5b2a7646f3.jpg,Disgust
2,0,261158803857,3546655462787787,你看是谁啊,4,保密,特朗普这波属于瓦伦泰行为了[笑哭],2025-05-05 11:06:53,0,0,,未知,否,https://i0.hdslb.com/bfs/face/9ef0f7d2b8dd56767756aff948743e7230569533.webp,Joy
3,0,262068219664,91449119,北田伊织,6,男,听你说完我是真要嘲笑了[喜极而泣],2025-05-05 04:40:58,0,0,吾心吾行澄如明镜，所作所为皆是正义。,未知,否,https://i2.hdslb.com/bfs/face/a77077fa6421eea91c05512de64435d75f535347.jpg,Joy
4,0,261111307617,25688574,乔鲁诺・乔巴纳丷,6,保密,好像不知道在哪里听过一个，马斯克的头颅[doge],2025-05-05 00:23:34,0,0,能爱一世就满足了,未知,否,https://i0.hdslb.com/bfs/face/4c18f617a9237bf06caafa0c6e192cba8e6510f2.jpg,Neutral
5,0,261021506561,1588312850,系小橘,2,女,@_Norgen_,2025-05-04 00:15:32,0,0,,未知,否,https://i2.hdslb.com/bfs/face/00852dbe0aa2787a36b7223414bc8fef650e78cb.jpg,Neutral
6,0,261020827505,525466580,风和日丽风光无限,2,保密,[doge],2025-05-03 23:55:35,0,0,,未知,否,https://i2.hdslb.com/bfs/face/52ef4212eec474a8b3ad7f0b222602c6d6e88456.jpg,Joy
7,0,261859694768,687457619,恋爱的绝缘体,5,保密,不是，这是2万粉丝能做出来的视频？,2025-05-02 17:50:20,1,0,不能理解的,未知,否,https://i2.hdslb.com/bfs/face/b4c14aae7727c6ebd576ec4771a14e9ecd68c0eb.jpg,Surprise
8,0,261775055552,3493080489527826,聪明の9,4,保密,尔虞我诈是川普~,2025-05-01 19:42:20,0,0,,未知,否,https://i0.hdslb.com/bfs/face/00fa2c1610f601f970414019ccf8dee80fa208b7.jpg,Disgust
9,0,261771596096,37822209,平衡的韩杰修,6,男,想着川与马共天下是吧，结果被卖了,2025-05-01 17:45:13,0,1,这个胡椒粉很神秘，竟然什么都没有写。,未知,否,https://i0.hdslb.com/bfs/face/a6286f98caea49d4a54b249ebf590c1d45ffa89f.jpg,Regret
10,0,261760196416,24312026,要当Rain宝宝,6,保密,逆天,2025-05-01 14:53:31,0,0,哔哩哔哩呢,未知,是,https://i2.hdslb.com/bfs/face/681baa4c39a606d9919ff7590aec0b8518e48dbd.jpg,Surprise
11,0,261753802768,323630011,幻幻Hif,6,男,这老年区视频真有人信吗,2025-05-01 13:40:10,0,0,创造不同的观点有利于认识自己的观点。,未知,否,https://i1.hdslb.com/bfs/face/3e0f3edf1f0c8cb80296985343f5537a9b4521be.jpg,Disgust
