序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,emotion
1,0,262177918176,695975002,社长Andor,4,保密,@使命召唤手游官方,2025-05-06 11:43:54,0,0,,未知,否,https://i1.hdslb.com/bfs/face/e14648d4d194722e995864b3f2e6a60b998a4506.jpg,Neutral
2,0,262128628320,1889929038,是晴阳啊_,5,保密,@嗜睡de土豆,2025-05-05 17:53:21,0,0,这个作者很懒，什么都没留下~~~,未知,否,https://i0.hdslb.com/bfs/face/5b9472cf818f36d31e58e12c73adabd1d463ce75.jpg,Neutral
3,0,262125760624,6685222,云沐沐,6,保密,@使命召唤手游官方 @使命召唤手游赛事官方 @使命召唤动视官方,2025-05-05 16:46:30,0,0,年纪轻轻，战战兢兢，房车二贷，如履薄冰,未知,否,https://i1.hdslb.com/bfs/face/949ba9cad5dd4ca440c04be5d2b6a4984dabdaa9.jpg,Expectation
4,0,262118581696,483767845,公子言若,6,男,@锤锤怎么能是小鱼,2025-05-05 15:06:28,0,0,随心，不随性,未知,否,https://i1.hdslb.com/bfs/face/8d110176e4ae23891816ba107fde883c824f4d80.jpg,Surprise
5,0,259983401665,3537117357542372,来自秋天的落叶,4,保密,@使命召唤手游官方,2025-04-20 15:22:29,1,0,,未知,否,https://i2.hdslb.com/bfs/face/644e021cc0c5fbe2040ef136871654156411b175.jpg,Neutral
6,0,259769955121,290379463,吉祥安康w,5,保密,可以制作中国风，一条龙在枪上游走~还是金龙5爪,2025-04-18 05:33:01,0,0,,未知,否,https://i1.hdslb.com/bfs/face/4ee207986839780a4977d27272e96885134c961e.jpg,Joy
7,0,260517074064,3546772909591339,Nobbibi,2,保密,枪包怎么下载呀,2025-04-16 09:19:19,1,0,,未知,否,https://i1.hdslb.com/bfs/face/982b3c48adca90a65936b93115d6ec589eccf685.jpg,Expectation
8,0,259590745473,3546576521792154,零翎麟,3,保密,这个背景音乐是啥，钢琴曲很好听啊,2025-04-15 16:50:41,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e4df6457d41779ba25fe1335f0a3e885134f0358.jpg,Joy
9,0,260470833200,693104448,颜书亦尘,5,男,@使命召唤动视官方,2025-04-15 16:29:46,0,0,挡灾,未知,否,https://i0.hdslb.com/bfs/face/28665d049e5a964fd0e80159789d9bb1cc419877.jpg,Neutral
10,0,259075820561,129649695,丨半城,6,男,太喜欢了，可惜玩不到！,2025-04-09 07:09:22,0,0,,未知,否,http://i0.hdslb.com/bfs/face/e7a5bf677735d8b876dd3914db64b2525b2366eb.jpg,Regret
11,0,259071898289,3546863110195296,55被接了,2,保密,@CODM策划老王1958 啥时候能跟MC联动一下,2025-04-09 05:56:59,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Expectation
12,0,259902888592,1534501645,ghast-brave,5,保密,@CODM策划老王1958 @CODM策划老王1958 @CODM策划老王1958,2025-04-08 17:52:42,0,0,day  day  up,未知,否,https://i1.hdslb.com/bfs/face/98c672f0444815d69c86e36f8bb7dea6b39e2f55.jpg,Expectation
13,0,259577046720,20190813,伟大的480,6,保密,这个bgm的名字有吗，配合着枪皮特效太有感觉了,2025-04-05 02:13:59,1,0,,未知,是,https://i0.hdslb.com/bfs/face/6d76ab5c0630256ec7b72151507ac7c6f5bb8dd6.jpg,Joy
14,0,258706267313,402639968,_AshesonTheFire,6,保密,"@捷拉奥拉巨可爱 

这玩家自制的皮肤可以啊",2025-04-04 15:08:00,0,0,LOVE&PEACE,未知,是,https://i2.hdslb.com/bfs/face/983175af05a59815407b437e59d6a450aa51994a.jpg,Joy
15,0,258665838353,5761670,丧病之毒,6,男,这个冰雪女王和娜迦模型是up自制的吗，其他地方找不到这个模型啊，不错啊,2025-04-04 06:49:51,1,3,,未知,否,https://i2.hdslb.com/bfs/face/61311749ca7d78eabe555feb8bf5e66d87ef3831.jpg,Joy
16,0,259400184720,1150095343,某不知名的白子酱,5,保密,upup，这算不算是盗用啊,2025-04-03 02:09:24,0,1,,未知,否,https://i1.hdslb.com/bfs/face/112f2e5dc2745aff49e6dfc396f5781238e2f222.jpg,Regret
17,0,258532502961,1992191355,一般路过阿发罐头,5,保密,UP 你被小广告侵权了[笑哭],2025-04-02 14:37:52,0,1,性别：武装直升机,未知,否,https://i0.hdslb.com/bfs/face/0dcfdeb224f2298180054d4f9bf44a6b753170c4.jpg,Joy
18,0,259117937952,487902141,AruhurConstant,5,男,r4frfff---rf-c-fcfccfffc-#rrcf-cfd-rccrcrfrccffdf-rrf#crcfcccr-c--fccfccdrdr-cc-c-f--cr-fc-rrfcdcccrfr-cccrccrc#cfc--ccccrrcc-crcrccc-cdr-crcrccfcccrrrfrrrrfccccccffffcrf#fc-cc,2025-03-30 14:51:12,0,0,森马？，这里是简介？,未知,否,https://i0.hdslb.com/bfs/face/6725d54f1cf6b489eeedca2cff0d3727a3ab01c7.jpg,Neutral
19,0,259084055648,382040923,宇大大怪,5,男,@界外狂潮,2025-03-30 08:13:30,0,0,,未知,是,http://i1.hdslb.com/bfs/face/20a26d67008715e9c1a55804cc7419cabf8a15ca.jpg,Neutral
20,0,259071011632,1868990901,吃瓜圣手星见雅,5,保密,⊙∀⊙！好帅！,2025-03-30 05:23:36,0,0,大风起兮云飞扬！（汤师爷）,未知,是,https://i0.hdslb.com/bfs/face/2219fdfa02f8821732c085186f2c7d522e40e53b.jpg,Joy
25,0,258919952272,3546804446563008,ks快被刀死了,2,保密,@使命召唤动视官方 来看看,2025-03-28 11:45:36,0,0,,未知,否,https://i0.hdslb.com/bfs/face/73ae80f6b4bc9e647c12a1e543c8845e4abf6b5b.jpg,Expectation
26,0,258905979760,3546772284639415,己经疯,3,保密,@收藏品研究院,2025-03-28 09:01:22,0,0,做人嘛！最重要是开开心心咯,未知,否,https://i1.hdslb.com/bfs/face/c53a124e491eecae632fccb0c5f9d7c296d6a6eb.jpg,Neutral
27,0,258085559041,98616274,文物双残李素裳,6,保密,@三角洲行动 过来看看,2025-03-28 08:58:16,0,0,原神怎么还没*啊,未知,否,https://i1.hdslb.com/bfs/face/e162c680ec0f58a2a0079f2414f6ee8b746f05b7.jpg,Expectation
28,0,258083935233,3546765674416189,贝利亚打败赛罗版,2,保密,使命召唤几,2025-03-28 08:33:53,0,0,,未知,否,https://i1.hdslb.com/bfs/face/04552e3d8395dca42f8903bc5c56666e46c564ed.jpg,Neutral
29,0,258074277217,355291450,XUITCASECITY,5,男,@梦醒后的失语 我靠好帅,2025-03-28 05:52:59,1,1,,未知,否,https://i1.hdslb.com/bfs/face/b93562dab986418559bd405d81111eeca84ddd0b.jpg,Joy
30,0,258891736768,3493092128721224,都是捡的,4,保密,都是微软的哈哈,2025-03-28 05:19:02,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,Joy
31,0,258071176945,662092177,79扶墙刷bl,5,保密,求bgm,2025-03-28 05:07:09,0,0,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg,Expectation
